* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 8, 2026 5:33:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7Hz Diablo L4
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 98.765 -125.1729
20.187380 98.805 -126.2311
20.523836 98.846 -127.2679
20.860293 98.884 -128.2833
21.196749 98.920 -129.2773
21.533205 98.953 -130.2508
21.869662 98.984 -131.2064
22.206118 99.013 -132.1468
22.542574 99.040 -133.0735
22.879030 99.064 -133.9853
23.215487 99.085 -134.8781
23.551943 99.103 -135.7472
23.888399 99.120 -136.5910
24.224856 99.137 -137.4125
24.561312 99.154 -138.2190
24.897768 99.170 -139.0180
25.234225 99.189 -139.8133
25.570681 99.208 -140.6024
25.907137 99.224 -141.3783
26.243594 99.237 -142.1339
26.580050 99.250 -142.8673
26.916506 99.263 -143.5834
27.252963 99.276 -144.2914
27.589419 99.289 -144.9992
27.925875 99.301 -145.7078
28.262332 99.309 -146.4103
28.598788 99.314 -147.0959
28.935244 99.317 -147.7562
29.271701 99.320 -148.3911
29.608157 99.324 -149.0085
29.944613 99.330 -149.6203
30.281070 99.336 -150.2353
30.617526 99.340 -150.8538
30.953982 99.342 -151.4681
31.290439 99.341 -152.0680
31.626895 99.340 -152.6471
31.963351 99.343 -153.2072
32.299808 99.346 -153.7569
32.636264 99.350 -154.3063
32.972720 99.354 -154.8611
33.309177 99.357 -155.4196
33.645633 99.357 -155.9743
33.982089 99.355 -156.5171
34.318546 99.351 -157.0433
34.655002 99.348 -157.5542
34.991458 99.344 -158.0547
35.327915 99.341 -158.5499
35.664371 99.338 -159.0418
36.000827 99.334 -159.5291
36.337284 99.330 -160.0092
36.673740 99.325 -160.4806
37.010196 99.320 -160.9440
37.346653 99.315 -161.4019
37.683109 99.309 -161.8568
38.019565 99.304 -162.3093
38.356022 99.298 -162.7582
38.692478 99.290 -163.2013
39.028934 99.283 -163.6369
39.365391 99.275 -164.0648
39.701847 99.267 -164.4860
40.038303 99.259 -164.9014
40.374760 99.252 -165.3121
40.711216 99.246 -165.7187
41.047672 99.240 -166.1222
41.384129 99.234 -166.5234
41.720585 99.227 -166.9227
42.057041 99.219 -167.3193
42.393498 99.210 -167.7106
42.729954 99.201 -168.0941
43.066410 99.191 -168.4689
43.402867 99.182 -168.8369
43.739323 99.174 -169.2024
44.075779 99.165 -169.5692
44.412236 99.156 -169.9375
44.748692 99.145 -170.3030
45.085148 99.134 -170.6587
45.421605 99.121 -170.9998
45.758061 99.110 -171.3278
46.094517 99.101 -171.6510
46.430974 99.094 -171.9804
46.767430 99.087 -172.3228
47.103886 99.077 -172.6756
47.440342 99.065 -173.0273
47.776799 99.051 -173.3636
48.113255 99.035 -173.6763
48.449711 99.022 -173.9686
48.786168 99.012 -174.2545
49.122624 99.004 -174.5509
49.459080 98.997 -174.8672
49.795537 98.988 -175.2006
50.131993 98.975 -175.5369
50.468449 98.960 -175.8595
50.804906 98.943 -176.1581
51.141362 98.927 -176.4342
51.477818 98.914 -176.6990
51.814275 98.903 -176.9657
52.150731 98.893 -177.2424
52.487187 98.882 -177.5285
52.823644 98.869 -177.8168
53.160100 98.855 -178.0995
53.496556 98.841 -178.3731
53.833013 98.827 -178.6391
54.169469 98.814 -178.9021
54.505925 98.801 -179.1659
54.842382 98.788 -179.4309
55.178838 98.774 -179.6948
55.515294 98.760 -179.9547
55.851751 98.746 179.7903
56.188207 98.732 179.5388
56.524663 98.719 179.2885
56.861120 98.706 179.0375
57.197576 98.692 178.7863
57.534032 98.678 178.5364
57.870489 98.664 178.2897
58.206945 98.650 178.0473
58.543401 98.635 177.8090
58.879858 98.621 177.5739
59.216314 98.607 177.3410
59.552770 98.593 177.1097
59.889227 98.579 176.8795
60.225683 98.564 176.6506
60.562139 98.550 176.4233
60.898596 98.535 176.1986
61.235052 98.520 175.9774
61.571508 98.504 175.7603
61.907965 98.489 175.5468
62.244421 98.475 175.3352
62.580877 98.460 175.1238
62.917334 98.445 174.9117
63.253790 98.431 174.6994
63.590246 98.417 174.4885
63.926703 98.402 174.2803
64.263159 98.388 174.0752
64.599615 98.373 173.8719
64.936072 98.359 173.6691
65.272528 98.345 173.4664
65.608984 98.330 173.2651
65.945441 98.315 173.0670
66.281897 98.299 172.8732
66.618353 98.285 172.6826
66.954810 98.270 172.4926
67.291266 98.256 172.3005
67.627722 98.242 172.1060
67.964179 98.227 171.9112
68.300635 98.211 171.7199
68.637091 98.195 171.5351
68.973548 98.180 171.3571
69.310004 98.164 171.1832
69.646460 98.150 171.0094
69.982917 98.136 170.8328
70.319373 98.122 170.6530
70.655829 98.107 170.4722
70.992285 98.092 170.2933
71.328742 98.077 170.1182
71.665198 98.061 169.9467
72.001654 98.046 169.7774
72.338111 98.031 169.6086
72.674567 98.015 169.4398
73.011023 97.999 169.2723
73.347480 97.983 169.1081
73.683936 97.967 168.9485
74.020392 97.952 168.7929
74.356849 97.937 168.6389
74.693305 97.922 168.4829
75.029761 97.908 168.3222
75.366218 97.894 168.1566
75.702674 97.878 167.9887
76.039130 97.861 167.8235
76.375587 97.844 167.6656
76.712043 97.826 167.5175
77.048499 97.809 167.3777
77.384956 97.794 167.2416
77.721412 97.779 167.1036
78.057868 97.765 166.9599
78.394325 97.751 166.8101
78.730781 97.737 166.6570
79.067237 97.721 166.5046
79.403694 97.705 166.3560
79.740150 97.689 166.2120
80.076606 97.673 166.0711
80.413063 97.658 165.9315
80.749519 97.642 165.7920
81.085975 97.627 165.6531
81.422432 97.611 165.5164
81.758888 97.596 165.3828
82.095344 97.580 165.2524
82.431801 97.565 165.1236
82.768257 97.550 164.9946
83.104713 97.535 164.8643
83.441170 97.520 164.7328
83.777626 97.505 164.6014
84.114082 97.490 164.4717
84.450539 97.474 164.3445
84.786995 97.458 164.2193
85.123451 97.443 164.0951
85.459908 97.427 163.9706
85.796364 97.412 163.8456
86.132820 97.396 163.7213
86.469277 97.380 163.5992
86.805733 97.364 163.4804
87.142189 97.349 163.3648
87.478646 97.333 163.2511
87.815102 97.319 163.1379
88.151558 97.304 163.0241
88.488015 97.290 162.9095
88.824471 97.276 162.7941
89.160927 97.261 162.6776
89.497384 97.247 162.5597
89.833840 97.232 162.4408
90.170296 97.217 162.3231
90.506753 97.201 162.2101
90.843209 97.186 162.1043
91.179665 97.170 162.0054
91.516122 97.156 161.9089
91.852578 97.144 161.8077
92.189034 97.132 161.6961
92.525491 97.119 161.5739
92.861947 97.104 161.4471
93.198403 97.087 161.3245
93.534860 97.069 161.2131
93.871316 97.051 161.1143
94.207772 97.034 161.0232
94.544228 97.019 160.9329
94.880685 97.004 160.8390
95.217141 96.989 160.7417
95.553597 96.973 160.6445
95.890054 96.958 160.5501
96.226510 96.943 160.4579
96.562966 96.928 160.3646
96.899423 96.914 160.2670
97.235879 96.900 160.1653
97.572335 96.885 160.0630
97.908792 96.870 159.9644
98.245248 96.855 159.8700
98.581704 96.840 159.7766
98.918161 96.826 159.6793
99.254617 96.812 159.5758
99.591073 96.796 159.4694
99.927530 96.779 159.3672
100.263986 96.761 159.2758
100.600442 96.744 159.1966
100.936899 96.728 159.1251
101.273355 96.713 159.0538
101.609811 96.700 158.9768
101.946268 96.686 158.8932
102.282724 96.672 158.8065
102.619180 96.657 158.7207
102.955637 96.642 158.6376
103.292093 96.627 158.5562
103.628549 96.612 158.4741
103.965006 96.598 158.3903
104.301462 96.583 158.3063
104.637918 96.567 158.2245
104.974375 96.552 158.1455
105.310831 96.537 158.0678
105.647287 96.522 157.9886
105.983744 96.508 157.9064
106.320200 96.492 157.8224
106.656656 96.477 157.7401
106.993113 96.461 157.6624
107.329569 96.445 157.5895
107.666025 96.431 157.5183
108.002482 96.417 157.4445
108.338938 96.403 157.3657
108.675394 96.388 157.2833
109.011851 96.373 157.2014
109.348307 96.357 157.1247
109.684763 96.341 157.0551
110.021220 96.326 156.9910
110.357676 96.312 156.9278
110.694132 96.298 156.8614
111.030589 96.285 156.7899
111.367045 96.271 156.7144
111.703501 96.256 156.6383
112.039958 96.241 156.5651
112.376414 96.226 156.4962
112.712870 96.210 156.4310
113.049327 96.196 156.3675
113.385783 96.181 156.3038
113.722239 96.167 156.2390
114.058696 96.152 156.1735
114.395152 96.137 156.1082
114.731608 96.123 156.0437
115.068065 96.109 155.9794
115.404521 96.094 155.9143
115.740977 96.080 155.8479
116.077434 96.066 155.7809
116.413890 96.051 155.7146
116.750346 96.036 155.6504
117.086803 96.022 155.5884
117.423259 96.007 155.5274
117.759715 95.993 155.4659
118.096171 95.979 155.4034
118.432628 95.965 155.3417
118.769084 95.950 155.2831
119.105540 95.936 155.2291
119.441997 95.923 155.1783
119.778453 95.910 155.1263
120.114909 95.899 155.0677
120.451366 95.887 154.9998
120.787822 95.874 154.9243
121.124278 95.859 154.8475
121.460735 95.843 154.7767
121.797191 95.826 154.7172
122.133647 95.809 154.6691
122.470104 95.794 154.6281
122.806560 95.780 154.5878
123.143016 95.766 154.5435
123.479473 95.753 154.4936
123.815929 95.740 154.4396
124.152385 95.725 154.3849
124.488842 95.711 154.3320
124.825298 95.696 154.2824
125.161754 95.682 154.2357
125.498211 95.669 154.1906
125.834667 95.657 154.1454
126.171123 95.645 154.0984
126.507580 95.633 154.0482
126.844036 95.621 153.9946
127.180492 95.609 153.9394
127.516949 95.595 153.8857
127.853405 95.581 153.8371
128.189861 95.568 153.7953
128.526318 95.555 153.7587
128.862774 95.543 153.7228
129.199230 95.532 153.6822
129.535687 95.522 153.6337
129.872143 95.511 153.5780
130.208599 95.499 153.5197
130.545056 95.486 153.4642
130.881512 95.473 153.4146
131.217968 95.459 153.3704
131.554425 95.447 153.3279
131.890881 95.435 153.2838
132.227337 95.423 153.2369
132.563794 95.411 153.1892
132.900250 95.398 153.1435
133.236706 95.386 153.1011
133.573163 95.374 153.0604
133.909619 95.362 153.0181
134.246075 95.351 152.9717
134.582532 95.339 152.9223
134.918988 95.327 152.8736
135.255444 95.314 152.8301
135.591901 95.301 152.7930
135.928357 95.289 152.7595
136.264813 95.278 152.7243
136.601270 95.268 152.6840
136.937726 95.256 152.6398
137.274182 95.244 152.5976
137.610639 95.231 152.5635
137.947095 95.219 152.5387
138.283551 95.209 152.5170
138.620008 95.201 152.4874
138.956464 95.194 152.4405
139.292920 95.185 152.3756
139.629377 95.173 152.3024
139.965833 95.158 152.2367
140.302289 95.140 152.1918
140.638746 95.124 152.1708
140.975202 95.110 152.1648
141.311658 95.099 152.1577
141.648115 95.090 152.1359
141.984571 95.081 152.0956
142.321027 95.070 152.0445
142.657483 95.057 151.9957
142.993940 95.043 151.9595
143.330396 95.029 151.9374
143.666852 95.017 151.9216
144.003309 95.007 151.9011
144.339765 94.998 151.8686
144.676221 94.988 151.8248
145.012678 94.976 151.7775
145.349134 94.963 151.7354
145.685590 94.949 151.7032
146.022047 94.937 151.6788
146.358503 94.925 151.6558
146.694959 94.914 151.6286
147.031416 94.903 151.5956
147.367872 94.892 151.5601
147.704328 94.879 151.5271
148.040785 94.867 151.4993
148.377241 94.855 151.4755
148.713697 94.844 151.4514
149.050154 94.834 151.4230
149.386610 94.823 151.3895
149.723066 94.811 151.3537
150.059523 94.799 151.3199
150.395979 94.787 151.2912
150.732435 94.774 151.2676
151.068892 94.763 151.2463
151.405348 94.752 151.2234
151.741804 94.741 151.1967
152.078261 94.730 151.1666
152.414717 94.719 151.1352
152.751173 94.708 151.1052
153.087630 94.696 151.0779
153.424086 94.685 151.0529
153.760542 94.673 151.0289
154.096999 94.663 151.0039
154.433455 94.652 150.9770
154.769911 94.641 150.9483
155.106368 94.629 150.9191
155.442824 94.618 150.8914
155.779280 94.605 150.8673
156.115737 94.593 150.8476
156.452193 94.582 150.8316
156.788649 94.571 150.8169
157.125106 94.561 150.8002
157.461562 94.551 150.7792
