* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 8, 2026 5:29:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7Hz Diablo R2
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 97.877 -127.5162
20.187380 97.914 -128.6066
20.523836 97.946 -129.6719
20.860293 97.973 -130.6921
21.196749 97.997 -131.6634
21.533205 98.022 -132.6024
21.869662 98.048 -133.5356
22.206118 98.073 -134.4811
22.542574 98.092 -135.4358
22.879030 98.104 -136.3747
23.215487 98.109 -137.2660
23.551943 98.112 -138.0916
23.888399 98.120 -138.8601
24.224856 98.135 -139.6050
24.561312 98.157 -140.3663
24.897768 98.181 -141.1674
25.234225 98.205 -142.0030
25.570681 98.222 -142.8431
25.907137 98.233 -143.6520
26.243594 98.242 -144.4096
26.580050 98.252 -145.1219
26.916506 98.268 -145.8162
27.252963 98.287 -146.5233
27.589419 98.306 -147.2593
27.925875 98.319 -148.0167
28.262332 98.325 -148.7704
28.598788 98.323 -149.4909
28.935244 98.317 -150.1590
29.271701 98.312 -150.7735
29.608157 98.310 -151.3499
29.944613 98.312 -151.9126
30.281070 98.317 -152.4839
30.617526 98.323 -153.0762
30.953982 98.326 -153.6871
31.290439 98.325 -154.3013
31.626895 98.319 -154.8976
31.963351 98.313 -155.4587
32.299808 98.308 -155.9816
32.636264 98.306 -156.4809
32.972720 98.310 -156.9826
33.309177 98.316 -157.5107
33.645633 98.321 -158.0728
33.982089 98.321 -158.6552
34.318546 98.314 -159.2297
34.655002 98.302 -159.7695
34.991458 98.290 -160.2645
35.327915 98.281 -160.7264
35.664371 98.277 -161.1803
36.000827 98.277 -161.6492
36.337284 98.277 -162.1409
36.673740 98.273 -162.6461
37.010196 98.266 -163.1468
37.346653 98.257 -163.6285
37.683109 98.246 -164.0881
38.019565 98.237 -164.5324
38.356022 98.229 -164.9713
38.692478 98.221 -165.4106
39.028934 98.213 -165.8495
39.365391 98.203 -166.2833
39.701847 98.192 -166.7074
40.038303 98.181 -167.1195
40.374760 98.171 -167.5198
40.711216 98.162 -167.9102
41.047672 98.155 -168.2945
41.384129 98.148 -168.6788
41.720585 98.141 -169.0695
42.057041 98.134 -169.4693
42.393498 98.124 -169.8731
42.729954 98.112 -170.2689
43.066410 98.097 -170.6443
43.402867 98.083 -170.9963
43.739323 98.072 -171.3359
44.075779 98.063 -171.6831
44.412236 98.055 -172.0521
44.748692 98.042 -172.4379
45.085148 98.024 -172.8142
45.421605 98.002 -173.1479
45.758061 97.981 -173.4217
46.094517 97.969 -173.6520
46.430974 97.969 -173.8868
46.767430 97.977 -174.1817
47.103886 97.987 -174.5684
47.440342 97.988 -175.0344
47.776799 97.975 -175.5280
48.113255 97.947 -175.9832
48.449711 97.911 -176.3523
48.786168 97.877 -176.6275
49.122624 97.852 -176.8413
49.459080 97.838 -177.0457
49.795537 97.832 -177.2838
50.131993 97.828 -177.5704
50.468449 97.821 -177.8912
50.804906 97.808 -178.2172
51.141362 97.792 -178.5236
51.477818 97.775 -178.8017
51.814275 97.761 -179.0603
52.150731 97.749 -179.3170
52.487187 97.739 -179.5857
52.823644 97.728 -179.8693
53.160100 97.715 179.8403
53.496556 97.700 179.5557
53.833013 97.683 179.2856
54.169469 97.667 179.0291
54.505925 97.652 178.7778
54.842382 97.638 178.5221
55.178838 97.623 178.2582
55.515294 97.607 177.9916
55.851751 97.589 177.7321
56.188207 97.571 177.4865
56.524663 97.554 177.2518
56.861120 97.540 177.0167
57.197576 97.526 176.7692
57.534032 97.511 176.5067
57.870489 97.494 176.2395
58.206945 97.473 175.9844
58.543401 97.452 175.7532
58.879858 97.433 175.5428
59.216314 97.417 175.3362
59.552770 97.405 175.1140
59.889227 97.392 174.8679
60.225683 97.376 174.6075
60.562139 97.356 174.3539
60.898596 97.333 174.1253
61.235052 97.312 173.9241
61.571508 97.294 173.7357
61.907965 97.280 173.5395
62.244421 97.266 173.3240
62.580877 97.251 173.0945
62.917334 97.232 172.8680
63.253790 97.212 172.6608
63.590246 97.193 172.4762
63.926703 97.177 172.3035
64.263159 97.164 172.1273
64.599615 97.151 171.9392
64.936072 97.138 171.7428
65.272528 97.124 171.5483
65.608984 97.110 171.3605
65.945441 97.098 171.1720
66.281897 97.087 170.9672
66.618353 97.073 170.7369
66.954810 97.054 170.4918
67.291266 97.027 170.2639
67.627722 96.994 170.0926
67.964179 96.962 169.9988
68.300635 96.939 169.9667
68.637091 96.928 169.9440
68.973548 96.929 169.8685
69.310004 96.931 169.7051
69.646460 96.924 169.4713
69.982917 96.903 169.2315
70.319373 96.870 169.0636
70.655829 96.836 169.0123
70.992285 96.816 169.0562
71.328742 96.816 169.1127
71.665198 96.834 169.0833
72.001654 96.857 168.9109
72.338111 96.869 168.6138
72.674567 96.863 168.2712
73.011023 96.840 167.9756
73.347480 96.812 167.7789
73.683936 96.790 167.6638
74.020392 96.782 167.5597
74.356849 96.783 167.3934
74.693305 96.783 167.1389
75.029761 96.771 166.8316
75.366218 96.745 166.5418
75.702674 96.712 166.3272
76.039130 96.681 166.1977
76.375587 96.660 166.1129
76.712043 96.648 166.0142
77.048499 96.641 165.8643
77.384956 96.631 165.6679
77.721412 96.615 165.4596
78.057868 96.593 165.2740
78.394325 96.570 165.1216
78.730781 96.550 164.9875
79.067237 96.531 164.8507
79.403694 96.511 164.7064
79.740150 96.488 164.5720
80.076606 96.464 164.4722
80.413063 96.444 164.4133
80.749519 96.432 164.3686
81.085975 96.430 164.2887
81.422432 96.431 164.1314
81.758888 96.426 163.8924
82.095344 96.407 163.6151
82.431801 96.372 163.3718
82.768257 96.330 163.2244
83.104713 96.292 163.1860
83.441170 96.268 163.2063
83.777626 96.262 163.1959
84.114082 96.263 163.0790
84.450539 96.258 162.8443
84.786995 96.233 162.5584
85.123451 96.188 162.3337
85.459908 96.133 162.2648
85.796364 96.088 162.3665
86.132820 96.070 162.5530
86.469277 96.081 162.6815
86.805733 96.108 162.6389
87.142189 96.129 162.4092
87.478646 96.129 162.0768
87.815102 96.106 161.7662
88.151558 96.072 161.5631
88.488015 96.042 161.4633
88.824471 96.027 161.3876
89.160927 96.020 161.2514
89.497384 96.009 161.0365
89.833840 95.985 160.8049
90.170296 95.953 160.6447
90.506753 95.925 160.5881
90.843209 95.917 160.5661
91.179665 95.929 160.4451
91.516122 95.942 160.1276
91.852578 95.930 159.6406
92.189034 95.877 159.1424
92.525491 95.788 158.8451
92.861947 95.690 158.8924
93.198403 95.623 159.2587
93.534860 95.610 159.7425
93.871316 95.649 160.0815
94.207772 95.711 160.1119
94.544228 95.760 159.8474
94.880685 95.776 159.4390
95.217141 95.757 159.0693
95.553597 95.722 158.8529
95.890054 95.689 158.7914
96.226510 95.671 158.8010
96.562966 95.667 158.7857
96.899423 95.667 158.7005
97.235879 95.661 158.5647
97.572335 95.647 158.4283
97.908792 95.628 158.3282
98.245248 95.609 158.2653
98.581704 95.594 158.2146
98.918161 95.582 158.1512
99.254617 95.568 158.0695
99.591073 95.552 157.9819
99.927530 95.534 157.9029
100.263986 95.516 157.8361
100.600442 95.499 157.7725
100.936899 95.483 157.7014
101.273355 95.467 157.6199
101.609811 95.449 157.5347
101.946268 95.431 157.4541
102.282724 95.414 157.3796
102.619180 95.398 157.3047
102.955637 95.384 157.2206
103.292093 95.369 157.1243
103.628549 95.354 157.0214
103.965006 95.336 156.9221
104.301462 95.319 156.8330
104.637918 95.302 156.7538
104.974375 95.286 156.6783
105.310831 95.272 156.6008
105.647287 95.258 156.5203
105.983744 95.243 156.4402
106.320200 95.229 156.3641
106.656656 95.215 156.2921
106.993113 95.202 156.2197
107.329569 95.189 156.1418
107.666025 95.175 156.0575
108.002482 95.159 155.9714
108.338938 95.142 155.8926
108.675394 95.123 155.8288
109.011851 95.105 155.7814
109.348307 95.089 155.7438
109.684763 95.075 155.7047
110.021220 95.063 155.6532
110.357676 95.051 155.5854
110.694132 95.037 155.5058
111.030589 95.021 155.4246
111.367045 95.004 155.3506
111.703501 94.987 155.2863
112.039958 94.971 155.2256
112.376414 94.957 155.1591
112.712870 94.942 155.0810
113.049327 94.927 154.9938
113.385783 94.909 154.9072
113.722239 94.890 154.8307
114.058696 94.872 154.7671
114.395152 94.856 154.7102
114.731608 94.842 154.6497
115.068065 94.828 154.5800
115.404521 94.813 154.5045
115.740977 94.798 154.4331
116.077434 94.783 154.3727
116.413890 94.769 154.3207
116.750346 94.757 154.2655
117.086803 94.747 154.1967
117.423259 94.734 154.1157
117.759715 94.719 154.0381
118.096171 94.702 153.9839
118.432628 94.685 153.9622
118.769084 94.674 153.9598
119.105540 94.669 153.9474
119.441997 94.667 153.8967
119.778453 94.664 153.8009
120.114909 94.654 153.6806
120.451366 94.637 153.5710
120.787822 94.616 153.4999
121.124278 94.597 153.4688
121.460735 94.582 153.4531
121.797191 94.571 153.4204
122.133647 94.561 153.3535
122.470104 94.547 153.2624
122.806560 94.526 153.1764
123.143016 94.502 153.1226
123.479473 94.478 153.1071
123.815929 94.460 153.1113
124.152385 94.446 153.1062
124.488842 94.435 153.0724
124.825298 94.421 153.0125
125.161754 94.405 152.9461
125.498211 94.387 152.8941
125.834667 94.370 152.8632
126.171123 94.355 152.8431
126.507580 94.343 152.8159
126.844036 94.333 152.7704
127.180492 94.322 152.7101
127.516949 94.308 152.6487
127.853405 94.294 152.5984
128.189861 94.280 152.5605
128.526318 94.270 152.5241
128.862774 94.261 152.4754
129.199230 94.252 152.4079
129.535687 94.241 152.3278
129.872143 94.226 152.2499
130.208599 94.210 152.1885
130.545056 94.193 152.1489
130.881512 94.178 152.1250
131.217968 94.166 152.1045
131.554425 94.155 152.0760
131.890881 94.145 152.0356
132.227337 94.134 151.9867
132.563794 94.122 151.9373
132.900250 94.108 151.8942
133.236706 94.095 151.8596
133.573163 94.082 151.8299
133.909619 94.071 151.7986
134.246075 94.060 151.7605
134.582532 94.049 151.7147
134.918988 94.037 151.6654
135.255444 94.023 151.6192
135.591901 94.009 151.5808
135.928357 93.996 151.5495
136.264813 93.984 151.5201
136.601270 93.972 151.4870
136.937726 93.960 151.4496
137.274182 93.946 151.4135
137.610639 93.933 151.3867
137.947095 93.920 151.3727
138.283551 93.909 151.3652
138.620008 93.902 151.3497
138.956464 93.896 151.3121
139.292920 93.889 151.2486
139.629377 93.878 151.1697
139.965833 93.863 151.0948
140.302289 93.845 151.0409
140.638746 93.827 151.0119
140.975202 93.812 150.9977
141.311658 93.800 150.9822
141.648115 93.788 150.9551
141.984571 93.776 150.9186
142.321027 93.762 150.8844
142.657483 93.748 150.8627
142.993940 93.736 150.8533
143.330396 93.727 150.8442
143.666852 93.721 150.8195
144.003309 93.716 150.7700
144.339765 93.708 150.6992
144.676221 93.698 150.6201
145.012678 93.684 150.5469
145.349134 93.669 150.4873
145.685590 93.653 150.4413
146.022047 93.637 150.4056
146.358503 93.622 150.3786
146.694959 93.606 150.3614
147.031416 93.592 150.3549
147.367872 93.579 150.3560
147.704328 93.568 150.3573
148.040785 93.558 150.3516
148.377241 93.549 150.3366
148.713697 93.538 150.3165
149.050154 93.527 150.2971
149.386610 93.516 150.2811
149.723066 93.505 150.2650
150.059523 93.494 150.2437
150.395979 93.482 150.2162
150.732435 93.468 150.1891
151.068892 93.453 150.1724
151.405348 93.439 150.1707
151.741804 93.427 150.1767
152.078261 93.419 150.1744
152.414717 93.411 150.1493
152.751173 93.402 150.1002
153.087630 93.389 150.0425
153.424086 93.373 149.9991
153.760542 93.355 149.9856
154.096999 93.340 149.9987
154.433455 93.330 150.0179
154.769911 93.324 150.0186
155.106368 93.319 149.9876
155.442824 93.311 149.9319
155.779280 93.299 149.8724
156.115737 93.284 149.8296
156.452193 93.269 149.8117
156.788649 93.256 149.8109
157.125106 93.245 149.8113
157.461562 93.237 149.8008
157.798018 93.227 149.7785
