* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Jun 13, 2026 2:43:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aria 2 L2
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 90.427 -129.4379
20.187380 90.434 -130.3817
20.523836 90.438 -131.1875
20.860293 90.446 -131.8411
21.196749 90.468 -132.3855
21.533205 90.510 -132.8999
21.869662 90.567 -133.4598
22.206118 90.633 -134.1108
22.542574 90.698 -134.8680
22.879030 90.756 -135.7304
23.215487 90.798 -136.6866
23.551943 90.818 -137.7024
23.888399 90.808 -138.7051
24.224856 90.770 -139.5902
24.561312 90.719 -140.2641
24.897768 90.674 -140.7064
25.234225 90.662 -141.0064
25.570681 90.684 -141.3274
25.907137 90.724 -141.8058
26.243594 90.759 -142.4593
26.580050 90.771 -143.1788
26.916506 90.761 -143.8100
27.252963 90.749 -144.2685
27.589419 90.757 -144.6079
27.925875 90.789 -144.9784
28.262332 90.830 -145.4979
28.598788 90.854 -146.1447
28.935244 90.849 -146.7657
29.271701 90.826 -147.1962
29.608157 90.814 -147.4060
29.944613 90.834 -147.5513
30.281070 90.879 -147.8604
30.617526 90.909 -148.4259
30.953982 90.886 -149.0843
31.290439 90.805 -149.4819
31.626895 90.709 -149.3009
31.963351 90.678 -148.5433
32.299808 90.771 -147.6611
32.636264 90.978 -147.3168
32.972720 91.215 -147.9214
33.309177 91.385 -149.3943
33.645633 91.425 -151.2740
33.982089 91.330 -152.9737
34.318546 91.154 -154.0322
34.655002 90.978 -154.3213
34.991458 90.874 -154.1174
35.327915 90.860 -153.9131
35.664371 90.897 -154.0693
36.000827 90.927 -154.6133
36.337284 90.917 -155.3161
36.673740 90.873 -155.9084
37.010196 90.825 -156.2655
37.346653 90.803 -156.4637
37.683109 90.814 -156.6882
38.019565 90.842 -157.0733
38.356022 90.861 -157.6118
38.692478 90.860 -158.1875
39.028934 90.843 -158.6765
39.365391 90.825 -159.0324
39.701847 90.817 -159.2988
40.038303 90.823 -159.5551
40.374760 90.836 -159.8473
40.711216 90.845 -160.1640
41.047672 90.850 -160.4643
41.384129 90.853 -160.7246
41.720585 90.858 -160.9585
42.057041 90.867 -161.1987
42.393498 90.874 -161.4614
42.729954 90.875 -161.7307
43.066410 90.871 -161.9753
43.402867 90.867 -162.1809
43.739323 90.867 -162.3683
44.075779 90.871 -162.5788
44.412236 90.876 -162.8397
44.748692 90.873 -163.1398
45.085148 90.862 -163.4379
45.421605 90.844 -163.6948
45.758061 90.828 -163.9050
46.094517 90.817 -164.0993
46.430974 90.810 -164.3156
46.767430 90.801 -164.5628
47.103886 90.786 -164.8081
47.440342 90.767 -165.0016
47.776799 90.754 -165.1229
48.113255 90.755 -165.2118
48.449711 90.773 -165.3567
48.786168 90.799 -165.6397
49.122624 90.816 -166.0762
49.459080 90.807 -166.5917
49.795537 90.769 -167.0519
50.131993 90.714 -167.3296
50.468449 90.663 -167.3757
50.804906 90.639 -167.2564
51.141362 90.653 -167.1248
51.477818 90.696 -167.1389
51.814275 90.747 -167.3775
52.150731 90.784 -167.8097
52.487187 90.794 -168.3256
52.823644 90.778 -168.7993
53.160100 90.748 -169.1483
53.496556 90.718 -169.3628
53.833013 90.700 -169.4941
54.169469 90.694 -169.6136
54.505925 90.696 -169.7698
54.842382 90.700 -169.9701
55.178838 90.699 -170.1920
55.515294 90.695 -170.4081
55.851751 90.689 -170.6057
56.188207 90.683 -170.7893
56.524663 90.679 -170.9700
56.861120 90.675 -171.1533
57.197576 90.670 -171.3360
57.534032 90.664 -171.5133
57.870489 90.660 -171.6875
58.206945 90.656 -171.8693
58.543401 90.652 -172.0701
58.879858 90.646 -172.2903
59.216314 90.634 -172.5152
59.552770 90.618 -172.7216
59.889227 90.600 -172.8916
60.225683 90.585 -173.0250
60.562139 90.575 -173.1403
60.898596 90.570 -173.2644
61.235052 90.569 -173.4173
61.571508 90.567 -173.6016
61.907965 90.561 -173.8034
62.244421 90.551 -174.0004
62.580877 90.538 -174.1733
62.917334 90.524 -174.3129
63.253790 90.513 -174.4212
63.590246 90.506 -174.5089
63.926703 90.505 -174.5921
64.263159 90.507 -174.6888
64.599615 90.513 -174.8144
64.936072 90.517 -174.9769
65.272528 90.519 -175.1722
65.608984 90.514 -175.3839
65.945441 90.503 -175.5889
66.281897 90.487 -175.7687
66.618353 90.471 -175.9181
66.954810 90.457 -176.0492
67.291266 90.446 -176.1832
67.627722 90.436 -176.3371
67.964179 90.425 -176.5119
68.300635 90.411 -176.6902
68.637091 90.394 -176.8476
68.973548 90.379 -176.9704
69.310004 90.370 -177.0697
69.646460 90.371 -177.1799
69.982917 90.378 -177.3397
70.319373 90.385 -177.5646
70.655829 90.385 -177.8308
70.992285 90.374 -178.0822
71.328742 90.357 -178.2615
71.665198 90.344 -178.3479
72.001654 90.343 -178.3769
72.338111 90.357 -178.4226
72.674567 90.378 -178.5483
73.011023 90.392 -178.7586
73.347480 90.391 -178.9896
73.683936 90.375 -179.1467
74.020392 90.355 -179.1696
74.356849 90.348 -179.0829
74.693305 90.363 -178.9921
75.029761 90.391 -179.0171
75.366218 90.416 -179.2096
75.702674 90.417 -179.5141
76.039130 90.387 -179.7998
76.375587 90.335 -179.9393
76.712043 90.282 -179.8849
77.048499 90.246 -179.6963
77.384956 90.235 -179.4972
77.721412 90.240 -179.3911
78.057868 90.247 -179.4038
78.394325 90.246 -179.4904
78.730781 90.239 -179.5899
79.067237 90.230 -179.6773
79.403694 90.224 -179.7742
79.740150 90.222 -179.9163
80.076606 90.218 179.8858
80.413063 90.208 179.6561
80.749519 90.191 179.4259
81.085975 90.172 179.2026
81.422432 90.149 178.9692
81.758888 90.117 178.7229
82.095344 90.069 178.5164
82.431801 90.006 178.4557
82.768257 89.945 178.6363
83.104713 89.912 179.0489
83.441170 89.932 179.5329
83.777626 90.004 179.8388
84.114082 90.099 179.7764
84.450539 90.178 179.3296
84.786995 90.209 178.6568
85.123451 90.187 177.9940
85.459908 90.128 177.5312
85.796364 90.060 177.3280
86.132820 90.005 177.3108
86.469277 89.971 177.3552
86.805733 89.949 177.3840
87.142189 89.930 177.4026
87.478646 89.915 177.4523
87.815102 89.912 177.5378
88.151558 89.925 177.5995
88.488015 89.949 177.5604
88.824471 89.969 177.4008
89.160927 89.975 177.1883
89.497384 89.965 177.0317
89.833840 89.954 176.9940
90.170296 89.959 177.0331
90.506753 89.983 177.0278
90.843209 90.014 176.8758
91.179665 90.028 176.5815
91.516122 90.013 176.2604
91.852578 89.971 176.0586
92.189034 89.921 176.0503
92.525491 89.882 176.1899
92.861947 89.858 176.3619
93.198403 89.840 176.4922
93.534860 89.812 176.6202
93.871316 89.776 176.8616
94.207772 89.752 177.2872
94.544228 89.768 177.8125
94.880685 89.835 178.2044
95.217141 89.931 178.2260
95.553597 90.017 177.8029
95.890054 90.052 177.0737
96.226510 90.023 176.3067
96.562966 89.948 175.7526
96.899423 89.861 175.5177
97.235879 89.797 175.5222
97.572335 89.769 175.5783
97.908792 89.766 175.5314
98.245248 89.767 175.3494
98.581704 89.762 175.0989
98.918161 89.750 174.8576
99.254617 89.738 174.6486
99.591073 89.729 174.4509
99.927530 89.717 174.2617
100.263986 89.699 174.1390
100.600442 89.682 174.1657
100.936899 89.689 174.3528
101.273355 89.738 174.5663
101.609811 89.829 174.5692
101.946268 89.928 174.1751
102.282724 89.989 173.3943
102.619180 89.973 172.4580
102.955637 89.876 171.7209
103.292093 89.730 171.4938
103.628549 89.594 171.8710
103.965006 89.522 172.6486
104.301462 89.531 173.4315
104.637918 89.593 173.8858
104.974375 89.656 173.9259
105.310831 89.686 173.7001
105.647287 89.672 173.4435
105.983744 89.632 173.3240
106.320200 89.593 173.3633
106.656656 89.570 173.4637
106.993113 89.561 173.5080
107.329569 89.553 173.4502
107.666025 89.536 173.3317
108.002482 89.509 173.2288
108.338938 89.481 173.1846
108.675394 89.461 173.1795
109.011851 89.451 173.1556
109.348307 89.446 173.0709
109.684763 89.438 172.9363
110.021220 89.421 172.8072
110.357676 89.400 172.7426
110.694132 89.385 172.7598
111.030589 89.385 172.8188
111.367045 89.401 172.8450
111.703501 89.425 172.7766
112.039958 89.446 172.6029
112.376414 89.452 172.3708
112.712870 89.441 172.1590
113.049327 89.419 172.0352
113.385783 89.396 172.0214
113.722239 89.383 172.0831
114.058696 89.382 172.1528
114.395152 89.388 172.1725
114.731608 89.394 172.1272
115.068065 89.392 172.0466
115.404521 89.382 171.9778
115.740977 89.368 171.9469
116.077434 89.358 171.9406
116.413890 89.351 171.9212
116.750346 89.344 171.8643
117.086803 89.331 171.7871
117.423259 89.309 171.7419
117.759715 89.288 171.7734
118.096171 89.278 171.8712
118.432628 89.288 171.9562
118.769084 89.314 171.9231
119.105540 89.338 171.7128
119.441997 89.343 171.3635
119.778453 89.316 171.0000
120.114909 89.264 170.7707
120.451366 89.205 170.7644
120.787822 89.164 170.9546
121.124278 89.156 171.2119
121.460735 89.176 171.3829
121.797191 89.207 171.3820
122.133647 89.229 171.2297
122.470104 89.231 171.0216
122.806560 89.217 170.8591
123.143016 89.197 170.7902
123.479473 89.183 170.7926
123.815929 89.178 170.8040
124.152385 89.179 170.7738
124.488842 89.176 170.6971
124.825298 89.165 170.6105
125.161754 89.149 170.5593
125.498211 89.134 170.5629
125.834667 89.124 170.6028
126.171123 89.123 170.6373
126.507580 89.126 170.6315
126.844036 89.129 170.5772
127.180492 89.126 170.4941
127.516949 89.119 170.4121
127.853405 89.108 170.3514
128.189861 89.097 170.3133
128.526318 89.089 170.2834
128.862774 89.083 170.2454
129.199230 89.078 170.1907
129.535687 89.071 170.1231
129.872143 89.062 170.0536
130.208599 89.050 169.9952
130.545056 89.037 169.9575
130.881512 89.024 169.9451
131.217968 89.015 169.9553
131.554425 89.011 169.9763
131.890881 89.012 169.9865
132.227337 89.019 169.9609
132.563794 89.025 169.8836
132.900250 89.027 169.7600
133.236706 89.019 169.6203
133.573163 89.002 169.5090
133.909619 88.981 169.4617
134.246075 88.962 169.4839
134.582532 88.953 169.5439
134.918988 88.954 169.5894
135.255444 88.960 169.5783
135.591901 88.964 169.5049
135.928357 88.960 169.4018
136.264813 88.947 169.3189
136.601270 88.929 169.2910
136.937726 88.916 169.3169
137.274182 88.910 169.3620
137.610639 88.912 169.3837
137.947095 88.915 169.3590
138.283551 88.916 169.2962
138.620008 88.912 169.2229
138.956464 88.904 169.1627
139.292920 88.896 169.1187
139.629377 88.889 169.0756
139.965833 88.883 169.0173
140.302289 88.874 168.9451
140.638746 88.859 168.8806
140.975202 88.842 168.8517
141.311658 88.826 168.8708
141.648115 88.816 168.9237
141.984571 88.816 168.9757
142.321027 88.822 168.9915
142.657483 88.831 168.9540
142.993940 88.837 168.8700
143.330396 88.838 168.7599
143.666852 88.834 168.6437
144.003309 88.826 168.5336
144.339765 88.814 168.4368
144.676221 88.797 168.3640
145.012678 88.778 168.3329
145.349134 88.759 168.3592
145.685590 88.746 168.4413
146.022047 88.744 168.5495
146.358503 88.754 168.6322
146.694959 88.771 168.6411
147.031416 88.785 168.5604
147.367872 88.787 168.4216
147.704328 88.774 168.2919
148.040785 88.749 168.2394
148.377241 88.724 168.2938
148.713697 88.710 168.4246
149.050154 88.710 168.5555
149.386610 88.721 168.6118
149.723066 88.729 168.5682
150.059523 88.724 168.4675
150.395979 88.704 168.3914
150.732435 88.677 168.4049
151.068892 88.657 168.5054
151.405348 88.653 168.6158
151.741804 88.660 168.6348
152.078261 88.665 168.5127
152.414717 88.648 168.2992
152.751173 88.603 168.1262
153.087630 88.542 168.1331
153.424086 88.488 168.3745
153.760542 88.468 168.7651
154.096999 88.491 169.1137
154.433455 88.543 169.2349
154.769911 88.596 169.0615
155.106368 88.621 168.6760
155.442824 88.607 168.2548
155.779280 88.564 167.9692
