* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Jun 13, 2026 2:38:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aria 2 R3
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 90.694 -128.0276
20.187380 90.720 -128.8867
20.523836 90.746 -129.7141
20.860293 90.770 -130.4994
21.196749 90.795 -131.2460
21.533205 90.824 -131.9725
21.869662 90.855 -132.7044
22.206118 90.886 -133.4591
22.542574 90.911 -134.2330
22.879030 90.929 -135.0011
23.215487 90.938 -135.7299
23.551943 90.945 -136.3977
23.888399 90.953 -137.0102
24.224856 90.968 -137.5997
24.561312 90.987 -138.2059
24.897768 91.005 -138.8496
25.234225 91.019 -139.5175
25.570681 91.026 -140.1693
25.907137 91.028 -140.7652
26.243594 91.030 -141.2947
26.580050 91.039 -141.7884
26.916506 91.057 -142.2991
27.252963 91.077 -142.8653
27.589419 91.092 -143.4818
27.925875 91.095 -144.1019
28.262332 91.091 -144.6707
28.598788 91.088 -145.1665
28.935244 91.093 -145.6199
29.271701 91.107 -146.0919
29.608157 91.123 -146.6233
29.944613 91.130 -147.1954
30.281070 91.126 -147.7359
30.617526 91.118 -148.1707
30.953982 91.120 -148.4906
31.290439 91.147 -148.7819
31.626895 91.198 -149.1862
31.963351 91.256 -149.8088
32.299808 91.292 -150.6395
32.636264 91.286 -151.5431
32.972720 91.237 -152.3205
33.309177 91.163 -152.8082
33.645633 91.097 -152.9677
33.982089 91.066 -152.9127
34.318546 91.079 -152.8452
34.655002 91.120 -152.9360
34.991458 91.166 -153.2376
35.327915 91.196 -153.6843
35.664371 91.204 -154.1592
36.000827 91.196 -154.5717
36.337284 91.184 -154.8983
36.673740 91.176 -155.1728
37.010196 91.173 -155.4410
37.346653 91.169 -155.7205
37.683109 91.162 -155.9930
38.019565 91.153 -156.2296
38.356022 91.149 -156.4226
38.692478 91.153 -156.5983
39.028934 91.166 -156.8018
39.365391 91.184 -157.0678
39.701847 91.200 -157.4004
40.038303 91.209 -157.7747
40.374760 91.211 -158.1541
40.711216 91.208 -158.5099
41.047672 91.202 -158.8307
41.384129 91.196 -159.1205
41.720585 91.193 -159.3906
42.057041 91.192 -159.6523
42.393498 91.192 -159.9135
42.729954 91.194 -160.1785
43.066410 91.195 -160.4469
43.402867 91.196 -160.7135
43.739323 91.195 -160.9712
44.075779 91.195 -161.2162
44.412236 91.197 -161.4526
44.748692 91.201 -161.6927
45.085148 91.206 -161.9502
45.421605 91.210 -162.2309
45.758061 91.210 -162.5269
46.094517 91.205 -162.8196
46.430974 91.195 -163.0873
46.767430 91.184 -163.3159
47.103886 91.174 -163.5045
47.440342 91.168 -163.6655
47.776799 91.170 -163.8199
48.113255 91.177 -163.9917
48.449711 91.189 -164.2027
48.786168 91.201 -164.4664
49.122624 91.210 -164.7824
49.459080 91.210 -165.1328
49.795537 91.199 -165.4844
50.131993 91.180 -165.7975
50.468449 91.155 -166.0420
50.804906 91.132 -166.2103
51.141362 91.117 -166.3230
51.477818 91.111 -166.4209
51.814275 91.114 -166.5468
52.150731 91.121 -166.7267
52.487187 91.125 -166.9592
52.823644 91.121 -167.2187
53.160100 91.110 -167.4685
53.496556 91.094 -167.6781
53.833013 91.077 -167.8361
54.169469 91.065 -167.9542
54.505925 91.060 -168.0604
54.842382 91.061 -168.1850
55.178838 91.065 -168.3469
55.515294 91.068 -168.5464
55.851751 91.068 -168.7690
56.188207 91.064 -168.9945
56.524663 91.056 -169.2081
56.861120 91.048 -169.4054
57.197576 91.041 -169.5909
57.534032 91.034 -169.7713
57.870489 91.028 -169.9498
58.206945 91.022 -170.1248
58.543401 91.015 -170.2921
58.879858 91.010 -170.4491
59.216314 91.006 -170.5965
59.552770 91.003 -170.7383
59.889227 91.004 -170.8807
60.225683 91.006 -171.0314
60.562139 91.010 -171.1994
60.898596 91.013 -171.3912
61.235052 91.014 -171.6072
61.571508 91.011 -171.8370
61.907965 91.001 -172.0612
62.244421 90.986 -172.2587
62.580877 90.969 -172.4168
62.917334 90.954 -172.5375
63.253790 90.943 -172.6351
63.590246 90.936 -172.7266
63.926703 90.933 -172.8225
64.263159 90.932 -172.9252
64.599615 90.934 -173.0352
64.936072 90.938 -173.1595
65.272528 90.946 -173.3129
65.608984 90.954 -173.5090
65.945441 90.959 -173.7477
66.281897 90.956 -174.0085
66.618353 90.945 -174.2579
66.954810 90.928 -174.4660
67.291266 90.911 -174.6217
67.627722 90.897 -174.7371
67.964179 90.888 -174.8365
68.300635 90.882 -174.9391
68.637091 90.877 -175.0481
68.973548 90.871 -175.1527
69.310004 90.865 -175.2411
69.646460 90.861 -175.3126
69.982917 90.860 -175.3808
70.319373 90.862 -175.4635
70.655829 90.864 -175.5693
70.992285 90.862 -175.6904
71.328742 90.856 -175.8067
71.665198 90.847 -175.9001
72.001654 90.840 -175.9684
72.338111 90.837 -176.0308
72.674567 90.838 -176.1192
73.011023 90.839 -176.2585
73.347480 90.833 -176.4473
73.683936 90.816 -176.6488
74.020392 90.787 -176.8018
74.356849 90.752 -176.8487
74.693305 90.725 -176.7728
75.029761 90.720 -176.6238
75.366218 90.741 -176.5099
75.702674 90.783 -176.5499
76.039130 90.826 -176.8079
76.375587 90.848 -177.2503
76.712043 90.836 -177.7524
77.048499 90.791 -178.1511
77.384956 90.730 -178.3228
77.721412 90.681 -178.2520
78.057868 90.663 -178.0484
78.394325 90.681 -177.8888
78.730781 90.720 -177.9121
79.067237 90.755 -178.1433
79.403694 90.767 -178.4940
79.740150 90.752 -178.8295
80.076606 90.723 -179.0531
80.413063 90.695 -179.1562
80.749519 90.678 -179.2063
81.085975 90.670 -179.2819
81.422432 90.659 -179.4064
81.758888 90.639 -179.5354
82.095344 90.613 -179.6021
82.431801 90.590 -179.5825
82.768257 90.582 -179.5257
83.104713 90.589 -179.5206
83.441170 90.600 -179.6238
83.777626 90.603 -179.8130
84.114082 90.592 179.9937
84.450539 90.576 179.8658
84.786995 90.568 179.7955
85.123451 90.574 179.6957
85.459908 90.587 179.4771
85.796364 90.586 179.1398
86.132820 90.560 178.8005
86.469277 90.514 178.6220
86.805733 90.478 178.6825
87.142189 90.483 178.8757
87.478646 90.537 178.9414
87.815102 90.614 178.6366
88.151558 90.666 177.9164
88.488015 90.650 176.9851
88.824471 90.554 176.2011
89.160927 90.408 175.8997
89.497384 90.272 176.2053
89.833840 90.201 176.9305
90.170296 90.217 177.6739
90.506753 90.290 178.0849
90.843209 90.368 178.0721
91.179665 90.409 177.7977
91.516122 90.407 177.5197
91.852578 90.380 177.4202
92.189034 90.357 177.5137
92.525491 90.356 177.6780
92.861947 90.371 177.7745
93.198403 90.385 177.7570
93.534860 90.386 177.6850
93.871316 90.375 177.6496
94.207772 90.363 177.6832
94.544228 90.362 177.7286
94.880685 90.368 177.6904
95.217141 90.368 177.5253
95.553597 90.344 177.2939
95.890054 90.294 177.1320
96.226510 90.233 177.1616
96.562966 90.188 177.3956
96.899423 90.180 177.7063
97.235879 90.210 177.8923
97.572335 90.258 177.8052
97.908792 90.293 177.4405
98.245248 90.292 176.9333
98.581704 90.256 176.4753
98.918161 90.200 176.2085
99.254617 90.153 176.1503
99.591073 90.133 176.1942
99.927530 90.141 176.1917
100.263986 90.160 176.0546
100.600442 90.174 175.8031
100.936899 90.173 175.5286
101.273355 90.163 175.3134
101.609811 90.155 175.1703
101.946268 90.152 175.0511
102.282724 90.148 174.9132
102.619180 90.133 174.7856
102.955637 90.104 174.7654
103.292093 90.075 174.9359
103.628549 90.069 175.2641
103.965006 90.100 175.5751
104.301462 90.151 175.6606
104.637918 90.182 175.4540
104.974375 90.155 175.1298
105.310831 90.061 175.0468
105.647287 89.939 175.5509
105.983744 89.869 176.7067
106.320200 89.921 178.1255
106.656656 90.103 179.1312
106.993113 90.343 179.2100
107.329569 90.540 178.3199
107.666025 90.618 176.8414
108.002482 90.555 175.3439
108.338938 90.386 174.3455
108.675394 90.182 174.1097
109.011851 90.024 174.5217
109.348307 89.954 175.1644
109.684763 89.956 175.6055
110.021220 89.981 175.6682
110.357676 89.985 175.4661
110.694132 89.957 175.2407
111.030589 89.917 175.1645
111.367045 89.893 175.2315
111.703501 89.899 175.2861
112.039958 89.922 175.1636
112.376414 89.933 174.8281
112.712870 89.905 174.4117
113.049327 89.835 174.1464
113.385783 89.745 174.2394
113.722239 89.678 174.7461
114.058696 89.673 175.5022
114.395152 89.745 176.1798
114.731608 89.869 176.4604
115.068065 89.995 176.2081
115.404521 90.073 175.5277
115.740977 90.074 174.7036
116.077434 90.002 174.0720
116.413890 89.895 173.8727
116.750346 89.805 174.1201
117.086803 89.773 174.5730
117.423259 89.799 174.8731
117.759715 89.845 174.7828
118.096171 89.858 174.3341
118.432628 89.809 173.7953
118.769084 89.704 173.5093
119.105540 89.588 173.6916
119.441997 89.519 174.2803
119.778453 89.529 174.9475
120.114909 89.605 175.3110
120.451366 89.696 175.1868
120.787822 89.753 174.6747
121.124278 89.751 174.0563
121.460735 89.701 173.6172
121.797191 89.638 173.4977
122.133647 89.598 173.6353
122.470104 89.596 173.8342
122.806560 89.621 173.9157
123.143016 89.647 173.8315
123.479473 89.656 173.6635
123.815929 89.646 173.5363
124.152385 89.630 173.5211
124.488842 89.623 173.5944
124.825298 89.628 173.6728
125.161754 89.639 173.6879
125.498211 89.645 173.6382
125.834667 89.638 173.5818
126.171123 89.623 173.5836
126.507580 89.610 173.6614
126.844036 89.607 173.7713
127.180492 89.616 173.8392
127.516949 89.627 173.8149
127.853405 89.632 173.7045
128.189861 89.623 173.5622
128.526318 89.602 173.4525
128.862774 89.577 173.4114
129.199230 89.557 173.4311
129.535687 89.547 173.4727
129.872143 89.544 173.4955
130.208599 89.546 173.4794
130.545056 89.549 173.4284
130.881512 89.551 173.3582
131.217968 89.552 173.2813
131.554425 89.553 173.2013
131.890881 89.554 173.1165
132.227337 89.553 173.0276
132.563794 89.551 172.9406
132.900250 89.547 172.8627
133.236706 89.542 172.7971
133.573163 89.537 172.7409
133.909619 89.529 172.6904
134.246075 89.519 172.6483
134.582532 89.506 172.6266
134.918988 89.491 172.6412
135.255444 89.477 172.7000
135.591901 89.468 172.7928
135.928357 89.467 172.8908
136.264813 89.474 172.9575
136.601270 89.483 172.9672
136.937726 89.490 172.9184
137.274182 89.489 172.8350
137.610639 89.481 172.7533
137.947095 89.469 172.7031
138.283551 89.457 172.6913
138.620008 89.450 172.6998
138.956464 89.449 172.6973
139.292920 89.451 172.6598
139.629377 89.452 172.5857
139.965833 89.448 172.4965
140.302289 89.440 172.4222
140.638746 89.431 172.3809
140.975202 89.426 172.3661
141.311658 89.427 172.3512
141.648115 89.430 172.3102
141.984571 89.432 172.2393
142.321027 89.427 172.1635
142.657483 89.418 172.1213
142.993940 89.409 172.1356
143.330396 89.407 172.1913
143.666852 89.416 172.2375
144.003309 89.431 172.2196
144.339765 89.441 172.1185
144.676221 89.439 171.9712
145.012678 89.420 171.8538
145.349134 89.393 171.8357
145.685590 89.369 171.9329
146.022047 89.360 172.0918
146.358503 89.367 172.2202
146.694959 89.383 172.2486
147.031416 89.391 172.1765
147.367872 89.385 172.0699
147.704328 89.366 172.0145
148.040785 89.345 172.0549
148.377241 89.334 172.1637
148.713697 89.339 172.2614
149.050154 89.352 172.2758
149.386610 89.363 172.1923
149.723066 89.362 172.0585
150.059523 89.350 171.9422
150.395979 89.334 171.8777
150.732435 89.323 171.8434
151.068892 89.315 171.7891
151.405348 89.304 171.6916
151.741804 89.281 171.5901
152.078261 89.247 171.5682
152.414717 89.214 171.6905
152.751173 89.199 171.9379
153.087630 89.214 172.1970
153.424086 89.254 172.3239
153.760542 89.299 172.2407
154.096999 89.325 171.9902
154.433455 89.322 171.7092
154.769911 89.297 171.5438
155.106368 89.270 171.5586
155.442824 89.261 171.6959
