* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 8, 2026 5:17:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Blessing 3 Aqua L4
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 97.370 20.3093
20.187380 97.325 19.5955
20.523836 97.285 18.9902
20.860293 97.256 18.4676
21.196749 97.244 17.9568
21.533205 97.247 17.3741
21.869662 97.253 16.6685
22.206118 97.247 15.8516
22.542574 97.220 14.9966
22.879030 97.171 14.2052
23.215487 97.110 13.5587
23.551943 97.053 13.0771
23.888399 97.014 12.7078
24.224856 96.997 12.3523
24.561312 96.996 11.9195
24.897768 97.000 11.3705
25.234225 96.998 10.7303
25.570681 96.984 10.0646
25.907137 96.957 9.4374
26.243594 96.924 8.8794
26.580050 96.893 8.3787
26.916506 96.865 7.9005
27.252963 96.838 7.4188
27.589419 96.808 6.9363
27.925875 96.774 6.4803
28.262332 96.737 6.0760
28.598788 96.706 5.7209
28.935244 96.683 5.3786
29.271701 96.667 5.0001
29.608157 96.652 4.5601
29.944613 96.629 4.0769
30.281070 96.596 3.6042
30.617526 96.557 3.1936
30.953982 96.521 2.8550
31.290439 96.497 2.5433
31.626895 96.486 2.1844
31.963351 96.479 1.7264
32.299808 96.461 1.1811
32.636264 96.422 0.6240
32.972720 96.366 0.1554
33.309177 96.303 -0.1576
33.645633 96.251 -0.3209
33.982089 96.219 -0.4120
34.318546 96.209 -0.5328
34.655002 96.209 -0.7512
34.991458 96.208 -1.0693
35.327915 96.196 -1.4375
35.664371 96.174 -1.7949
36.000827 96.146 -2.1085
36.337284 96.119 -2.3835
36.673740 96.094 -2.6467
37.010196 96.069 -2.9171
37.346653 96.041 -3.1895
37.683109 96.009 -3.4418
38.019565 95.976 -3.6575
38.356022 95.946 -3.8422
38.692478 95.921 -4.0233
39.028934 95.900 -4.2288
39.365391 95.877 -4.4671
39.701847 95.849 -4.7203
40.038303 95.816 -4.9584
40.374760 95.783 -5.1613
40.711216 95.753 -5.3339
41.047672 95.728 -5.5009
41.384129 95.706 -5.6881
41.720585 95.684 -5.9031
42.057041 95.659 -6.1310
42.393498 95.631 -6.3479
42.729954 95.601 -6.5403
43.066410 95.575 -6.7154
43.402867 95.552 -6.8943
43.739323 95.529 -7.0928
44.075779 95.504 -7.3053
44.412236 95.475 -7.5062
44.748692 95.444 -7.6689
45.085148 95.416 -7.7894
45.421605 95.398 -7.8967
45.758061 95.387 -8.0386
46.094517 95.378 -8.2505
46.430974 95.362 -8.5267
46.767430 95.334 -8.8182
47.103886 95.293 -9.0570
47.440342 95.249 -9.1971
47.776799 95.213 -9.2461
48.113255 95.193 -9.2657
48.449711 95.188 -9.3376
48.786168 95.187 -9.5148
49.122624 95.180 -9.7900
49.459080 95.157 -10.1025
49.795537 95.119 -10.3738
50.131993 95.075 -10.5520
50.468449 95.037 -10.6387
50.804906 95.011 -10.6830
51.141362 94.996 -10.7487
51.477818 94.987 -10.8756
51.814275 94.975 -11.0612
52.150731 94.956 -11.2699
52.487187 94.929 -11.4608
52.823644 94.900 -11.6116
53.160100 94.874 -11.7281
53.496556 94.851 -11.8337
53.833013 94.832 -11.9506
54.169469 94.813 -12.0857
54.505925 94.791 -12.2297
54.842382 94.767 -12.3674
55.178838 94.742 -12.4891
55.515294 94.718 -12.5966
55.851751 94.695 -12.7000
56.188207 94.674 -12.8099
56.524663 94.653 -12.9297
56.861120 94.629 -13.0542
57.197576 94.604 -13.1728
57.534032 94.578 -13.2770
57.870489 94.552 -13.3645
58.206945 94.527 -13.4408
58.543401 94.506 -13.5157
58.879858 94.486 -13.5981
59.216314 94.466 -13.6920
59.552770 94.446 -13.7944
59.889227 94.424 -13.8990
60.225683 94.401 -13.9993
60.562139 94.379 -14.0924
60.898596 94.356 -14.1800
61.235052 94.334 -14.2660
61.571508 94.313 -14.3534
61.907965 94.291 -14.4421
62.244421 94.269 -14.5299
62.580877 94.247 -14.6145
62.917334 94.224 -14.6954
63.253790 94.203 -14.7739
63.590246 94.182 -14.8512
63.926703 94.160 -14.9265
64.263159 94.139 -14.9976
64.599615 94.118 -15.0629
64.936072 94.098 -15.1238
65.272528 94.079 -15.1852
65.608984 94.061 -15.2531
65.945441 94.043 -15.3299
66.281897 94.024 -15.4135
66.618353 94.003 -15.4974
66.954810 93.981 -15.5744
67.291266 93.959 -15.6405
67.627722 93.938 -15.6962
67.964179 93.918 -15.7454
68.300635 93.899 -15.7938
68.637091 93.881 -15.8459
68.973548 93.864 -15.9045
69.310004 93.847 -15.9702
69.646460 93.829 -16.0406
69.982917 93.809 -16.1108
70.319373 93.788 -16.1737
70.655829 93.766 -16.2233
70.992285 93.746 -16.2583
71.328742 93.727 -16.2842
71.665198 93.710 -16.3115
72.001654 93.695 -16.3503
72.338111 93.680 -16.4044
72.674567 93.663 -16.4694
73.011023 93.645 -16.5353
73.347480 93.624 -16.5928
73.683936 93.604 -16.6390
74.020392 93.584 -16.6781
74.356849 93.565 -16.7175
74.693305 93.547 -16.7620
75.029761 93.528 -16.8104
75.366218 93.508 -16.8572
75.702674 93.487 -16.8967
76.039130 93.467 -16.9276
76.375587 93.448 -16.9539
76.712043 93.430 -16.9819
77.048499 93.412 -17.0160
77.384956 93.395 -17.0560
77.721412 93.377 -17.0980
78.057868 93.358 -17.1370
78.394325 93.339 -17.1698
78.730781 93.320 -17.1967
79.067237 93.302 -17.2200
79.403694 93.285 -17.2438
79.740150 93.269 -17.2721
80.076606 93.253 -17.3074
80.413063 93.238 -17.3493
80.749519 93.220 -17.3938
81.085975 93.202 -17.4337
81.422432 93.182 -17.4620
81.758888 93.163 -17.4760
82.095344 93.146 -17.4803
82.431801 93.131 -17.4855
82.768257 93.119 -17.5024
83.104713 93.106 -17.5359
83.441170 93.093 -17.5821
83.777626 93.077 -17.6314
84.114082 93.059 -17.6754
84.450539 93.041 -17.7117
84.786995 93.024 -17.7446
85.123451 93.006 -17.7789
85.459908 92.987 -17.8147
85.796364 92.967 -17.8447
86.132820 92.946 -17.8594
86.469277 92.925 -17.8542
86.805733 92.907 -17.8346
87.142189 92.892 -17.8133
87.478646 92.881 -17.8035
87.815102 92.870 -17.8115
88.151558 92.858 -17.8353
88.488015 92.846 -17.8682
88.824471 92.831 -17.9046
89.160927 92.816 -17.9427
89.497384 92.799 -17.9810
89.833840 92.780 -18.0143
90.170296 92.758 -18.0327
90.506753 92.737 -18.0267
90.843209 92.717 -17.9947
91.179665 92.701 -17.9479
91.516122 92.690 -17.9060
91.852578 92.683 -17.8871
92.189034 92.675 -17.8976
92.525491 92.665 -17.9292
92.861947 92.652 -17.9650
93.198403 92.636 -17.9899
93.534860 92.620 -17.9984
93.871316 92.604 -17.9952
94.207772 92.591 -17.9896
94.544228 92.578 -17.9894
94.880685 92.566 -17.9970
95.217141 92.553 -18.0111
95.553597 92.539 -18.0292
95.890054 92.524 -18.0485
96.226510 92.508 -18.0651
96.562966 92.490 -18.0737
96.899423 92.473 -18.0694
97.235879 92.456 -18.0520
97.572335 92.442 -18.0286
97.908792 92.430 -18.0115
98.245248 92.419 -18.0112
98.581704 92.407 -18.0289
98.918161 92.392 -18.0544
99.254617 92.375 -18.0708
99.591073 92.356 -18.0654
99.927530 92.339 -18.0378
100.263986 92.325 -18.0000
100.600442 92.315 -17.9701
100.936899 92.306 -17.9606
101.273355 92.297 -17.9723
101.609811 92.285 -17.9948
101.946268 92.271 -18.0135
102.282724 92.255 -18.0191
102.619180 92.240 -18.0107
102.955637 92.226 -17.9948
103.292093 92.214 -17.9799
103.628549 92.203 -17.9713
103.965006 92.191 -17.9692
104.301462 92.179 -17.9702
104.637918 92.166 -17.9703
104.974375 92.153 -17.9672
105.310831 92.139 -17.9604
105.647287 92.126 -17.9507
105.983744 92.113 -17.9395
106.320200 92.100 -17.9276
106.656656 92.088 -17.9160
106.993113 92.075 -17.9055
107.329569 92.063 -17.8965
107.666025 92.050 -17.8883
108.002482 92.037 -17.8798
108.338938 92.024 -17.8696
108.675394 92.012 -17.8572
109.011851 91.999 -17.8434
109.348307 91.987 -17.8298
109.684763 91.975 -17.8185
110.021220 91.964 -17.8104
110.357676 91.952 -17.8048
110.694132 91.939 -17.7997
111.030589 91.926 -17.7922
111.367045 91.912 -17.7798
111.703501 91.899 -17.7618
112.039958 91.886 -17.7399
112.376414 91.875 -17.7173
112.712870 91.864 -17.6974
113.049327 91.853 -17.6825
113.385783 91.842 -17.6722
113.722239 91.830 -17.6644
114.058696 91.818 -17.6559
114.395152 91.805 -17.6442
114.731608 91.792 -17.6287
115.068065 91.780 -17.6106
115.404521 91.768 -17.5914
115.740977 91.756 -17.5724
116.077434 91.744 -17.5538
116.413890 91.733 -17.5356
116.750346 91.721 -17.5176
117.086803 91.710 -17.4996
117.423259 91.699 -17.4813
117.759715 91.688 -17.4627
118.096171 91.678 -17.4440
118.432628 91.668 -17.4269
118.769084 91.659 -17.4138
119.105540 91.649 -17.4067
119.441997 91.638 -17.4044
119.778453 91.626 -17.4016
120.114909 91.613 -17.3901
120.451366 91.599 -17.3636
120.787822 91.587 -17.3229
121.124278 91.577 -17.2773
121.460735 91.571 -17.2421
121.797191 91.565 -17.2289
122.133647 91.557 -17.2379
122.470104 91.545 -17.2565
122.806560 91.530 -17.2645
123.143016 91.512 -17.2462
123.479473 91.496 -17.2006
123.815929 91.484 -17.1433
124.152385 91.476 -17.0974
124.488842 91.469 -17.0795
124.825298 91.460 -17.0888
125.161754 91.448 -17.1073
125.498211 91.432 -17.1097
125.834667 91.414 -17.0789
126.171123 91.399 -17.0160
126.507580 91.389 -16.9395
126.844036 91.384 -16.8745
127.180492 91.382 -16.8380
127.516949 91.379 -16.8307
127.853405 91.374 -16.8391
128.189861 91.365 -16.8453
128.526318 91.355 -16.8380
128.862774 91.346 -16.8171
129.199230 91.337 -16.7914
129.535687 91.330 -16.7692
129.872143 91.323 -16.7529
130.208599 91.314 -16.7378
130.545056 91.305 -16.7166
130.881512 91.296 -16.6863
131.217968 91.287 -16.6506
131.554425 91.279 -16.6167
131.890881 91.272 -16.5891
132.227337 91.263 -16.5659
132.563794 91.253 -16.5399
132.900250 91.242 -16.5046
133.236706 91.233 -16.4607
133.573163 91.224 -16.4158
133.909619 91.217 -16.3802
134.246075 91.210 -16.3588
134.582532 91.201 -16.3464
134.918988 91.189 -16.3308
135.255444 91.176 -16.3011
135.591901 91.165 -16.2553
135.928357 91.156 -16.2024
136.264813 91.149 -16.1565
136.601270 91.145 -16.1281
136.937726 91.139 -16.1174
137.274182 91.132 -16.1151
137.610639 91.122 -16.1089
137.947095 91.111 -16.0903
138.283551 91.100 -16.0580
138.620008 91.091 -16.0161
138.956464 91.082 -15.9701
139.292920 91.075 -15.9241
139.629377 91.069 -15.8804
139.965833 91.062 -15.8410
140.302289 91.056 -15.8068
140.638746 91.048 -15.7762
140.975202 91.039 -15.7446
141.311658 91.028 -15.7064
141.648115 91.018 -15.6592
141.984571 91.007 -15.6070
142.321027 90.998 -15.5586
142.657483 90.989 -15.5206
142.993940 90.977 -15.4915
143.330396 90.963 -15.4603
143.666852 90.947 -15.4138
144.003309 90.932 -15.3471
144.339765 90.921 -15.2690
144.676221 90.913 -15.1984
145.012678 90.909 -15.1529
145.349134 90.904 -15.1387
145.685590 90.897 -15.1484
146.022047 90.888 -15.1691
146.358503 90.875 -15.1913
146.694959 90.861 -15.2131
147.031416 90.844 -15.2333
147.367872 90.823 -15.2421
147.704328 90.798 -15.2178
148.040785 90.771 -15.1357
148.377241 90.749 -14.9855
148.713697 90.736 -14.7847
149.050154 90.736 -14.5768
149.386610 90.748 -14.4117
149.723066 90.765 -14.3208
150.059523 90.779 -14.3024
150.395979 90.785 -14.3257
150.732435 90.782 -14.3500
151.068892 90.772 -14.3445
151.405348 90.760 -14.2991
