* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 8, 2026 5:13:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Blessing 3 Aqua R4
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 97.018 11.9341
20.187380 96.994 11.1111
20.523836 96.954 10.2460
20.860293 96.893 9.4414
21.196749 96.819 8.7966
21.533205 96.751 8.3398
21.869662 96.707 7.9960
22.206118 96.692 7.6212
22.542574 96.692 7.0922
22.879030 96.685 6.3858
23.215487 96.652 5.5939
23.551943 96.591 4.8679
23.888399 96.514 4.3291
24.224856 96.447 3.9956
24.561312 96.407 3.7690
24.897768 96.395 3.4972
25.234225 96.402 3.0701
25.570681 96.404 2.4802
25.907137 96.384 1.8123
26.243594 96.343 1.1809
26.580050 96.290 0.6627
26.916506 96.240 0.2614
27.252963 96.200 -0.0801
27.589419 96.171 -0.4314
27.925875 96.145 -0.8300
28.262332 96.115 -1.2656
28.598788 96.077 -1.6995
28.935244 96.034 -2.0955
29.271701 95.991 -2.4424
29.608157 95.951 -2.7555
29.944613 95.917 -3.0630
30.281070 95.886 -3.3890
30.617526 95.855 -3.7434
30.953982 95.820 -4.1196
31.290439 95.779 -4.4980
31.626895 95.733 -4.8519
31.963351 95.686 -5.1564
32.299808 95.640 -5.4003
32.636264 95.601 -5.5963
32.972720 95.573 -5.7820
33.309177 95.554 -6.0042
33.645633 95.539 -6.2959
33.982089 95.520 -6.6569
34.318546 95.491 -7.0529
34.655002 95.452 -7.4340
34.991458 95.406 -7.7614
35.327915 95.361 -8.0264
35.664371 95.320 -8.2504
36.000827 95.287 -8.4678
36.337284 95.256 -8.7021
36.673740 95.226 -8.9556
37.010196 95.194 -9.2129
37.346653 95.160 -9.4580
37.683109 95.126 -9.6863
38.019565 95.095 -9.9062
38.356022 95.064 -10.1301
38.692478 95.034 -10.3624
39.028934 95.002 -10.5968
39.365391 94.967 -10.8213
39.701847 94.932 -11.0281
40.038303 94.898 -11.2196
40.374760 94.868 -11.4052
40.711216 94.838 -11.5936
41.047672 94.808 -11.7862
41.384129 94.777 -11.9775
41.720585 94.745 -12.1614
42.057041 94.713 -12.3378
42.393498 94.683 -12.5134
42.729954 94.652 -12.6956
43.066410 94.620 -12.8844
43.402867 94.586 -13.0696
43.739323 94.550 -13.2362
44.075779 94.514 -13.3763
44.412236 94.482 -13.4971
44.748692 94.454 -13.6186
45.085148 94.430 -13.7625
45.421605 94.406 -13.9361
45.758061 94.378 -14.1273
46.094517 94.346 -14.3122
46.430974 94.313 -14.4725
46.767430 94.282 -14.6105
47.103886 94.255 -14.7487
47.440342 94.230 -14.9132
47.776799 94.203 -15.1118
48.113255 94.168 -15.3226
48.449711 94.125 -15.5038
48.786168 94.078 -15.6187
49.122624 94.035 -15.6609
49.459080 94.001 -15.6624
49.795537 93.979 -15.6752
50.131993 93.964 -15.7412
50.468449 93.948 -15.8683
50.804906 93.926 -16.0299
51.141362 93.897 -16.1861
51.477818 93.864 -16.3096
51.814275 93.833 -16.3997
52.150731 93.805 -16.4767
52.487187 93.780 -16.5634
52.823644 93.756 -16.6677
53.160100 93.730 -16.7819
53.496556 93.702 -16.8917
53.833013 93.674 -16.9910
54.169469 93.648 -17.0845
54.505925 93.622 -17.1824
54.842382 93.597 -17.2888
55.178838 93.570 -17.3981
55.515294 93.542 -17.4991
55.851751 93.513 -17.5866
56.188207 93.486 -17.6658
56.524663 93.461 -17.7495
56.861120 93.436 -17.8464
57.197576 93.409 -17.9526
57.534032 93.377 -18.0510
57.870489 93.343 -18.1215
58.206945 93.309 -18.1547
58.543401 93.279 -18.1591
58.879858 93.256 -18.1587
59.216314 93.236 -18.1801
59.552770 93.218 -18.2373
59.889227 93.196 -18.3230
60.225683 93.169 -18.4120
60.562139 93.136 -18.4738
60.898596 93.103 -18.4906
61.235052 93.075 -18.4689
61.571508 93.054 -18.4394
61.907965 93.039 -18.4398
62.244421 93.026 -18.4918
62.580877 93.008 -18.5851
62.917334 92.982 -18.6804
63.253790 92.951 -18.7329
63.590246 92.921 -18.7224
63.926703 92.901 -18.6722
64.263159 92.893 -18.6409
64.599615 92.892 -18.6890
64.936072 92.890 -18.8423
65.272528 92.875 -19.0737
65.608984 92.841 -19.3161
65.945441 92.792 -19.4955
66.281897 92.736 -19.5657
66.618353 92.684 -19.5265
66.954810 92.643 -19.4187
67.291266 92.617 -19.3011
67.627722 92.603 -19.2257
67.964179 92.593 -19.2209
68.300635 92.583 -19.2875
68.637091 92.565 -19.3998
68.973548 92.539 -19.5151
69.310004 92.506 -19.5905
69.646460 92.475 -19.6057
69.982917 92.453 -19.5840
70.319373 92.444 -19.5881
70.655829 92.443 -19.6854
70.992285 92.435 -19.8965
71.328742 92.407 -20.1638
71.665198 92.356 -20.3684
72.001654 92.293 -20.3939
72.338111 92.242 -20.2081
72.674567 92.224 -19.9080
73.011023 92.244 -19.6785
73.347480 92.285 -19.6804
73.683936 92.316 -19.9444
74.020392 92.312 -20.3525
74.356849 92.267 -20.7079
74.693305 92.199 -20.8480
75.029761 92.135 -20.7379
75.366218 92.098 -20.4856
75.702674 92.090 -20.2632
76.039130 92.096 -20.1858
76.375587 92.093 -20.2454
76.712043 92.071 -20.3398
77.048499 92.035 -20.3633
77.384956 92.001 -20.2858
77.721412 91.979 -20.1683
78.057868 91.969 -20.1058
78.394325 91.959 -20.1454
78.730781 91.937 -20.2509
79.067237 91.900 -20.3354
79.403694 91.857 -20.3336
79.740150 91.821 -20.2538
80.076606 91.800 -20.1705
80.413063 91.788 -20.1595
80.749519 91.771 -20.2296
81.085975 91.741 -20.3081
81.422432 91.702 -20.2937
81.758888 91.671 -20.1418
82.095344 91.668 -19.9215
82.431801 91.698 -19.7951
82.768257 91.744 -19.9196
83.104713 91.775 -20.3381
83.441170 91.761 -20.9365
83.777626 91.688 -21.4822
84.114082 91.568 -21.7230
84.450539 91.440 -21.5077
84.786995 91.346 -20.8815
85.123451 91.317 -20.0861
85.459908 91.350 -19.4288
85.796364 91.409 -19.1015
86.132820 91.456 -19.0862
86.469277 91.466 -19.2035
86.805733 91.446 -19.2497
87.142189 91.419 -19.1360
87.478646 91.409 -18.9487
87.815102 91.418 -18.8773
88.151558 91.420 -19.0476
88.488015 91.377 -19.3886
88.824471 91.272 -19.6315
89.160927 91.124 -19.4460
89.497384 90.991 -18.6591
89.833840 90.943 -17.4456
90.170296 91.012 -16.3064
90.506753 91.165 -15.7645
90.843209 91.324 -16.0286
91.179665 91.414 -16.9121
91.516122 91.402 -17.9898
91.852578 91.300 -18.8193
92.189034 91.159 -19.1334
92.525491 91.038 -18.9517
92.861947 90.976 -18.5402
93.198403 90.968 -18.2159
93.534860 90.983 -18.1428
93.871316 90.988 -18.2784
94.207772 90.972 -18.4728
94.544228 90.940 -18.6033
94.880685 90.909 -18.6476
95.217141 90.883 -18.6597
95.553597 90.860 -18.6871
95.890054 90.829 -18.7114
96.226510 90.789 -18.6609
96.562966 90.751 -18.4793
96.899423 90.729 -18.1876
97.235879 90.731 -17.8840
97.572335 90.750 -17.6778
97.908792 90.770 -17.6110
98.245248 90.775 -17.6345
98.581704 90.762 -17.6488
98.918161 90.738 -17.5742
99.254617 90.716 -17.3989
99.591073 90.705 -17.1760
99.927530 90.704 -16.9769
100.263986 90.707 -16.8392
100.600442 90.704 -16.7498
100.936899 90.693 -16.6654
101.273355 90.676 -16.5487
101.609811 90.659 -16.3896
101.946268 90.645 -16.2028
102.282724 90.635 -16.0076
102.619180 90.628 -15.8137
102.955637 90.623 -15.6194
103.292093 90.620 -15.4218
103.628549 90.621 -15.2244
103.965006 90.626 -15.0358
104.301462 90.633 -14.8623
104.637918 90.641 -14.7017
104.974375 90.651 -14.5461
105.310831 90.662 -14.3898
105.647287 90.676 -14.2343
105.983744 90.693 -14.0874
106.320200 90.713 -13.9563
106.656656 90.735 -13.8416
106.993113 90.758 -13.7380
107.329569 90.783 -13.6415
107.666025 90.810 -13.5548
108.002482 90.842 -13.4894
108.338938 90.876 -13.4602
108.675394 90.911 -13.4765
109.011851 90.943 -13.5371
109.348307 90.971 -13.6301
109.684763 90.995 -13.7396
110.021220 91.014 -13.8529
110.357676 91.031 -13.9666
110.694132 91.046 -14.0861
111.030589 91.061 -14.2206
111.367045 91.072 -14.3746
111.703501 91.079 -14.5433
112.039958 91.080 -14.7124
112.376414 91.076 -14.8649
112.712870 91.070 -14.9904
113.049327 91.063 -15.0903
113.385783 91.059 -15.1779
113.722239 91.056 -15.2690
114.058696 91.053 -15.3744
114.395152 91.049 -15.4933
114.731608 91.041 -15.6165
115.068065 91.030 -15.7328
115.404521 91.018 -15.8351
115.740977 91.004 -15.9222
116.077434 90.990 -15.9966
116.413890 90.977 -16.0603
116.750346 90.964 -16.1156
117.086803 90.952 -16.1663
117.423259 90.941 -16.2190
117.759715 90.931 -16.2800
118.096171 90.919 -16.3494
118.432628 90.904 -16.4177
118.769084 90.887 -16.4688
119.105540 90.869 -16.4905
119.441997 90.854 -16.4861
119.778453 90.845 -16.4762
120.114909 90.840 -16.4886
120.451366 90.836 -16.5415
120.787822 90.828 -16.6293
121.124278 90.813 -16.7245
121.460735 90.792 -16.7932
121.797191 90.769 -16.8154
122.133647 90.749 -16.7972
122.470104 90.734 -16.7653
122.806560 90.723 -16.7474
123.143016 90.713 -16.7534
123.479473 90.700 -16.7698
123.815929 90.684 -16.7722
124.152385 90.669 -16.7458
124.488842 90.658 -16.7006
124.825298 90.653 -16.6663
125.161754 90.651 -16.6734
125.498211 90.648 -16.7302
125.834667 90.638 -16.8140
126.171123 90.618 -16.8829
126.507580 90.594 -16.9005
126.844036 90.570 -16.8579
127.180492 90.554 -16.7787
127.516949 90.545 -16.7039
127.853405 90.542 -16.6666
128.189861 90.537 -16.6727
128.526318 90.527 -16.7014
128.862774 90.512 -16.7203
129.199230 90.495 -16.7073
129.535687 90.479 -16.6619
129.872143 90.467 -16.6022
130.208599 90.460 -16.5513
130.545056 90.455 -16.5226
130.881512 90.448 -16.5143
131.217968 90.440 -16.5146
131.554425 90.430 -16.5114
131.890881 90.419 -16.4991
132.227337 90.408 -16.4794
132.563794 90.399 -16.4566
132.900250 90.389 -16.4339
133.236706 90.381 -16.4120
133.573163 90.372 -16.3914
133.909619 90.365 -16.3737
134.246075 90.357 -16.3612
134.582532 90.348 -16.3539
134.918988 90.339 -16.3476
135.255444 90.327 -16.3348
135.591901 90.316 -16.3098
135.928357 90.306 -16.2720
136.264813 90.297 -16.2281
136.601270 90.291 -16.1879
136.937726 90.286 -16.1589
137.274182 90.281 -16.1424
137.610639 90.275 -16.1329
137.947095 90.267 -16.1227
138.283551 90.259 -16.1056
138.620008 90.250 -16.0810
138.956464 90.242 -16.0520
139.292920 90.235 -16.0232
139.629377 90.228 -15.9969
139.965833 90.221 -15.9727
140.302289 90.213 -15.9477
140.638746 90.205 -15.9194
140.975202 90.197 -15.8875
141.311658 90.190 -15.8535
141.648115 90.183 -15.8198
141.984571 90.176 -15.7877
142.321027 90.169 -15.7572
142.657483 90.161 -15.7266
142.993940 90.154 -15.6946
143.330396 90.147 -15.6613
143.666852 90.140 -15.6283
144.003309 90.133 -15.5977
144.339765 90.126 -15.5707
144.676221 90.119 -15.5460
145.012678 90.111 -15.5212
145.349134 90.103 -15.4935
145.685590 90.095 -15.4617
146.022047 90.088 -15.4265
146.358503 90.081 -15.3906
146.694959 90.074 -15.3566
147.031416 90.069 -15.3257
147.367872 90.063 -15.2979
147.704328 90.057 -15.2720
148.040785 90.051 -15.2472
148.377241 90.045 -15.2231
148.713697 90.039 -15.1996
149.050154 90.033 -15.1760
149.386610 90.026 -15.1512
149.723066 90.020 -15.1240
150.059523 90.013 -15.0942
150.395979 90.007 -15.0627
150.732435 90.001 -15.0314
151.068892 89.995 -15.0016
