* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 14, 2026 1:24:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak L4
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 83.245 -128.2726
20.187380 83.301 -129.2950
20.523836 83.356 -130.4088
20.860293 83.395 -131.5893
21.196749 83.414 -132.7583
21.533205 83.418 -133.8370
21.869662 83.421 -134.8021
22.206118 83.433 -135.7030
22.542574 83.457 -136.6257
22.879030 83.484 -137.6280
23.215487 83.500 -138.6970
23.551943 83.501 -139.7600
23.888399 83.489 -140.7365
24.224856 83.476 -141.5904
24.561312 83.473 -142.3460
24.897768 83.483 -143.0614
25.234225 83.508 -143.7850
25.570681 83.539 -144.5343
25.907137 83.572 -145.3078
26.243594 83.603 -146.1064
26.580050 83.630 -146.9343
26.916506 83.647 -147.7793
27.252963 83.650 -148.5979
27.589419 83.644 -149.3363
27.925875 83.639 -149.9828
28.262332 83.644 -150.6041
28.598788 83.657 -151.3150
28.935244 83.660 -152.1809
29.271701 83.628 -153.1305
29.608157 83.556 -153.9635
29.944613 83.467 -154.4792
30.281070 83.410 -154.6712
30.617526 83.425 -154.8373
30.953982 83.502 -155.4403
31.290439 83.573 -156.7714
31.626895 83.552 -158.7032
31.963351 83.381 -160.6938
32.299808 83.066 -161.9784
32.636264 82.704 -161.9040
32.972720 82.460 -160.4198
33.309177 82.469 -158.4000
33.645633 82.714 -157.1405
33.982089 83.044 -157.3473
34.318546 83.302 -158.8014
34.655002 83.410 -160.7672
34.991458 83.382 -162.4847
35.327915 83.295 -163.5143
35.664371 83.241 -163.9184
36.000827 83.263 -164.1596
36.337284 83.335 -164.7001
36.673740 83.387 -165.6416
37.010196 83.372 -166.7086
37.346653 83.292 -167.4946
37.683109 83.194 -167.7573
38.019565 83.141 -167.5939
38.356022 83.157 -167.3701
38.692478 83.217 -167.4332
39.028934 83.272 -167.8716
39.365391 83.285 -168.5146
39.701847 83.252 -169.1083
40.038303 83.197 -169.4987
40.374760 83.152 -169.7065
40.711216 83.128 -169.8640
41.047672 83.119 -170.0870
41.384129 83.116 -170.4043
41.720585 83.115 -170.7955
42.057041 83.118 -171.2734
42.393498 83.125 -171.9067
42.729954 83.118 -172.7486
43.066410 83.070 -173.7331
43.402867 82.968 -174.6422
43.739323 82.823 -175.1886
44.075779 82.683 -175.1890
44.412236 82.606 -174.7344
44.748692 82.629 -174.2005
45.085148 82.732 -174.0221
45.421605 82.857 -174.4068
45.758061 82.946 -175.2393
46.094517 82.972 -176.2066
46.430974 82.947 -177.0051
46.767430 82.907 -177.5051
47.103886 82.886 -177.7958
47.440342 82.891 -178.0794
47.776799 82.902 -178.4935
48.113255 82.893 -179.0070
48.449711 82.855 -179.4626
48.786168 82.801 -179.7125
49.122624 82.760 -179.7444
49.459080 82.752 -179.7049
49.795537 82.774 -179.7963
50.131993 82.801 179.8702
50.468449 82.805 179.3434
50.804906 82.773 178.7818
51.141362 82.715 178.3414
51.477818 82.653 178.0782
51.814275 82.606 177.9270
52.150731 82.577 177.7663
52.487187 82.557 177.5161
52.823644 82.532 177.1888
53.160100 82.496 176.8621
53.496556 82.455 176.6064
53.833013 82.423 176.4273
54.169469 82.406 176.2639
54.505925 82.402 176.0400
54.842382 82.400 175.7239
55.178838 82.390 175.3469
55.515294 82.369 174.9749
55.851751 82.342 174.6583
56.188207 82.316 174.4016
56.524663 82.296 174.1709
56.861120 82.280 173.9290
57.197576 82.263 173.6665
57.534032 82.240 173.4046
57.870489 82.213 173.1718
58.206945 82.186 172.9767
58.543401 82.163 172.8000
58.879858 82.141 172.6114
59.216314 82.119 172.3953
59.552770 82.092 172.1639
59.889227 82.058 171.9476
60.225683 82.021 171.7710
60.562139 81.987 171.6339
60.898596 81.959 171.5105
61.235052 81.937 171.3671
61.571508 81.918 171.1827
61.907965 81.897 170.9591
62.244421 81.872 170.7154
62.580877 81.844 170.4731
62.917334 81.814 170.2449
63.253790 81.785 170.0319
63.590246 81.757 169.8290
63.926703 81.731 169.6317
64.263159 81.706 169.4384
64.599615 81.683 169.2480
64.936072 81.661 169.0573
65.272528 81.640 168.8614
65.608984 81.619 168.6572
65.945441 81.596 168.4478
66.281897 81.570 168.2433
66.618353 81.542 168.0569
66.954810 81.512 167.8987
67.291266 81.483 167.7695
67.627722 81.457 167.6589
67.964179 81.436 167.5488
68.300635 81.417 167.4207
68.637091 81.399 167.2643
68.973548 81.378 167.0831
69.310004 81.352 166.8929
69.646460 81.322 166.7155
69.982917 81.290 166.5676
70.319373 81.260 166.4507
70.655829 81.235 166.3489
70.992285 81.216 166.2338
71.328742 81.202 166.0782
71.665198 81.188 165.8687
72.001654 81.169 165.6128
72.338111 81.142 165.3362
72.674567 81.106 165.0728
73.011023 81.063 164.8516
73.347480 81.018 164.6888
73.683936 80.975 164.5847
74.020392 80.937 164.5275
74.356849 80.906 164.4999
74.693305 80.881 164.4835
75.029761 80.864 164.4603
75.366218 80.852 164.4141
75.702674 80.843 164.3328
76.039130 80.832 164.2145
76.375587 80.818 164.0712
76.712043 80.797 163.9279
77.048499 80.772 163.8105
77.384956 80.747 163.7304
77.721412 80.725 163.6731
78.057868 80.708 163.6046
78.394325 80.693 163.4937
78.730781 80.672 163.3390
79.067237 80.641 163.1788
79.403694 80.599 163.0722
79.740150 80.557 163.0584
80.076606 80.527 163.1193
80.413063 80.514 163.1752
80.749519 80.515 163.1293
81.085975 80.513 162.9354
81.422432 80.492 162.6403
81.758888 80.444 162.3698
82.095344 80.379 162.2586
82.431801 80.320 162.3620
82.768257 80.291 162.6015
83.104713 80.302 162.7944
83.441170 80.338 162.7634
83.777626 80.369 162.4500
84.114082 80.368 161.9493
84.450539 80.324 161.4540
84.786995 80.250 161.1485
85.123451 80.173 161.1098
85.459908 80.120 161.2683
85.796364 80.101 161.4578
86.132820 80.107 161.5268
86.469277 80.116 161.4271
86.805733 80.111 161.2196
87.142189 80.088 161.0097
87.478646 80.056 160.8685
87.815102 80.026 160.7936
88.151558 80.002 160.7312
88.488015 79.980 160.6345
88.824471 79.951 160.5098
89.160927 79.912 160.4128
89.497384 79.868 160.4007
89.833840 79.831 160.4806
90.170296 79.810 160.5946
90.506753 79.805 160.6558
90.843209 79.804 160.6086
91.179665 79.796 160.4651
91.516122 79.773 160.2930
91.852578 79.738 160.1673
92.189034 79.702 160.1223
92.525491 79.672 160.1343
92.861947 79.654 160.1456
93.198403 79.641 160.1087
93.534860 79.627 160.0177
93.871316 79.607 159.9057
94.207772 79.580 159.8167
94.544228 79.552 159.7748
94.880685 79.529 159.7719
95.217141 79.514 159.7766
95.553597 79.504 159.7563
95.890054 79.497 159.6934
96.226510 79.487 159.5885
96.562966 79.471 159.4561
96.899423 79.448 159.3193
97.235879 79.415 159.2079
97.572335 79.376 159.1543
97.908792 79.336 159.1822
98.245248 79.302 159.2897
98.581704 79.281 159.4380
98.918161 79.276 159.5597
99.254617 79.281 159.5894
99.591073 79.285 159.4991
99.927530 79.276 159.3162
100.263986 79.248 159.1119
100.600442 79.204 158.9650
100.936899 79.153 158.9221
101.273355 79.108 158.9747
101.609811 79.074 159.0685
101.946268 79.053 159.1377
102.282724 79.037 159.1437
102.619180 79.017 159.0919
102.955637 78.992 159.0196
103.292093 78.960 158.9665
103.628549 78.929 158.9496
103.965006 78.901 158.9567
104.301462 78.879 158.9589
104.637918 78.860 158.9340
104.974375 78.840 158.8801
105.310831 78.817 158.8146
105.647287 78.791 158.7595
105.983744 78.764 158.7267
106.320200 78.739 158.7129
106.656656 78.716 158.7046
106.993113 78.694 158.6907
107.329569 78.673 158.6695
107.666025 78.650 158.6484
108.002482 78.626 158.6361
108.338938 78.602 158.6357
108.675394 78.579 158.6426
109.011851 78.557 158.6490
109.348307 78.535 158.6501
109.684763 78.511 158.6472
110.021220 78.486 158.6461
110.357676 78.460 158.6520
110.694132 78.433 158.6667
111.030589 78.406 158.6877
111.367045 78.380 158.7109
111.703501 78.353 158.7328
112.039958 78.327 158.7521
112.376414 78.301 158.7686
112.712870 78.274 158.7833
113.049327 78.246 158.7977
113.385783 78.218 158.8138
113.722239 78.191 158.8329
114.058696 78.163 158.8534
114.395152 78.137 158.8705
114.731608 78.111 158.8795
115.068065 78.084 158.8807
115.404521 78.054 158.8828
115.740977 78.022 158.9002
116.077434 77.990 158.9445
116.413890 77.960 159.0139
116.750346 77.935 159.0914
117.086803 77.914 159.1534
117.423259 77.894 159.1860
117.759715 77.869 159.1976
118.096171 77.838 159.2179
118.432628 77.802 159.2804
118.769084 77.768 159.3995
119.105540 77.740 159.5563
119.441997 77.722 159.7042
119.778453 77.708 159.7968
120.114909 77.691 159.8184
120.451366 77.660 159.8004
120.787822 77.614 159.8107
121.124278 77.556 159.9197
121.460735 77.499 160.1612
121.797191 77.455 160.5059
122.133647 77.431 160.8696
122.470104 77.424 161.1555
122.806560 77.418 161.3100
123.143016 77.399 161.3578
123.479473 77.357 161.3960
123.815929 77.294 161.5476
124.152385 77.227 161.8965
124.488842 77.178 162.4317
124.825298 77.163 163.0391
125.161754 77.181 163.5576
125.498211 77.217 163.8711
125.834667 77.244 163.9743
126.171123 77.245 163.9717
126.507580 77.217 164.0167
126.844036 77.175 164.2276
127.180492 77.138 164.6265
127.516949 77.125 165.1340
127.853405 77.137 165.6285
128.189861 77.163 166.0276
128.526318 77.190 166.3319
128.862774 77.210 166.6033
129.199230 77.227 166.9059
129.535687 77.250 167.2540
129.872143 77.285 167.6062
130.208599 77.331 167.9045
130.545056 77.380 168.1220
130.881512 77.427 168.2791
131.217968 77.470 168.4173
131.554425 77.513 168.5577
131.890881 77.562 168.6812
132.227337 77.616 168.7478
132.563794 77.669 168.7377
132.900250 77.715 168.6734
133.236706 77.753 168.6017
133.573163 77.791 168.5486
133.909619 77.835 168.4854
134.246075 77.886 168.3427
134.582532 77.932 168.0696
134.918988 77.958 167.6920
135.255444 77.953 167.3227
135.591901 77.923 167.1086
135.928357 77.890 167.1406
136.264813 77.881 167.3807
136.601270 77.913 167.6642
136.937726 77.980 167.7936
137.274182 78.056 167.6593
137.610639 78.112 167.2982
137.947095 78.134 166.8570
138.283551 78.124 166.5005
138.620008 78.102 166.3203
138.956464 78.087 166.2935
139.292920 78.092 166.3135
139.629377 78.111 166.2688
139.965833 78.130 166.1151
140.302289 78.136 165.8903
140.638746 78.125 165.6754
140.975202 78.104 165.5372
141.311658 78.083 165.4898
141.648115 78.070 165.4942
141.984571 78.068 165.4908
142.321027 78.070 165.4382
142.657483 78.070 165.3331
142.993940 78.064 165.2032
143.330396 78.053 165.0836
143.666852 78.040 164.9929
144.003309 78.030 164.9222
144.339765 78.026 164.8401
144.676221 78.024 164.7124
145.012678 78.019 164.5250
145.349134 78.003 164.2995
145.685590 77.973 164.0910
146.022047 77.930 163.9677
146.358503 77.884 163.9776
146.694959 77.848 164.1190
147.031416 77.832 164.3336
147.367872 77.837 164.5317
147.704328 77.857 164.6385
148.040785 77.880 164.6307
148.377241 77.894 164.5415
148.713697 77.896 164.4331
149.050154 77.890 164.3574
149.386610 77.882 164.3294
149.723066 77.876 164.3285
150.059523 77.874 164.3230
150.395979 77.872 164.2976
150.732435 77.865 164.2628
151.068892 77.856 164.2420
151.405348 77.845 164.2485
151.741804 77.838 164.2719
152.078261 77.835 164.2848
152.414717 77.833 164.2640
152.751173 77.829 164.2090
153.087630 77.818 164.1426
153.424086 77.802 164.0949
153.760542 77.785 164.0826
154.096999 77.770 164.0987
154.433455 77.760 164.1193
154.769911 77.754 164.1221
155.106368 77.747 164.1020
155.442824 77.737 164.0729
155.779280 77.725 164.0560
156.115737 77.713 164.0638
156.452193 77.705 164.0912
156.788649 77.700 164.1196
157.125106 77.699 164.1292
157.461562 77.698 164.1125
157.798018 77.695 164.0784
