* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 14, 2026 1:21:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak R3
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 83.095 -133.5739
20.187380 83.117 -134.8282
20.523836 83.130 -136.0019
20.860293 83.137 -137.0497
21.196749 83.150 -137.9733
21.533205 83.177 -138.8278
21.869662 83.218 -139.6953
22.206118 83.266 -140.6426
22.542574 83.310 -141.6908
22.879030 83.337 -142.8104
23.215487 83.342 -143.9388
23.551943 83.325 -145.0034
23.888399 83.293 -145.9421
24.224856 83.257 -146.7230
24.561312 83.231 -147.3602
24.897768 83.224 -147.9221
25.234225 83.245 -148.5143
25.570681 83.282 -149.2339
25.907137 83.318 -150.1167
26.243594 83.335 -151.1118
26.580050 83.328 -152.1066
26.916506 83.305 -152.9917
27.252963 83.284 -153.7324
27.589419 83.280 -154.3961
27.925875 83.294 -155.1062
28.262332 83.313 -155.9474
28.598788 83.314 -156.8934
28.935244 83.286 -157.8151
29.271701 83.238 -158.5636
29.608157 83.190 -159.0737
29.944613 83.166 -159.4161
30.281070 83.169 -159.7460
30.617526 83.183 -160.1758
30.953982 83.187 -160.6780
31.290439 83.170 -161.1010
31.626895 83.152 -161.2933
31.963351 83.168 -161.2563
32.299808 83.243 -161.2083
32.636264 83.372 -161.4768
32.972720 83.511 -162.2841
33.309177 83.603 -163.6007
33.645633 83.609 -165.1620
33.982089 83.522 -166.5962
34.318546 83.373 -167.5880
34.655002 83.216 -168.0237
34.991458 83.103 -168.0528
35.327915 83.053 -167.9969
35.664371 83.050 -168.1456
36.000827 83.054 -168.5953
36.337284 83.035 -169.2454
36.673740 82.986 -169.9102
37.010196 82.919 -170.4481
37.346653 82.856 -170.8329
37.683109 82.813 -171.1390
38.019565 82.789 -171.4654
38.356022 82.777 -171.8632
38.692478 82.768 -172.3203
39.028934 82.760 -172.8021
39.365391 82.758 -173.3004
39.701847 82.762 -173.8455
40.038303 82.766 -174.4718
40.374760 82.761 -175.1694
40.711216 82.736 -175.8663
41.047672 82.694 -176.4597
41.384129 82.645 -176.8809
41.720585 82.609 -177.1471
42.057041 82.595 -177.3578
42.393498 82.596 -177.6278
42.729954 82.596 -178.0031
43.066410 82.579 -178.4244
43.402867 82.542 -178.7679
43.739323 82.499 -178.9346
44.075779 82.472 -178.9347
44.412236 82.479 -178.9030
44.748692 82.515 -179.0231
45.085148 82.557 -179.4114
45.421605 82.576 179.9534
45.758061 82.555 179.2086
46.094517 82.493 178.5250
46.430974 82.407 178.0189
46.767430 82.317 177.7063
47.103886 82.236 177.5258
47.440342 82.166 177.4075
47.776799 82.105 177.3312
48.113255 82.052 177.3219
48.449711 82.019 177.3902
48.786168 82.017 177.4707
49.122624 82.051 177.4222
49.459080 82.105 177.1033
49.795537 82.152 176.4667
50.131993 82.165 175.6011
50.468449 82.129 174.6942
50.804906 82.052 173.9478
51.141362 81.956 173.4868
51.477818 81.872 173.3075
51.814275 81.818 173.2925
52.150731 81.796 173.2900
52.487187 81.793 173.2013
52.823644 81.797 173.0150
53.160100 81.796 172.7791
53.496556 81.794 172.5408
53.833013 81.796 172.3044
54.169469 81.804 172.0294
54.505925 81.813 171.6659
54.842382 81.813 171.1983
55.178838 81.794 170.6670
55.515294 81.749 170.1558
55.851751 81.685 169.7550
56.188207 81.612 169.5198
56.524663 81.548 169.4434
56.861120 81.502 169.4594
57.197576 81.476 169.4745
57.534032 81.466 169.4137
57.870489 81.459 169.2513
58.206945 81.445 169.0129
58.543401 81.422 168.7515
58.879858 81.391 168.5151
59.216314 81.359 168.3240
59.552770 81.329 168.1677
59.889227 81.306 168.0195
60.225683 81.287 167.8568
60.562139 81.270 167.6713
60.898596 81.253 167.4661
61.235052 81.236 167.2457
61.571508 81.218 167.0090
61.907965 81.198 166.7521
62.244421 81.175 166.4766
62.580877 81.146 166.1946
62.917334 81.112 165.9259
63.253790 81.075 165.6862
63.590246 81.036 165.4791
63.926703 80.999 165.2957
64.263159 80.963 165.1236
64.599615 80.928 164.9584
64.936072 80.892 164.8060
65.272528 80.857 164.6754
65.608984 80.826 164.5662
65.945441 80.800 164.4620
66.281897 80.781 164.3359
66.618353 80.766 164.1652
66.954810 80.748 163.9462
67.291266 80.725 163.6985
67.627722 80.695 163.4557
67.964179 80.660 163.2476
68.300635 80.626 163.0848
68.637091 80.595 162.9537
68.973548 80.570 162.8269
69.310004 80.548 162.6815
69.646460 80.525 162.5156
69.982917 80.499 162.3500
70.319373 80.468 162.2144
70.655829 80.439 162.1250
70.992285 80.417 162.0682
71.328742 80.403 162.0036
71.665198 80.396 161.8860
72.001654 80.386 161.6954
72.338111 80.367 161.4534
72.674567 80.334 161.2131
73.011023 80.291 161.0314
73.347480 80.246 160.9356
73.683936 80.206 160.9082
74.020392 80.177 160.8990
74.356849 80.156 160.8567
74.693305 80.137 160.7581
75.029761 80.113 160.6165
75.366218 80.082 160.4666
75.702674 80.045 160.3408
76.039130 80.007 160.2531
76.375587 79.971 160.1977
76.712043 79.939 160.1593
77.048499 79.912 160.1214
77.384956 79.890 160.0682
77.721412 79.872 159.9840
78.057868 79.854 159.8558
78.394325 79.833 159.6840
78.730781 79.804 159.4908
79.067237 79.766 159.3162
79.403694 79.723 159.1981
79.740150 79.682 159.1492
80.076606 79.650 159.1443
80.413063 79.629 159.1357
80.749519 79.615 159.0839
81.085975 79.600 158.9829
81.422432 79.582 158.8598
81.758888 79.561 158.7480
82.095344 79.542 158.6556
82.431801 79.530 158.5548
82.768257 79.522 158.4020
83.104713 79.511 158.1744
83.441170 79.488 157.8945
83.777626 79.450 157.6223
84.114082 79.400 157.4226
84.450539 79.345 157.3284
84.786995 79.296 157.3268
85.123451 79.256 157.3758
85.459908 79.225 157.4366
85.796364 79.199 157.4961
86.132820 79.177 157.5607
86.469277 79.160 157.6336
86.805733 79.152 157.6949
87.142189 79.150 157.7075
87.478646 79.150 157.6425
87.815102 79.142 157.5060
88.151558 79.121 157.3420
88.488015 79.088 157.2097
88.824471 79.049 157.1491
89.160927 79.012 157.1594
89.497384 78.983 157.2025
89.833840 78.962 157.2291
90.170296 78.945 157.2090
90.506753 78.925 157.1444
90.843209 78.898 157.0605
91.179665 78.867 156.9866
91.516122 78.833 156.9391
91.852578 78.800 156.9176
92.189034 78.771 156.9095
92.525491 78.746 156.8981
92.861947 78.724 156.8680
93.198403 78.704 156.8090
93.534860 78.683 156.7197
93.871316 78.658 156.6118
94.207772 78.627 156.5082
94.544228 78.594 156.4335
94.880685 78.561 156.3987
95.217141 78.533 156.3916
95.553597 78.512 156.3806
95.890054 78.494 156.3358
96.226510 78.474 156.2517
96.562966 78.448 156.1558
96.899423 78.414 156.0938
97.235879 78.378 156.0988
97.572335 78.349 156.1655
97.908792 78.333 156.2465
98.245248 78.327 156.2788
98.581704 78.323 156.2230
98.918161 78.312 156.0884
99.254617 78.288 155.9282
99.591073 78.250 155.8091
99.927530 78.206 155.7736
100.263986 78.167 155.8188
100.600442 78.137 155.9022
100.936899 78.118 155.9702
101.273355 78.103 155.9904
101.609811 78.086 155.9656
101.946268 78.064 155.9249
102.282724 78.038 155.8997
102.619180 78.011 155.9028
102.955637 77.988 155.9236
103.292093 77.969 155.9383
103.628549 77.951 155.9302
103.965006 77.932 155.9017
104.301462 77.908 155.8724
104.637918 77.882 155.8642
104.974375 77.857 155.8837
105.310831 77.837 155.9155
105.647287 77.821 155.9313
105.983744 77.806 155.9097
106.320200 77.786 155.8536
106.656656 77.760 155.7913
106.993113 77.728 155.7594
107.329569 77.695 155.7775
107.666025 77.667 155.8315
108.002482 77.647 155.8793
108.338938 77.632 155.8788
108.675394 77.613 155.8190
109.011851 77.586 155.7311
109.348307 77.548 155.6726
109.684763 77.506 155.6907
110.021220 77.469 155.7900
110.357676 77.446 155.9262
110.694132 77.436 156.0314
111.030589 77.434 156.0558
111.367045 77.429 155.9961
111.703501 77.414 155.8929
112.039958 77.388 155.8027
112.376414 77.357 155.7655
112.712870 77.326 155.7876
113.049327 77.301 155.8459
113.385783 77.281 155.9084
113.722239 77.265 155.9523
114.058696 77.248 155.9723
114.395152 77.229 155.9781
114.731608 77.205 155.9878
115.068065 77.177 156.0208
115.404521 77.148 156.0903
115.740977 77.123 156.1922
116.077434 77.104 156.2990
116.413890 77.092 156.3667
116.750346 77.081 156.3610
117.086803 77.061 156.2872
117.423259 77.027 156.2000
117.759715 76.980 156.1769
118.096171 76.933 156.2635
118.432628 76.902 156.4260
118.769084 76.892 156.5529
119.105540 76.895 156.5248
119.441997 76.889 156.3060
119.778453 76.852 155.9904
120.114909 76.780 155.7627
120.451366 76.691 155.7919
120.787822 76.619 156.1122
121.124278 76.593 156.5726
121.460735 76.616 156.9182
121.797191 76.661 156.9609
122.133647 76.688 156.7072
122.470104 76.671 156.3475
122.806560 76.613 156.1356
123.143016 76.542 156.2324
123.479473 76.498 156.6007
123.815929 76.501 157.0239
124.152385 76.541 157.2563
124.488842 76.582 157.1901
124.825298 76.593 156.9111
125.161754 76.559 156.6254
125.498211 76.493 156.5269
125.834667 76.422 156.6877
126.171123 76.373 157.0272
126.507580 76.352 157.3799
126.844036 76.348 157.6130
127.180492 76.339 157.7033
127.516949 76.312 157.7272
127.853405 76.267 157.7904
128.189861 76.216 157.9549
128.526318 76.171 158.2078
128.862774 76.140 158.4830
129.199230 76.119 158.7133
129.535687 76.102 158.8699
129.872143 76.081 158.9695
130.208599 76.053 159.0500
130.545056 76.021 159.1434
130.881512 75.988 159.2613
131.217968 75.956 159.3987
131.554425 75.926 159.5464
131.890881 75.896 159.7024
132.227337 75.866 159.8759
132.563794 75.834 160.0867
132.900250 75.803 160.3596
133.236706 75.775 160.7167
133.573163 75.759 161.1619
133.909619 75.762 161.6651
134.246075 75.789 162.1574
134.582532 75.837 162.5483
134.918988 75.895 162.7653
135.255444 75.945 162.7957
135.591901 75.970 162.7039
135.928357 75.962 162.6132
136.264813 75.928 162.6564
136.601270 75.885 162.9145
136.937726 75.856 163.3721
137.274182 75.854 163.9207
137.610639 75.881 164.4180
137.947095 75.922 164.7697
138.283551 75.956 164.9788
138.620008 75.974 165.1343
138.956464 75.977 165.3488
139.292920 75.979 165.6875
139.629377 75.999 166.1252
139.965833 76.044 166.5596
140.302289 76.111 166.8738
140.638746 76.185 167.0057
140.975202 76.250 166.9772
141.311658 76.296 166.8701
141.648115 76.325 166.7742
141.984571 76.346 166.7391
142.321027 76.370 166.7554
142.657483 76.401 166.7728
142.993940 76.438 166.7382
143.330396 76.474 166.6277
143.666852 76.501 166.4523
144.003309 76.517 166.2429
144.339765 76.520 166.0309
144.676221 76.511 165.8412
145.012678 76.490 165.7000
145.349134 76.461 165.6451
145.685590 76.430 165.7187
146.022047 76.409 165.9363
146.358503 76.415 166.2471
146.694959 76.458 166.5213
147.031416 76.530 166.5944
147.367872 76.609 166.3564
147.704328 76.661 165.8292
148.040785 76.664 165.1819
148.377241 76.614 164.6687
148.713697 76.539 164.5105
149.050154 76.486 164.7556
149.386610 76.497 165.2018
149.723066 76.580 165.4769
150.059523 76.700 165.2626
150.395979 76.794 164.4962
150.732435 76.809 163.4067
151.068892 76.726 162.4065
151.405348 76.570 161.9141
151.741804 76.405 162.1565
152.078261 76.305 163.0135
152.414717 76.314 164.0430
152.751173 76.412 164.7473
153.087630 76.539 164.8796
153.424086 76.633 164.5331
153.760542 76.663 164.0092
154.096999 76.638 163.6180
154.433455 76.590 163.5215
154.769911 76.557 163.6755
155.106368 76.556 163.8958
155.442824 76.576 164.0046
155.779280 76.596 163.9464
156.115737 76.597 163.7946
156.452193 76.577 163.6715
156.788649 76.549 163.6533
157.125106 76.528 163.7242
157.461562 76.520 163.8022
157.798018 76.521 163.8101
158.134475 76.518 163.7334
