* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 8, 2026 4:28:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Reference L1
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 94.310 -125.9584
20.187380 94.336 -126.9316
20.523836 94.366 -127.8557
20.860293 94.396 -128.7509
21.196749 94.427 -129.6288
21.533205 94.455 -130.4892
21.869662 94.483 -131.3284
22.206118 94.512 -132.1514
22.542574 94.541 -132.9745
22.879030 94.569 -133.8155
23.215487 94.591 -134.6762
23.551943 94.604 -135.5339
23.888399 94.607 -136.3481
24.224856 94.604 -137.0823
24.561312 94.603 -137.7281
24.897768 94.611 -138.3149
25.234225 94.633 -138.8968
25.570681 94.664 -139.5225
25.907137 94.694 -140.2080
26.243594 94.715 -140.9285
26.580050 94.727 -141.6363
26.916506 94.731 -142.2906
27.252963 94.736 -142.8818
27.589419 94.746 -143.4350
27.925875 94.762 -143.9907
28.262332 94.778 -144.5753
28.598788 94.791 -145.1832
28.935244 94.796 -145.7830
29.271701 94.796 -146.3420
29.608157 94.797 -146.8518
29.944613 94.801 -147.3354
30.281070 94.810 -147.8301
30.617526 94.817 -148.3565
30.953982 94.816 -148.8972
31.290439 94.805 -149.4033
31.626895 94.791 -149.8264
31.963351 94.785 -150.1563
32.299808 94.794 -150.4393
32.636264 94.819 -150.7584
32.972720 94.853 -151.1860
33.309177 94.883 -151.7401
33.645633 94.896 -152.3738
33.982089 94.890 -153.0027
34.318546 94.870 -153.5528
34.655002 94.848 -153.9998
34.991458 94.834 -154.3773
35.327915 94.830 -154.7488
35.664371 94.831 -155.1623
36.000827 94.829 -155.6210
36.337284 94.819 -156.0863
36.673740 94.802 -156.5091
37.010196 94.785 -156.8655
37.346653 94.775 -157.1724
37.683109 94.775 -157.4738
38.019565 94.780 -157.8103
38.356022 94.786 -158.1922
38.692478 94.788 -158.5974
39.028934 94.783 -158.9902
39.365391 94.776 -159.3466
39.701847 94.772 -159.6684
40.038303 94.772 -159.9777
40.374760 94.777 -160.2987
40.711216 94.783 -160.6409
41.047672 94.787 -160.9959
41.384129 94.788 -161.3476
41.720585 94.788 -161.6869
42.057041 94.788 -162.0180
42.393498 94.789 -162.3541
42.729954 94.788 -162.7047
43.066410 94.785 -163.0670
43.402867 94.776 -163.4252
43.739323 94.764 -163.7602
44.075779 94.750 -164.0611
44.412236 94.738 -164.3321
44.748692 94.730 -164.5899
45.085148 94.726 -164.8549
45.421605 94.723 -165.1403
45.758061 94.719 -165.4466
46.094517 94.711 -165.7625
46.430974 94.701 -166.0715
46.767430 94.688 -166.3606
47.103886 94.676 -166.6261
47.440342 94.666 -166.8754
47.776799 94.659 -167.1227
48.113255 94.654 -167.3814
48.449711 94.649 -167.6564
48.786168 94.642 -167.9416
49.122624 94.631 -168.2234
49.459080 94.618 -168.4890
49.795537 94.605 -168.7337
50.131993 94.594 -168.9639
50.468449 94.585 -169.1923
50.804906 94.577 -169.4293
51.141362 94.568 -169.6761
51.477818 94.557 -169.9239
51.814275 94.543 -170.1601
52.150731 94.529 -170.3772
52.487187 94.516 -170.5779
52.823644 94.505 -170.7739
53.160100 94.497 -170.9794
53.496556 94.490 -171.2035
53.833013 94.482 -171.4458
54.169469 94.471 -171.6975
54.505925 94.458 -171.9460
54.842382 94.442 -172.1812
55.178838 94.427 -172.3988
55.515294 94.413 -172.6019
55.851751 94.400 -172.7980
56.188207 94.390 -172.9952
56.524663 94.380 -173.1978
56.861120 94.371 -173.4044
57.197576 94.361 -173.6093
57.534032 94.350 -173.8075
57.870489 94.340 -173.9978
58.206945 94.330 -174.1832
58.543401 94.321 -174.3678
58.879858 94.311 -174.5522
59.216314 94.300 -174.7332
59.552770 94.289 -174.9072
59.889227 94.278 -175.0754
60.225683 94.267 -175.2448
60.562139 94.254 -175.4218
60.898596 94.239 -175.6035
61.235052 94.221 -175.7756
61.571508 94.201 -175.9216
61.907965 94.182 -176.0388
62.244421 94.169 -176.1479
62.580877 94.161 -176.2845
62.917334 94.154 -176.4745
63.253790 94.142 -176.7108
63.590246 94.121 -176.9527
63.926703 94.094 -177.1520
64.263159 94.068 -177.2906
64.599615 94.052 -177.4005
64.936072 94.046 -177.5432
65.272528 94.042 -177.7602
65.608984 94.030 -178.0315
65.945441 94.006 -178.2805
66.281897 93.979 -178.4298
66.618353 93.964 -178.4729
66.954810 93.976 -178.5075
67.291266 94.011 -178.6876
67.627722 94.047 -179.1170
67.964179 94.054 -179.7614
68.300635 94.011 179.5578
68.637091 93.920 179.0844
68.973548 93.812 179.0010
69.310004 93.728 179.3129
69.646460 93.702 179.8198
69.982917 93.736 -179.7744
70.319373 93.799 -179.6805
70.655829 93.853 -179.9114
70.992285 93.869 179.6919
71.328742 93.847 179.3440
71.665198 93.804 179.1910
72.001654 93.769 179.2379
72.338111 93.760 179.3657
72.674567 93.773 179.4222
73.011023 93.794 179.3223
73.347480 93.802 179.0859
73.683936 93.790 178.8031
74.020392 93.760 178.5672
74.356849 93.723 178.4230
74.693305 93.688 178.3575
75.029761 93.659 178.3283
75.366218 93.636 178.3019
75.702674 93.615 178.2722
76.039130 93.597 178.2495
76.375587 93.583 178.2359
76.712043 93.576 178.2119
77.048499 93.575 178.1462
77.384956 93.574 178.0206
77.721412 93.567 177.8482
78.057868 93.551 177.6710
78.394325 93.529 177.5343
78.730781 93.507 177.4579
79.067237 93.492 177.4203
79.403694 93.487 177.3713
79.740150 93.486 177.2638
80.076606 93.482 177.0866
80.413063 93.467 176.8744
80.749519 93.438 176.6903
81.085975 93.401 176.5910
81.422432 93.365 176.5945
81.758888 93.341 176.6686
82.095344 93.331 176.7494
82.431801 93.333 176.7761
82.768257 93.337 176.7230
83.104713 93.336 176.6061
83.441170 93.326 176.4664
83.777626 93.310 176.3424
84.114082 93.291 176.2496
84.450539 93.274 176.1786
84.786995 93.260 176.1090
85.123451 93.247 176.0266
85.459908 93.232 175.9327
85.796364 93.216 175.8394
86.132820 93.198 175.7576
86.469277 93.181 175.6880
86.805733 93.166 175.6223
87.142189 93.151 175.5514
87.478646 93.136 175.4744
87.815102 93.120 175.3997
88.151558 93.101 175.3392
88.488015 93.084 175.2986
88.824471 93.068 175.2735
89.160927 93.055 175.2515
89.497384 93.044 175.2208
89.833840 93.034 175.1763
90.170296 93.023 175.1217
90.506753 93.010 175.0653
90.843209 92.995 175.0145
91.179665 92.980 174.9726
91.516122 92.966 174.9377
91.852578 92.952 174.9055
92.189034 92.939 174.8709
92.525491 92.927 174.8304
92.861947 92.914 174.7830
93.198403 92.899 174.7312
93.534860 92.884 174.6810
93.871316 92.867 174.6400
94.207772 92.849 174.6139
94.544228 92.833 174.6031
94.880685 92.820 174.6012
95.217141 92.810 174.5971
95.553597 92.802 174.5804
95.890054 92.795 174.5454
96.226510 92.787 174.4921
96.562966 92.778 174.4253
96.899423 92.766 174.3520
97.235879 92.752 174.2802
97.572335 92.734 174.2184
97.908792 92.716 174.1739
98.245248 92.697 174.1494
98.581704 92.680 174.1399
98.918161 92.666 174.1327
99.254617 92.653 174.1136
99.591073 92.640 174.0763
99.927530 92.625 174.0281
100.263986 92.607 173.9865
100.600442 92.587 173.9655
100.936899 92.569 173.9626
101.273355 92.556 173.9563
101.609811 92.545 173.9195
101.946268 92.531 173.8419
102.282724 92.510 173.7453
102.619180 92.479 173.6783
102.955637 92.443 173.6891
103.292093 92.412 173.7928
103.628549 92.396 173.9531
103.965006 92.397 174.0959
104.301462 92.410 174.1493
104.637918 92.425 174.0845
104.974375 92.429 173.9308
105.310831 92.418 173.7561
105.647287 92.394 173.6285
105.983744 92.367 173.5807
106.320200 92.345 173.5982
106.656656 92.331 173.6367
106.993113 92.324 173.6536
107.329569 92.318 173.6335
107.666025 92.309 173.5906
108.002482 92.296 173.5509
108.338938 92.282 173.5313
108.675394 92.269 173.5291
109.011851 92.258 173.5291
109.348307 92.249 173.5185
109.684763 92.238 173.4985
110.021220 92.224 173.4818
110.357676 92.211 173.4807
110.694132 92.198 173.4942
111.030589 92.189 173.5072
111.367045 92.181 173.5005
111.703501 92.172 173.4667
112.039958 92.159 173.4178
112.376414 92.140 173.3795
112.712870 92.118 173.3745
113.049327 92.097 173.4073
113.385783 92.080 173.4606
113.722239 92.068 173.5067
114.058696 92.058 173.5269
114.395152 92.047 173.5231
114.731608 92.032 173.5143
115.068065 92.015 173.5197
115.404521 91.999 173.5420
115.740977 91.986 173.5648
116.077434 91.976 173.5662
116.413890 91.964 173.5394
116.750346 91.948 173.5019
117.086803 91.928 173.4845
117.423259 91.909 173.5051
117.759715 91.896 173.5482
118.096171 91.891 173.5683
118.432628 91.890 173.5203
118.769084 91.883 173.3963
119.105540 91.863 173.2423
119.441997 91.827 173.1378
119.778453 91.784 173.1500
120.114909 91.749 173.2885
120.451366 91.732 173.4929
120.787822 91.735 173.6658
121.124278 91.749 173.7326
121.460735 91.759 173.6852
121.797191 91.756 173.5807
122.133647 91.738 173.5012
122.470104 91.714 173.5019
122.806560 91.693 173.5815
123.143016 91.683 173.6909
123.479473 91.681 173.7719
123.815929 91.681 173.7962
124.152385 91.675 173.7782
124.488842 91.663 173.7566
124.825298 91.645 173.7641
125.161754 91.628 173.8062
125.498211 91.614 173.8636
125.834667 91.604 173.9110
126.171123 91.594 173.9370
126.507580 91.581 173.9487
126.844036 91.565 173.9635
127.180492 91.547 173.9933
127.516949 91.530 174.0374
127.853405 91.515 174.0854
128.189861 91.501 174.1276
128.526318 91.487 174.1619
128.862774 91.472 174.1944
129.199230 91.456 174.2336
129.535687 91.440 174.2846
129.872143 91.425 174.3465
130.208599 91.412 174.4138
130.545056 91.400 174.4797
130.881512 91.390 174.5377
131.217968 91.380 174.5850
131.554425 91.367 174.6244
131.890881 91.352 174.6654
132.227337 91.334 174.7223
132.563794 91.314 174.8062
132.900250 91.296 174.9169
133.236706 91.282 175.0388
133.573163 91.271 175.1482
133.909619 91.261 175.2283
134.246075 91.246 175.2829
134.582532 91.225 175.3380
134.918988 91.199 175.4276
135.255444 91.171 175.5718
135.591901 91.149 175.7605
135.928357 91.136 175.9564
136.264813 91.129 176.1172
136.601270 91.123 176.2220
136.937726 91.112 176.2859
137.274182 91.091 176.3519
137.610639 91.063 176.4664
137.947095 91.034 176.6548
138.283551 91.011 176.9106
138.620008 90.999 177.2029
138.956464 90.997 177.4955
139.292920 91.002 177.7643
139.629377 91.012 178.0023
139.965833 91.023 178.2150
140.302289 91.035 178.4124
140.638746 91.046 178.6042
140.975202 91.057 178.7997
141.311658 91.069 179.0056
141.648115 91.083 179.2218
141.984571 91.100 179.4380
142.321027 91.121 179.6376
142.657483 91.142 179.8095
142.993940 91.159 179.9626
143.330396 91.172 -179.8727
143.666852 91.181 -179.6599
144.003309 91.196 -179.3838
144.339765 91.224 -179.0722
144.676221 91.269 -178.7918
145.012678 91.326 -178.6152
145.349134 91.386 -178.5796
145.685590 91.435 -178.6642
146.022047 91.468 -178.8032
146.358503 91.487 -178.9241
146.694959 91.499 -178.9888
147.031416 91.514 -179.0103
147.367872 91.536 -179.0371
147.704328 91.561 -179.1134
148.040785 91.581 -179.2466
148.377241 91.591 -179.4022
148.713697 91.592 -179.5293
149.050154 91.590 -179.5947
149.386610 91.590 -179.6031
149.723066 91.599 -179.5908
150.059523 91.614 -179.5974
150.395979 91.631 -179.6397
150.732435 91.645 -179.7057
151.068892 91.656 -179.7701
151.405348 91.665 -179.8177
151.741804 91.677 -179.8554
152.078261 91.691 -179.9048
152.414717 91.705 -179.9827
152.751173 91.716 179.9141
153.087630 91.720 179.8077
153.424086 91.719 179.7239
153.760542 91.717 179.6744
154.096999 91.717 179.6497
154.433455 91.720 179.6269
154.769911 91.724 179.5867
155.106368 91.728 179.5254
155.442824 91.727 179.4550
155.779280 91.724 179.3927
