* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 8, 2026 4:27:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Reference R1
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 93.869 -123.5802
20.187380 93.909 -124.5456
20.523836 93.951 -125.4852
20.860293 93.993 -126.4096
21.196749 94.032 -127.3274
21.533205 94.066 -128.2337
21.869662 94.093 -129.1077
22.206118 94.116 -129.9243
22.542574 94.140 -130.6736
22.879030 94.169 -131.3758
23.215487 94.207 -132.0761
23.551943 94.249 -132.8213
23.888399 94.289 -133.6328
24.224856 94.317 -134.4931
24.561312 94.331 -135.3561
24.897768 94.332 -136.1714
25.234225 94.328 -136.9086
25.570681 94.325 -137.5654
25.907137 94.324 -138.1610
26.243594 94.330 -138.7216
26.580050 94.342 -139.2721
26.916506 94.359 -139.8365
27.252963 94.380 -140.4379
27.589419 94.400 -141.0910
27.925875 94.412 -141.7869
28.262332 94.414 -142.4851
28.598788 94.405 -143.1278
28.935244 94.394 -143.6743
29.271701 94.393 -144.1383
29.608157 94.409 -144.5931
29.944613 94.437 -145.1315
30.281070 94.463 -145.7982
30.617526 94.470 -146.5452
30.953982 94.450 -147.2452
31.290439 94.413 -147.7628
31.626895 94.387 -148.0475
31.963351 94.396 -148.1902
32.299808 94.446 -148.3897
32.636264 94.521 -148.8340
32.972720 94.586 -149.5805
33.309177 94.612 -150.5199
33.645633 94.587 -151.4362
33.982089 94.524 -152.1180
34.318546 94.454 -152.4668
34.655002 94.411 -152.5508
34.991458 94.410 -152.5624
35.327915 94.442 -152.6987
35.664371 94.484 -153.0498
36.000827 94.511 -153.5713
36.337284 94.514 -154.1403
36.673740 94.498 -154.6411
37.010196 94.476 -155.0273
37.346653 94.463 -155.3318
37.683109 94.461 -155.6268
38.019565 94.466 -155.9693
38.356022 94.471 -156.3689
38.692478 94.469 -156.7951
39.028934 94.461 -157.2082
39.365391 94.450 -157.5879
39.701847 94.442 -157.9407
40.038303 94.437 -158.2878
40.374760 94.436 -158.6450
40.711216 94.433 -159.0124
41.047672 94.429 -159.3773
41.384129 94.422 -159.7256
41.720585 94.415 -160.0525
42.057041 94.410 -160.3631
42.393498 94.407 -160.6679
42.729954 94.405 -160.9757
43.066410 94.402 -161.2894
43.402867 94.399 -161.6066
43.739323 94.393 -161.9218
44.075779 94.385 -162.2294
44.412236 94.376 -162.5254
44.748692 94.366 -162.8082
45.085148 94.356 -163.0798
45.421605 94.347 -163.3452
45.758061 94.338 -163.6098
46.094517 94.330 -163.8773
46.430974 94.321 -164.1472
46.767430 94.311 -164.4161
47.103886 94.301 -164.6812
47.440342 94.291 -164.9425
47.776799 94.282 -165.2038
48.113255 94.274 -165.4696
48.449711 94.265 -165.7413
48.786168 94.256 -166.0158
49.122624 94.246 -166.2871
49.459080 94.235 -166.5506
49.795537 94.225 -166.8061
50.131993 94.215 -167.0569
50.468449 94.206 -167.3061
50.804906 94.197 -167.5529
51.141362 94.186 -167.7915
51.477818 94.174 -168.0139
51.814275 94.162 -168.2158
52.150731 94.152 -168.4000
52.487187 94.144 -168.5768
52.823644 94.139 -168.7599
53.160100 94.134 -168.9597
53.496556 94.128 -169.1777
53.833013 94.118 -169.4055
54.169469 94.104 -169.6286
54.505925 94.087 -169.8343
54.842382 94.070 -170.0187
55.178838 94.054 -170.1900
55.515294 94.039 -170.3627
55.851751 94.026 -170.5470
56.188207 94.010 -170.7402
56.524663 93.993 -170.9275
56.861120 93.975 -171.0937
57.197576 93.962 -171.2397
57.534032 93.954 -171.3887
57.870489 93.953 -171.5743
58.206945 93.951 -171.8154
58.543401 93.943 -172.0964
58.879858 93.927 -172.3713
59.216314 93.905 -172.5919
59.552770 93.886 -172.7444
59.889227 93.876 -172.8642
60.225683 93.876 -173.0116
60.562139 93.876 -173.2224
60.898596 93.867 -173.4719
61.235052 93.846 -173.6850
61.571508 93.819 -173.7930
61.907965 93.801 -173.7962
62.244421 93.802 -173.7803
62.580877 93.814 -173.8578
62.917334 93.820 -174.0707
63.253790 93.801 -174.3336
63.590246 93.753 -174.4692
63.926703 93.700 -174.3272
64.263159 93.679 -173.9223
64.599615 93.718 -173.4835
64.936072 93.812 -173.3392
65.272528 93.918 -173.7026
65.608984 93.980 -174.5309
65.945441 93.963 -175.5504
66.281897 93.867 -176.3969
66.618353 93.727 -176.7916
66.954810 93.599 -176.6866
67.291266 93.527 -176.2946
67.627722 93.517 -175.9479
67.964179 93.541 -175.8766
68.300635 93.560 -176.0888
68.637091 93.551 -176.4253
68.973548 93.518 -176.7061
69.310004 93.480 -176.8549
69.646460 93.456 -176.9258
69.982917 93.447 -177.0276
70.319373 93.438 -177.2121
70.655829 93.417 -177.4245
70.992285 93.382 -177.5480
71.328742 93.348 -177.5025
71.665198 93.338 -177.3199
72.001654 93.361 -177.1358
72.338111 93.409 -177.0984
72.674567 93.459 -177.2692
73.011023 93.492 -177.5915
73.347480 93.499 -177.9406
73.683936 93.487 -178.2092
74.020392 93.472 -178.3714
74.356849 93.464 -178.4863
74.693305 93.463 -178.6414
75.029761 93.454 -178.8785
75.366218 93.426 -179.1552
75.702674 93.373 -179.3655
76.039130 93.305 -179.4040
76.375587 93.241 -179.2343
76.712043 93.203 -178.9227
77.048499 93.196 -178.6097
77.384956 93.214 -178.4331
77.721412 93.236 -178.4526
78.057868 93.245 -178.6274
78.394325 93.231 -178.8542
78.730781 93.201 -179.0355
79.067237 93.167 -179.1364
79.403694 93.138 -179.1956
79.740150 93.116 -179.2811
80.076606 93.090 -179.4214
80.413063 93.050 -179.5661
80.749519 92.998 -179.6092
81.085975 92.947 -179.4652
81.422432 92.922 -179.1519
81.758888 92.941 -178.8142
82.095344 93.000 -178.6546
82.431801 93.072 -178.8092
82.768257 93.127 -179.2635
83.104713 93.139 -179.8632
83.441170 93.108 179.6012
83.777626 93.053 179.2869
84.114082 93.002 179.2226
84.450539 92.976 179.3044
84.786995 92.980 179.3704
85.123451 93.001 179.3039
85.459908 93.019 179.0887
85.796364 93.020 178.7896
86.132820 93.005 178.4904
86.469277 92.976 178.2415
86.805733 92.941 178.0490
87.142189 92.900 177.9037
87.478646 92.853 177.8164
87.815102 92.799 177.8257
88.151558 92.748 177.9681
88.488015 92.711 178.2339
88.824471 92.698 178.5487
89.160927 92.710 178.8033
89.497384 92.735 178.9155
89.833840 92.756 178.8777
90.170296 92.762 178.7557
90.506753 92.752 178.6413
90.843209 92.734 178.5939
91.179665 92.721 178.6069
91.516122 92.716 178.6223
91.852578 92.717 178.5809
92.189034 92.713 178.4723
92.525491 92.697 178.3442
92.861947 92.671 178.2681
93.198403 92.644 178.2844
93.534860 92.628 178.3680
93.871316 92.628 178.4395
94.207772 92.638 178.4205
94.544228 92.644 178.2891
94.880685 92.634 178.0978
95.217141 92.605 177.9408
95.553597 92.567 177.8944
95.890054 92.534 177.9702
96.226510 92.515 178.1105
96.562966 92.511 178.2315
96.899423 92.514 178.2814
97.235879 92.514 178.2696
97.572335 92.506 178.2477
97.908792 92.495 178.2622
98.245248 92.489 178.3140
98.581704 92.492 178.3561
98.918161 92.501 178.3298
99.254617 92.508 178.2108
99.591073 92.502 178.0287
99.927530 92.480 177.8494
100.263986 92.448 177.7341
100.600442 92.413 177.7046
100.936899 92.384 177.7376
101.273355 92.363 177.7886
101.609811 92.348 177.8243
101.946268 92.335 177.8394
102.282724 92.322 177.8474
102.619180 92.311 177.8588
102.955637 92.303 177.8664
103.292093 92.298 177.8508
103.628549 92.294 177.7993
103.965006 92.285 177.7213
104.301462 92.270 177.6465
104.637918 92.251 177.6063
104.974375 92.232 177.6140
105.310831 92.218 177.6558
105.647287 92.212 177.7004
105.983744 92.210 177.7192
106.320200 92.209 177.7018
106.656656 92.205 177.6579
106.993113 92.197 177.6072
107.329569 92.184 177.5670
107.666025 92.170 177.5451
108.002482 92.155 177.5417
108.338938 92.140 177.5546
108.675394 92.125 177.5827
109.011851 92.112 177.6244
109.348307 92.102 177.6734
109.684763 92.096 177.7173
110.021220 92.092 177.7418
110.357676 92.088 177.7382
110.694132 92.082 177.7096
111.030589 92.072 177.6708
111.367045 92.058 177.6416
111.703501 92.042 177.6368
112.039958 92.027 177.6592
112.376414 92.016 177.6984
112.712870 92.008 177.7373
113.049327 92.003 177.7615
113.385783 91.999 177.7667
113.722239 91.993 177.7588
114.058696 91.985 177.7491
114.395152 91.975 177.7464
114.731608 91.966 177.7526
115.068065 91.956 177.7639
115.404521 91.947 177.7758
115.740977 91.937 177.7881
116.077434 91.925 177.8055
116.413890 91.913 177.8336
116.750346 91.901 177.8740
117.086803 91.891 177.9226
117.423259 91.882 177.9717
117.759715 91.875 178.0139
118.096171 91.869 178.0445
118.432628 91.863 178.0608
118.769084 91.856 178.0605
119.105540 91.848 178.0426
119.441997 91.836 178.0118
119.778453 91.819 177.9825
120.114909 91.798 177.9777
120.451366 91.775 178.0188
120.787822 91.756 178.1116
121.124278 91.745 178.2371
121.460735 91.745 178.3560
121.797191 91.753 178.4265
122.133647 91.764 178.4269
122.470104 91.770 178.3670
122.806560 91.768 178.2819
123.143016 91.758 178.2128
123.479473 91.744 178.1858
123.815929 91.731 178.2012
124.152385 91.722 178.2393
124.488842 91.718 178.2751
124.825298 91.715 178.2939
125.161754 91.713 178.2966
125.498211 91.708 178.2941
125.834667 91.702 178.2987
126.171123 91.694 178.3171
126.507580 91.686 178.3502
126.844036 91.678 178.3956
127.180492 91.673 178.4497
127.516949 91.669 178.5068
127.853405 91.667 178.5583
128.189861 91.668 178.5942
128.526318 91.668 178.6085
128.862774 91.666 178.6039
129.199230 91.661 178.5920
129.535687 91.652 178.5876
129.872143 91.643 178.5997
130.208599 91.634 178.6263
130.545056 91.627 178.6571
130.881512 91.621 178.6821
131.217968 91.614 178.7003
131.554425 91.606 178.7217
131.890881 91.596 178.7602
132.227337 91.587 178.8228
132.563794 91.582 178.9030
132.900250 91.583 178.9820
133.236706 91.587 179.0394
133.573163 91.592 179.0643
133.909619 91.596 179.0608
134.246075 91.596 179.0450
134.582532 91.591 179.0355
134.918988 91.585 179.0432
135.255444 91.579 179.0680
135.591901 91.575 179.1010
135.928357 91.572 179.1316
136.264813 91.569 179.1547
136.601270 91.565 179.1729
136.937726 91.560 179.1939
137.274182 91.554 179.2252
137.610639 91.548 179.2690
137.947095 91.544 179.3208
138.283551 91.541 179.3721
138.620008 91.540 179.4150
138.956464 91.539 179.4477
139.292920 91.537 179.4749
139.629377 91.533 179.5052
139.965833 91.529 179.5453
140.302289 91.525 179.5959
140.638746 91.524 179.6503
140.975202 91.524 179.6998
141.311658 91.524 179.7393
141.648115 91.524 179.7703
141.984571 91.523 179.7996
142.321027 91.522 179.8319
142.657483 91.522 179.8651
142.993940 91.522 179.8904
143.330396 91.522 179.8994
143.666852 91.519 179.8936
144.003309 91.512 179.8878
144.339765 91.501 179.9047
144.676221 91.489 179.9602
145.012678 91.480 -179.9482
145.349134 91.478 -179.8443
145.685590 91.483 -179.7613
146.022047 91.490 -179.7228
146.358503 91.496 -179.7281
146.694959 91.495 -179.7531
147.031416 91.488 -179.7652
147.367872 91.479 -179.7425
147.704328 91.472 -179.6867
148.040785 91.470 -179.6199
148.377241 91.473 -179.5684
148.713697 91.476 -179.5459
149.050154 91.478 -179.5456
149.386610 91.475 -179.5478
149.723066 91.470 -179.5338
150.059523 91.466 -179.4986
150.395979 91.464 -179.4516
150.732435 91.464 -179.4086
151.068892 91.466 -179.3792
151.405348 91.466 -179.3619
151.741804 91.465 -179.3465
152.078261 91.462 -179.3234
152.414717 91.460 -179.2902
152.751173 91.458 -179.2520
153.087630 91.458 -179.2168
153.424086 91.458 -179.1882
153.760542 91.456 -179.1634
154.096999 91.454 -179.1359
154.433455 91.451 -179.1010
154.769911 91.449 -179.0586
