* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Jun 13, 2026 3:30:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EHS64 L3
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 84.669 -121.7128
20.507812 84.702 -123.1645
20.874023 84.731 -124.4863
21.240234 84.766 -125.6958
21.606445 84.813 -126.8475
21.972656 84.872 -128.0007
22.338867 84.936 -129.1943
22.705078 84.996 -130.4350
23.071289 85.047 -131.6998
23.437500 85.082 -132.9454
23.803711 85.103 -134.1225
24.169922 85.114 -135.1932
24.536133 85.123 -136.1461
24.902344 85.136 -137.0026
25.268555 85.161 -137.8087
25.634766 85.194 -138.6154
26.000977 85.229 -139.4570
26.367188 85.259 -140.3401
26.733398 85.280 -141.2444
27.099609 85.291 -142.1365
27.465820 85.294 -142.9874
27.832031 85.295 -143.7879
28.198242 85.299 -144.5555
28.564453 85.307 -145.3257
28.930664 85.318 -146.1313
29.296875 85.326 -146.9791
29.663086 85.326 -147.8421
30.029297 85.319 -148.6752
30.395508 85.310 -149.4485
30.761719 85.307 -150.1750
31.127930 85.314 -150.9076
31.494141 85.326 -151.7012
31.860352 85.335 -152.5641
32.226562 85.327 -153.4401
32.592773 85.303 -154.2365
32.958984 85.274 -154.8853
33.325195 85.254 -155.3943
33.691406 85.256 -155.8488
34.057617 85.274 -156.3548
34.423828 85.297 -156.9673
34.790039 85.309 -157.6586
35.156250 85.306 -158.3485
35.522461 85.293 -158.9672
35.888672 85.281 -159.5038
36.254883 85.278 -160.0061
36.621094 85.282 -160.5365
36.987305 85.286 -161.1233
37.353516 85.281 -161.7447
37.719727 85.267 -162.3537
38.085938 85.248 -162.9152
38.452148 85.229 -163.4281
38.818359 85.214 -163.9174
39.184570 85.204 -164.4113
39.550781 85.194 -164.9224
39.916992 85.183 -165.4471
40.283203 85.172 -165.9747
40.649414 85.159 -166.4962
41.015625 85.145 -167.0066
41.381836 85.130 -167.5045
41.748047 85.116 -167.9921
42.114258 85.102 -168.4751
42.480469 85.088 -168.9578
42.846680 85.072 -169.4366
43.212891 85.055 -169.8997
43.579102 85.038 -170.3376
43.945312 85.025 -170.7582
44.311523 85.016 -171.1880
44.677734 85.009 -171.6528
45.043945 84.996 -172.1488
45.410156 84.975 -172.6354
45.776367 84.949 -173.0612
46.142578 84.926 -173.4111
46.508789 84.916 -173.7320
46.875000 84.917 -174.1061
47.241211 84.919 -174.5839
47.607422 84.906 -175.1331
47.973633 84.872 -175.6494
48.339844 84.827 -176.0297
48.706055 84.790 -176.2543
49.072266 84.777 -176.4148
49.438477 84.787 -176.6528
49.804688 84.801 -177.0551
50.170898 84.801 -177.5924
50.537109 84.776 -178.1460
50.903320 84.732 -178.5949
51.269531 84.686 -178.8947
51.635742 84.653 -179.0964
52.001953 84.635 -179.2944
52.368164 84.625 -179.5513
52.734375 84.614 -179.8642
53.100586 84.596 179.8105
53.466797 84.577 179.5062
53.833008 84.560 179.2159
54.199219 84.547 178.9049
54.565430 84.533 178.5487
54.931641 84.512 178.1598
55.297852 84.481 177.7814
55.664062 84.444 177.4569
56.030273 84.408 177.1993
56.396484 84.380 176.9821
56.762695 84.361 176.7574
57.128906 84.346 176.4883
57.495117 84.328 176.1735
57.861328 84.304 175.8490
58.227539 84.275 175.5616
58.593750 84.248 175.3302
58.959961 84.232 175.1209
59.326172 84.226 174.8627
59.692383 84.222 174.5031
60.058594 84.204 174.0637
60.424805 84.165 173.6484
60.791016 84.113 173.3817
61.157227 84.071 173.3090
61.523438 84.062 173.3301
61.889648 84.090 173.2403
62.255859 84.133 172.8708
62.622070 84.154 172.2200
62.988281 84.126 171.4680
63.354492 84.052 170.8714
63.720703 83.960 170.6071
64.086914 83.888 170.6557
64.453125 83.862 170.8143
64.819336 83.872 170.8467
65.185547 83.890 170.6511
65.551758 83.888 170.3031
65.917969 83.860 169.9654
66.284180 83.820 169.7552
66.650391 83.787 169.6678
67.016602 83.772 169.6045
67.382812 83.767 169.4676
67.749023 83.760 169.2375
68.115234 83.741 168.9696
68.481445 83.713 168.7317
68.847656 83.683 168.5472
69.213867 83.658 168.3873
69.580078 83.638 168.2106
69.946289 83.617 168.0048
70.312500 83.593 167.7910
70.678711 83.567 167.5933
71.044922 83.543 167.4099
71.411133 83.523 167.2140
71.777344 83.503 166.9847
72.143555 83.478 166.7346
72.509766 83.446 166.5059
72.875977 83.411 166.3373
73.242188 83.382 166.2293
73.608398 83.364 166.1382
73.974609 83.355 166.0061
74.340820 83.348 165.8028
74.707031 83.335 165.5455
75.073242 83.312 165.2844
75.439453 83.281 165.0677
75.805664 83.250 164.9116
76.171875 83.225 164.7950
76.538086 83.207 164.6793
76.904297 83.193 164.5346
77.270508 83.178 164.3565
77.636719 83.160 164.1616
78.002930 83.138 163.9711
78.369141 83.115 163.7965
78.735352 83.092 163.6359
79.101562 83.070 163.4805
79.467773 83.049 163.3242
79.833984 83.027 163.1676
80.200195 83.005 163.0146
80.566406 82.985 162.8659
80.932617 82.964 162.7180
81.298828 82.944 162.5676
81.665039 82.922 162.4178
82.031250 82.899 162.2777
82.397461 82.877 162.1526
82.763672 82.858 162.0349
83.129883 82.841 161.9040
83.496094 82.825 161.7420
83.862305 82.803 161.5532
84.228516 82.774 161.3699
84.594727 82.740 161.2343
84.960938 82.708 161.1641
85.327148 82.685 161.1301
85.693359 82.674 161.0683
86.059570 82.666 160.9257
86.425781 82.653 160.7054
86.791992 82.625 160.4708
87.158203 82.588 160.3005
87.524414 82.553 160.2225
87.890625 82.533 160.1804
88.256836 82.527 160.0692
88.623047 82.521 159.8210
88.989258 82.495 159.4735
89.355469 82.441 159.1629
89.721680 82.369 159.0384
90.087891 82.305 159.1531
90.454102 82.275 159.4075
90.820312 82.285 159.6036
91.186523 82.315 159.5823
91.552734 82.337 159.3308
91.918945 82.331 158.9766
92.285156 82.299 158.6866
92.651367 82.260 158.5488
93.017578 82.235 158.5187
93.383789 82.229 158.4690
93.750000 82.229 158.3050
94.116211 82.217 158.0446
94.482422 82.187 157.7990
94.848633 82.147 157.6745
95.214844 82.118 157.6757
95.581055 82.113 157.6877
95.947266 82.124 157.5631
96.313477 82.128 157.2460
96.679688 82.101 156.8297
97.045898 82.038 156.5054
97.412109 81.957 156.4399
97.778320 81.892 156.6562
98.144531 81.870 157.0016
98.510742 81.890 157.2431
98.876953 81.927 157.2260
99.243164 81.950 156.9667
99.609375 81.939 156.6196
99.975586 81.899 156.3621
100.341797 81.850 156.2822
100.708008 81.815 156.3361
101.074219 81.799 156.4027
101.440430 81.793 156.3883
101.806641 81.784 156.2925
102.172852 81.764 156.1865
102.539062 81.739 156.1337
102.905273 81.719 156.1286
103.271484 81.709 156.1067
103.637695 81.700 156.0178
104.003906 81.679 155.8905
104.370117 81.646 155.8233
104.736328 81.613 155.8993
105.102539 81.601 156.0929
105.468750 81.623 156.2535
105.834961 81.669 156.2015
106.201172 81.708 155.8646
106.567383 81.710 155.3396
106.933594 81.666 154.8369
107.299805 81.590 154.5532
107.666016 81.514 154.5526
108.032227 81.465 154.7319
108.398438 81.449 154.9031
108.764648 81.449 154.9308
109.130859 81.443 154.8125
109.497070 81.419 154.6475
109.863281 81.382 154.5419
110.229492 81.344 154.5298
110.595703 81.316 154.5633
110.961914 81.299 154.5677
111.328125 81.283 154.5071
111.694336 81.263 154.4045
112.060547 81.235 154.3099
112.426758 81.206 154.2527
112.792969 81.182 154.2197
113.159180 81.164 154.1733
113.525391 81.149 154.0873
113.891602 81.130 153.9681
114.257812 81.107 153.8463
114.624023 81.080 153.7507
114.990234 81.055 153.6882
115.356445 81.035 153.6424
115.722656 81.018 153.5899
116.088867 81.004 153.5182
116.455078 80.987 153.4329
116.821289 80.969 153.3517
117.187500 80.949 153.2906
117.553711 80.930 153.2518
117.919922 80.916 153.2205
118.286133 80.906 153.1724
118.652344 80.895 153.0894
119.018555 80.881 152.9738
119.384766 80.860 152.8505
119.750977 80.831 152.7540
120.117188 80.800 152.7078
120.483398 80.773 152.7077
120.849609 80.751 152.7246
121.215820 80.736 152.7235
121.582031 80.723 152.6864
121.948242 80.707 152.6199
122.314453 80.689 152.5451
122.680664 80.668 152.4786
123.046875 80.648 152.4208
123.413086 80.628 152.3614
123.779297 80.609 152.2927
124.145508 80.589 152.2189
124.511719 80.567 152.1526
124.877930 80.545 152.1011
125.244141 80.527 152.0582
125.610352 80.511 152.0083
125.976562 80.496 151.9405
126.342773 80.478 151.8605
126.708984 80.455 151.7892
127.075195 80.430 151.7491
127.441406 80.407 151.7477
127.807617 80.389 151.7702
128.173828 80.377 151.7864
128.540039 80.370 151.7679
128.906250 80.362 151.7041
129.272461 80.348 151.6093
129.638672 80.328 151.5148
130.004883 80.302 151.4532
130.371094 80.276 151.4396
130.737305 80.256 151.4612
131.103516 80.243 151.4828
131.469727 80.236 151.4664
131.835938 80.229 151.3951
132.202148 80.215 151.2856
132.568359 80.193 151.1804
132.934570 80.165 151.1225
133.300781 80.139 151.1280
133.666992 80.121 151.1732
134.033203 80.114 151.2084
134.399414 80.112 151.1880
134.765625 80.110 151.0995
135.131836 80.099 150.9695
135.498047 80.078 150.8463
135.864258 80.050 150.7695
136.230469 80.023 150.7485
136.596680 80.000 150.7614
136.962891 79.982 150.7739
137.329102 79.966 150.7654
137.695312 79.948 150.7401
138.061523 79.926 150.7199
138.427734 79.903 150.7228
138.793945 79.882 150.7468
139.160156 79.866 150.7696
139.526367 79.852 150.7655
139.892578 79.837 150.7255
140.258789 79.818 150.6635
140.625000 79.795 150.6055
140.991211 79.769 150.5688
141.357422 79.745 150.5494
141.723633 79.724 150.5279
142.089844 79.704 150.4897
142.456055 79.684 150.4401
142.822266 79.662 150.3992
143.188477 79.643 150.3788
143.554688 79.631 150.3605
143.920898 79.628 150.2965
144.287109 79.626 150.1421
144.653320 79.614 149.8963
145.019531 79.583 149.6209
145.385742 79.531 149.4174
145.751953 79.469 149.3741
146.118164 79.414 149.5110
146.484375 79.381 149.7608
146.850586 79.376 150.0042
147.216797 79.389 150.1400
147.583008 79.403 150.1384
147.949219 79.407 150.0449
148.315430 79.396 149.9393
148.681641 79.375 149.8839
149.047852 79.352 149.8926
149.414062 79.335 149.9362
149.780273 79.324 149.9720
150.146484 79.314 149.9744
150.512695 79.302 149.9456
150.878906 79.285 149.9053
151.245117 79.263 149.8721
151.611328 79.239 149.8525
151.977539 79.214 149.8442
152.343750 79.188 149.8439
152.709961 79.161 149.8549
153.076172 79.134 149.8832
153.442383 79.109 149.9291
153.808594 79.089 149.9807
154.174805 79.074 150.0167
154.541016 79.061 150.0198
154.907227 79.046 149.9879
155.273438 79.027 149.9368
155.639648 79.003 149.8900
156.005859 78.976 149.8646
156.372070 78.949 149.8632
156.738281 78.923 149.8791
157.104492 78.898 149.9060
157.470703 78.875 149.9422
157.836914 78.853 149.9833
158.203125 78.835 150.0156
158.569336 78.816 150.0225
158.935547 78.794 150.0049
159.301758 78.763 149.9963
159.667969 78.728 150.0490
160.034180 78.697 150.1882
160.400391 78.681 150.3671
160.766602 78.686 150.4733
161.132812 78.697 150.3997
161.499023 78.693 150.1356
161.865234 78.653 149.7998
162.231445 78.577 149.5840
162.597656 78.487 149.6335
162.963867 78.416 149.9393
163.330078 78.385 150.3292
163.696289 78.389 150.5863
164.062500 78.399 150.6068
164.428711 78.388 150.4615
164.794922 78.346 150.3244
165.161133 78.289 150.3356
165.527344 78.240 150.5026
165.893555 78.212 150.7072
166.259766 78.199 150.8138
166.625977 78.181 150.7843
166.992188 78.140 150.7031
167.358398 78.078 150.7062
167.724609 78.011 150.8764
168.090820 77.959 151.1819
168.457031 77.930 151.5035
168.823242 77.916 151.7275
169.189453 77.899 151.8301
169.555664 77.866 151.8865
169.921875 77.821 152.0050
170.288086 77.776 152.2369
