* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Jun 13, 2026 3:29:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EHS64 R4
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 85.506 -112.6268
20.507812 85.555 -113.9272
20.874023 85.599 -115.0556
21.240234 85.658 -116.0708
21.606445 85.738 -117.1189
21.972656 85.823 -118.3167
22.338867 85.888 -119.6522
22.705078 85.919 -120.9829
23.071289 85.924 -122.1320
23.437500 85.928 -123.0152
23.803711 85.961 -123.7118
24.169922 86.031 -124.4190
24.536133 86.124 -125.3144
24.902344 86.209 -126.4390
25.268555 86.268 -127.6867
25.634766 86.294 -128.8889
26.000977 86.300 -129.9204
26.367188 86.305 -130.7625
26.733398 86.326 -131.4929
27.099609 86.364 -132.2186
27.465820 86.410 -133.0080
27.832031 86.454 -133.8680
28.198242 86.490 -134.7672
28.564453 86.517 -135.6695
28.930664 86.535 -136.5511
29.296875 86.548 -137.3982
29.663086 86.557 -138.2012
30.029297 86.567 -138.9581
30.395508 86.581 -139.6835
30.761719 86.600 -140.4084
31.127930 86.622 -141.1633
31.494141 86.641 -141.9551
31.860352 86.656 -142.7585
32.226562 86.663 -143.5308
32.592773 86.666 -144.2413
32.958984 86.672 -144.8919
33.325195 86.684 -145.5140
33.691406 86.701 -146.1431
34.057617 86.719 -146.7927
34.423828 86.734 -147.4483
34.790039 86.745 -148.0840
35.156250 86.757 -148.6863
35.522461 86.771 -149.2663
35.888672 86.789 -149.8515
36.254883 86.809 -150.4650
36.621094 86.825 -151.1111
36.987305 86.835 -151.7744
37.353516 86.838 -152.4318
37.719727 86.834 -153.0652
38.085938 86.826 -153.6663
38.452148 86.815 -154.2327
38.818359 86.802 -154.7631
39.184570 86.789 -155.2572
39.550781 86.778 -155.7195
39.916992 86.771 -156.1632
40.283203 86.770 -156.6060
40.649414 86.772 -157.0610
41.015625 86.774 -157.5305
41.381836 86.774 -158.0062
41.748047 86.774 -158.4791
42.114258 86.774 -158.9482
42.480469 86.775 -159.4213
42.846680 86.776 -159.9064
43.212891 86.775 -160.4010
43.579102 86.770 -160.8895
43.945312 86.762 -161.3530
44.311523 86.755 -161.7843
44.677734 86.753 -162.1962
45.043945 86.754 -162.6140
45.410156 86.758 -163.0594
45.776367 86.760 -163.5356
46.142578 86.757 -164.0272
46.508789 86.748 -164.5115
46.875000 86.734 -164.9704
47.241211 86.716 -165.3943
47.607422 86.697 -165.7766
47.973633 86.679 -166.1101
48.339844 86.666 -166.3939
48.706055 86.662 -166.6466
49.072266 86.671 -166.9131
49.438477 86.689 -167.2489
49.804688 86.708 -167.6899
50.170898 86.719 -168.2261
50.537109 86.714 -168.8015
50.903320 86.692 -169.3421
51.269531 86.661 -169.7953
51.635742 86.631 -170.1554
52.001953 86.609 -170.4602
52.368164 86.596 -170.7611
52.734375 86.587 -171.0911
53.100586 86.579 -171.4514
53.466797 86.567 -171.8217
53.833008 86.553 -172.1810
54.199219 86.539 -172.5217
54.565430 86.526 -172.8506
54.931641 86.516 -173.1803
55.297852 86.506 -173.5211
55.664062 86.496 -173.8765
56.030273 86.484 -174.2427
56.396484 86.468 -174.6079
56.762695 86.447 -174.9552
57.128906 86.425 -175.2695
57.495117 86.404 -175.5473
57.861328 86.388 -175.8023
58.227539 86.376 -176.0595
58.593750 86.367 -176.3387
58.959961 86.357 -176.6402
59.326172 86.343 -176.9441
59.692383 86.327 -177.2268
60.058594 86.312 -177.4814
60.424805 86.302 -177.7266
60.791016 86.297 -177.9937
61.157227 86.291 -178.3026
61.523438 86.281 -178.6442
61.889648 86.263 -178.9843
62.255859 86.238 -179.2859
62.622070 86.213 -179.5336
62.988281 86.193 -179.7419
63.354492 86.180 -179.9439
63.720703 86.171 179.8327
64.086914 86.163 179.5810
64.453125 86.152 179.3141
64.819336 86.138 179.0502
65.185547 86.123 178.7988
65.551758 86.109 178.5565
65.917969 86.096 178.3138
66.284180 86.084 178.0644
66.650391 86.072 177.8073
67.016602 86.060 177.5436
67.382812 86.047 177.2722
67.749023 86.033 176.9926
68.115234 86.015 176.7120
68.481445 85.996 176.4454
68.847656 85.975 176.2071
69.213867 85.959 175.9938
69.580078 85.948 175.7797
69.946289 85.940 175.5316
70.312500 85.930 175.2379
70.678711 85.912 174.9290
71.044922 85.885 174.6640
71.411133 85.857 174.4885
71.777344 85.839 174.3899
72.143555 85.839 174.2906
72.509766 85.852 174.0952
72.875977 85.863 173.7607
73.242188 85.855 173.3353
73.608398 85.823 172.9330
73.974609 85.776 172.6617
74.340820 85.730 172.5531
74.707031 85.703 172.5429
75.073242 85.695 172.5193
75.439453 85.698 172.4018
75.805664 85.698 172.1869
76.171875 85.686 171.9319
76.538086 85.664 171.7009
76.904297 85.638 171.5209
77.270508 85.615 171.3771
77.636719 85.596 171.2394
78.002930 85.579 171.0897
78.369141 85.562 170.9271
78.735352 85.544 170.7563
79.101562 85.526 170.5789
79.467773 85.505 170.3978
79.833984 85.483 170.2235
80.200195 85.462 170.0672
80.566406 85.445 169.9228
80.932617 85.432 169.7609
81.298828 85.422 169.5510
81.665039 85.406 169.2971
82.031250 85.382 169.0477
82.397461 85.352 168.8597
82.763672 85.330 168.7377
83.129883 85.323 168.6076
83.496094 85.326 168.3658
83.862305 85.319 167.9760
84.228516 85.284 167.5287
84.594727 85.217 167.2030
84.960938 85.139 167.1454
85.327148 85.085 167.3466
85.693359 85.077 167.6217
86.059570 85.106 167.7379
86.425781 85.142 167.5906
86.791992 85.154 167.2700
87.158203 85.135 166.9726
87.524414 85.105 166.8417
87.890625 85.091 166.8561
88.256836 85.104 166.8543
88.623047 85.133 166.6776
88.989258 85.149 166.3033
89.355469 85.133 165.8566
89.721680 85.089 165.5081
90.087891 85.036 165.3501
90.454102 84.997 165.3405
90.820312 84.980 165.3534
91.186523 84.975 165.2860
91.552734 84.967 165.1276
91.918945 84.949 164.9415
92.285156 84.923 164.7952
92.651367 84.898 164.7070
93.017578 84.880 164.6451
93.383789 84.869 164.5666
93.750000 84.859 164.4525
94.116211 84.848 164.3102
94.482422 84.833 164.1556
94.848633 84.815 163.9993
95.214844 84.793 163.8521
95.581055 84.768 163.7321
95.947266 84.742 163.6568
96.313477 84.721 163.6214
96.679688 84.709 163.5894
97.045898 84.701 163.5141
97.412109 84.691 163.3811
97.778320 84.669 163.2325
98.144531 84.638 163.1451
98.510742 84.606 163.1707
98.876953 84.591 163.2834
99.243164 84.599 163.3809
99.609375 84.624 163.3481
99.975586 84.649 163.1371
100.341797 84.654 162.7988
100.708008 84.635 162.4460
101.074219 84.599 162.1819
101.440430 84.560 162.0403
101.806641 84.530 161.9779
102.172852 84.513 161.9177
102.539062 84.502 161.8085
102.905273 84.489 161.6537
103.271484 84.469 161.4937
103.637695 84.447 161.3645
104.003906 84.428 161.2689
104.370117 84.414 161.1794
104.736328 84.404 161.0666
105.102539 84.393 160.9241
105.468750 84.379 160.7715
105.834961 84.361 160.6344
106.201172 84.343 160.5226
106.567383 84.327 160.4235
106.933594 84.314 160.3167
107.299805 84.300 160.1940
107.666016 84.283 160.0671
108.032227 84.262 159.9576
108.398438 84.242 159.8773
108.764648 84.224 159.8174
109.130859 84.211 159.7540
109.497070 84.200 159.6669
109.863281 84.187 159.5529
110.229492 84.170 159.4270
110.595703 84.150 159.3096
110.961914 84.128 159.2131
111.328125 84.107 159.1365
111.694336 84.089 159.0696
112.060547 84.074 158.9997
112.426758 84.060 158.9167
112.792969 84.047 158.8149
113.159180 84.034 158.6944
113.525391 84.017 158.5636
113.891602 83.997 158.4382
114.257812 83.976 158.3331
114.624023 83.956 158.2511
114.990234 83.939 158.1776
115.356445 83.926 158.0900
115.722656 83.913 157.9771
116.088867 83.895 157.8507
116.455078 83.874 157.7387
116.821289 83.851 157.6611
117.187500 83.832 157.6097
117.553711 83.818 157.5516
117.919922 83.806 157.4590
118.286133 83.789 157.3389
118.652344 83.764 157.2354
119.018555 83.736 157.1966
119.384766 83.713 157.2299
119.750977 83.705 157.2848
120.117188 83.710 157.2816
120.483398 83.718 157.1698
120.849609 83.716 156.9666
121.215820 83.697 156.7463
121.582031 83.665 156.5905
121.948242 83.631 156.5350
122.314453 83.606 156.5519
122.680664 83.593 156.5768
123.046875 83.587 156.5564
123.413086 83.582 156.4786
123.779297 83.571 156.3678
124.145508 83.554 156.2585
124.511719 83.534 156.1729
124.877930 83.514 156.1149
125.244141 83.497 156.0750
125.610352 83.484 156.0369
125.976562 83.475 155.9807
126.342773 83.466 155.8899
126.708984 83.453 155.7638
127.075195 83.433 155.6261
127.441406 83.407 155.5148
127.807617 83.379 155.4547
128.173828 83.355 155.4335
128.540039 83.339 155.4077
128.906250 83.326 155.3391
129.272461 83.308 155.2342
129.638672 83.284 155.1425
130.004883 83.258 155.1092
130.371094 83.242 155.1196
130.737305 83.239 155.0914
131.103516 83.242 154.9396
131.469727 83.229 154.6636
131.835938 83.187 154.3792
132.202148 83.120 154.2576
132.568359 83.054 154.4024
132.934570 83.021 154.7505
133.300781 83.034 155.0905
133.666992 83.079 155.2071
134.033203 83.122 155.0355
134.399414 83.136 154.6928
134.765625 83.115 154.3784
135.131836 83.078 154.2294
135.498047 83.051 154.2347
135.864258 83.044 154.2671
136.230469 83.050 154.2055
136.596680 83.050 154.0359
136.962891 83.034 153.8457
137.329102 83.006 153.7330
137.695312 82.983 153.7162
138.061523 82.972 153.7254
138.427734 82.970 153.6763
138.793945 82.963 153.5541
139.160156 82.944 153.4241
139.526367 82.918 153.3636
139.892578 82.895 153.3842
140.258789 82.885 153.4194
140.625000 82.882 153.3927
140.991211 82.872 153.3014
141.357422 82.848 153.2274
141.723633 82.818 153.2616
142.089844 82.802 153.4062
142.456055 82.810 153.5472
142.822266 82.836 153.5378
143.188477 82.855 153.3252
143.554688 82.844 153.0044
143.920898 82.802 152.7535
144.287109 82.746 152.7036
144.653320 82.705 152.8382
145.019531 82.693 153.0068
145.385742 82.701 153.0491
145.751953 82.704 152.9240
146.118164 82.686 152.7316
146.484375 82.647 152.6211
146.850586 82.606 152.6684
147.216797 82.585 152.8160
147.583008 82.589 152.9242
147.949219 82.602 152.8865
148.315430 82.607 152.7090
148.681641 82.591 152.4920
149.047852 82.559 152.3436
149.414062 82.526 152.3023
149.780273 82.502 152.3211
150.146484 82.490 152.3209
150.512695 82.479 152.2602
150.878906 82.460 152.1635
151.245117 82.431 152.0925
151.611328 82.399 152.0949
151.977539 82.371 152.1723
152.343750 82.354 152.2861
152.709961 82.348 152.3881
153.076172 82.349 152.4450
153.442383 82.354 152.4429
153.808594 82.358 152.3799
154.174805 82.356 152.2636
154.541016 82.345 152.1172
154.907227 82.323 151.9823
155.273438 82.294 151.9052
155.639648 82.264 151.9097
156.005859 82.243 151.9771
156.372070 82.235 152.0512
156.738281 82.238 152.0725
157.104492 82.243 152.0150
157.470703 82.242 151.8990
157.836914 82.232 151.7725
158.203125 82.217 151.6774
158.569336 82.201 151.6260
158.935547 82.188 151.6015
159.301758 82.181 151.5779
159.667969 82.175 151.5392
160.034180 82.170 151.4856
160.400391 82.160 151.4262
160.766602 82.148 151.3690
161.132812 82.135 151.3165
161.499023 82.121 151.2680
161.865234 82.105 151.2235
162.231445 82.087 151.1852
162.597656 82.066 151.1586
162.963867 82.044 151.1511
163.330078 82.021 151.1680
163.696289 82.001 151.2039
164.062500 81.985 151.2376
164.428711 81.972 151.2399
164.794922 81.958 151.1957
165.161133 81.936 151.1245
165.527344 81.907 151.0745
165.893555 81.877 151.0840
166.259766 81.857 151.1364
166.625977 81.851 151.1524
166.992188 81.852 151.0457
167.358398 81.843 150.8048
167.724609 81.808 150.5312
168.090820 81.751 150.3842
168.457031 81.697 150.4580
168.823242 81.677 150.6751
169.189453 81.699 150.8037
169.555664 81.742 150.6233
