* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Jun 13, 2026 2:51:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Gate L2
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 92.331 -140.4435
20.187380 92.330 -141.5148
20.523836 92.328 -142.5411
20.860293 92.324 -143.5130
21.196749 92.322 -144.4431
21.533205 92.325 -145.3601
21.869662 92.328 -146.2903
22.206118 92.328 -147.2388
22.542574 92.320 -148.1824
22.879030 92.303 -149.0814
23.215487 92.283 -149.9045
23.551943 92.266 -150.6510
23.888399 92.257 -151.3563
24.224856 92.257 -152.0732
24.561312 92.259 -152.8401
24.897768 92.257 -153.6568
25.234225 92.247 -154.4847
25.570681 92.228 -155.2720
25.907137 92.204 -155.9869
26.243594 92.184 -156.6394
26.580050 92.171 -157.2731
26.916506 92.162 -157.9333
27.252963 92.150 -158.6328
27.589419 92.131 -159.3423
27.925875 92.103 -160.0130
28.262332 92.075 -160.6152
28.598788 92.053 -161.1662
28.935244 92.042 -161.7222
29.271701 92.037 -162.3371
29.608157 92.028 -163.0183
29.944613 92.006 -163.7153
30.281070 91.975 -164.3522
30.617526 91.944 -164.8862
30.953982 91.927 -165.3499
31.290439 91.929 -165.8433
31.626895 91.943 -166.4687
31.963351 91.949 -167.2551
32.299808 91.927 -168.1250
32.636264 91.870 -168.9263
32.972720 91.791 -169.5116
33.309177 91.714 -169.8223
33.645633 91.664 -169.9302
33.982089 91.652 -170.0006
34.318546 91.669 -170.1950
34.655002 91.692 -170.5807
34.991458 91.701 -171.1110
35.327915 91.687 -171.6741
35.664371 91.657 -172.1687
36.000827 91.622 -172.5587
36.337284 91.594 -172.8788
36.673740 91.576 -173.1955
37.010196 91.562 -173.5557
37.346653 91.544 -173.9597
37.683109 91.520 -174.3732
38.019565 91.490 -174.7610
38.356022 91.460 -175.1137
38.692478 91.434 -175.4508
39.028934 91.411 -175.8007
39.365391 91.388 -176.1769
39.701847 91.362 -176.5690
40.038303 91.331 -176.9523
40.374760 91.300 -177.3070
40.711216 91.270 -177.6304
41.047672 91.244 -177.9369
41.384129 91.221 -178.2448
41.720585 91.200 -178.5638
42.057041 91.178 -178.8909
42.393498 91.156 -179.2155
42.729954 91.132 -179.5288
43.066410 91.110 -179.8311
43.402867 91.089 179.8701
43.739323 91.068 179.5656
44.075779 91.047 179.2523
44.412236 91.023 178.9361
44.748692 90.997 178.6298
45.085148 90.968 178.3456
45.421605 90.940 178.0881
45.758061 90.914 177.8501
46.094517 90.891 177.6160
46.430974 90.872 177.3697
46.767430 90.853 177.1033
47.103886 90.832 176.8210
47.440342 90.809 176.5349
47.776799 90.784 176.2550
48.113255 90.760 175.9821
48.449711 90.736 175.7070
48.786168 90.712 175.4195
49.122624 90.685 175.1193
49.459080 90.653 174.8217
49.795537 90.617 174.5514
50.131993 90.579 174.3287
50.468449 90.544 174.1565
50.804906 90.515 174.0169
51.141362 90.493 173.8809
51.477818 90.476 173.7240
51.814275 90.461 173.5385
52.150731 90.443 173.3336
52.487187 90.422 173.1258
52.823644 90.400 172.9280
53.160100 90.377 172.7426
53.496556 90.354 172.5638
53.833013 90.332 172.3840
54.169469 90.309 172.2002
54.505925 90.285 172.0148
54.842382 90.259 171.8330
55.178838 90.231 171.6592
55.515294 90.204 171.4948
55.851751 90.176 171.3382
56.188207 90.149 171.1868
56.524663 90.122 171.0378
56.861120 90.097 170.8887
57.197576 90.072 170.7381
57.534032 90.048 170.5854
57.870489 90.024 170.4306
58.206945 90.001 170.2728
58.543401 89.979 170.1102
58.879858 89.958 169.9404
59.216314 89.936 169.7630
59.552770 89.914 169.5808
59.889227 89.890 169.3999
60.225683 89.866 169.2271
60.562139 89.841 169.0660
60.898596 89.816 168.9155
61.235052 89.793 168.7721
61.571508 89.770 168.6325
61.907965 89.748 168.4966
62.244421 89.726 168.3658
62.580877 89.705 168.2391
62.917334 89.685 168.1119
63.253790 89.667 167.9764
63.590246 89.649 167.8272
63.926703 89.629 167.6645
64.263159 89.606 167.4950
64.599615 89.580 167.3286
64.936072 89.550 167.1750
65.272528 89.518 167.0418
65.608984 89.487 166.9338
65.945441 89.456 166.8513
66.281897 89.430 166.7867
66.618353 89.409 166.7220
66.954810 89.393 166.6326
67.291266 89.379 166.5006
67.627722 89.361 166.3282
67.964179 89.336 166.1430
68.300635 89.304 165.9858
68.637091 89.269 165.8870
68.973548 89.238 165.8462
69.310004 89.217 165.8302
69.646460 89.203 165.7960
69.982917 89.192 165.7207
70.319373 89.178 165.6168
70.655829 89.160 165.5181
70.992285 89.140 165.4478
71.328742 89.125 165.3934
71.665198 89.114 165.3137
72.001654 89.101 165.1761
72.338111 89.076 164.9966
72.674567 89.035 164.8476
73.011023 88.981 164.8204
73.347480 88.932 164.9603
73.683936 88.906 165.2174
74.020392 88.912 165.4548
74.356849 88.943 165.5231
74.693305 88.975 165.3512
75.029761 88.985 164.9883
75.366218 88.961 164.5722
75.702674 88.910 164.2517
76.039130 88.850 164.1060
76.375587 88.801 164.1069
76.712043 88.774 164.1460
77.048499 88.764 164.1126
77.384956 88.756 163.9654
77.721412 88.737 163.7485
78.057868 88.705 163.5506
78.394325 88.667 163.4399
78.730781 88.636 163.4211
79.067237 88.619 163.4375
79.403694 88.616 163.4167
79.740150 88.617 163.3202
80.076606 88.613 163.1641
80.413063 88.599 162.9989
80.749519 88.578 162.8723
81.085975 88.554 162.8023
81.422432 88.530 162.7803
81.758888 88.508 162.7935
82.095344 88.487 162.8430
82.431801 88.470 162.9361
82.768257 88.462 163.0575
83.104713 88.468 163.1484
83.441170 88.482 163.1241
83.777626 88.489 162.9321
84.114082 88.469 162.6115
84.450539 88.408 162.3081
84.786995 88.311 162.2219
85.123451 88.209 162.4984
85.459908 88.144 163.1107
85.796364 88.148 163.8201
86.132820 88.218 164.2839
86.469277 88.316 164.2599
86.805733 88.390 163.7458
87.142189 88.401 162.9654
87.478646 88.342 162.2423
87.815102 88.241 161.8406
88.151558 88.144 161.8329
88.488015 88.087 162.0666
88.824471 88.079 162.2722
89.160927 88.097 162.2543
89.497384 88.105 162.0118
89.833840 88.084 161.7070
90.170296 88.040 161.5314
90.506753 87.999 161.5646
90.843209 87.987 161.7153
91.179665 88.008 161.7899
91.516122 88.040 161.6425
91.852578 88.054 161.2826
92.189034 88.029 160.8655
92.525491 87.970 160.5888
92.861947 87.899 160.5679
93.198403 87.846 160.7654
93.534860 87.824 161.0231
93.871316 87.827 161.1777
94.207772 87.831 161.1690
94.544228 87.819 161.0596
94.880685 87.787 160.9674
95.217141 87.747 160.9747
95.553597 87.712 161.0775
95.890054 87.690 161.2054
96.226510 87.680 161.2895
96.562966 87.671 161.3141
96.899423 87.662 161.3120
97.235879 87.655 161.3120
97.572335 87.657 161.2910
97.908792 87.670 161.1775
98.245248 87.681 160.9103
98.581704 87.674 160.5042
98.918161 87.634 160.0693
99.254617 87.564 159.7648
99.591073 87.482 159.7113
99.927530 87.415 159.9132
100.263986 87.386 160.2434
100.600442 87.394 160.5161
100.936899 87.421 160.6003
101.273355 87.443 160.4900
101.609811 87.443 160.2880
101.946268 87.420 160.1285
102.282724 87.387 160.0942
102.619180 87.361 160.1755
102.955637 87.349 160.2907
103.292093 87.349 160.3522
103.628549 87.349 160.3264
103.965006 87.338 160.2494
104.301462 87.314 160.1918
104.637918 87.284 160.2066
104.974375 87.258 160.2923
105.310831 87.244 160.3969
105.647287 87.238 160.4554
105.983744 87.234 160.4350
106.320200 87.222 160.3559
106.656656 87.199 160.2752
106.993113 87.168 160.2484
107.329569 87.140 160.2915
107.666025 87.123 160.3692
108.002482 87.118 160.4157
108.338938 87.117 160.3782
108.675394 87.111 160.2530
109.011851 87.091 160.0917
109.348307 87.056 159.9733
109.684763 87.014 159.9589
110.021220 86.978 160.0544
110.357676 86.958 160.2050
110.694132 86.953 160.3279
111.030589 86.955 160.3646
111.367045 86.954 160.3144
111.703501 86.941 160.2288
112.039958 86.918 160.1714
112.376414 86.893 160.1726
112.712870 86.874 160.2092
113.049327 86.862 160.2265
113.385783 86.850 160.1855
113.722239 86.831 160.0995
114.058696 86.800 160.0289
114.395152 86.764 160.0356
114.731608 86.735 160.1290
115.068065 86.723 160.2451
115.404521 86.727 160.2834
115.740977 86.734 160.1805
116.077434 86.726 159.9648
116.413890 86.695 159.7488
116.750346 86.647 159.6608
117.086803 86.603 159.7557
117.423259 86.586 159.9637
117.759715 86.601 160.1224
118.096171 86.633 160.0838
118.432628 86.655 159.8183
118.769084 86.644 159.4382
119.105540 86.595 159.1346
119.441997 86.525 159.0674
119.778453 86.464 159.2706
120.114909 86.436 159.6285
120.451366 86.446 159.9485
120.787822 86.475 160.0854
121.124278 86.498 160.0210
121.460735 86.497 159.8520
121.797191 86.471 159.7121
122.133647 86.432 159.6893
122.470104 86.394 159.7856
122.806560 86.368 159.9366
123.143016 86.352 160.0692
123.479473 86.338 160.1503
123.815929 86.321 160.1938
124.152385 86.300 160.2315
124.488842 86.278 160.2792
124.825298 86.257 160.3258
125.161754 86.239 160.3489
125.498211 86.221 160.3392
125.834667 86.199 160.3095
126.171123 86.172 160.2849
126.507580 86.144 160.2823
126.844036 86.118 160.2994
127.180492 86.096 160.3204
127.516949 86.076 160.3311
127.853405 86.058 160.3303
128.189861 86.039 160.3278
128.526318 86.020 160.3334
128.862774 86.004 160.3475
129.199230 85.990 160.3605
129.535687 85.978 160.3620
129.872143 85.965 160.3504
130.208599 85.948 160.3380
130.545056 85.927 160.3475
130.881512 85.904 160.4018
131.217968 85.884 160.5104
131.554425 85.871 160.6588
131.890881 85.868 160.8055
132.227337 85.874 160.8975
132.563794 85.880 160.8992
132.900250 85.876 160.8214
133.236706 85.852 160.7292
133.573163 85.811 160.7155
133.909619 85.764 160.8483
134.246075 85.728 161.1199
134.582532 85.715 161.4387
134.918988 85.721 161.6838
135.255444 85.732 161.7897
135.591901 85.729 161.7977
135.928357 85.708 161.8290
136.264813 85.679 161.9944
136.601270 85.667 162.2961
136.937726 85.689 162.5971
137.274182 85.739 162.6998
137.610639 85.788 162.4854
137.947095 85.802 162.0073
138.283551 85.759 161.4734
138.620008 85.665 161.1395
138.956464 85.552 161.1727
139.292920 85.460 161.5528
139.629377 85.413 162.0823
139.965833 85.409 162.5178
140.302289 85.421 162.7293
140.638746 85.419 162.7608
140.975202 85.393 162.7650
141.311658 85.351 162.8790
141.648115 85.317 163.1276
141.984571 85.305 163.4133
142.321027 85.312 163.5994
142.657483 85.319 163.6191
142.993940 85.306 163.5264
143.330396 85.268 163.4584
143.666852 85.215 163.5419
144.003309 85.171 163.8060
144.339765 85.153 164.1551
144.676221 85.163 164.4310
145.012678 85.182 164.5247
145.349134 85.186 164.4588
145.685590 85.158 164.3845
146.022047 85.105 164.4975
146.358503 85.058 164.9125
146.694959 85.053 165.5591
147.031416 85.113 166.1792
147.367872 85.222 166.4623
147.704328 85.334 166.2365
148.040785 85.396 165.5762
148.377241 85.371 164.7736
148.713697 85.258 164.2212
149.050154 85.094 164.2532
149.386610 84.944 164.9803
149.723066 84.870 166.1934
150.059523 84.898 167.4509
150.395979 84.999 168.3419
150.732435 85.115 168.7126
151.068892 85.198 168.6908
151.405348 85.225 168.5501
151.741804 85.207 168.5436
152.078261 85.176 168.7881
152.414717 85.159 169.2354
152.751173 85.171 169.7349
153.087630 85.205 170.1441
153.424086 85.246 170.4049
153.760542 85.278 170.5467
154.096999 85.297 170.6385
154.433455 85.305 170.7397
154.769911 85.306 170.8788
155.106368 85.306 171.0618
155.442824 85.309 171.2880
155.779280 85.318 171.5527
156.115737 85.339 171.8380
156.452193 85.374 172.1053
156.788649 85.421 172.3053
157.125106 85.475 172.4033
157.461562 85.526 172.4006
157.798018 85.568 172.3350
158.134475 85.600 172.2576
158.470931 85.626 172.2054
