* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Jun 13, 2026 2:53:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Gate R4
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 92.264 -135.4696
20.187380 92.264 -136.4553
20.523836 92.273 -137.3622
20.860293 92.290 -138.2292
21.196749 92.314 -139.1050
21.533205 92.339 -140.0217
21.869662 92.359 -140.9771
22.206118 92.368 -141.9370
22.542574 92.367 -142.8562
22.879030 92.361 -143.7045
23.215487 92.356 -144.4847
23.551943 92.357 -145.2308
23.888399 92.365 -145.9878
24.224856 92.374 -146.7866
24.561312 92.379 -147.6293
24.897768 92.374 -148.4900
25.234225 92.362 -149.3307
25.570681 92.345 -150.1187
25.907137 92.325 -150.8396
26.243594 92.307 -151.5004
26.580050 92.294 -152.1244
26.916506 92.288 -152.7414
27.252963 92.285 -153.3748
27.589419 92.282 -154.0312
27.925875 92.274 -154.6957
28.262332 92.261 -155.3375
28.598788 92.244 -155.9262
28.935244 92.231 -156.4533
29.271701 92.226 -156.9454
29.608157 92.230 -157.4555
29.944613 92.239 -158.0314
30.281070 92.241 -158.6799
30.617526 92.227 -159.3502
30.953982 92.196 -159.9545
31.290439 92.158 -160.4173
31.626895 92.132 -160.7297
31.963351 92.131 -160.9715
32.299808 92.157 -161.2782
32.636264 92.197 -161.7647
32.972720 92.228 -162.4583
33.309177 92.231 -163.2828
33.645633 92.200 -164.1002
33.982089 92.143 -164.7800
34.318546 92.078 -165.2616
34.655002 92.024 -165.5773
34.991458 91.991 -165.8247
35.327915 91.975 -166.1045
35.664371 91.968 -166.4674
36.000827 91.957 -166.9020
36.337284 91.938 -167.3613
36.673740 91.913 -167.8011
37.010196 91.886 -168.2035
37.346653 91.861 -168.5767
37.683109 91.840 -168.9392
38.019565 91.822 -169.3040
38.356022 91.806 -169.6760
38.692478 91.791 -170.0572
39.028934 91.777 -170.4515
39.365391 91.761 -170.8616
39.701847 91.742 -171.2822
40.038303 91.720 -171.6974
40.374760 91.696 -172.0879
40.711216 91.671 -172.4436
41.047672 91.648 -172.7713
41.384129 91.629 -173.0897
41.720585 91.612 -173.4152
42.057041 91.594 -173.7493
42.393498 91.574 -174.0785
42.729954 91.553 -174.3875
43.066410 91.534 -174.6740
43.402867 91.519 -174.9536
43.739323 91.508 -175.2499
44.075779 91.496 -175.5766
44.412236 91.480 -175.9259
44.748692 91.459 -176.2732
45.085148 91.433 -176.5916
45.421605 91.405 -176.8692
45.758061 91.381 -177.1138
46.094517 91.360 -177.3459
46.430974 91.344 -177.5845
46.767430 91.328 -177.8390
47.103886 91.313 -178.1094
47.440342 91.296 -178.3936
47.776799 91.277 -178.6900
48.113255 91.254 -178.9946
48.449711 91.225 -179.2936
48.786168 91.191 -179.5623
49.122624 91.154 -179.7754
49.459080 91.119 -179.9233
49.795537 91.093 179.9744
50.131993 91.080 179.8724
50.468449 91.076 179.7215
50.804906 91.076 179.4942
51.141362 91.070 179.2003
51.477818 91.054 178.8802
51.814275 91.029 178.5817
52.150731 91.001 178.3343
52.487187 90.974 178.1358
52.823644 90.953 177.9581
53.160100 90.938 177.7681
53.496556 90.924 177.5480
53.833013 90.908 177.3038
54.169469 90.888 177.0575
54.505925 90.864 176.8309
54.842382 90.839 176.6326
55.178838 90.817 176.4556
55.515294 90.797 176.2847
55.851751 90.779 176.1082
56.188207 90.760 175.9248
56.524663 90.741 175.7419
56.861120 90.720 175.5688
57.197576 90.699 175.4094
57.534032 90.679 175.2592
57.870489 90.662 175.1086
58.206945 90.645 174.9489
58.543401 90.629 174.7771
58.879858 90.610 174.5969
59.216314 90.590 174.4160
59.552770 90.568 174.2424
59.889227 90.545 174.0797
60.225683 90.523 173.9267
60.562139 90.501 173.7781
60.898596 90.481 173.6275
61.235052 90.461 173.4708
61.571508 90.440 173.3085
61.907965 90.418 173.1462
62.244421 90.394 172.9915
62.580877 90.371 172.8502
62.917334 90.348 172.7232
63.253790 90.328 172.6044
63.590246 90.311 172.4835
63.926703 90.296 172.3506
64.263159 90.281 172.2013
64.599615 90.264 172.0392
64.936072 90.245 171.8744
65.272528 90.223 171.7189
65.608984 90.200 171.5815
65.945441 90.177 171.4630
66.281897 90.156 171.3564
66.618353 90.138 171.2506
66.954810 90.121 171.1361
67.291266 90.103 171.0110
67.627722 90.083 170.8829
67.964179 90.062 170.7646
68.300635 90.040 170.6663
68.637091 90.021 170.5866
68.973548 90.006 170.5102
69.310004 89.995 170.4140
69.646460 89.985 170.2809
69.982917 89.971 170.1129
70.319373 89.950 169.9344
70.655829 89.923 169.7817
70.992285 89.892 169.6830
71.328742 89.865 169.6403
71.665198 89.846 169.6254
72.001654 89.836 169.5949
72.338111 89.830 169.5158
72.674567 89.823 169.3861
73.011023 89.808 169.2346
73.347480 89.787 169.1014
73.683936 89.764 169.0119
74.020392 89.744 168.9590
74.356849 89.731 168.9088
74.693305 89.723 168.8233
75.029761 89.714 168.6870
75.366218 89.698 168.5181
75.702674 89.673 168.3577
76.039130 89.641 168.2454
76.375587 89.610 168.1965
76.712043 89.584 168.1943
77.048499 89.568 168.2013
77.384956 89.558 168.1809
77.721412 89.551 168.1154
78.057868 89.542 168.0100
78.394325 89.529 167.8848
78.730781 89.511 167.7601
79.067237 89.492 167.6466
79.403694 89.472 167.5442
79.740150 89.452 167.4466
80.076606 89.432 167.3485
80.413063 89.412 167.2504
80.749519 89.391 167.1579
81.085975 89.369 167.0783
81.422432 89.346 167.0153
81.758888 89.326 166.9661
82.095344 89.308 166.9226
82.431801 89.292 166.8761
82.768257 89.276 166.8222
83.104713 89.261 166.7636
83.441170 89.245 166.7068
83.777626 89.230 166.6557
84.114082 89.216 166.6054
84.450539 89.205 166.5439
84.786995 89.193 166.4599
85.123451 89.179 166.3542
85.459908 89.159 166.2435
85.796364 89.135 166.1540
86.132820 89.109 166.1060
86.469277 89.085 166.1004
86.805733 89.068 166.1153
87.142189 89.057 166.1188
87.478646 89.050 166.0877
87.815102 89.042 166.0206
88.151558 89.031 165.9356
88.488015 89.016 165.8549
88.824471 89.000 165.7892
89.160927 88.986 165.7317
89.497384 88.974 165.6663
89.833840 88.962 165.5828
90.170296 88.947 165.4866
90.506753 88.927 165.3959
90.843209 88.905 165.3293
91.179665 88.884 165.2931
91.516122 88.865 165.2779
91.852578 88.851 165.2665
92.189034 88.838 165.2450
92.525491 88.827 165.2100
92.861947 88.815 165.1668
93.198403 88.801 165.1226
93.534860 88.788 165.0811
93.871316 88.774 165.0433
94.207772 88.760 165.0097
94.544228 88.746 164.9831
94.880685 88.734 164.9642
95.217141 88.724 164.9474
95.553597 88.716 164.9197
95.890054 88.708 164.8676
96.226510 88.699 164.7892
96.562966 88.684 164.7017
96.899423 88.662 164.6363
97.235879 88.638 164.6224
97.572335 88.618 164.6669
97.908792 88.607 164.7433
98.245248 88.608 164.8004
98.581704 88.616 164.7881
98.918161 88.624 164.6850
99.254617 88.622 164.5121
99.591073 88.605 164.3231
99.927530 88.577 164.1770
100.263986 88.543 164.1094
100.600442 88.511 164.1158
100.936899 88.488 164.1586
101.273355 88.472 164.1934
101.609811 88.458 164.1974
101.946268 88.443 164.1807
102.282724 88.424 164.1743
102.619180 88.404 164.2025
102.955637 88.391 164.2603
103.292093 88.387 164.3106
103.628549 88.389 164.3071
103.965006 88.392 164.2247
104.301462 88.387 164.0793
104.637918 88.369 163.9208
104.974375 88.342 163.8050
105.310831 88.310 163.7621
105.647287 88.284 163.7815
105.983744 88.266 163.8221
106.320200 88.255 163.8419
106.656656 88.246 163.8254
106.993113 88.234 163.7895
107.329569 88.218 163.7662
107.666025 88.202 163.7756
108.002482 88.191 163.8085
108.338938 88.188 163.8314
108.675394 88.188 163.8098
109.011851 88.187 163.7326
109.348307 88.179 163.6211
109.684763 88.161 163.5170
110.021220 88.137 163.4584
110.357676 88.113 163.4584
110.694132 88.095 163.4991
111.030589 88.083 163.5437
111.367045 88.077 163.5588
111.703501 88.071 163.5322
112.039958 88.061 163.4771
112.376414 88.045 163.4215
112.712870 88.025 163.3915
113.049327 88.004 163.3970
113.385783 87.987 163.4279
113.722239 87.976 163.4607
114.058696 87.968 163.4714
114.395152 87.962 163.4481
114.731608 87.952 163.3955
115.068065 87.939 163.3322
115.404521 87.920 163.2806
115.740977 87.900 163.2574
116.077434 87.880 163.2662
116.413890 87.865 163.2971
116.750346 87.854 163.3314
117.086803 87.848 163.3494
117.423259 87.844 163.3384
117.759715 87.840 163.2981
118.096171 87.832 163.2399
118.432628 87.819 163.1824
118.769084 87.804 163.1435
119.105540 87.788 163.1318
119.441997 87.774 163.1432
119.778453 87.764 163.1631
120.114909 87.757 163.1743
120.451366 87.751 163.1672
120.787822 87.744 163.1432
121.124278 87.735 163.1125
121.460735 87.724 163.0855
121.797191 87.712 163.0662
122.133647 87.700 163.0510
122.470104 87.688 163.0347
122.806560 87.675 163.0174
123.143016 87.660 163.0069
123.479473 87.645 163.0123
123.815929 87.631 163.0347
124.152385 87.621 163.0616
124.488842 87.615 163.0723
124.825298 87.611 163.0508
125.161754 87.604 162.9980
125.498211 87.592 162.9341
125.834667 87.576 162.8871
126.171123 87.557 162.8768
126.507580 87.541 162.9020
126.844036 87.531 162.9413
127.180492 87.525 162.9675
127.516949 87.522 162.9639
127.853405 87.516 162.9340
128.189861 87.506 162.8978
128.526318 87.494 162.8777
128.862774 87.480 162.8854
129.199230 87.469 162.9152
129.535687 87.463 162.9492
129.872143 87.459 162.9688
130.208599 87.456 162.9650
130.545056 87.451 162.9427
130.881512 87.443 162.9156
131.217968 87.432 162.8978
131.554425 87.420 162.8951
131.890881 87.409 162.9031
132.227337 87.400 162.9111
132.563794 87.390 162.9109
132.900250 87.379 162.9033
133.236706 87.365 162.8989
133.573163 87.350 162.9111
133.909619 87.335 162.9459
134.246075 87.324 162.9954
134.582532 87.317 163.0399
134.918988 87.313 163.0598
135.255444 87.309 163.0474
135.591901 87.301 163.0131
135.928357 87.289 162.9788
136.264813 87.274 162.9647
136.601270 87.259 162.9765
136.937726 87.248 163.0038
137.274182 87.240 163.0282
137.610639 87.234 163.0359
137.947095 87.228 163.0260
138.283551 87.221 163.0081
138.620008 87.211 162.9945
138.956464 87.201 162.9919
139.292920 87.192 163.0002
139.629377 87.184 163.0156
139.965833 87.178 163.0347
140.302289 87.173 163.0537
140.638746 87.171 163.0661
140.975202 87.170 163.0623
141.311658 87.168 163.0353
141.648115 87.163 162.9890
141.984571 87.153 162.9412
142.321027 87.138 162.9160
142.657483 87.122 162.9292
142.993940 87.109 162.9759
143.330396 87.101 163.0310
143.666852 87.097 163.0659
144.003309 87.093 163.0686
144.339765 87.085 163.0537
144.676221 87.071 163.0526
145.012678 87.056 163.0897
145.349134 87.045 163.1624
145.685590 87.042 163.2388
146.022047 87.046 163.2773
146.358503 87.050 163.2546
146.694959 87.048 163.1823
147.031416 87.037 163.0995
147.367872 87.019 163.0488
147.704328 86.999 163.0509
148.040785 86.983 163.0934
148.377241 86.974 163.1423
148.713697 86.970 163.1664
149.050154 86.966 163.1565
149.386610 86.958 163.1278
149.723066 86.947 163.1050
150.059523 86.935 163.1027
150.395979 86.925 163.1161
150.732435 86.917 163.1276
151.068892 86.910 163.1244
151.405348 86.901 163.1127
151.741804 86.888 163.1163
152.078261 86.874 163.1584
152.414717 86.865 163.2396
152.751173 86.866 163.3286
153.087630 86.874 163.3763
153.424086 86.885 163.3474
153.760542 86.889 163.2480
154.096999 86.878 163.1301
154.433455 86.856 163.0640
154.769911 86.830 163.0956
155.106368 86.812 163.2131
155.442824 86.810 163.3489
155.779280 86.819 163.4208
156.115737 86.830 163.3882
156.452193 86.829 163.2818
156.788649 86.811 163.1838
157.125106 86.784 163.1736
157.461562 86.761 163.2708
157.798018 86.752 163.4167
158.134475 86.759 163.5140
