* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Jun 5, 2026 5:40:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hzsound Luna L3
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 88.367 -121.4906
20.187380 88.480 -123.7242
20.523836 88.467 -126.0934
20.860293 88.333 -128.0446
21.196749 88.136 -129.1416
21.533205 87.975 -129.2953
21.869662 87.931 -128.8870
22.206118 88.025 -128.5824
22.542574 88.201 -128.8997
22.879030 88.374 -129.9288
23.215487 88.483 -131.3947
23.551943 88.514 -132.8939
23.888399 88.495 -134.1149
24.224856 88.468 -134.9682
24.561312 88.471 -135.5866
24.897768 88.509 -136.1970
25.234225 88.567 -136.9518
25.570681 88.618 -137.8475
25.907137 88.644 -138.7676
26.243594 88.652 -139.5882
26.580050 88.657 -140.2635
26.916506 88.673 -140.8437
27.252963 88.703 -141.4235
27.589419 88.737 -142.0696
27.925875 88.765 -142.7834
28.262332 88.781 -143.5176
28.598788 88.785 -144.2207
28.935244 88.783 -144.8717
29.271701 88.782 -145.4835
29.608157 88.782 -146.0820
29.944613 88.782 -146.6857
30.281070 88.783 -147.3007
30.617526 88.783 -147.9310
30.953982 88.781 -148.5863
31.290439 88.775 -149.2738
31.626895 88.762 -149.9809
31.963351 88.740 -150.6664
32.299808 88.709 -151.2738
32.636264 88.678 -151.7643
32.972720 88.659 -152.1483
33.309177 88.660 -152.4898
33.645633 88.680 -152.8750
33.982089 88.711 -153.3638
34.318546 88.740 -153.9589
34.655002 88.758 -154.6104
34.991458 88.763 -155.2513
35.327915 88.761 -155.8364
35.664371 88.759 -156.3616
36.000827 88.762 -156.8551
36.337284 88.767 -157.3494
36.673740 88.771 -157.8563
37.010196 88.771 -158.3624
37.346653 88.765 -158.8435
37.683109 88.758 -159.2856
38.019565 88.752 -159.6946
38.356022 88.748 -160.0912
38.692478 88.746 -160.4951
39.028934 88.743 -160.9121
39.365391 88.737 -161.3339
39.701847 88.727 -161.7473
40.038303 88.717 -162.1465
40.374760 88.708 -162.5368
40.711216 88.701 -162.9296
41.047672 88.692 -163.3323
41.384129 88.682 -163.7417
41.720585 88.669 -164.1465
42.057041 88.655 -164.5358
42.393498 88.641 -164.9083
42.729954 88.630 -165.2739
43.066410 88.621 -165.6471
43.402867 88.613 -166.0360
43.739323 88.603 -166.4357
44.075779 88.591 -166.8316
44.412236 88.578 -167.2103
44.748692 88.567 -167.5706
45.085148 88.558 -167.9263
45.421605 88.553 -168.2968
45.758061 88.546 -168.6909
46.094517 88.534 -169.0955
46.430974 88.516 -169.4787
46.767430 88.495 -169.8064
47.103886 88.476 -170.0653
47.440342 88.468 -170.2764
47.776799 88.472 -170.4902
48.113255 88.487 -170.7647
48.449711 88.505 -171.1369
48.786168 88.516 -171.6060
49.122624 88.512 -172.1351
49.459080 88.491 -172.6666
49.795537 88.454 -173.1441
50.131993 88.408 -173.5299
50.468449 88.361 -173.8143
50.804906 88.319 -174.0146
51.141362 88.287 -174.1668
51.477818 88.264 -174.3122
51.814275 88.249 -174.4836
52.150731 88.238 -174.6967
52.487187 88.225 -174.9496
52.823644 88.210 -175.2290
53.160100 88.191 -175.5203
53.496556 88.169 -175.8137
53.833013 88.144 -176.1036
54.169469 88.115 -176.3817
54.505925 88.083 -176.6314
54.842382 88.050 -176.8317
55.178838 88.019 -176.9703
55.515294 87.998 -177.0577
55.851751 87.990 -177.1317
56.188207 87.995 -177.2429
56.524663 88.007 -177.4315
56.861120 88.018 -177.7075
57.197576 88.021 -178.0500
57.534032 88.013 -178.4225
57.870489 87.992 -178.7913
58.206945 87.961 -179.1337
58.543401 87.919 -179.4322
58.879858 87.868 -179.6635
59.216314 87.809 -179.7982
59.552770 87.751 -179.8187
59.889227 87.701 -179.7435
60.225683 87.665 -179.6344
60.562139 87.641 -179.5686
60.898596 87.616 -179.5864
61.235052 87.576 -179.6505
61.571508 87.518 -179.6543
61.907965 87.452 -179.4835
62.244421 87.402 -179.1058
62.580877 87.392 -178.6288
62.917334 87.430 -178.2688
63.253790 87.496 -178.2266
63.590246 87.552 -178.5582
63.926703 87.564 -179.1316
64.263159 87.519 -179.6883
64.599615 87.435 -179.9706
64.936072 87.352 -179.8582
65.272528 87.313 -179.4506
65.608984 87.339 -179.0198
65.945441 87.413 -178.8400
66.281897 87.497 -179.0197
66.618353 87.557 -179.4621
66.954810 87.578 -179.9572
67.291266 87.575 179.6779
67.627722 87.573 179.4908
67.964179 87.592 179.3798
68.300635 87.631 179.1842
68.637091 87.668 178.8168
68.973548 87.679 178.3350
69.310004 87.653 177.9089
69.646460 87.604 177.7142
69.982917 87.561 177.8161
70.319373 87.556 178.1095
70.655829 87.601 178.3642
70.992285 87.680 178.3535
71.328742 87.759 177.9729
71.665198 87.805 177.2744
72.001654 87.794 176.4223
72.338111 87.723 175.6248
72.674567 87.601 175.0764
73.011023 87.455 174.9163
73.347480 87.318 175.1924
73.683936 87.226 175.8274
74.020392 87.206 176.6102
74.356849 87.262 177.2474
74.693305 87.372 177.4774
75.029761 87.491 177.1837
75.366218 87.578 176.4380
75.702674 87.604 175.4581
76.039130 87.565 174.5153
76.375587 87.485 173.8288
76.712043 87.396 173.4795
77.048499 87.332 173.3840
77.384956 87.304 173.3578
77.721412 87.302 173.2371
78.057868 87.305 172.9733
78.394325 87.295 172.6376
78.730781 87.269 172.3474
79.067237 87.240 172.1758
79.403694 87.223 172.1031
79.740150 87.224 172.0391
80.076606 87.235 171.8974
80.413063 87.242 171.6605
80.749519 87.235 171.3872
81.085975 87.212 171.1645
81.422432 87.183 171.0433
81.758888 87.159 171.0068
82.095344 87.144 170.9937
82.431801 87.132 170.9567
82.768257 87.115 170.9037
83.104713 87.092 170.8866
83.441170 87.070 170.9428
83.777626 87.061 171.0412
84.114082 87.067 171.0836
84.450539 87.078 170.9748
84.786995 87.070 170.7123
85.123451 87.026 170.4226
85.459908 86.948 170.3082
85.796364 86.863 170.5272
86.132820 86.813 171.0633
86.469277 86.829 171.6854
86.805733 86.908 172.0618
87.142189 87.012 171.9657
87.478646 87.089 171.4064
87.815102 87.105 170.6050
88.151558 87.056 169.8647
88.488015 86.967 169.4213
88.824471 86.878 169.3340
89.160927 86.823 169.4712
89.497384 86.807 169.6119
89.833840 86.816 169.5947
90.170296 86.822 169.4015
90.506753 86.811 169.1295
90.843209 86.784 168.8979
91.179665 86.752 168.7664
91.516122 86.728 168.7129
91.852578 86.716 168.6727
92.189034 86.711 168.5994
92.525491 86.705 168.4936
92.861947 86.697 168.3862
93.198403 86.688 168.3002
93.534860 86.683 168.2289
93.871316 86.681 168.1473
94.207772 86.678 168.0414
94.544228 86.671 167.9250
94.880685 86.659 167.8282
95.217141 86.646 167.7699
95.553597 86.636 167.7400
95.890054 86.629 167.7091
96.226510 86.624 167.6561
96.562966 86.616 167.5878
96.899423 86.605 167.5302
97.235879 86.593 167.4998
97.572335 86.586 167.4806
97.908792 86.583 167.4315
98.245248 86.580 167.3221
98.581704 86.567 167.1674
98.918161 86.540 167.0307
99.254617 86.504 166.9859
99.591073 86.473 167.0634
99.927530 86.460 167.2171
100.263986 86.470 167.3427
100.600442 86.495 167.3392
100.936899 86.519 167.1713
101.273355 86.526 166.8885
101.609811 86.511 166.5924
101.946268 86.479 166.3792
102.282724 86.443 166.2901
102.619180 86.416 166.2969
102.955637 86.404 166.3275
103.292093 86.404 166.3128
103.628549 86.405 166.2243
103.965006 86.401 166.0813
104.301462 86.387 165.9305
104.637918 86.367 165.8155
104.974375 86.347 165.7523
105.310831 86.332 165.7211
105.647287 86.325 165.6780
105.983744 86.323 165.5797
106.320200 86.317 165.4106
106.656656 86.299 165.1982
106.993113 86.265 165.0064
107.329569 86.220 164.9086
107.666025 86.176 164.9478
108.002482 86.146 165.1050
108.338938 86.140 165.2976
108.675394 86.159 165.4154
109.011851 86.190 165.3782
109.348307 86.215 165.1765
109.684763 86.223 164.8723
110.021220 86.210 164.5627
110.357676 86.182 164.3308
110.694132 86.149 164.2085
111.030589 86.124 164.1712
111.367045 86.110 164.1624
111.703501 86.105 164.1314
112.039958 86.103 164.0579
112.376414 86.099 163.9519
112.712870 86.091 163.8364
113.049327 86.079 163.7290
113.385783 86.066 163.6356
113.722239 86.052 163.5544
114.058696 86.038 163.4836
114.395152 86.023 163.4233
114.731608 86.009 163.3719
115.068065 85.996 163.3238
115.404521 85.983 163.2713
115.740977 85.970 163.2111
116.077434 85.955 163.1484
116.413890 85.939 163.0934
116.750346 85.923 163.0512
117.086803 85.909 163.0154
117.423259 85.897 162.9707
117.759715 85.886 162.9054
118.096171 85.873 162.8221
118.432628 85.856 162.7387
118.769084 85.838 162.6760
119.105540 85.821 162.6404
119.441997 85.809 162.6163
119.778453 85.802 162.5740
120.114909 85.797 162.4911
120.451366 85.788 162.3698
120.787822 85.772 162.2391
121.124278 85.749 162.1378
121.460735 85.724 162.0911
121.797191 85.704 162.0948
122.133647 85.691 162.1177
122.470104 85.685 162.1219
122.806560 85.682 162.0848
123.143016 85.677 162.0103
123.479473 85.667 161.9226
123.815929 85.651 161.8488
124.152385 85.634 161.8029
124.488842 85.619 161.7800
124.825298 85.607 161.7637
125.161754 85.597 161.7382
125.498211 85.589 161.6979
125.834667 85.579 161.6480
126.171123 85.568 161.5980
126.507580 85.555 161.5542
126.844036 85.543 161.5164
127.180492 85.532 161.4801
127.516949 85.521 161.4413
127.853405 85.510 161.3995
128.189861 85.500 161.3560
128.526318 85.489 161.3113
128.862774 85.479 161.2625
129.199230 85.469 161.2057
129.535687 85.459 161.1399
129.872143 85.446 161.0711
130.208599 85.430 161.0105
130.545056 85.414 160.9681
130.881512 85.399 160.9455
131.217968 85.387 160.9327
131.554425 85.378 160.9132
131.890881 85.371 160.8732
132.227337 85.363 160.8106
132.563794 85.351 160.7366
132.900250 85.336 160.6689
133.236706 85.320 160.6205
133.573163 85.304 160.5928
133.909619 85.290 160.5747
134.246075 85.279 160.5514
134.582532 85.268 160.5135
134.918988 85.256 160.4631
135.255444 85.242 160.4100
135.591901 85.226 160.3650
135.928357 85.209 160.3322
136.264813 85.193 160.3080
136.601270 85.177 160.2852
136.937726 85.161 160.2603
137.274182 85.144 160.2367
137.610639 85.125 160.2228
137.947095 85.106 160.2247
138.283551 85.088 160.2410
138.620008 85.073 160.2620
138.956464 85.059 160.2756
139.292920 85.045 160.2764
139.629377 85.029 160.2693
139.965833 85.011 160.2676
140.302289 84.991 160.2838
140.638746 84.972 160.3214
140.975202 84.956 160.3726
141.311658 84.942 160.4244
141.648115 84.930 160.4688
141.984571 84.918 160.5082
142.321027 84.906 160.5524
142.657483 84.895 160.6079
142.993940 84.887 160.6694
143.330396 84.883 160.7204
143.666852 84.880 160.7458
144.003309 84.875 160.7468
144.339765 84.866 160.7463
144.676221 84.852 160.7776
145.012678 84.838 160.8630
145.349134 84.831 160.9945
145.685590 84.835 161.1347
146.022047 84.848 161.2380
146.358503 84.863 161.2803
146.694959 84.874 161.2753
147.031416 84.878 161.2639
147.367872 84.878 161.2857
147.704328 84.881 161.3495
148.040785 84.892 161.4246
148.377241 84.912 161.4600
148.713697 84.934 161.4187
149.050154 84.950 161.3027
149.386610 84.955 161.1513
149.723066 84.948 161.0174
150.059523 84.935 160.9362
150.395979 84.923 160.9088
150.732435 84.916 160.9075
151.068892 84.914 160.8986
151.405348 84.914 160.8644
151.741804 84.913 160.8094
152.078261 84.910 160.7491
152.414717 84.906 160.6937
152.751173 84.903 160.6393
153.087630 84.902 160.5723
153.424086 84.900 160.4834
153.760542 84.896 160.3772
154.096999 84.887 160.2712
154.433455 84.875 160.1847
154.769911 84.863 160.1266
155.106368 84.853 160.0901
155.442824 84.847 160.0583
155.779280 84.843 160.0154
156.115737 84.839 159.9565
156.452193 84.833 159.8881
