* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Jun 5, 2026 5:37:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hzsound Luna R3
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 87.596 -117.0730
20.187380 87.650 -118.1030
20.523836 87.711 -119.1331
20.860293 87.772 -120.1926
21.196749 87.827 -121.2846
21.533205 87.872 -122.3808
21.869662 87.905 -123.4364
22.206118 87.932 -124.4170
22.542574 87.961 -125.3210
22.879030 87.996 -126.1833
23.215487 88.038 -127.0541
23.551943 88.082 -127.9666
23.888399 88.118 -128.9146
24.224856 88.143 -129.8558
24.561312 88.158 -130.7378
24.897768 88.170 -131.5315
25.234225 88.190 -132.2504
25.570681 88.222 -132.9431
25.907137 88.259 -133.6611
26.243594 88.294 -134.4250
26.580050 88.322 -135.2120
26.916506 88.338 -135.9728
27.252963 88.350 -136.6670
27.589419 88.363 -137.2940
27.925875 88.385 -137.8965
28.262332 88.414 -138.5336
28.598788 88.441 -139.2380
28.935244 88.458 -139.9910
29.271701 88.461 -140.7319
29.608157 88.454 -141.3983
29.944613 88.449 -141.9730
30.281070 88.456 -142.5035
30.617526 88.476 -143.0778
30.953982 88.499 -143.7643
31.290439 88.509 -144.5589
31.626895 88.495 -145.3751
31.963351 88.460 -146.0852
32.299808 88.417 -146.5912
32.636264 88.388 -146.8886
32.972720 88.392 -147.0820
33.309177 88.432 -147.3329
33.645633 88.492 -147.7689
33.982089 88.549 -148.4176
34.318546 88.585 -149.2042
34.655002 88.595 -150.0036
34.991458 88.585 -150.7084
35.327915 88.569 -151.2772
35.664371 88.560 -151.7410
36.000827 88.564 -152.1690
36.337284 88.575 -152.6201
36.673740 88.587 -153.1108
37.010196 88.593 -153.6186
37.346653 88.593 -154.1076
37.683109 88.591 -154.5570
38.019565 88.590 -154.9721
38.356022 88.592 -155.3757
38.692478 88.596 -155.7900
39.028934 88.600 -156.2224
39.365391 88.599 -156.6642
39.701847 88.595 -157.0992
40.038303 88.589 -157.5155
40.374760 88.584 -157.9117
40.711216 88.581 -158.2958
41.047672 88.579 -158.6798
41.384129 88.578 -159.0726
41.720585 88.577 -159.4758
42.057041 88.573 -159.8842
42.393498 88.569 -160.2892
42.729954 88.563 -160.6840
43.066410 88.557 -161.0671
43.402867 88.552 -161.4430
43.739323 88.548 -161.8182
44.075779 88.544 -162.1964
44.412236 88.540 -162.5756
44.748692 88.534 -162.9500
45.085148 88.527 -163.3148
45.421605 88.521 -163.6699
45.758061 88.515 -164.0193
46.094517 88.508 -164.3668
46.430974 88.501 -164.7120
46.767430 88.494 -165.0518
47.103886 88.486 -165.3864
47.440342 88.480 -165.7238
47.776799 88.474 -166.0773
48.113255 88.464 -166.4535
48.449711 88.449 -166.8404
48.786168 88.425 -167.2051
49.122624 88.396 -167.5081
49.459080 88.368 -167.7285
49.795537 88.351 -167.8836
50.131993 88.349 -168.0285
50.468449 88.362 -168.2292
50.804906 88.380 -168.5268
51.141362 88.392 -168.9152
51.477818 88.394 -169.3481
51.814275 88.383 -169.7673
52.150731 88.367 -170.1346
52.487187 88.350 -170.4467
52.823644 88.336 -170.7254
53.160100 88.326 -170.9944
53.496556 88.316 -171.2592
53.833013 88.307 -171.5095
54.169469 88.300 -171.7368
54.505925 88.298 -171.9530
54.842382 88.302 -172.1907
55.178838 88.308 -172.4827
55.515294 88.309 -172.8355
55.851751 88.299 -173.2179
56.188207 88.276 -173.5756
56.524663 88.245 -173.8615
56.861120 88.215 -174.0634
57.197576 88.192 -174.2100
57.534032 88.178 -174.3499
57.870489 88.171 -174.5208
58.206945 88.165 -174.7306
58.543401 88.157 -174.9632
58.879858 88.147 -175.2000
59.216314 88.137 -175.4377
59.552770 88.127 -175.6878
59.889227 88.116 -175.9600
60.225683 88.100 -176.2447
60.562139 88.079 -176.5124
60.898596 88.054 -176.7319
61.235052 88.031 -176.8946
61.571508 88.017 -177.0242
61.907965 88.012 -177.1646
62.244421 88.013 -177.3516
62.580877 88.013 -177.5923
62.917334 88.008 -177.8658
63.253790 87.997 -178.1423
63.590246 87.983 -178.4044
63.926703 87.966 -178.6529
64.263159 87.948 -178.8955
64.599615 87.926 -179.1294
64.936072 87.899 -179.3352
65.272528 87.871 -179.4903
65.608984 87.847 -179.5900
65.945441 87.831 -179.6600
66.281897 87.827 -179.7466
66.618353 87.828 -179.8906
66.954810 87.830 179.8963
67.291266 87.825 179.6354
67.627722 87.811 179.3642
67.964179 87.791 179.1148
68.300635 87.768 178.9024
68.637091 87.744 178.7293
68.973548 87.721 178.5960
69.310004 87.704 178.5040
69.646460 87.694 178.4445
69.982917 87.698 178.3837
70.319373 87.715 178.2622
70.655829 87.739 178.0199
70.992285 87.756 177.6335
71.328742 87.752 177.1423
71.665198 87.720 176.6418
72.001654 87.662 176.2482
72.338111 87.590 176.0475
72.674567 87.524 176.0571
73.011023 87.480 176.2176
73.347480 87.464 176.4232
73.683936 87.474 176.5694
74.020392 87.500 176.5895
74.356849 87.529 176.4644
74.693305 87.550 176.2137
75.029761 87.556 175.8855
75.366218 87.543 175.5488
75.702674 87.512 175.2826
76.039130 87.474 175.1487
76.375587 87.444 175.1535
76.712043 87.436 175.2242
77.048499 87.451 175.2322
77.384956 87.476 175.0659
77.721412 87.488 174.7100
78.057868 87.465 174.2717
78.394325 87.404 173.9320
78.730781 87.325 173.8437
79.067237 87.258 174.0295
79.403694 87.228 174.3503
79.740150 87.238 174.5867
80.076606 87.265 174.5850
80.413063 87.282 174.3478
80.749519 87.271 174.0042
81.085975 87.236 173.6977
81.422432 87.194 173.4801
81.758888 87.161 173.2870
82.095344 87.134 173.0156
82.431801 87.097 172.6359
82.768257 87.037 172.2354
83.104713 86.959 171.9565
83.441170 86.885 171.8764
83.777626 86.840 171.9296
84.114082 86.830 171.9486
84.450539 86.841 171.8013
84.786995 86.849 171.4962
85.123451 86.842 171.1577
85.459908 86.829 170.9002
85.796364 86.827 170.7199
86.132820 86.837 170.5115
86.469277 86.841 170.2132
86.805733 86.814 169.9388
87.142189 86.756 169.9488
87.478646 86.709 170.4352
87.815102 86.731 171.2600
88.151558 86.846 171.9260
88.488015 86.995 171.9415
88.824471 87.072 171.2816
89.160927 86.989 170.5316
89.497384 86.748 170.6780
89.833840 86.489 172.5867
90.170296 86.458 176.1077
90.506753 86.816 179.5532
90.843209 87.446 -179.0646
91.179665 88.063 179.6392
91.516122 88.438 176.3806
91.852578 88.466 172.3934
92.189034 88.154 168.9725
92.525491 87.606 167.2557
92.861947 87.030 167.8369
93.198403 86.667 170.1717
93.534860 86.617 172.6464
93.871316 86.754 173.8881
94.207772 86.883 173.7424
94.544228 86.889 172.9238
94.880685 86.777 172.2687
95.217141 86.634 172.2260
95.553597 86.554 172.6536
95.890054 86.571 173.0156
96.226510 86.644 172.8726
96.562966 86.699 172.2048
96.899423 86.696 171.3317
97.235879 86.643 170.6275
97.572335 86.581 170.2750
97.908792 86.554 170.1841
98.245248 86.572 170.1110
98.581704 86.614 169.8730
98.918161 86.649 169.4731
99.254617 86.660 169.0556
99.591073 86.653 168.7735
99.927530 86.646 168.6757
100.263986 86.656 168.6867
100.600442 86.683 168.6772
100.936899 86.712 168.5658
101.273355 86.724 168.3753
101.609811 86.709 168.2146
101.946268 86.674 168.2095
102.282724 86.640 168.4199
102.619180 86.633 168.7817
102.955637 86.666 169.1118
103.292093 86.730 169.1925
103.628549 86.794 168.8933
103.965006 86.820 168.2535
104.301462 86.781 167.4766
104.637918 86.678 166.8466
104.974375 86.539 166.5984
105.310831 86.412 166.7864
105.647287 86.339 167.2322
105.983744 86.330 167.6218
106.320200 86.357 167.7090
106.656656 86.379 167.4634
106.993113 86.368 167.0528
107.329569 86.323 166.7072
107.666025 86.268 166.5652
108.002482 86.232 166.5941
108.338938 86.226 166.6362
108.675394 86.238 166.5466
109.011851 86.244 166.3098
109.348307 86.228 166.0402
109.684763 86.197 165.8831
110.021220 86.170 165.8927
110.357676 86.168 165.9790
110.694132 86.192 165.9679
111.030589 86.220 165.7353
111.367045 86.222 165.3070
111.703501 86.178 164.8546
112.039958 86.093 164.6012
112.376414 85.996 164.6949
112.712870 85.925 165.1127
113.049327 85.905 165.6589
113.385783 85.934 166.0768
113.722239 85.985 166.2007
114.058696 86.023 166.0370
114.395152 86.025 165.7349
114.731608 85.991 165.4904
115.068065 85.940 165.4402
115.404521 85.897 165.5961
115.740977 85.881 165.8488
116.077434 85.893 166.0447
116.413890 85.916 166.0860
116.750346 85.930 165.9861
117.086803 85.923 165.8486
117.423259 85.901 165.7942
117.759715 85.878 165.8810
118.096171 85.872 166.0656
118.432628 85.889 166.2312
118.769084 85.921 166.2670
119.105540 85.949 166.1416
119.441997 85.956 165.9213
119.778453 85.939 165.7256
120.114909 85.907 165.6552
120.451366 85.878 165.7325
120.787822 85.866 165.8920
121.124278 85.874 166.0250
121.460735 85.892 166.0497
121.797191 85.906 165.9572
122.133647 85.906 165.8050
122.470104 85.892 165.6733
122.806560 85.871 165.6142
123.143016 85.854 165.6250
123.479473 85.848 165.6584
123.815929 85.851 165.6583
124.152385 85.857 165.5954
124.488842 85.860 165.4795
124.825298 85.857 165.3456
125.161754 85.849 165.2271
125.498211 85.843 165.1354
125.834667 85.840 165.0565
126.171123 85.842 164.9637
126.507580 85.845 164.8374
126.844036 85.845 164.6781
127.180492 85.839 164.5070
127.516949 85.827 164.3544
127.853405 85.812 164.2443
128.189861 85.798 164.1815
128.526318 85.790 164.1476
128.862774 85.789 164.1104
129.199230 85.792 164.0395
129.535687 85.794 163.9236
129.872143 85.790 163.7776
130.208599 85.778 163.6356
130.545056 85.761 163.5327
130.881512 85.743 163.4836
131.217968 85.730 163.4735
131.554425 85.725 163.4645
131.890881 85.726 163.4185
132.227337 85.726 163.3200
132.563794 85.721 163.1852
132.900250 85.707 163.0509
133.236706 85.688 162.9506
133.573163 85.670 162.8940
133.909619 85.655 162.8633
134.246075 85.646 162.8276
134.582532 85.639 162.7664
134.918988 85.630 162.6830
135.255444 85.617 162.6006
135.591901 85.602 162.5423
135.928357 85.590 162.5113
136.264813 85.583 162.4861
136.601270 85.581 162.4340
136.937726 85.580 162.3349
137.274182 85.573 162.1969
137.610639 85.558 162.0535
137.947095 85.536 161.9443
138.283551 85.513 161.8919
138.620008 85.493 161.8885
138.956464 85.480 161.9028
139.292920 85.473 161.8997
139.629377 85.469 161.8610
139.965833 85.462 161.7932
140.302289 85.452 161.7176
140.638746 85.438 161.6543
140.975202 85.424 161.6089
141.311658 85.411 161.5726
141.648115 85.399 161.5327
141.984571 85.387 161.4846
142.321027 85.374 161.4357
142.657483 85.359 161.3975
142.993940 85.346 161.3732
143.330396 85.336 161.3516
143.666852 85.329 161.3130
144.003309 85.321 161.2446
144.339765 85.310 161.1533
144.676221 85.293 161.0655
145.012678 85.272 161.0119
145.349134 85.251 161.0075
145.685590 85.237 161.0389
146.022047 85.232 161.0699
146.358503 85.234 161.0621
146.694959 85.236 160.9977
147.031416 85.234 160.8882
147.367872 85.225 160.7661
147.704328 85.209 160.6657
148.040785 85.190 160.6054
148.377241 85.172 160.5822
148.713697 85.158 160.5787
149.050154 85.148 160.5766
149.386610 85.139 160.5665
149.723066 85.130 160.5487
150.059523 85.121 160.5282
150.395979 85.111 160.5084
150.732435 85.102 160.4891
151.068892 85.093 160.4680
151.405348 85.083 160.4432
151.741804 85.072 160.4149
152.078261 85.061 160.3850
152.414717 85.048 160.3568
152.751173 85.035 160.3336
153.087630 85.022 160.3172
153.424086 85.010 160.3061
153.760542 84.999 160.2932
154.096999 84.990 160.2680
154.433455 84.981 160.2231
154.769911 84.969 160.1623
155.106368 84.953 160.1025
155.442824 84.933 160.0672
155.779280 84.914 160.0714
156.115737 84.901 160.1079
156.452193 84.895 160.1468
