* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 8, 2026 4:49:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi Ears Cadenza L1
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 96.500 -146.3700
20.187380 96.651 -147.5623
20.523836 96.748 -149.2116
20.860293 96.762 -150.9812
21.196749 96.703 -152.5305
21.533205 96.610 -153.6718
21.869662 96.525 -154.4423
22.206118 96.465 -155.0328
22.542574 96.421 -155.6055
22.879030 96.371 -156.1508
23.215487 96.309 -156.5129
23.551943 96.264 -156.5694
23.888399 96.278 -156.4260
24.224856 96.369 -156.4379
24.561312 96.504 -156.9827
24.897768 96.614 -158.1723
25.234225 96.639 -159.7570
25.570681 96.558 -161.2543
25.907137 96.404 -162.1968
26.243594 96.260 -162.4101
26.580050 96.206 -162.1855
26.916506 96.263 -162.1324
27.252963 96.374 -162.7404
27.589419 96.452 -164.0578
27.925875 96.438 -165.7313
28.262332 96.326 -167.2626
28.598788 96.161 -168.2866
28.935244 96.015 -168.7685
29.271701 95.933 -169.0123
29.608157 95.911 -169.4206
29.944613 95.901 -170.1886
30.281070 95.855 -171.1941
30.617526 95.756 -172.1277
30.953982 95.630 -172.7199
31.290439 95.526 -172.9263
31.626895 95.478 -172.9578
31.963351 95.485 -173.1192
32.299808 95.507 -173.5797
32.636264 95.504 -174.2670
32.972720 95.459 -174.9410
33.309177 95.386 -175.3626
33.645633 95.325 -175.4545
33.982089 95.312 -175.3652
34.318546 95.352 -175.3819
34.655002 95.419 -175.7374
34.991458 95.467 -176.4613
35.327915 95.463 -177.3699
35.664371 95.401 -178.1754
36.000827 95.310 -178.6436
36.337284 95.234 -178.7357
36.673740 95.211 -178.6534
37.010196 95.243 -178.7190
37.346653 95.297 -179.1546
37.683109 95.323 -179.9362
38.019565 95.295 179.1771
38.356022 95.220 178.4833
38.692478 95.135 178.1458
39.028934 95.086 178.0781
39.365391 95.087 178.0037
39.701847 95.117 177.6748
40.038303 95.132 177.0665
40.374760 95.108 176.3797
40.711216 95.050 175.8730
41.047672 94.994 175.6532
41.384129 94.974 175.5755
41.720585 94.989 175.3605
42.057041 95.003 174.8492
42.393498 94.970 174.1638
42.729954 94.878 173.6371
43.066410 94.763 173.5677
43.402867 94.690 173.9506
43.739323 94.701 174.4050
44.075779 94.777 174.4445
44.412236 94.844 173.8775
44.748692 94.834 172.9565
45.085148 94.731 172.1975
45.421605 94.589 172.0309
45.758061 94.498 172.4587
46.094517 94.516 172.9711
46.430974 94.617 172.9232
46.767430 94.703 172.0705
47.103886 94.686 170.7415
47.440342 94.540 169.6085
47.776799 94.325 169.2902
48.113255 94.163 169.9216
48.449711 94.153 170.9306
48.786168 94.289 171.4009
49.122624 94.459 170.8047
49.459080 94.535 169.3352
49.795537 94.451 167.6866
50.131993 94.226 166.6678
50.468449 93.963 166.8148
50.804906 93.801 168.0314
51.141362 93.827 169.5328
51.477818 94.009 170.3748
51.814275 94.231 170.1164
52.150731 94.379 168.9543
52.487187 94.394 167.4366
52.823644 94.280 166.1559
53.160100 94.088 165.5473
53.496556 93.898 165.7521
53.833013 93.786 166.5573
54.169469 93.788 167.4810
54.505925 93.885 168.0132
54.842382 94.016 167.8613
55.178838 94.111 167.0445
55.515294 94.119 165.8393
55.851751 94.019 164.6619
56.188207 93.836 163.9318
56.524663 93.626 163.9158
56.861120 93.466 164.5781
57.197576 93.410 165.5504
57.534032 93.460 166.3276
57.870489 93.566 166.5695
58.206945 93.670 166.2478
58.543401 93.731 165.5616
58.879858 93.741 164.7583
59.216314 93.712 163.9971
59.552770 93.657 163.3197
59.889227 93.582 162.7190
60.225683 93.479 162.2379
60.562139 93.351 162.0064
60.898596 93.218 162.1710
61.235052 93.121 162.7545
61.571508 93.100 163.5546
61.907965 93.163 164.2041
62.244421 93.277 164.3838
62.580877 93.385 164.0089
62.917334 93.440 163.2461
63.253790 93.425 162.3917
63.590246 93.352 161.7170
63.926703 93.253 161.3532
64.263159 93.159 161.2617
64.599615 93.085 161.3015
64.936072 93.024 161.3505
65.272528 92.963 161.3885
65.608984 92.893 161.4907
65.945441 92.825 161.7511
66.281897 92.776 162.1964
66.618353 92.769 162.7401
66.954810 92.813 163.2046
67.291266 92.899 163.3952
67.627722 93.000 163.1832
67.964179 93.083 162.5567
68.300635 93.116 161.6293
68.637091 93.082 160.6131
68.973548 92.984 159.7634
69.310004 92.847 159.2951
69.646460 92.714 159.2822
69.982917 92.626 159.5916
70.319373 92.600 159.9277
70.655829 92.616 160.0016
70.992285 92.628 159.7106
71.328742 92.593 159.1956
71.665198 92.493 158.7616
72.001654 92.349 158.7211
72.338111 92.210 159.2277
72.674567 92.132 160.1683
73.011023 92.144 161.2023
73.347480 92.233 161.9532
73.683936 92.357 162.2088
74.020392 92.467 161.9843
74.356849 92.533 161.4518
74.693305 92.545 160.8342
75.029761 92.513 160.3239
75.366218 92.458 160.0373
75.702674 92.408 159.9906
76.039130 92.386 160.0960
76.375587 92.403 160.1866
76.712043 92.452 160.0811
77.048499 92.509 159.6643
77.384956 92.545 158.9405
77.721412 92.535 158.0298
78.057868 92.471 157.1161
78.394325 92.360 156.3773
78.730781 92.219 155.9326
79.067237 92.069 155.8273
79.403694 91.929 156.0564
79.740150 91.816 156.5899
80.076606 91.747 157.3626
80.413063 91.742 158.2289
80.749519 91.803 158.9483
81.085975 91.907 159.2658
81.422432 92.005 159.0579
81.758888 92.044 158.4363
82.095344 91.986 157.7405
82.431801 91.836 157.4261
82.768257 91.646 157.8765
83.104713 91.505 159.1682
83.441170 91.493 160.9205
83.777626 91.630 162.4476
84.114082 91.858 163.1819
84.450539 92.085 162.9802
84.786995 92.236 162.0922
85.123451 92.282 160.9453
85.459908 92.237 159.9390
85.796364 92.142 159.3018
86.132820 92.046 159.0269
86.469277 91.978 158.9187
86.805733 91.933 158.7470
87.142189 91.885 158.4162
87.478646 91.805 158.0347
87.815102 91.690 157.8497
88.151558 91.571 158.0861
88.488015 91.504 158.7557
88.824471 91.538 159.5554
89.160927 91.674 159.9878
89.497384 91.857 159.6645
89.833840 92.005 158.5402
90.170296 92.049 156.9211
90.506753 91.963 155.3195
90.843209 91.771 154.2611
91.179665 91.543 154.0767
91.516122 91.367 154.7133
91.852578 91.302 155.7211
92.189034 91.339 156.5339
92.525491 91.415 156.8487
92.861947 91.461 156.7607
93.198403 91.450 156.6101
93.534860 91.398 156.7254
93.871316 91.352 157.2182
94.207772 91.355 157.9233
94.544228 91.413 158.5305
94.880685 91.498 158.8099
95.217141 91.571 158.7411
95.553597 91.605 158.4725
95.890054 91.600 158.1877
96.226510 91.571 157.9903
96.562966 91.536 157.8666
96.899423 91.502 157.7342
97.235879 91.463 157.5256
97.572335 91.407 157.2425
97.908792 91.328 156.9485
98.245248 91.228 156.7237
98.581704 91.118 156.6198
98.918161 91.009 156.6453
99.254617 90.910 156.7751
99.591073 90.829 156.9691
99.927530 90.769 157.1799
100.263986 90.730 157.3564
100.600442 90.709 157.4528
100.936899 90.698 157.4485
101.273355 90.690 157.3647
101.609811 90.681 157.2560
101.946268 90.675 157.1769
102.282724 90.682 157.1413
102.619180 90.709 157.1043
102.955637 90.756 156.9868
103.292093 90.813 156.7268
103.628549 90.863 156.3234
103.965006 90.896 155.8409
104.301462 90.905 155.3764
104.637918 90.899 155.0123
104.974375 90.886 154.7804
105.310831 90.876 154.6570
105.647287 90.874 154.5865
105.983744 90.876 154.5171
106.320200 90.875 154.4259
106.656656 90.865 154.3226
106.993113 90.843 154.2363
107.329569 90.808 154.1987
107.666025 90.764 154.2317
108.002482 90.716 154.3427
108.338938 90.667 154.5246
108.675394 90.621 154.7572
109.011851 90.582 155.0110
109.348307 90.550 155.2537
109.684763 90.522 155.4585
110.021220 90.495 155.6124
110.357676 90.466 155.7188
110.694132 90.433 155.7942
111.030589 90.397 155.8605
111.367045 90.360 155.9360
111.703501 90.325 156.0290
112.039958 90.297 156.1357
112.376414 90.277 156.2414
112.712870 90.267 156.3253
113.049327 90.265 156.3666
113.385783 90.269 156.3521
113.722239 90.274 156.2823
114.058696 90.275 156.1744
114.395152 90.272 156.0586
114.731608 90.263 155.9682
115.068065 90.252 155.9262
115.404521 90.244 155.9359
115.740977 90.241 155.9801
116.077434 90.244 156.0318
116.413890 90.250 156.0699
116.750346 90.255 156.0895
117.086803 90.258 156.1001
117.423259 90.257 156.1132
117.759715 90.254 156.1297
118.096171 90.250 156.1381
118.432628 90.242 156.1256
118.769084 90.228 156.0944
119.105540 90.204 156.0685
119.441997 90.174 156.0822
119.778453 90.142 156.1552
120.114909 90.116 156.2723
120.451366 90.101 156.3856
120.787822 90.094 156.4413
121.124278 90.087 156.4156
121.460735 90.073 156.3322
121.797191 90.049 156.2479
122.133647 90.020 156.2148
122.470104 89.995 156.2455
122.806560 89.981 156.3041
123.143016 89.979 156.3330
123.479473 89.983 156.2942
123.815929 89.983 156.1959
124.152385 89.975 156.0842
124.488842 89.962 156.0090
124.825298 89.949 155.9881
125.161754 89.944 155.9974
125.498211 89.946 155.9913
125.834667 89.949 155.9394
126.171123 89.946 155.8503
126.507580 89.932 155.7661
126.844036 89.910 155.7333
127.180492 89.886 155.7728
127.516949 89.866 155.8668
127.853405 89.853 155.9738
128.189861 89.845 156.0565
128.526318 89.836 156.1028
128.862774 89.823 156.1277
129.199230 89.806 156.1550
129.535687 89.787 156.1974
129.872143 89.769 156.2471
130.208599 89.755 156.2828
130.545056 89.742 156.2857
130.881512 89.726 156.2522
131.217968 89.707 156.1956
131.554425 89.683 156.1364
131.890881 89.658 156.0890
132.227337 89.632 156.0556
132.563794 89.609 156.0275
132.900250 89.589 155.9945
133.236706 89.569 155.9537
133.573163 89.551 155.9112
133.909619 89.534 155.8768
134.246075 89.520 155.8539
134.582532 89.511 155.8336
134.918988 89.509 155.7974
135.255444 89.509 155.7274
135.591901 89.509 155.6201
135.928357 89.504 155.4913
136.264813 89.494 155.3715
136.601270 89.479 155.2916
136.937726 89.464 155.2667
137.274182 89.453 155.2898
137.610639 89.448 155.3368
137.947095 89.450 155.3814
138.283551 89.453 155.4100
138.620008 89.456 155.4264
138.956464 89.456 155.4458
139.292920 89.454 155.4824
139.629377 89.452 155.5406
139.965833 89.450 155.6141
140.302289 89.450 155.6918
140.638746 89.449 155.7656
140.975202 89.447 155.8332
141.311658 89.444 155.8961
141.648115 89.438 155.9561
141.984571 89.430 156.0137
142.321027 89.419 156.0698
142.657483 89.406 156.1274
142.993940 89.390 156.1905
143.330396 89.375 156.2590
143.666852 89.360 156.3250
144.003309 89.347 156.3743
144.339765 89.335 156.3939
144.676221 89.320 156.3815
145.012678 89.300 156.3495
145.349134 89.275 156.3203
145.685590 89.247 156.3149
146.022047 89.221 156.3416
146.358503 89.198 156.3920
146.694959 89.182 156.4469
147.031416 89.172 156.4871
147.367872 89.166 156.5026
147.704328 89.162 156.4936
148.040785 89.158 156.4667
148.377241 89.153 156.4284
148.713697 89.148 156.3834
149.050154 89.142 156.3362
149.386610 89.134 156.2941
149.723066 89.124 156.2666
150.059523 89.114 156.2620
150.395979 89.104 156.2814
150.732435 89.097 156.3170
151.068892 89.092 156.3555
151.405348 89.088 156.3852
151.741804 89.084 156.4026
152.078261 89.077 156.4137
152.414717 89.067 156.4290
152.751173 89.056 156.4567
153.087630 89.043 156.4978
153.424086 89.032 156.5461
153.760542 89.022 156.5930
154.096999 89.012 156.6328
154.433455 89.001 156.6653
154.769911 88.990 156.6949
155.106368 88.979 156.7256
155.442824 88.969 156.7576
155.779280 88.960 156.7870
156.115737 88.952 156.8083
156.452193 88.945 156.8185
156.788649 88.937 156.8200
157.125106 88.929 156.8190
157.461562 88.919 156.8229
157.798018 88.910 156.8360
158.134475 88.902 156.8578
158.470931 88.895 156.8842
