* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 8, 2026 4:48:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi Ears Cadenza R3
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 96.861 -141.7809
20.187380 96.857 -142.7137
20.523836 96.859 -143.6064
20.860293 96.865 -144.4768
21.196749 96.874 -145.3465
21.533205 96.886 -146.2331
21.869662 96.895 -147.1410
22.206118 96.899 -148.0595
22.542574 96.896 -148.9676
22.879030 96.888 -149.8439
23.215487 96.876 -150.6759
23.551943 96.864 -151.4646
23.888399 96.854 -152.2210
24.224856 96.845 -152.9609
24.561312 96.838 -153.6983
24.897768 96.831 -154.4412
25.234225 96.825 -155.1898
25.570681 96.817 -155.9358
25.907137 96.803 -156.6645
26.243594 96.786 -157.3600
26.580050 96.767 -158.0135
26.916506 96.751 -158.6308
27.252963 96.739 -159.2320
27.589419 96.730 -159.8428
27.925875 96.722 -160.4785
28.262332 96.711 -161.1344
28.598788 96.693 -161.7871
28.935244 96.671 -162.4101
29.271701 96.648 -162.9911
29.608157 96.629 -163.5405
29.944613 96.613 -164.0833
30.281070 96.599 -164.6396
30.617526 96.583 -165.2090
30.953982 96.563 -165.7705
31.290439 96.541 -166.2994
31.626895 96.522 -166.7881
31.963351 96.510 -167.2567
32.299808 96.504 -167.7416
32.636264 96.499 -168.2716
32.972720 96.489 -168.8460
33.309177 96.469 -169.4314
33.645633 96.437 -169.9790
33.982089 96.400 -170.4509
34.318546 96.365 -170.8409
34.655002 96.337 -171.1774
34.991458 96.319 -171.5068
35.327915 96.308 -171.8693
35.664371 96.297 -172.2802
36.000827 96.282 -172.7262
36.337284 96.259 -173.1770
36.673740 96.231 -173.6026
37.010196 96.202 -173.9883
37.346653 96.175 -174.3411
37.683109 96.152 -174.6842
38.019565 96.134 -175.0429
38.356022 96.115 -175.4294
38.692478 96.093 -175.8355
39.028934 96.066 -176.2375
39.365391 96.036 -176.6123
39.701847 96.007 -176.9523
40.038303 95.982 -177.2719
40.374760 95.964 -177.5972
40.711216 95.946 -177.9461
41.047672 95.927 -178.3140
41.384129 95.902 -178.6760
41.720585 95.875 -179.0052
42.057041 95.849 -179.2952
42.393498 95.830 -179.5680
42.729954 95.815 -179.8594
43.066410 95.801 179.8088
43.402867 95.781 179.4485
43.739323 95.753 179.1004
44.075779 95.721 178.8058
44.412236 95.690 178.5748
44.748692 95.669 178.3738
45.085148 95.657 178.1462
45.421605 95.646 177.8526
45.758061 95.630 177.5012
46.094517 95.600 177.1454
46.430974 95.562 176.8494
46.767430 95.524 176.6433
47.103886 95.496 176.4989
47.440342 95.482 176.3441
47.776799 95.477 176.1099
48.113255 95.469 175.7767
48.449711 95.447 175.3873
48.786168 95.410 175.0217
49.122624 95.363 174.7484
49.459080 95.319 174.5837
49.795537 95.289 174.4824
50.131993 95.275 174.3658
50.468449 95.269 174.1711
50.804906 95.262 173.8875
51.141362 95.243 173.5579
51.477818 95.211 173.2510
51.814275 95.173 173.0202
52.150731 95.138 172.8748
52.487187 95.114 172.7765
52.823644 95.102 172.6627
53.160100 95.098 172.4830
53.496556 95.092 172.2248
53.833013 95.076 171.9170
54.169469 95.049 171.6120
54.505925 95.012 171.3590
54.842382 94.973 171.1811
55.178838 94.940 171.0674
55.515294 94.915 170.9818
55.851751 94.900 170.8816
56.188207 94.889 170.7369
56.524663 94.879 170.5406
56.861120 94.864 170.3060
57.197576 94.842 170.0579
57.534032 94.814 169.8219
57.870489 94.782 169.6162
58.206945 94.750 169.4484
58.543401 94.719 169.3153
58.879858 94.692 169.2052
59.216314 94.670 169.1005
59.552770 94.653 168.9829
59.889227 94.639 168.8381
60.225683 94.625 168.6610
60.562139 94.608 168.4577
60.898596 94.586 168.2437
61.235052 94.560 168.0384
61.571508 94.529 167.8580
61.907965 94.498 167.7109
62.244421 94.468 167.5951
62.580877 94.441 167.5008
62.917334 94.419 167.4143
63.253790 94.400 167.3230
63.590246 94.385 167.2178
63.926703 94.370 167.0939
64.263159 94.355 166.9511
64.599615 94.339 166.7919
64.936072 94.321 166.6214
65.272528 94.300 166.4465
65.608984 94.276 166.2748
65.945441 94.249 166.1147
66.281897 94.220 165.9732
66.618353 94.191 165.8549
66.954810 94.163 165.7599
67.291266 94.138 165.6827
67.627722 94.116 165.6134
67.964179 94.098 165.5399
68.300635 94.082 165.4527
68.637091 94.067 165.3481
68.973548 94.052 165.2292
69.310004 94.036 165.1024
69.646460 94.019 164.9729
69.982917 94.002 164.8412
70.319373 93.985 164.7030
70.655829 93.966 164.5547
70.992285 93.945 164.3988
71.328742 93.920 164.2468
71.665198 93.891 164.1154
72.001654 93.861 164.0174
72.338111 93.833 163.9521
72.674567 93.810 163.9030
73.011023 93.792 163.8449
73.347480 93.776 163.7587
73.683936 93.758 163.6436
74.020392 93.735 163.5194
74.356849 93.708 163.4160
74.693305 93.679 163.3539
75.029761 93.655 163.3303
75.366218 93.638 163.3181
75.702674 93.628 163.2809
76.039130 93.621 163.1952
76.375587 93.611 163.0644
76.712043 93.595 162.9153
77.048499 93.573 162.7802
77.384956 93.549 162.6769
77.721412 93.527 162.5996
78.057868 93.508 162.5276
78.394325 93.491 162.4445
78.730781 93.472 162.3512
79.067237 93.451 162.2639
79.403694 93.429 162.1974
79.740150 93.410 162.1496
80.076606 93.394 162.0995
80.413063 93.380 162.0249
80.749519 93.363 161.9243
81.085975 93.340 161.8249
81.422432 93.313 161.7657
81.758888 93.287 161.7667
82.095344 93.270 161.8055
82.431801 93.267 161.8226
82.768257 93.270 161.7578
83.104713 93.271 161.5912
83.441170 93.260 161.3588
83.777626 93.233 161.1312
84.114082 93.196 160.9696
84.450539 93.158 160.8895
84.786995 93.128 160.8573
85.123451 93.105 160.8221
85.459908 93.083 160.7587
85.796364 93.059 160.6852
86.132820 93.030 160.6436
86.469277 93.004 160.6589
86.805733 92.987 160.7108
87.142189 92.981 160.7445
87.478646 92.981 160.7134
87.815102 92.977 160.6191
88.151558 92.963 160.5139
88.488015 92.943 160.4615
88.824471 92.926 160.4842
89.160927 92.922 160.5358
89.497384 92.933 160.5274
89.833840 92.947 160.3910
90.170296 92.947 160.1330
90.506753 92.924 159.8385
90.843209 92.877 159.6245
91.179665 92.820 159.5715
91.516122 92.771 159.6758
91.852578 92.743 159.8537
92.189034 92.734 159.9965
92.525491 92.734 160.0383
92.861947 92.730 159.9856
93.198403 92.716 159.8972
93.534860 92.693 159.8339
93.871316 92.669 159.8177
94.207772 92.650 159.8249
94.544228 92.637 159.8130
94.880685 92.625 159.7579
95.217141 92.609 159.6711
95.553597 92.586 159.5890
95.890054 92.560 159.5433
96.226510 92.536 159.5386
96.562966 92.519 159.5511
96.899423 92.507 159.5483
97.235879 92.497 159.5126
97.572335 92.485 159.4527
97.908792 92.469 159.3936
98.245248 92.451 159.3564
98.581704 92.436 159.3425
98.918161 92.424 159.3326
99.254617 92.416 159.3014
99.591073 92.407 159.2363
99.927530 92.393 159.1475
100.263986 92.373 159.0630
100.600442 92.347 159.0125
100.936899 92.321 159.0098
101.273355 92.298 159.0446
101.609811 92.282 159.0883
101.946268 92.272 159.1095
102.282724 92.263 159.0912
102.619180 92.252 159.0381
102.955637 92.236 158.9713
103.292093 92.215 158.9153
103.628549 92.193 158.8834
103.965006 92.173 158.8718
104.301462 92.156 158.8644
104.637918 92.142 158.8442
104.974375 92.128 158.8046
105.310831 92.113 158.7523
105.647287 92.096 158.7019
105.983744 92.077 158.6650
106.320200 92.061 158.6426
106.656656 92.046 158.6255
106.993113 92.034 158.6009
107.329569 92.023 158.5625
107.666025 92.009 158.5146
108.002482 91.994 158.4696
108.338938 91.977 158.4399
108.675394 91.961 158.4299
109.011851 91.946 158.4338
109.348307 91.934 158.4398
109.684763 91.923 158.4377
110.021220 91.913 158.4243
110.357676 91.901 158.4044
110.694132 91.887 158.3855
111.030589 91.873 158.3727
111.367045 91.858 158.3658
111.703501 91.844 158.3604
112.039958 91.830 158.3523
112.376414 91.816 158.3405
112.712870 91.802 158.3275
113.049327 91.786 158.3166
113.385783 91.771 158.3086
113.722239 91.757 158.3009
114.058696 91.743 158.2897
114.395152 91.729 158.2729
114.731608 91.715 158.2523
115.068065 91.700 158.2326
115.404521 91.684 158.2179
115.740977 91.670 158.2087
116.077434 91.656 158.2014
116.413890 91.643 158.1910
116.750346 91.630 158.1760
117.086803 91.617 158.1592
117.423259 91.603 158.1464
117.759715 91.589 158.1413
118.096171 91.576 158.1409
118.432628 91.564 158.1371
118.769084 91.553 158.1222
119.105540 91.539 158.0966
119.441997 91.523 158.0722
119.778453 91.503 158.0671
120.114909 91.483 158.0946
120.451366 91.467 158.1521
120.787822 91.456 158.2182
121.124278 91.452 158.2622
121.460735 91.451 158.2609
121.797191 91.447 158.2122
122.133647 91.437 158.1366
122.470104 91.421 158.0653
122.806560 91.400 158.0224
123.143016 91.380 158.0122
123.479473 91.363 158.0198
123.815929 91.349 158.0239
124.152385 91.336 158.0127
124.488842 91.321 157.9916
124.825298 91.305 157.9769
125.161754 91.288 157.9821
125.498211 91.275 158.0065
125.834667 91.265 158.0345
126.171123 91.259 158.0471
126.507580 91.254 158.0345
126.844036 91.246 158.0037
127.180492 91.235 157.9722
127.516949 91.222 157.9562
127.853405 91.209 157.9601
128.189861 91.198 157.9752
128.526318 91.189 157.9872
128.862774 91.181 157.9872
129.199230 91.171 157.9767
129.535687 91.160 157.9653
129.872143 91.148 157.9627
130.208599 91.136 157.9715
130.545056 91.125 157.9860
130.881512 91.115 157.9970
131.217968 91.107 157.9976
131.554425 91.097 157.9872
131.890881 91.086 157.9714
132.227337 91.074 157.9577
132.563794 91.060 157.9519
132.900250 91.047 157.9558
133.236706 91.035 157.9662
133.573163 91.025 157.9767
133.909619 91.016 157.9797
134.246075 91.007 157.9705
134.582532 90.997 157.9501
134.918988 90.985 157.9263
135.255444 90.971 157.9110
135.591901 90.956 157.9137
135.928357 90.942 157.9362
136.264813 90.931 157.9700
136.601270 90.923 158.0012
136.937726 90.917 158.0174
137.274182 90.912 158.0151
137.610639 90.904 158.0009
137.947095 90.895 157.9865
138.283551 90.884 157.9815
138.620008 90.873 157.9882
138.956464 90.862 158.0019
139.292920 90.853 158.0158
139.629377 90.845 158.0263
139.965833 90.836 158.0342
140.302289 90.826 158.0428
140.638746 90.817 158.0537
140.975202 90.808 158.0649
141.311658 90.800 158.0727
141.648115 90.791 158.0750
141.984571 90.782 158.0740
142.321027 90.771 158.0756
142.657483 90.759 158.0849
142.993940 90.748 158.1033
143.330396 90.738 158.1270
143.666852 90.730 158.1494
144.003309 90.722 158.1652
144.339765 90.714 158.1736
144.676221 90.706 158.1774
145.012678 90.697 158.1814
145.349134 90.687 158.1884
145.685590 90.678 158.1977
146.022047 90.670 158.2065
146.358503 90.661 158.2118
146.694959 90.653 158.2123
147.031416 90.644 158.2096
147.367872 90.634 158.2068
147.704328 90.623 158.2075
148.040785 90.612 158.2135
148.377241 90.601 158.2256
148.713697 90.590 158.2427
149.050154 90.580 158.2627
149.386610 90.571 158.2827
149.723066 90.563 158.2996
150.059523 90.556 158.3111
150.395979 90.548 158.3166
150.732435 90.539 158.3181
151.068892 90.530 158.3197
151.405348 90.520 158.3258
151.741804 90.509 158.3389
152.078261 90.499 158.3580
152.414717 90.491 158.3788
152.751173 90.483 158.3960
153.087630 90.475 158.4067
153.424086 90.467 158.4118
153.760542 90.458 158.4160
154.096999 90.448 158.4247
154.433455 90.437 158.4410
154.769911 90.428 158.4641
155.106368 90.419 158.4895
155.442824 90.411 158.5130
155.779280 90.403 158.5319
156.115737 90.395 158.5472
156.452193 90.387 158.5614
156.788649 90.379 158.5768
157.125106 90.370 158.5939
157.461562 90.362 158.6113
157.798018 90.355 158.6270
158.134475 90.347 158.6403
