* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Jun 13, 2026 3:16:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Klukai L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 78.385 51.4153
20.507812 78.321 46.2875
20.874023 78.097 42.0280
21.240234 77.793 38.7740
21.606445 77.470 36.4547
21.972656 77.164 34.9501
22.338867 76.906 34.1642
22.705078 76.731 33.9435
23.071289 76.665 33.9694
23.437500 76.701 33.8237
23.803711 76.787 33.2195
24.169922 76.865 32.1582
24.536133 76.894 30.8715
24.902344 76.872 29.6389
25.268555 76.826 28.6309
25.634766 76.780 27.8584
26.000977 76.749 27.2257
26.367188 76.738 26.6173
26.733398 76.741 25.9425
27.099609 76.748 25.1389
27.465820 76.744 24.1857
27.832031 76.712 23.1453
28.198242 76.644 22.1830
28.564453 76.554 21.4998
28.930664 76.484 21.1782
29.296875 76.477 21.0473
29.663086 76.542 20.7322
30.029297 76.637 19.9204
30.395508 76.693 18.6210
30.761719 76.664 17.1920
31.127930 76.554 16.1419
31.494141 76.430 15.8145
31.860352 76.386 16.0973
32.226562 76.465 16.4126
32.592773 76.627 16.1337
32.958984 76.774 15.0625
33.325195 76.824 13.5191
33.691406 76.755 12.0862
34.057617 76.613 11.2575
34.423828 76.488 11.1320
34.790039 76.445 11.3257
35.156250 76.481 11.2661
35.522461 76.529 10.6571
35.888672 76.517 9.6650
36.254883 76.427 8.7258
36.621094 76.296 8.2035
36.987305 76.190 8.1206
37.353516 76.152 8.1494
37.719727 76.164 7.9097
38.085938 76.176 7.2969
38.452148 76.149 6.5222
38.818359 76.092 5.8792
39.184570 76.042 5.4718
39.550781 76.028 5.1323
39.916992 76.041 4.6150
40.283203 76.039 3.8778
40.649414 75.992 3.1616
41.015625 75.915 2.7940
41.381836 75.865 2.8766
41.748047 75.892 3.1237
42.114258 75.985 3.0637
42.480469 76.079 2.4536
42.846680 76.105 1.4832
43.212891 76.040 0.6172
43.579102 75.927 0.2542
43.945312 75.838 0.4237
44.311523 75.821 0.7498
44.677734 75.855 0.7803
45.043945 75.878 0.3844
45.410156 75.843 -0.1744
45.776367 75.759 -0.4988
46.142578 75.685 -0.4136
46.508789 75.682 -0.1619
46.875000 75.755 -0.2446
47.241211 75.844 -1.0065
47.607422 75.869 -2.3691
47.973633 75.783 -3.8941
48.339844 75.593 -5.0256
48.706055 75.365 -5.3657
49.072266 75.192 -4.9086
49.438477 75.142 -4.0956
49.804688 75.214 -3.5549
50.170898 75.340 -3.6906
50.537109 75.437 -4.4785
50.903320 75.447 -5.5538
51.269531 75.365 -6.4233
51.635742 75.236 -6.6936
52.001953 75.137 -6.2837
52.368164 75.135 -5.5276
52.734375 75.239 -5.0051
53.100586 75.389 -5.1572
53.466797 75.499 -6.0178
53.833008 75.506 -7.2410
54.199219 75.395 -8.3017
54.565430 75.210 -8.7329
54.931641 75.032 -8.3521
55.297852 74.945 -7.4032
55.664062 74.987 -6.4622
56.030273 75.123 -6.0944
56.396484 75.277 -6.5471
56.762695 75.372 -7.7014
57.128906 75.362 -9.2007
57.495117 75.236 -10.5935
57.861328 75.019 -11.4387
58.227539 74.771 -11.4166
58.593750 74.582 -10.4815
58.959961 74.535 -8.9950
59.326172 74.662 -7.6547
59.692383 74.915 -7.1464
60.058594 75.192 -7.7883
60.424805 75.389 -9.4460
60.791016 75.434 -11.6630
61.157227 75.298 -13.8191
61.523438 75.005 -15.2573
61.889648 74.632 -15.4366
62.255859 74.308 -14.1807
62.622070 74.164 -11.9363
62.988281 74.257 -9.6856
63.354492 74.527 -8.3718
63.720703 74.849 -8.3838
64.086914 75.111 -9.5575
64.453125 75.248 -11.4594
64.819336 75.239 -13.6122
65.185547 75.089 -15.5892
65.551758 74.822 -17.0239
65.917969 74.479 -17.5959
66.284180 74.125 -17.0562
66.650391 73.854 -15.3536
67.016602 73.767 -12.8452
67.382812 73.925 -10.3582
67.749023 74.285 -8.8477
68.115234 74.725 -8.8717
68.481445 75.108 -10.3905
68.847656 75.331 -12.9307
69.213867 75.346 -15.8229
69.580078 75.156 -18.3691
69.946289 74.812 -19.9692
70.312500 74.404 -20.2670
70.678711 74.034 -19.2755
71.044922 73.781 -17.3414
71.411133 73.677 -14.9047
71.777344 73.738 -12.3232
72.143555 73.982 -10.0007
72.509766 74.405 -8.5685
72.875977 74.931 -8.7010
73.242188 75.423 -10.6835
73.608398 75.739 -14.2176
73.974609 75.778 -18.5435
74.340820 75.510 -22.6367
74.707031 74.991 -25.3979
75.073242 74.383 -26.0151
75.439453 73.925 -24.6325
75.805664 73.761 -22.6531
76.171875 73.798 -21.6132
76.538086 73.814 -21.7692
76.904297 73.673 -22.1439
77.270508 73.420 -21.4697
77.636719 73.258 -19.2663
78.002930 73.374 -16.5573
78.369141 73.722 -15.0337
78.735352 74.067 -15.2990
79.101562 74.215 -16.5120
79.467773 74.150 -17.2357
79.833984 74.038 -16.4515
80.200195 74.135 -14.5658
80.566406 74.527 -13.4189
80.932617 75.020 -14.5188
81.298828 75.333 -17.7700
81.665039 75.297 -21.9261
82.031250 74.899 -25.3571
82.397461 74.300 -26.6303
82.763672 73.816 -25.4583
83.129883 73.699 -23.5784
83.496094 73.844 -23.4059
83.862305 73.904 -25.5706
84.228516 73.605 -28.7301
84.594727 72.887 -30.5571
84.960938 71.994 -28.5966
85.327148 71.528 -22.4164
85.693359 71.923 -16.1094
86.059570 72.786 -14.0107
86.425781 73.497 -15.9727
86.791992 73.774 -19.6361
87.158203 73.630 -22.6570
87.524414 73.273 -23.3933
87.890625 73.039 -21.6846
88.256836 73.143 -19.2822
88.623047 73.471 -18.1788
88.989258 73.748 -18.6438
89.355469 73.828 -19.5521
89.721680 73.763 -19.6784
90.087891 73.730 -18.7194
90.454102 73.848 -17.5911
90.820312 74.040 -17.4310
91.186523 74.114 -18.3064
91.552734 73.950 -19.0978
91.918945 73.624 -18.2752
92.285156 73.433 -15.1967
92.651367 73.681 -11.4632
93.017578 74.308 -9.8678
93.383789 74.955 -11.5314
93.750000 75.321 -15.5736
94.116211 75.288 -20.4064
94.482422 74.883 -24.4635
94.848633 74.261 -26.5309
95.214844 73.671 -26.2556
95.581055 73.333 -24.6121
95.947266 73.263 -23.2341
96.313477 73.300 -22.9480
96.679688 73.297 -23.4281
97.045898 73.228 -23.9639
97.412109 73.150 -24.1840
97.778320 73.121 -24.2572
98.144531 73.132 -24.5520
98.510742 73.126 -25.1553
98.876953 73.059 -25.7537
99.243164 72.948 -25.9136
99.609375 72.861 -25.4681
99.975586 72.860 -24.6961
100.341797 72.949 -24.1052
100.708008 73.072 -24.0128
101.074219 73.167 -24.3608
101.440430 73.201 -24.8622
101.806641 73.182 -25.2412
102.172852 73.137 -25.3716
102.539062 73.090 -25.2676
102.905273 73.055 -24.9979
103.271484 73.039 -24.6301
103.637695 73.050 -24.2472
104.003906 73.086 -23.9728
104.370117 73.137 -23.9314
104.736328 73.175 -24.1615
105.102539 73.178 -24.5687
105.468750 73.138 -24.9709
105.834961 73.070 -25.2028
106.201172 73.001 -25.2098
106.567383 72.953 -25.0680
106.933594 72.934 -24.9165
107.299805 72.936 -24.8624
107.666016 72.945 -24.9326
108.032227 72.953 -25.0929
108.398438 72.956 -25.2963
108.764648 72.955 -25.5140
109.130859 72.950 -25.7347
109.497070 72.941 -25.9462
109.863281 72.924 -26.1218
110.229492 72.899 -26.2240
110.595703 72.872 -26.2250
110.961914 72.847 -26.1315
111.328125 72.828 -25.9921
111.694336 72.809 -25.8680
112.060547 72.775 -25.7753
112.426758 72.713 -25.6410
112.792969 72.623 -25.3242
113.159180 72.526 -24.7190
113.525391 72.457 -23.8824
113.891602 72.435 -23.0702
114.257812 72.443 -22.5893
114.624023 72.431 -22.5616
114.990234 72.354 -22.8107
115.356445 72.203 -22.9685
115.722656 72.024 -22.7405
116.088867 71.886 -22.1752
116.455078 71.831 -21.7040
116.821289 71.829 -21.8069
117.187500 71.803 -22.5834
117.553711 71.693 -23.6387
117.919922 71.512 -24.3394
118.286133 71.352 -24.2712
118.652344 71.337 -23.6752
119.018555 71.513 -23.4147
119.384766 71.797 -24.2811
119.750977 72.039 -26.3566
120.117188 72.126 -29.0316
120.483398 72.026 -31.3810
120.849609 71.802 -32.5585
121.215820 71.587 -32.2000
121.582031 71.520 -30.7301
121.948242 71.635 -29.1333
122.314453 71.844 -28.1744
122.680664 72.021 -27.9034
123.046875 72.089 -27.8421
123.413086 72.050 -27.4263
123.779297 71.963 -26.3531
124.145508 71.893 -24.7224
124.511719 71.870 -22.9113
124.877930 71.871 -21.2657
125.244141 71.853 -19.8782
125.610352 71.786 -18.6069
125.976562 71.671 -17.2434
126.342773 71.537 -15.6742
126.708984 71.418 -13.9542
127.075195 71.332 -12.2670
127.441406 71.279 -10.8053
127.807617 71.242 -9.6567
128.173828 71.208 -8.7686
128.540039 71.183 -8.0125
128.906250 71.192 -7.3077
129.272461 71.267 -6.7270
129.638672 71.424 -6.4863
130.004883 71.643 -6.7990
130.371094 71.883 -7.7081
130.737305 72.105 -9.0417
131.103516 72.293 -10.5090
131.469727 72.457 -11.8540
131.835938 72.623 -12.9684
132.202148 72.807 -13.9023
132.568359 73.008 -14.7723
132.934570 73.210 -15.6515
133.300781 73.395 -16.5346
133.666992 73.552 -17.3807
134.033203 73.676 -18.1641
134.399414 73.765 -18.8755
134.765625 73.812 -19.4884
135.131836 73.821 -19.9503
135.498047 73.804 -20.2325
135.864258 73.776 -20.3954
136.230469 73.743 -20.5748
136.596680 73.690 -20.8653
136.962891 73.599 -21.2025
137.329102 73.475 -21.3887
137.695312 73.357 -21.2927
138.061523 73.301 -21.0787
138.427734 73.322 -21.1984
138.793945 73.370 -22.0448
139.160156 73.360 -23.5844
139.526367 73.231 -25.3144
139.892578 72.998 -26.5362
140.258789 72.754 -26.7883
140.625000 72.617 -26.2378
140.991211 72.636 -25.6185
141.357422 72.747 -25.5748
141.723633 72.842 -26.1079
142.089844 72.867 -26.6983
142.456055 72.855 -26.8336
142.822266 72.887 -26.4786
143.188477 73.005 -26.1194
143.554688 73.162 -26.2764
143.920898 73.268 -26.9961
144.287109 73.262 -27.8361
144.653320 73.161 -28.2380
145.019531 73.042 -27.9518
145.385742 72.981 -27.2304
145.751953 72.989 -26.5889
146.118164 73.017 -26.3311
146.484375 73.015 -26.3571
146.850586 72.976 -26.3864
147.216797 72.932 -26.2905
147.583008 72.914 -26.2103
147.949219 72.912 -26.3682
148.315430 72.890 -26.7948
148.681641 72.826 -27.2731
149.047852 72.737 -27.5342
149.414062 72.664 -27.5038
149.780273 72.641 -27.3665
150.146484 72.659 -27.3751
150.512695 72.687 -27.6094
150.878906 72.699 -27.9407
151.245117 72.698 -28.2038
151.611328 72.702 -28.3695
151.977539 72.719 -28.5437
152.343750 72.731 -28.8062
152.709961 72.716 -29.0800
153.076172 72.674 -29.1835
153.442383 72.632 -29.0127
153.808594 72.620 -28.6740
154.174805 72.642 -28.4094
154.541016 72.670 -28.3731
154.907227 72.671 -28.4939
155.273438 72.640 -28.5597
155.639648 72.601 -28.4290
156.005859 72.588 -28.1740
156.372070 72.610 -28.0184
156.738281 72.641 -28.1237
157.104492 72.652 -28.4465
157.470703 72.630 -28.7942
157.836914 72.590 -28.9993
158.203125 72.559 -29.0480
158.569336 72.551 -29.0582
158.935547 72.558 -29.1409
159.301758 72.564 -29.2943
159.667969 72.565 -29.4341
160.034180 72.567 -29.5070
160.400391 72.580 -29.5591
160.766602 72.602 -29.6854
161.132812 72.614 -29.9138
161.499023 72.602 -30.1506
161.865234 72.567 -30.2473
162.231445 72.532 -30.1302
162.597656 72.521 -29.8816
162.963867 72.538 -29.6849
163.330078 72.562 -29.6746
163.696289 72.567 -29.8259
164.062500 72.540 -29.9812
164.428711 72.493 -29.9789
