* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Jun 13, 2026 3:15:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Klukai R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 75.766 43.1058
20.507812 75.776 42.1882
20.874023 75.821 41.3728
21.240234 75.894 40.4605
21.606445 75.969 39.3604
21.972656 76.023 38.1259
22.338867 76.046 36.8856
22.705078 76.048 35.7430
23.071289 76.043 34.7172
23.437500 76.040 33.7571
23.803711 76.037 32.8043
24.169922 76.029 31.8428
24.536133 76.013 30.8984
24.902344 75.992 30.0025
25.268555 75.973 29.1635
25.634766 75.958 28.3708
26.000977 75.947 27.6157
26.367188 75.943 26.8967
26.733398 75.948 26.1979
27.099609 75.966 25.4730
27.465820 75.991 24.6661
27.832031 76.010 23.7642
28.198242 76.013 22.8303
28.564453 75.997 21.9724
28.930664 75.977 21.2617
29.296875 75.970 20.6649
29.663086 75.980 20.0626
30.029297 75.992 19.3603
30.395508 75.984 18.5933
30.761719 75.948 17.9247
31.127930 75.901 17.5192
31.494141 75.882 17.3771
31.860352 75.920 17.2725
32.226562 76.003 16.8895
32.592773 76.083 16.0620
32.958984 76.113 14.9011
33.325195 76.070 13.7209
33.691406 75.972 12.8423
34.057617 75.870 12.3925
34.423828 75.808 12.2209
34.790039 75.798 12.0161
35.156250 75.812 11.5480
35.522461 75.809 10.8223
35.888672 75.769 10.0370
36.254883 75.698 9.4157
36.621094 75.629 9.0532
36.987305 75.589 8.8652
37.353516 75.586 8.6689
37.719727 75.606 8.3204
38.085938 75.627 7.7933
38.452148 75.633 7.1582
38.818359 75.621 6.5115
39.184570 75.595 5.9199
39.550781 75.562 5.4081
39.916992 75.528 4.9729
40.283203 75.498 4.5985
40.649414 75.473 4.2615
41.015625 75.451 3.9343
41.381836 75.430 3.5986
41.748047 75.405 3.2578
42.114258 75.375 2.9346
42.480469 75.345 2.6483
42.846680 75.317 2.3912
43.212891 75.295 2.1290
43.579102 75.275 1.8298
43.945312 75.252 1.4948
44.311523 75.223 1.1581
44.677734 75.193 0.8518
45.043945 75.167 0.5671
45.410156 75.147 0.2539
45.776367 75.126 -0.1324
46.142578 75.089 -0.5721
46.508789 75.027 -0.9613
46.875000 74.944 -1.1545
47.241211 74.863 -1.0477
47.607422 74.812 -0.6536
47.973633 74.817 -0.1213
48.339844 74.882 0.3186
48.706055 74.992 0.4509
49.072266 75.116 0.1527
49.438477 75.217 -0.5762
49.804688 75.265 -1.6191
50.170898 75.241 -2.7651
50.537109 75.145 -3.7534
50.903320 75.002 -4.3496
51.269531 74.857 -4.4534
51.635742 74.756 -4.1844
52.001953 74.725 -3.8544
52.368164 74.747 -3.7906
52.734375 74.777 -4.1353
53.100586 74.772 -4.7776
53.466797 74.716 -5.4476
53.833008 74.624 -5.8849
54.199219 74.537 -5.9902
54.565430 74.490 -5.8809
54.931641 74.494 -5.8022
55.297852 74.527 -5.9517
55.664062 74.556 -6.3560
56.030273 74.556 -6.8794
56.396484 74.523 -7.3261
56.762695 74.477 -7.5582
57.128906 74.441 -7.5677
57.495117 74.434 -7.4712
57.861328 74.455 -7.4324
58.227539 74.486 -7.5623
58.593750 74.502 -7.8634
58.959961 74.489 -8.2394
59.326172 74.442 -8.5540
59.692383 74.374 -8.7003
60.058594 74.304 -8.6501
60.424805 74.250 -8.4598
60.791016 74.220 -8.2349
61.157227 74.214 -8.0822
61.523438 74.225 -8.0847
61.889648 74.242 -8.2988
62.255859 74.248 -8.7452
62.622070 74.226 -9.3745
62.988281 74.159 -10.0334
63.354492 74.054 -10.4862
63.720703 73.944 -10.5320
64.086914 73.884 -10.1912
64.453125 73.917 -9.8073
64.819336 74.027 -9.8781
65.185547 74.138 -10.6781
65.551758 74.160 -12.0123
65.917969 74.046 -13.2767
66.284180 73.828 -13.7496
66.650391 73.623 -13.0397
67.016602 73.567 -11.5214
67.382812 73.698 -10.2210
67.749023 73.917 -9.9698
68.115234 74.069 -10.7505
68.481445 74.068 -11.8513
68.847656 73.934 -12.4207
69.213867 73.783 -12.0408
69.580078 73.736 -11.0933
69.946289 73.810 -10.4768
70.312500 73.902 -10.7581
70.678711 73.887 -11.6908
71.044922 73.723 -12.4763
71.411133 73.482 -12.3669
71.777344 73.311 -11.2851
72.143555 73.310 -10.0286
72.509766 73.433 -9.5952
72.875977 73.536 -10.2665
73.242188 73.506 -11.4792
73.608398 73.340 -12.3346
73.974609 73.139 -12.2136
74.340820 73.047 -11.2543
74.707031 73.132 -10.3103
75.073242 73.334 -10.2216
75.439453 73.526 -11.1710
75.805664 73.618 -12.7429
76.171875 73.587 -14.3330
76.538086 73.468 -15.4678
76.904297 73.319 -15.9425
77.270508 73.198 -15.8135
77.636719 73.141 -15.3113
78.002930 73.159 -14.7412
78.369141 73.232 -14.3865
78.735352 73.321 -14.3982
79.101562 73.379 -14.7130
79.467773 73.384 -15.0845
79.833984 73.349 -15.2452
80.200195 73.313 -15.1167
80.566406 73.309 -14.8897
80.932617 73.324 -14.8461
81.298828 73.313 -15.0509
81.665039 73.240 -15.2277
82.031250 73.125 -14.9556
82.397461 73.049 -14.0706
82.763672 73.094 -12.9628
83.129883 73.261 -12.3788
83.496094 73.460 -12.8109
83.862305 73.579 -14.1367
84.228516 73.557 -15.7757
84.594727 73.406 -17.0662
84.960938 73.201 -17.6079
85.327148 73.029 -17.4515
85.693359 72.937 -16.9901
86.059570 72.910 -16.5944
86.425781 72.913 -16.3538
86.791992 72.933 -16.1632
87.158203 72.985 -15.9911
87.524414 73.082 -16.0151
87.890625 73.199 -16.4810
88.256836 73.278 -17.4373
88.623047 73.267 -18.6122
88.989258 73.153 -19.5173
89.355469 72.984 -19.7023
89.721680 72.848 -19.0622
90.087891 72.824 -18.0037
90.454102 72.911 -17.2089
90.820312 73.028 -17.1022
91.186523 73.079 -17.5392
91.552734 73.018 -17.9429
91.918945 72.889 -17.7086
92.285156 72.798 -16.6879
92.651367 72.837 -15.4569
93.017578 72.977 -14.9183
93.383789 73.082 -15.4688
93.750000 73.009 -16.6089
94.116211 72.716 -17.1843
94.482422 72.320 -15.9809
94.848633 72.098 -12.7543
95.214844 72.285 -9.1361
95.581055 72.793 -7.4714
95.947266 73.308 -8.5790
96.313477 73.577 -11.6058
96.679688 73.510 -15.0841
97.045898 73.165 -17.6218
97.412109 72.721 -18.3751
97.778320 72.400 -17.5724
98.144531 72.309 -16.4780
98.510742 72.361 -16.2568
98.876953 72.389 -17.0023
99.243164 72.307 -17.9814
99.609375 72.155 -18.4149
99.975586 72.045 -18.0997
100.341797 72.059 -17.5447
100.708008 72.173 -17.4453
101.074219 72.292 -18.0267
101.440430 72.341 -18.9545
101.806641 72.315 -19.7151
102.172852 72.263 -20.0198
102.539062 72.239 -19.9609
102.905273 72.257 -19.8399
103.271484 72.289 -19.8499
103.637695 72.304 -19.9401
104.003906 72.298 -19.9520
104.370117 72.291 -19.8289
104.736328 72.298 -19.6798
105.102539 72.309 -19.6532
105.468750 72.300 -19.7684
105.834961 72.258 -19.8929
106.201172 72.194 -19.8757
106.567383 72.138 -19.7029
106.933594 72.106 -19.5284
107.299805 72.092 -19.5406
107.666016 72.066 -19.7946
108.032227 72.006 -20.1661
108.398438 71.911 -20.4490
108.764648 71.805 -20.4991
109.130859 71.719 -20.3235
109.497070 71.672 -20.0598
109.863281 71.663 -19.8755
110.229492 71.673 -19.8679
110.595703 71.680 -20.0251
110.961914 71.669 -20.2439
111.328125 71.639 -20.3811
111.694336 71.603 -20.3292
112.060547 71.587 -20.0997
112.426758 71.604 -19.8521
112.792969 71.640 -19.7979
113.159180 71.655 -20.0126
113.525391 71.610 -20.3140
113.891602 71.500 -20.3312
114.257812 71.377 -19.7741
114.624023 71.318 -18.7627
114.990234 71.363 -17.8864
115.356445 71.452 -17.7549
115.722656 71.470 -18.4285
116.088867 71.331 -19.2936
116.455078 71.058 -19.4223
116.821289 70.801 -18.2698
117.187500 70.749 -16.4578
117.553711 70.928 -15.6221
117.919922 71.131 -16.9231
118.286133 71.078 -20.0590
118.652344 70.573 -23.5101
119.018555 69.580 -24.8652
119.384766 68.372 -21.1205
119.750977 67.765 -11.4000
120.117188 68.403 -1.6531
120.483398 69.663 2.0416
120.849609 70.721 0.4407
121.215820 71.288 -3.4686
121.582031 71.388 -7.2523
121.948242 71.197 -9.2837
122.314453 70.990 -9.0010
122.680664 71.013 -7.3030
123.046875 71.302 -5.9020
123.413086 71.692 -5.7711
123.779297 72.016 -6.6659
124.145508 72.216 -7.8245
124.511719 72.336 -8.6728
124.877930 72.449 -9.1271
125.244141 72.595 -9.4900
125.610352 72.757 -10.0824
125.976562 72.889 -10.9601
126.342773 72.962 -11.9321
126.708984 72.983 -12.7627
127.075195 72.980 -13.3474
127.441406 72.978 -13.7483
127.807617 72.986 -14.0986
128.173828 72.996 -14.4860
128.540039 72.999 -14.9178
128.906250 72.992 -15.3657
129.272461 72.977 -15.8121
129.638672 72.955 -16.2512
130.004883 72.925 -16.6633
130.371094 72.892 -17.0145
130.737305 72.867 -17.3002
131.103516 72.857 -17.5834
131.469727 72.860 -17.9706
131.835938 72.857 -18.5212
132.202148 72.826 -19.1678
132.568359 72.756 -19.7239
132.934570 72.662 -19.9877
133.300781 72.581 -19.8835
133.666992 72.547 -19.5402
134.033203 72.571 -19.2250
134.399414 72.630 -19.1656
134.765625 72.687 -19.4114
135.131836 72.713 -19.8376
135.498047 72.704 -20.2577
135.864258 72.671 -20.5410
136.230469 72.635 -20.6695
136.596680 72.608 -20.7111
136.962891 72.590 -20.7474
137.329102 72.574 -20.8174
137.695312 72.552 -20.9083
138.061523 72.524 -20.9825
138.427734 72.492 -21.0062
138.793945 72.463 -20.9661
139.160156 72.445 -20.8800
139.526367 72.443 -20.8026
139.892578 72.456 -20.8098
140.258789 72.472 -20.9545
140.625000 72.476 -21.2142
140.991211 72.459 -21.4798
141.357422 72.428 -21.6149
141.723633 72.407 -21.5653
142.089844 72.423 -21.4386
142.456055 72.476 -21.4623
142.822266 72.541 -21.8202
143.188477 72.571 -22.4967
143.554688 72.537 -23.2562
143.920898 72.440 -23.7667
144.287109 72.320 -23.7942
144.653320 72.231 -23.3625
145.019531 72.209 -22.7556
145.385742 72.243 -22.3182
145.751953 72.293 -22.2151
146.118164 72.319 -22.3607
146.484375 72.307 -22.5371
146.850586 72.274 -22.5714
147.216797 72.244 -22.4452
147.583008 72.235 -22.2766
147.949219 72.241 -22.2037
148.315430 72.244 -22.2743
148.681641 72.230 -22.4260
149.047852 72.198 -22.5492
149.414062 72.157 -22.5686
149.780273 72.125 -22.4888
150.146484 72.112 -22.3845
150.512695 72.115 -22.3512
150.878906 72.125 -22.4490
151.245117 72.126 -22.6686
151.611328 72.107 -22.9318
151.977539 72.070 -23.1248
152.343750 72.026 -23.1580
152.709961 71.997 -23.0263
153.076172 71.996 -22.8289
153.442383 72.025 -22.7164
153.808594 72.064 -22.7927
154.174805 72.090 -23.0432
154.541016 72.088 -23.3459
154.907227 72.061 -23.5533
155.273438 72.028 -23.5886
155.639648 72.008 -23.4906
156.005859 72.007 -23.3749
156.372070 72.017 -23.3394
156.738281 72.022 -23.3962
157.104492 72.015 -23.4796
157.470703 71.999 -23.5140
157.836914 71.983 -23.4800
158.203125 71.977 -23.4261
158.569336 71.979 -23.4219
158.935547 71.979 -23.4945
159.301758 71.969 -23.6069
159.667969 71.949 -23.6914
160.034180 71.927 -23.7069
160.400391 71.912 -23.6747
160.766602 71.910 -23.6621
161.132812 71.913 -23.7283
161.499023 71.912 -23.8763
161.865234 71.898 -24.0503
162.231445 71.873 -24.1757
162.597656 71.847 -24.2120
162.963867 71.829 -24.1796
163.330078 71.824 -24.1396
163.696289 71.826 -24.1448
164.062500 71.827 -24.2003
164.428711 71.822 -24.2668
