* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 14, 2026 1:11:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Letshuoer S12 L3
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 81.629 -147.2704
20.187380 81.631 -148.3645
20.523836 81.622 -149.4252
20.860293 81.604 -150.4024
21.196749 81.587 -151.2879
21.533205 81.577 -152.1188
21.869662 81.575 -152.9525
22.206118 81.576 -153.8312
22.542574 81.572 -154.7558
22.879030 81.556 -155.6872
23.215487 81.529 -156.5709
23.551943 81.498 -157.3708
23.888399 81.470 -158.0905
24.224856 81.452 -158.7715
24.561312 81.443 -159.4676
24.897768 81.437 -160.2122
25.234225 81.429 -161.0010
25.570681 81.414 -161.7972
25.907137 81.391 -162.5558
26.243594 81.364 -163.2503
26.580050 81.341 -163.8870
26.916506 81.325 -164.4994
27.252963 81.315 -165.1279
27.589419 81.306 -165.7974
27.925875 81.293 -166.5056
28.262332 81.272 -167.2264
28.598788 81.241 -167.9229
28.935244 81.204 -168.5642
29.271701 81.166 -169.1372
29.608157 81.132 -169.6519
29.944613 81.105 -170.1369
30.281070 81.085 -170.6266
30.617526 81.068 -171.1458
30.953982 81.050 -171.6962
31.290439 81.026 -172.2550
31.626895 80.997 -172.7872
31.963351 80.969 -173.2672
32.299808 80.946 -173.6978
32.636264 80.930 -174.1119
32.972720 80.922 -174.5541
33.309177 80.916 -175.0513
33.645633 80.903 -175.5924
33.982089 80.881 -176.1350
34.318546 80.853 -176.6339
34.655002 80.824 -177.0741
34.991458 80.802 -177.4841
35.327915 80.787 -177.9161
35.664371 80.770 -178.4050
36.000827 80.744 -178.9358
36.337284 80.704 -179.4470
36.673740 80.654 -179.8682
37.010196 80.607 179.8281
37.346653 80.573 179.5995
37.683109 80.557 179.3534
38.019565 80.551 179.0054
38.356022 80.541 178.5357
38.692478 80.514 178.0016
39.028934 80.467 177.4993
39.365391 80.411 177.1030
39.701847 80.360 176.8180
40.038303 80.323 176.5812
40.374760 80.301 176.3083
40.711216 80.283 175.9533
41.047672 80.259 175.5348
41.384129 80.225 175.1131
41.720585 80.186 174.7399
42.057041 80.151 174.4178
42.393498 80.124 174.1027
42.729954 80.103 173.7429
43.066410 80.079 173.3264
43.402867 80.045 172.8942
43.739323 80.002 172.5121
44.075779 79.957 172.2211
44.412236 79.921 172.0052
44.748692 79.899 171.8030
45.085148 79.885 171.5554
45.421605 79.870 171.2505
45.758061 79.847 170.9304
46.094517 79.818 170.6523
46.430974 79.791 170.4377
46.767430 79.772 170.2497
47.103886 79.762 170.0203
47.440342 79.749 169.7100
47.776799 79.723 169.3502
48.113255 79.678 169.0328
48.449711 79.622 168.8498
48.786168 79.575 168.8217
49.122624 79.552 168.8665
49.459080 79.555 168.8411
49.795537 79.570 168.6322
50.131993 79.575 168.2304
50.468449 79.553 167.7331
50.804906 79.502 167.2824
51.141362 79.438 166.9812
51.477818 79.378 166.8355
51.814275 79.338 166.7593
52.150731 79.316 166.6388
52.487187 79.301 166.4109
52.823644 79.278 166.0963
53.160100 79.242 165.7725
53.496556 79.198 165.5130
53.833013 79.157 165.3375
54.169469 79.128 165.2032
54.505925 79.112 165.0410
54.842382 79.100 164.8061
55.178838 79.082 164.5078
55.515294 79.055 164.1981
55.851751 79.019 163.9353
56.188207 78.981 163.7479
56.524663 78.951 163.6196
56.861120 78.930 163.5039
57.197576 78.916 163.3540
57.534032 78.903 163.1499
57.870489 78.885 162.9055
58.206945 78.857 162.6570
58.543401 78.823 162.4420
58.879858 78.785 162.2815
59.216314 78.750 162.1711
59.552770 78.720 162.0861
59.889227 78.697 161.9953
60.225683 78.677 161.8765
60.562139 78.657 161.7252
60.898596 78.633 161.5540
61.235052 78.606 161.3819
61.571508 78.576 161.2233
61.907965 78.545 161.0805
62.244421 78.516 160.9464
62.580877 78.486 160.8122
62.917334 78.456 160.6764
63.253790 78.426 160.5457
63.590246 78.394 160.4300
63.926703 78.362 160.3355
64.263159 78.332 160.2608
64.599615 78.305 160.1978
64.936072 78.282 160.1353
65.272528 78.264 160.0595
65.608984 78.249 159.9538
65.945441 78.235 159.8010
66.281897 78.218 159.5933
66.618353 78.194 159.3444
66.954810 78.158 159.0927
67.291266 78.112 158.8872
67.627722 78.065 158.7592
67.964179 78.024 158.6967
68.300635 77.996 158.6456
68.637091 77.976 158.5458
68.973548 77.956 158.3790
69.310004 77.927 158.1894
69.646460 77.891 158.0530
69.982917 77.860 158.0100
70.319373 77.848 158.0087
70.655829 77.858 157.9167
70.992285 77.874 157.6131
71.328742 77.865 157.0979
71.665198 77.807 156.5343
72.001654 77.700 156.1858
72.338111 77.575 156.2684
72.674567 77.484 156.7858
73.011023 77.467 157.4673
73.347480 77.521 157.9120
73.683936 77.598 157.8592
74.020392 77.638 157.3533
74.356849 77.607 156.6917
74.693305 77.511 156.2347
75.029761 77.392 156.1958
75.366218 77.304 156.5134
75.702674 77.273 156.9037
76.039130 77.283 157.0804
76.375587 77.298 156.9542
76.712043 77.292 156.6407
77.048499 77.266 156.3046
77.384956 77.237 155.9983
77.721412 77.216 155.6317
78.057868 77.190 155.1061
78.394325 77.129 154.4898
78.730781 77.025 154.0577
79.067237 76.911 154.1204
79.403694 76.867 154.7089
79.740150 76.958 155.3561
80.076606 77.170 155.3056
80.413063 77.401 154.0667
80.749519 77.515 151.7663
81.085975 77.417 149.0836
81.422432 77.087 147.0094
81.758888 76.607 146.5518
82.095344 76.170 148.2261
82.431801 76.002 151.3778
82.768257 76.174 154.2934
83.104713 76.529 155.6069
83.441170 76.842 155.2514
83.777626 76.981 154.0591
84.114082 76.934 153.0503
84.450539 76.786 152.9498
84.786995 76.672 153.8543
85.123451 76.690 155.1711
85.459908 76.828 156.0735
85.796364 76.994 156.1391
86.132820 77.093 155.5384
86.469277 77.085 154.7708
86.805733 76.994 154.3086
87.142189 76.884 154.3431
87.478646 76.814 154.7089
87.815102 76.800 155.0417
88.151558 76.813 155.0651
88.488015 76.810 154.7625
88.824471 76.764 154.3305
89.160927 76.680 154.0098
89.497384 76.586 153.9292
89.833840 76.514 154.0444
90.170296 76.476 154.1960
90.506753 76.467 154.2344
90.843209 76.465 154.1120
91.179665 76.456 153.8827
91.516122 76.437 153.6370
91.852578 76.413 153.4343
92.189034 76.392 153.2783
92.525491 76.376 153.1397
92.861947 76.362 152.9988
93.198403 76.346 152.8679
93.534860 76.328 152.7789
93.871316 76.311 152.7489
94.207772 76.303 152.7548
94.544228 76.302 152.7409
94.880685 76.303 152.6577
95.217141 76.293 152.5038
95.553597 76.264 152.3398
95.890054 76.214 152.2618
96.226510 76.155 152.3478
96.562966 76.106 152.6066
96.899423 76.081 152.9615
97.235879 76.084 153.2855
97.572335 76.107 153.4684
97.908792 76.133 153.4701
98.245248 76.147 153.3278
98.581704 76.144 153.1205
98.918161 76.125 152.9208
99.254617 76.098 152.7633
99.591073 76.070 152.6424
99.927530 76.044 152.5350
100.263986 76.017 152.4258
100.600442 75.989 152.3187
100.936899 75.959 152.2291
101.273355 75.928 152.1686
101.609811 75.900 152.1364
101.946268 75.875 152.1225
102.282724 75.854 152.1165
102.619180 75.835 152.1137
102.955637 75.818 152.1134
103.292093 75.803 152.1133
103.628549 75.790 152.1078
103.965006 75.778 152.0919
104.301462 75.765 152.0657
104.637918 75.750 152.0365
104.974375 75.733 152.0130
105.310831 75.716 151.9991
105.647287 75.699 151.9914
105.983744 75.683 151.9828
106.320200 75.666 151.9695
106.656656 75.649 151.9534
106.993113 75.631 151.9398
107.329569 75.614 151.9317
107.666025 75.597 151.9263
108.002482 75.581 151.9169
108.338938 75.566 151.8978
108.675394 75.551 151.8680
109.011851 75.535 151.8314
109.348307 75.517 151.7930
109.684763 75.499 151.7560
110.021220 75.481 151.7205
110.357676 75.462 151.6851
110.694132 75.442 151.6495
111.030589 75.422 151.6158
111.367045 75.401 151.5878
111.703501 75.380 151.5698
112.039958 75.359 151.5634
112.376414 75.341 151.5646
112.712870 75.324 151.5638
113.049327 75.310 151.5507
113.385783 75.295 151.5225
113.722239 75.277 151.4906
114.058696 75.256 151.4767
114.395152 75.236 151.4976
114.731608 75.221 151.5476
115.068065 75.213 151.5952
115.404521 75.210 151.6021
115.740977 75.205 151.5556
116.077434 75.190 151.4883
116.413890 75.166 151.4632
116.750346 75.139 151.5276
117.086803 75.122 151.6665
117.423259 75.121 151.7961
117.759715 75.129 151.8186
118.096171 75.128 151.7039
118.432628 75.100 151.5347
118.769084 75.042 151.4725
119.105540 74.973 151.6567
119.441997 74.925 152.0911
119.778453 74.924 152.6028
120.114909 74.966 152.9347
120.451366 75.019 152.9189
120.787822 75.044 152.5930
121.124278 75.016 152.1776
121.460735 74.943 151.9437
121.797191 74.859 152.0494
122.133647 74.808 152.4299
122.470104 74.812 152.8294
122.806560 74.855 152.9756
123.143016 74.900 152.7644
123.479473 74.909 152.3096
123.815929 74.871 151.8492
124.152385 74.803 151.5945
124.488842 74.737 151.6096
124.825298 74.700 151.7864
125.161754 74.699 151.9337
125.498211 74.716 151.9167
125.834667 74.726 151.7365
126.171123 74.714 151.5046
126.507580 74.683 151.3516
126.844036 74.649 151.3411
127.180492 74.628 151.4392
127.516949 74.624 151.5515
127.853405 74.632 151.5954
128.189861 74.638 151.5514
128.526318 74.633 151.4634
128.862774 74.617 151.3981
129.199230 74.594 151.3994
129.535687 74.575 151.4634
129.872143 74.563 151.5468
130.208599 74.558 151.5968
130.545056 74.553 151.5837
130.881512 74.540 151.5168
131.217968 74.516 151.4395
131.554425 74.481 151.4064
131.890881 74.443 151.4564
132.227337 74.410 151.5901
132.563794 74.392 151.7651
132.900250 74.389 151.9140
133.236706 74.397 151.9777
133.573163 74.406 151.9361
133.909619 74.406 151.8168
134.246075 74.394 151.6790
134.582532 74.371 151.5818
134.918988 74.347 151.5545
135.255444 74.328 151.5855
135.591901 74.317 151.6356
135.928357 74.313 151.6658
136.264813 74.311 151.6610
136.601270 74.306 151.6361
136.937726 74.296 151.6216
137.274182 74.284 151.6412
137.610639 74.275 151.6948
137.947095 74.272 151.7578
138.283551 74.274 151.7951
138.620008 74.277 151.7822
138.956464 74.275 151.7204
139.292920 74.264 151.6369
139.629377 74.242 151.5714
139.965833 74.215 151.5562
140.302289 74.187 151.5993
140.638746 74.165 151.6817
140.975202 74.149 151.7689
141.311658 74.138 151.8307
141.648115 74.129 151.8575
141.984571 74.117 151.8605
142.321027 74.104 151.8592
142.657483 74.090 151.8644
142.993940 74.079 151.8692
143.330396 74.071 151.8545
143.666852 74.063 151.8052
144.003309 74.052 151.7244
144.339765 74.033 151.6355
144.676221 74.008 151.5709
145.012678 73.980 151.5558
145.349134 73.953 151.5966
145.685590 73.931 151.6813
146.022047 73.916 151.7886
146.358503 73.908 151.8982
146.694959 73.905 151.9954
147.031416 73.906 152.0711
147.367872 73.909 152.1190
147.704328 73.911 152.1370
148.040785 73.912 152.1302
148.377241 73.909 152.1110
148.713697 73.902 152.0950
149.050154 73.893 152.0934
149.386610 73.883 152.1072
149.723066 73.874 152.1284
150.059523 73.866 152.1468
150.395979 73.858 152.1573
150.732435 73.850 152.1619
151.068892 73.840 152.1652
151.405348 73.829 152.1696
151.741804 73.819 152.1732
152.078261 73.808 152.1736
152.414717 73.795 152.1738
152.751173 73.781 152.1820
153.087630 73.767 152.2062
153.424086 73.755 152.2462
153.760542 73.746 152.2899
154.096999 73.740 152.3196
154.433455 73.736 152.3231
154.769911 73.729 152.3034
155.106368 73.718 152.2785
155.442824 73.703 152.2709
155.779280 73.687 152.2938
156.115737 73.674 152.3438
156.452193 73.665 152.4031
156.788649 73.660 152.4507
157.125106 73.657 152.4739
157.461562 73.653 152.4738
157.798018 73.646 152.4618
158.134475 73.636 152.4519
158.470931 73.624 152.4537
158.807387 73.612 152.4694
