* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 14, 2026 1:12:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Letshuoer S12 R2
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 81.372 -149.3870
20.187380 81.349 -150.3330
20.523836 81.329 -151.2376
20.860293 81.312 -152.1070
21.196749 81.297 -152.9509
21.533205 81.286 -153.7844
21.869662 81.279 -154.6248
22.206118 81.271 -155.4849
22.542574 81.261 -156.3629
22.879030 81.244 -157.2399
23.215487 81.221 -158.0856
23.551943 81.194 -158.8742
23.888399 81.169 -159.5998
24.224856 81.150 -160.2825
24.561312 81.138 -160.9588
24.897768 81.130 -161.6613
25.234225 81.126 -162.4003
25.570681 81.118 -163.1606
25.907137 81.102 -163.9138
26.243594 81.082 -164.6378
26.580050 81.060 -165.3290
26.916506 81.037 -165.9990
27.252963 81.013 -166.6588
27.589419 80.986 -167.3053
27.925875 80.955 -167.9211
28.262332 80.924 -168.4899
28.598788 80.898 -169.0154
28.935244 80.878 -169.5268
29.271701 80.865 -170.0629
29.608157 80.852 -170.6453
29.944613 80.834 -171.2594
30.281070 80.808 -171.8615
30.617526 80.777 -172.4082
30.953982 80.750 -172.8911
31.290439 80.735 -173.3500
31.626895 80.731 -173.8526
31.963351 80.732 -174.4497
32.299808 80.722 -175.1373
32.636264 80.692 -175.8509
32.972720 80.643 -176.4964
33.309177 80.583 -176.9994
33.645633 80.527 -177.3470
33.982089 80.487 -177.5952
34.318546 80.468 -177.8366
34.655002 80.460 -178.1481
34.991458 80.454 -178.5516
35.327915 80.439 -179.0131
35.664371 80.413 -179.4724
36.000827 80.379 -179.8835
36.337284 80.347 179.7612
36.673740 80.319 179.4326
37.010196 80.297 179.0906
37.346653 80.276 178.7126
37.683109 80.250 178.3070
38.019565 80.219 177.9039
38.356022 80.183 177.5316
38.692478 80.148 177.1958
39.028934 80.117 176.8769
39.365391 80.091 176.5447
39.701847 80.065 176.1822
40.038303 80.035 175.7986
40.374760 80.002 175.4239
40.711216 79.967 175.0859
41.047672 79.935 174.7878
41.384129 79.910 174.5012
41.720585 79.892 174.1834
42.057041 79.874 173.8074
42.393498 79.849 173.3840
42.729954 79.813 172.9604
43.066410 79.768 172.5928
43.402867 79.721 172.3128
43.739323 79.682 172.1067
44.075779 79.655 171.9239
44.412236 79.638 171.7086
44.748692 79.625 171.4337
45.085148 79.609 171.1107
45.421605 79.586 170.7754
45.758061 79.558 170.4590
46.094517 79.530 170.1704
46.430974 79.503 169.8981
46.767430 79.477 169.6289
47.103886 79.452 169.3623
47.440342 79.426 169.1089
47.776799 79.403 168.8721
48.113255 79.386 168.6326
48.449711 79.373 168.3529
48.786168 79.360 168.0031
49.122624 79.336 167.5911
49.459080 79.295 167.1714
49.795537 79.238 166.8234
50.131993 79.174 166.6085
50.468449 79.118 166.5324
50.804906 79.079 166.5365
51.141362 79.060 166.5299
51.477818 79.053 166.4406
51.814275 79.047 166.2508
52.150731 79.032 165.9962
52.487187 79.007 165.7346
52.823644 78.975 165.5090
53.160100 78.943 165.3281
53.496556 78.914 165.1708
53.833013 78.888 165.0093
54.169469 78.864 164.8287
54.505925 78.838 164.6331
54.842382 78.809 164.4370
55.178838 78.779 164.2521
55.515294 78.748 164.0807
55.851751 78.719 163.9177
56.188207 78.691 163.7560
56.524663 78.665 163.5910
56.861120 78.639 163.4193
57.197576 78.614 163.2381
57.534032 78.588 163.0460
57.870489 78.560 162.8460
58.206945 78.530 162.6476
58.543401 78.497 162.4629
58.879858 78.464 162.3000
59.216314 78.434 162.1563
59.552770 78.406 162.0198
59.889227 78.381 161.8762
60.225683 78.357 161.7187
60.562139 78.332 161.5517
60.898596 78.306 161.3858
61.235052 78.280 161.2289
61.571508 78.254 161.0800
61.907965 78.229 160.9313
62.244421 78.205 160.7759
62.580877 78.180 160.6155
62.917334 78.153 160.4597
63.253790 78.126 160.3196
63.590246 78.099 160.1989
63.926703 78.075 160.0902
64.263159 78.053 159.9802
64.599615 78.032 159.8587
64.936072 78.010 159.7251
65.272528 77.987 159.5871
65.608984 77.961 159.4544
65.945441 77.934 159.3325
66.281897 77.907 159.2203
66.618353 77.880 159.1143
66.954810 77.853 159.0114
67.291266 77.827 158.9107
67.627722 77.801 158.8112
67.964179 77.776 158.7095
68.300635 77.750 158.6016
68.637091 77.725 158.4867
68.973548 77.698 158.3699
69.310004 77.671 158.2588
69.646460 77.644 158.1567
69.982917 77.620 158.0569
70.319373 77.599 157.9444
70.655829 77.579 157.8054
70.992285 77.557 157.6386
71.328742 77.530 157.4596
71.665198 77.497 157.2947
72.001654 77.461 157.1688
72.338111 77.426 157.0943
72.674567 77.395 157.0656
73.011023 77.372 157.0617
73.347480 77.358 157.0530
73.683936 77.350 157.0089
74.020392 77.345 156.9078
74.356849 77.336 156.7490
74.693305 77.317 156.5594
75.029761 77.286 156.3895
75.366218 77.246 156.2914
75.702674 77.207 156.2880
76.039130 77.177 156.3497
76.375587 77.162 156.4048
76.712043 77.155 156.3827
77.048499 77.143 156.2650
77.384956 77.117 156.1036
77.721412 77.075 155.9880
78.057868 77.029 155.9787
78.394325 76.993 156.0534
78.730781 76.975 156.1130
79.067237 76.965 156.0553
79.403694 76.945 155.8659
79.740150 76.897 155.6502
80.076606 76.826 155.5776
80.413063 76.756 155.7639
80.749519 76.719 156.1647
81.085975 76.735 156.5667
81.422432 76.794 156.7142
81.758888 76.859 156.4791
82.095344 76.891 155.9405
82.431801 76.871 155.3272
82.768257 76.808 154.8814
83.104713 76.732 154.7242
83.441170 76.677 154.7965
83.777626 76.655 154.9178
84.114082 76.653 154.9285
84.450539 76.649 154.8013
84.786995 76.628 154.6357
85.123451 76.593 154.5591
85.459908 76.563 154.6160
85.796364 76.555 154.7273
86.132820 76.567 154.7516
86.469277 76.583 154.5986
86.805733 76.580 154.2993
87.142189 76.548 153.9832
87.478646 76.492 153.7901
87.815102 76.433 153.7793
88.151558 76.389 153.8967
88.488015 76.368 154.0209
88.824471 76.360 154.0528
89.160927 76.350 153.9766
89.497384 76.328 153.8518
89.833840 76.296 153.7552
90.170296 76.262 153.7236
90.506753 76.234 153.7359
90.843209 76.215 153.7414
91.179665 76.201 153.7048
91.516122 76.186 153.6299
91.852578 76.167 153.5466
92.189034 76.146 153.4802
92.525491 76.128 153.4299
92.861947 76.113 153.3748
93.198403 76.099 153.2975
93.534860 76.082 153.2036
93.871316 76.061 153.1192
94.207772 76.038 153.0688
94.544228 76.016 153.0551
94.880685 75.999 153.0559
95.217141 75.986 153.0427
95.553597 75.973 153.0045
95.890054 75.956 152.9562
96.226510 75.934 152.9254
96.562966 75.911 152.9288
96.899423 75.891 152.9565
97.235879 75.875 152.9787
97.572335 75.861 152.9703
97.908792 75.843 152.9332
98.245248 75.818 152.8987
98.581704 75.789 152.9059
98.918161 75.762 152.9716
99.254617 75.744 153.0717
99.591073 75.738 153.1509
99.927530 75.740 153.1552
100.263986 75.741 153.0652
100.600442 75.733 152.9078
100.936899 75.711 152.7394
101.273355 75.680 152.6132
101.609811 75.647 152.5515
101.946268 75.619 152.5384
102.282724 75.597 152.5371
102.619180 75.580 152.5172
102.955637 75.563 152.4727
103.292093 75.544 152.4196
103.628549 75.523 152.3794
103.965006 75.503 152.3602
104.301462 75.485 152.3526
104.637918 75.471 152.3391
104.974375 75.457 152.3099
105.310831 75.441 152.2701
105.647287 75.423 152.2354
105.983744 75.404 152.2175
106.320200 75.386 152.2156
106.656656 75.370 152.2165
106.993113 75.356 152.2064
107.329569 75.340 152.1814
107.666025 75.323 152.1510
108.002482 75.303 152.1299
108.338938 75.282 152.1262
108.675394 75.263 152.1356
109.011851 75.246 152.1447
109.348307 75.230 152.1420
109.684763 75.214 152.1255
110.021220 75.196 152.1038
110.357676 75.177 152.0881
110.694132 75.157 152.0836
111.030589 75.139 152.0862
111.367045 75.122 152.0862
111.703501 75.106 152.0768
112.039958 75.090 152.0589
112.376414 75.073 152.0396
112.712870 75.055 152.0266
113.049327 75.037 152.0214
113.385783 75.020 152.0194
113.722239 75.005 152.0135
114.058696 74.989 152.0009
114.395152 74.973 151.9849
114.731608 74.956 151.9734
115.068065 74.938 151.9721
115.404521 74.922 151.9798
115.740977 74.908 151.9881
116.077434 74.896 151.9859
116.413890 74.884 151.9670
116.750346 74.870 151.9339
117.086803 74.853 151.8975
117.423259 74.834 151.8712
117.759715 74.815 151.8632
118.096171 74.796 151.8721
118.432628 74.780 151.8868
118.769084 74.767 151.8935
119.105540 74.754 151.8832
119.441997 74.739 151.8580
119.778453 74.722 151.8304
120.114909 74.703 151.8160
120.451366 74.683 151.8242
120.787822 74.665 151.8512
121.124278 74.652 151.8815
121.460735 74.641 151.8964
121.797191 74.631 151.8856
122.133647 74.619 151.8547
122.470104 74.602 151.8223
122.806560 74.582 151.8092
123.143016 74.563 151.8253
123.479473 74.546 151.8625
123.815929 74.534 151.8998
124.152385 74.525 151.9157
124.488842 74.516 151.9024
124.825298 74.503 151.8705
125.161754 74.487 151.8422
125.498211 74.468 151.8368
125.834667 74.451 151.8588
126.171123 74.437 151.8956
126.507580 74.426 151.9266
126.844036 74.417 151.9370
127.180492 74.407 151.9266
127.516949 74.394 151.9081
127.853405 74.379 151.8974
128.189861 74.362 151.9023
128.526318 74.348 151.9186
128.862774 74.335 151.9351
129.199230 74.323 151.9426
129.535687 74.310 151.9416
129.872143 74.296 151.9400
130.208599 74.282 151.9466
130.545056 74.268 151.9633
130.881512 74.256 151.9830
131.217968 74.246 151.9953
131.554425 74.237 151.9943
131.890881 74.226 151.9827
132.227337 74.214 151.9697
132.563794 74.201 151.9635
132.900250 74.187 151.9659
133.236706 74.175 151.9717
133.573163 74.164 151.9744
133.909619 74.152 151.9723
134.246075 74.139 151.9708
134.582532 74.124 151.9783
134.918988 74.111 151.9988
135.255444 74.099 152.0279
135.591901 74.089 152.0546
135.928357 74.080 152.0693
136.264813 74.071 152.0705
136.601270 74.059 152.0667
136.937726 74.046 152.0704
137.274182 74.032 152.0892
137.610639 74.019 152.1203
137.947095 74.009 152.1516
138.283551 74.001 152.1703
138.620008 73.992 152.1713
138.956464 73.982 152.1600
139.292920 73.968 152.1492
139.629377 73.953 152.1503
139.965833 73.938 152.1667
140.302289 73.925 152.1932
140.638746 73.913 152.2205
140.975202 73.902 152.2416
141.311658 73.892 152.2554
141.648115 73.881 152.2651
141.984571 73.869 152.2744
142.321027 73.858 152.2843
142.657483 73.847 152.2932
142.993940 73.836 152.2995
143.330396 73.825 152.3038
143.666852 73.812 152.3095
144.003309 73.800 152.3196
144.339765 73.787 152.3353
144.676221 73.775 152.3543
145.012678 73.763 152.3740
145.349134 73.752 152.3928
145.685590 73.741 152.4116
146.022047 73.729 152.4319
146.358503 73.718 152.4542
146.694959 73.708 152.4762
147.031416 73.698 152.4948
147.367872 73.687 152.5089
147.704328 73.677 152.5207
148.040785 73.665 152.5348
148.377241 73.653 152.5549
148.713697 73.642 152.5812
149.050154 73.632 152.6086
149.386610 73.624 152.6306
149.723066 73.617 152.6419
150.059523 73.609 152.6420
150.395979 73.599 152.6348
150.732435 73.589 152.6268
151.068892 73.576 152.6240
151.405348 73.564 152.6298
151.741804 73.551 152.6443
152.078261 73.540 152.6649
152.414717 73.530 152.6875
152.751173 73.520 152.7076
153.087630 73.511 152.7227
153.424086 73.502 152.7331
153.760542 73.491 152.7427
154.096999 73.480 152.7574
154.433455 73.468 152.7817
154.769911 73.457 152.8154
155.106368 73.448 152.8526
155.442824 73.441 152.8848
155.779280 73.434 152.9053
156.115737 73.426 152.9145
156.452193 73.416 152.9198
156.788649 73.404 152.9323
157.125106 73.391 152.9599
157.461562 73.379 153.0022
157.798018 73.369 153.0499
158.134475 73.362 153.0902
158.470931 73.356 153.1135
158.807387 73.349 153.1191
