* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Jun 5, 2026 5:56:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Lost Manor L1
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 86.049 -109.7979
20.187380 86.115 -110.7928
20.523836 86.178 -111.7757
20.860293 86.236 -112.7375
21.196749 86.289 -113.6685
21.533205 86.338 -114.5626
21.869662 86.386 -115.4194
22.206118 86.435 -116.2451
22.542574 86.486 -117.0519
22.879030 86.540 -117.8553
23.215487 86.595 -118.6694
23.551943 86.648 -119.5016
23.888399 86.697 -120.3460
24.224856 86.740 -121.1839
24.561312 86.777 -121.9900
24.897768 86.811 -122.7465
25.234225 86.849 -123.4537
25.570681 86.892 -124.1312
25.907137 86.938 -124.8047
26.243594 86.982 -125.4868
26.580050 87.023 -126.1668
26.916506 87.058 -126.8199
27.252963 87.091 -127.4311
27.589419 87.127 -128.0150
27.925875 87.166 -128.6120
28.262332 87.202 -129.2579
28.598788 87.226 -129.9478
28.935244 87.232 -130.6240
29.271701 87.221 -131.2053
29.608157 87.208 -131.6436
29.944613 87.206 -131.9707
30.281070 87.224 -132.2933
30.617526 87.253 -132.7257
30.953982 87.273 -133.3018
31.290439 87.266 -133.9357
31.626895 87.231 -134.4599
31.963351 87.187 -134.7256
32.299808 87.166 -134.7128
32.636264 87.195 -134.5755
32.972720 87.280 -134.5708
33.309177 87.396 -134.9061
33.645633 87.505 -135.6216
33.982089 87.576 -136.5868
34.318546 87.600 -137.5876
34.655002 87.589 -138.4382
34.991458 87.567 -139.0622
35.327915 87.559 -139.5081
35.664371 87.572 -139.8949
36.000827 87.601 -140.3256
36.337284 87.633 -140.8317
36.673740 87.658 -141.3777
37.010196 87.674 -141.9069
37.346653 87.687 -142.3862
37.683109 87.700 -142.8204
38.019565 87.717 -143.2350
38.356022 87.733 -143.6476
38.692478 87.748 -144.0557
39.028934 87.760 -144.4446
39.365391 87.771 -144.8068
39.701847 87.784 -145.1527
40.038303 87.799 -145.5035
40.374760 87.816 -145.8741
40.711216 87.828 -146.2609
41.047672 87.835 -146.6443
41.384129 87.838 -147.0037
41.720585 87.841 -147.3331
42.057041 87.846 -147.6451
42.393498 87.856 -147.9619
42.729954 87.867 -148.3005
43.066410 87.877 -148.6624
43.402867 87.884 -149.0345
43.739323 87.889 -149.3997
44.075779 87.893 -149.7482
44.412236 87.899 -150.0826
44.748692 87.907 -150.4141
45.085148 87.916 -150.7533
45.421605 87.925 -151.1013
45.758061 87.932 -151.4473
46.094517 87.937 -151.7757
46.430974 87.942 -152.0766
46.767430 87.949 -152.3557
47.103886 87.961 -152.6333
47.440342 87.974 -152.9337
47.776799 87.985 -153.2672
48.113255 87.989 -153.6185
48.449711 87.982 -153.9489
48.786168 87.968 -154.2146
49.122624 87.954 -154.3929
49.459080 87.949 -154.5009
49.795537 87.957 -154.5930
50.131993 87.977 -154.7348
50.468449 88.002 -154.9679
50.804906 88.021 -155.2882
51.141362 88.028 -155.6512
51.477818 88.023 -155.9996
51.814275 88.012 -156.2961
52.150731 88.002 -156.5419
52.487187 87.997 -156.7686
52.823644 87.997 -157.0109
53.160100 87.997 -157.2805
53.496556 87.993 -157.5610
53.833013 87.988 -157.8262
54.169469 87.985 -158.0664
54.505925 87.987 -158.3009
54.842382 87.994 -158.5641
55.178838 88.001 -158.8751
55.515294 88.002 -159.2170
55.851751 87.995 -159.5436
56.188207 87.983 -159.8131
56.524663 87.976 -160.0229
56.861120 87.979 -160.2174
57.197576 87.988 -160.4555
57.534032 87.995 -160.7615
57.870489 87.990 -161.0963
58.206945 87.970 -161.3777
58.543401 87.946 -161.5373
58.879858 87.932 -161.5778
59.216314 87.939 -161.5828
59.552770 87.963 -161.6654
59.889227 87.990 -161.8862
60.225683 88.003 -162.2091
60.562139 87.994 -162.5255
60.898596 87.973 -162.7318
61.235052 87.956 -162.8048
61.571508 87.957 -162.8217
61.907965 87.976 -162.9033
62.244421 87.997 -163.1210
62.580877 88.004 -163.4425
62.917334 87.989 -163.7569
63.253790 87.962 -163.9572
63.590246 87.939 -164.0196
63.926703 87.936 -164.0232
64.263159 87.952 -164.0899
64.599615 87.972 -164.2906
64.936072 87.979 -164.5934
65.272528 87.967 -164.8923
65.608984 87.944 -165.0878
65.945441 87.927 -165.1613
66.281897 87.930 -165.1897
66.618353 87.950 -165.2855
66.954810 87.974 -165.5111
67.291266 87.985 -165.8343
67.627722 87.978 -166.1544
67.964179 87.959 -166.3743
68.300635 87.944 -166.4673
68.637091 87.945 -166.4943
68.973548 87.964 -166.5601
69.310004 87.990 -166.7405
69.646460 88.006 -167.0323
69.982917 88.000 -167.3545
70.319373 87.973 -167.5921
70.655829 87.937 -167.6550
70.992285 87.912 -167.5277
71.328742 87.916 -167.2918
71.665198 87.957 -167.1056
72.001654 88.026 -167.1433
72.338111 88.096 -167.5150
72.674567 88.134 -168.2070
73.011023 88.110 -169.0656
73.347480 88.013 -169.8306
73.683936 87.859 -170.2127
74.020392 87.690 -170.0112
74.356849 87.566 -169.2438
74.693305 87.536 -168.2017
75.029761 87.609 -167.3342
75.366218 87.744 -167.0041
75.702674 87.882 -167.3072
76.039130 87.973 -168.0769
76.375587 87.994 -169.0133
76.712043 87.958 -169.8327
77.048499 87.894 -170.3792
77.384956 87.836 -170.6643
77.721412 87.802 -170.8163
78.057868 87.791 -170.9713
78.394325 87.790 -171.1836
78.730781 87.789 -171.4205
79.067237 87.789 -171.6266
79.403694 87.796 -171.7945
79.740150 87.815 -171.9775
80.076606 87.836 -172.2339
80.413063 87.846 -172.5532
80.749519 87.834 -172.8334
81.085975 87.806 -172.9410
81.422432 87.784 -172.8180
81.758888 87.795 -172.5580
82.095344 87.842 -172.3692
82.431801 87.903 -172.4294
82.768257 87.942 -172.7457
83.104713 87.934 -173.1369
83.441170 87.884 -173.3530
83.777626 87.825 -173.2580
84.114082 87.799 -172.9608
84.450539 87.817 -172.7651
84.786995 87.844 -172.9291
85.123451 87.824 -173.4276
85.459908 87.719 -173.9106
85.796364 87.545 -173.8788
86.132820 87.381 -173.0084
86.469277 87.334 -171.4933
86.805733 87.461 -170.0790
87.142189 87.710 -169.5695
87.478646 87.961 -170.2529
87.815102 88.106 -171.8067
88.151558 88.100 -173.5768
88.488015 87.967 -174.9097
88.824471 87.789 -175.4342
89.160927 87.660 -175.2477
89.497384 87.628 -174.8417
89.833840 87.668 -174.7181
90.170296 87.715 -175.0275
90.506753 87.718 -175.5490
90.843209 87.677 -175.9420
91.179665 87.629 -176.0306
91.516122 87.613 -175.9323
91.852578 87.633 -175.9339
92.189034 87.652 -176.2116
92.525491 87.624 -176.6516
92.861947 87.534 -176.9132
93.198403 87.416 -176.6655
93.534860 87.338 -175.8560
93.871316 87.358 -174.8239
94.207772 87.475 -174.1032
94.544228 87.632 -174.0499
94.880685 87.756 -174.6438
95.217141 87.801 -175.5785
95.553597 87.763 -176.4760
95.890054 87.676 -177.0704
96.226510 87.581 -177.3005
96.562966 87.513 -177.2896
96.899423 87.484 -177.2380
97.235879 87.483 -177.3082
97.572335 87.492 -177.5732
97.908792 87.491 -178.0204
98.245248 87.464 -178.5636
98.581704 87.402 -179.0477
98.918161 87.314 -179.2747
99.254617 87.233 -179.0930
99.591073 87.208 -178.5367
99.927530 87.278 -177.9103
100.263986 87.438 -177.6785
100.600442 87.631 -178.1846
100.936899 87.775 -179.4324
101.273355 87.805 178.9163
101.609811 87.703 177.3922
101.946268 87.500 176.5134
102.282724 87.274 176.5616
102.619180 87.116 177.4029
102.955637 87.075 178.5278
103.292093 87.132 179.3831
103.628549 87.223 179.7213
103.965006 87.287 179.6591
104.301462 87.307 179.4822
104.637918 87.296 179.4131
104.974375 87.285 179.4844
105.310831 87.290 179.5681
105.647287 87.303 179.5195
105.983744 87.302 179.3096
106.320200 87.269 179.0445
106.656656 87.207 178.8796
106.993113 87.135 178.9091
107.329569 87.073 179.1088
107.666025 87.033 179.3699
108.002482 87.011 179.5896
108.338938 86.993 179.7400
108.675394 86.974 179.8623
109.011851 86.954 -179.9935
109.348307 86.942 -179.8256
109.684763 86.942 -179.6841
110.021220 86.947 -179.6239
110.357676 86.946 -179.6491
110.694132 86.929 -179.6976
111.030589 86.899 -179.6772
111.367045 86.864 -179.5244
111.703501 86.841 -179.2456
112.039958 86.839 -178.9132
112.376414 86.858 -178.6192
112.712870 86.889 -178.4228
113.049327 86.921 -178.3278
113.385783 86.948 -178.2993
113.722239 86.969 -178.2980
114.058696 86.988 -178.3055
114.395152 87.006 -178.3257
114.731608 87.024 -178.3680
115.068065 87.039 -178.4291
115.404521 87.051 -178.4907
115.740977 87.062 -178.5337
116.077434 87.077 -178.5574
116.413890 87.100 -178.5869
116.750346 87.129 -178.6593
117.086803 87.160 -178.7971
117.423259 87.185 -178.9872
117.759715 87.200 -179.1835
118.096171 87.209 -179.3329
118.432628 87.221 -179.4128
118.769084 87.244 -179.4532
119.105540 87.281 -179.5275
119.441997 87.326 -179.7106
119.778453 87.364 179.9697
120.114909 87.382 179.5565
120.451366 87.373 179.1489
120.787822 87.339 178.8568
121.124278 87.296 178.7489
121.460735 87.261 178.8185
121.797191 87.246 178.9862
122.133647 87.255 179.1422
122.470104 87.278 179.2008
122.806560 87.301 179.1353
123.143016 87.316 178.9775
123.479473 87.315 178.7888
123.815929 87.304 178.6256
124.152385 87.287 178.5154
124.488842 87.272 178.4514
124.825298 87.262 178.4039
125.161754 87.258 178.3404
125.498211 87.258 178.2421
125.834667 87.256 178.1108
126.171123 87.251 177.9641
126.507580 87.243 177.8229
126.844036 87.234 177.6997
127.180492 87.228 177.5913
127.516949 87.225 177.4836
127.853405 87.225 177.3627
128.189861 87.224 177.2263
128.526318 87.221 177.0870
128.862774 87.216 176.9638
129.199230 87.211 176.8682
129.535687 87.209 176.7940
129.872143 87.212 176.7196
130.208599 87.217 176.6226
130.545056 87.221 176.4964
130.881512 87.218 176.3567
131.217968 87.209 176.2336
131.554425 87.196 176.1528
131.890881 87.184 176.1195
132.227337 87.176 176.1156
132.563794 87.173 176.1109
132.900250 87.174 176.0817
133.236706 87.174 176.0223
133.573163 87.171 175.9436
133.909619 87.164 175.8626
134.246075 87.155 175.7906
134.582532 87.145 175.7288
134.918988 87.135 175.6724
135.255444 87.126 175.6173
135.591901 87.118 175.5638
135.928357 87.110 175.5135
136.264813 87.103 175.4655
136.601270 87.098 175.4143
136.937726 87.095 175.3536
137.274182 87.092 175.2811
137.610639 87.089 175.2008
137.947095 87.085 175.1202
138.283551 87.080 175.0440
138.620008 87.075 174.9718
138.956464 87.071 174.9004
139.292920 87.065 174.8297
139.629377 87.059 174.7662
139.965833 87.051 174.7196
140.302289 87.044 174.6943
140.638746 87.041 174.6821
140.975202 87.041 174.6636
141.311658 87.044 174.6185
141.648115 87.046 174.5393
141.984571 87.042 174.4375
142.321027 87.033 174.3380
142.657483 87.019 174.2639
142.993940 87.005 174.2219
143.330396 86.993 174.1983
143.666852 86.985 174.1687
144.003309 86.978 174.1160
144.339765 86.969 174.0430
144.676221 86.955 173.9717
145.012678 86.938 173.9274
145.349134 86.924 173.9193
145.685590 86.916 173.9300
146.022047 86.915 173.9235
146.358503 86.919 173.8680
146.694959 86.920 173.7597
147.031416 86.914 173.6288
147.367872 86.901 173.5242
147.704328 86.887 173.4814
148.040785 86.880 173.4948
148.377241 86.887 173.5129
148.713697 86.904 173.4650
149.050154 86.923 173.3069
149.386610 86.931 173.0548
149.723066 86.917 172.7852
150.059523 86.886 172.5984
150.395979 86.848 172.5642
150.732435 86.821 172.6773
151.068892 86.816 172.8534
151.405348 86.834 172.9744
151.741804 86.863 172.9572
152.078261 86.884 172.7996
152.414717 86.885 172.5748
152.751173 86.867 172.3852
153.087630 86.838 172.3031
153.424086 86.813 172.3338
