* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Jun 5, 2026 5:55:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Lost Manor R5
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 86.219 -109.4727
20.187380 86.282 -110.4136
20.523836 86.347 -111.3347
20.860293 86.410 -112.2443
21.196749 86.470 -113.1442
21.533205 86.526 -114.0289
21.869662 86.578 -114.8915
22.206118 86.628 -115.7294
22.542574 86.678 -116.5479
22.879030 86.726 -117.3573
23.215487 86.773 -118.1655
23.551943 86.816 -118.9713
23.888399 86.854 -119.7630
24.224856 86.887 -120.5238
24.561312 86.918 -121.2416
24.897768 86.950 -121.9172
25.234225 86.988 -122.5663
25.570681 87.032 -123.2117
25.907137 87.078 -123.8728
26.243594 87.122 -124.5547
26.580050 87.160 -125.2464
26.916506 87.193 -125.9274
27.252963 87.222 -126.5787
27.589419 87.249 -127.1936
27.925875 87.277 -127.7806
28.262332 87.307 -128.3576
28.598788 87.338 -128.9402
28.935244 87.368 -129.5323
29.271701 87.393 -130.1243
29.608157 87.415 -130.6995
29.944613 87.434 -131.2457
30.281070 87.455 -131.7638
30.617526 87.477 -132.2682
30.953982 87.502 -132.7772
31.290439 87.527 -133.3018
31.626895 87.550 -133.8376
31.963351 87.571 -134.3678
32.299808 87.588 -134.8731
32.636264 87.604 -135.3444
32.972720 87.623 -135.7881
33.309177 87.645 -136.2223
33.645633 87.669 -136.6658
33.982089 87.694 -137.1270
34.318546 87.716 -137.6009
34.655002 87.734 -138.0743
34.991458 87.750 -138.5352
35.327915 87.764 -138.9791
35.664371 87.777 -139.4095
36.000827 87.790 -139.8312
36.337284 87.802 -140.2451
36.673740 87.812 -140.6461
37.010196 87.821 -141.0281
37.346653 87.831 -141.3909
37.683109 87.843 -141.7424
38.019565 87.858 -142.0963
38.356022 87.873 -142.4631
38.692478 87.887 -142.8438
39.028934 87.898 -143.2292
39.365391 87.907 -143.6064
39.701847 87.915 -143.9673
40.038303 87.923 -144.3136
40.374760 87.935 -144.6549
40.711216 87.949 -145.0012
41.047672 87.962 -145.3561
41.384129 87.973 -145.7149
41.720585 87.983 -146.0688
42.057041 87.992 -146.4120
42.393498 88.002 -146.7454
42.729954 88.013 -147.0748
43.066410 88.023 -147.4055
43.402867 88.033 -147.7371
43.739323 88.042 -148.0632
44.075779 88.050 -148.3771
44.412236 88.058 -148.6775
44.748692 88.067 -148.9705
45.085148 88.077 -149.2657
45.421605 88.087 -149.5681
45.758061 88.094 -149.8730
46.094517 88.099 -150.1689
46.430974 88.101 -150.4452
46.767430 88.104 -150.7003
47.103886 88.109 -150.9441
47.440342 88.115 -151.1910
47.776799 88.121 -151.4490
48.113255 88.124 -151.7133
48.449711 88.125 -151.9691
48.786168 88.125 -152.2033
49.122624 88.127 -152.4160
49.459080 88.133 -152.6238
49.795537 88.143 -152.8506
50.131993 88.154 -153.1130
50.468449 88.164 -153.4091
50.804906 88.168 -153.7185
51.141362 88.167 -154.0153
51.477818 88.164 -154.2827
51.814275 88.162 -154.5220
52.150731 88.164 -154.7488
52.487187 88.169 -154.9816
52.823644 88.176 -155.2291
53.160100 88.181 -155.4877
53.496556 88.185 -155.7469
53.833013 88.189 -155.9990
54.169469 88.192 -156.2443
54.505925 88.196 -156.4882
54.842382 88.199 -156.7335
55.178838 88.200 -156.9747
55.515294 88.199 -157.1993
55.851751 88.197 -157.3975
56.188207 88.197 -157.5706
56.524663 88.202 -157.7341
56.861120 88.211 -157.9109
57.197576 88.220 -158.1180
57.534032 88.228 -158.3564
57.870489 88.229 -158.6096
58.206945 88.225 -158.8511
58.543401 88.216 -159.0585
58.879858 88.208 -159.2241
59.216314 88.204 -159.3591
59.552770 88.206 -159.4882
59.889227 88.213 -159.6387
60.225683 88.223 -159.8291
60.562139 88.232 -160.0621
60.898596 88.236 -160.3242
61.235052 88.233 -160.5911
61.571508 88.225 -160.8373
61.907965 88.214 -161.0453
62.244421 88.204 -161.2117
62.580877 88.199 -161.3485
62.917334 88.199 -161.4781
63.253790 88.205 -161.6227
63.590246 88.213 -161.7951
63.926703 88.220 -161.9927
64.263159 88.223 -162.1996
64.599615 88.222 -162.3948
64.936072 88.219 -162.5630
65.272528 88.216 -162.7024
65.608984 88.218 -162.8251
65.945441 88.223 -162.9504
66.281897 88.230 -163.0941
66.618353 88.236 -163.2596
66.954810 88.240 -163.4381
67.291266 88.240 -163.6146
67.627722 88.239 -163.7786
67.964179 88.238 -163.9308
68.300635 88.239 -164.0826
68.637091 88.240 -164.2469
68.973548 88.240 -164.4283
69.310004 88.238 -164.6176
69.646460 88.231 -164.7969
69.982917 88.224 -164.9518
70.319373 88.219 -165.0815
70.655829 88.218 -165.2027
70.992285 88.222 -165.3405
71.328742 88.227 -165.5128
71.665198 88.231 -165.7186
72.001654 88.228 -165.9368
72.338111 88.221 -166.1381
72.674567 88.210 -166.3011
73.011023 88.202 -166.4242
73.347480 88.198 -166.5246
73.683936 88.199 -166.6267
74.020392 88.203 -166.7471
74.356849 88.206 -166.8861
74.693305 88.208 -167.0312
75.029761 88.207 -167.1685
75.366218 88.207 -167.2926
75.702674 88.208 -167.4103
76.039130 88.210 -167.5337
76.375587 88.212 -167.6705
76.712043 88.212 -167.8184
77.048499 88.210 -167.9664
77.384956 88.205 -168.1038
77.721412 88.200 -168.2269
78.057868 88.196 -168.3414
78.394325 88.193 -168.4570
78.730781 88.191 -168.5809
79.067237 88.188 -168.7132
79.403694 88.184 -168.8486
79.740150 88.179 -168.9818
80.076606 88.174 -169.1110
80.413063 88.170 -169.2380
80.749519 88.166 -169.3649
81.085975 88.162 -169.4910
81.422432 88.159 -169.6143
81.758888 88.156 -169.7346
82.095344 88.154 -169.8564
82.431801 88.153 -169.9861
82.768257 88.151 -170.1263
83.104713 88.148 -170.2703
83.441170 88.141 -170.4036
83.777626 88.134 -170.5131
84.114082 88.129 -170.5983
84.450539 88.129 -170.6753
84.786995 88.132 -170.7686
85.123451 88.137 -170.8944
85.459908 88.138 -171.0471
85.796364 88.133 -171.1998
86.132820 88.124 -171.3207
86.469277 88.115 -171.3955
86.805733 88.113 -171.4398
87.142189 88.118 -171.4919
87.478646 88.128 -171.5886
87.815102 88.137 -171.7406
88.151558 88.139 -171.9251
88.488015 88.132 -172.1010
88.824471 88.120 -172.2350
89.160927 88.109 -172.3215
89.497384 88.104 -172.3831
89.833840 88.103 -172.4519
90.170296 88.104 -172.5468
90.506753 88.102 -172.6636
90.843209 88.097 -172.7832
91.179665 88.090 -172.8884
91.516122 88.082 -172.9751
91.852578 88.074 -173.0500
92.189034 88.068 -173.1199
92.525491 88.062 -173.1842
92.861947 88.057 -173.2401
93.198403 88.056 -173.2938
93.534860 88.058 -173.3646
93.871316 88.062 -173.4745
94.207772 88.063 -173.6270
94.544228 88.056 -173.7968
94.880685 88.043 -173.9412
95.217141 88.028 -174.0304
95.553597 88.019 -174.0745
95.890054 88.021 -174.1229
96.226510 88.029 -174.2292
96.562966 88.035 -174.4061
96.899423 88.030 -174.6077
97.235879 88.016 -174.7583
97.572335 88.003 -174.8125
97.908792 88.007 -174.8041
98.245248 88.032 -174.8409
98.581704 88.069 -175.0371
98.918161 88.096 -175.4274
99.254617 88.092 -175.9275
99.591073 88.049 -176.3677
99.927530 87.981 -176.5807
100.263986 87.914 -176.4973
100.600442 87.878 -176.1957
100.936899 87.885 -175.8619
101.273355 87.923 -175.6772
101.609811 87.968 -175.7144
101.946268 87.996 -175.9161
102.282724 88.000 -176.1536
102.619180 87.985 -176.3133
102.955637 87.967 -176.3575
103.292093 87.958 -176.3300
103.628549 87.961 -176.3088
103.965006 87.969 -176.3475
104.301462 87.973 -176.4451
104.637918 87.968 -176.5610
104.974375 87.958 -176.6527
105.310831 87.946 -176.7065
105.647287 87.938 -176.7404
105.983744 87.933 -176.7834
106.320200 87.930 -176.8523
106.656656 87.926 -176.9420
106.993113 87.918 -177.0350
107.329569 87.910 -177.1182
107.666025 87.903 -177.1920
108.002482 87.897 -177.2668
108.338938 87.893 -177.3517
108.675394 87.888 -177.4470
109.011851 87.883 -177.5441
109.348307 87.876 -177.6340
109.684763 87.870 -177.7139
110.021220 87.866 -177.7883
110.357676 87.863 -177.8646
110.694132 87.860 -177.9466
111.030589 87.857 -178.0322
111.367045 87.853 -178.1155
111.703501 87.848 -178.1909
112.039958 87.843 -178.2568
112.376414 87.839 -178.3167
112.712870 87.836 -178.3758
113.049327 87.834 -178.4396
113.385783 87.831 -178.5098
113.722239 87.827 -178.5843
114.058696 87.822 -178.6578
114.395152 87.816 -178.7253
114.731608 87.810 -178.7852
115.068065 87.805 -178.8417
115.404521 87.801 -178.9023
115.740977 87.797 -178.9734
116.077434 87.793 -179.0548
116.413890 87.786 -179.1385
116.750346 87.778 -179.2137
117.086803 87.770 -179.2742
117.423259 87.764 -179.3240
117.759715 87.760 -179.3757
118.096171 87.758 -179.4420
118.432628 87.756 -179.5259
118.769084 87.751 -179.6173
119.105540 87.744 -179.6984
119.441997 87.736 -179.7557
119.778453 87.730 -179.7905
120.114909 87.729 -179.8202
120.451366 87.732 -179.8685
120.787822 87.736 -179.9517
121.124278 87.738 179.9319
121.460735 87.734 179.8011
121.797191 87.724 179.6825
122.133647 87.710 179.5964
122.470104 87.696 179.5487
122.806560 87.685 179.5294
123.143016 87.678 179.5203
123.479473 87.675 179.5044
123.815929 87.674 179.4725
124.152385 87.673 179.4245
124.488842 87.671 179.3655
124.825298 87.668 179.3010
125.161754 87.665 179.2338
125.498211 87.662 179.1642
125.834667 87.658 179.0920
126.171123 87.654 179.0184
126.507580 87.648 178.9471
126.844036 87.641 178.8828
127.180492 87.634 178.8286
127.516949 87.628 178.7836
127.853405 87.623 178.7429
128.189861 87.620 178.6995
128.526318 87.618 178.6476
128.862774 87.615 178.5865
129.199230 87.612 178.5210
129.535687 87.607 178.4588
129.872143 87.602 178.4062
130.208599 87.597 178.3635
130.545056 87.594 178.3248
130.881512 87.593 178.2810
131.217968 87.592 178.2258
131.554425 87.591 178.1593
131.890881 87.588 178.0884
132.227337 87.584 178.0219
132.563794 87.579 177.9648
132.900250 87.575 177.9153
133.236706 87.571 177.8663
133.573163 87.569 177.8111
133.909619 87.565 177.7488
134.246075 87.560 177.6856
134.582532 87.554 177.6310
134.918988 87.547 177.5914
135.255444 87.541 177.5655
135.591901 87.539 177.5438
135.928357 87.538 177.5142
136.264813 87.539 177.4685
136.601270 87.538 177.4065
136.937726 87.536 177.3350
137.274182 87.532 177.2632
137.610639 87.526 177.1981
137.947095 87.520 177.1415
138.283551 87.513 177.0916
138.620008 87.507 177.0458
138.956464 87.500 177.0038
139.292920 87.494 176.9670
139.629377 87.488 176.9365
139.965833 87.484 176.9106
140.302289 87.481 176.8840
140.638746 87.480 176.8499
140.975202 87.479 176.8030
141.311658 87.478 176.7431
141.648115 87.475 176.6748
141.984571 87.470 176.6059
142.321027 87.465 176.5435
142.657483 87.458 176.4908
142.993940 87.452 176.4462
143.330396 87.447 176.4050
143.666852 87.443 176.3629
144.003309 87.440 176.3190
144.339765 87.436 176.2751
144.676221 87.432 176.2340
145.012678 87.429 176.1951
145.349134 87.428 176.1538
145.685590 87.427 176.1035
146.022047 87.425 176.0406
146.358503 87.422 175.9688
146.694959 87.416 175.8989
147.031416 87.407 175.8436
147.367872 87.398 175.8099
147.704328 87.391 175.7944
148.040785 87.387 175.7841
148.377241 87.385 175.7638
148.713697 87.383 175.7258
149.050154 87.380 175.6742
149.386610 87.374 175.6221
149.723066 87.367 175.5834
150.059523 87.359 175.5641
150.395979 87.353 175.5582
150.732435 87.351 175.5519
151.068892 87.351 175.5316
151.405348 87.352 175.4915
151.741804 87.351 175.4354
152.078261 87.348 175.3729
152.414717 87.343 175.3133
152.751173 87.338 175.2609
