* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Jun 13, 2026 3:39:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mystic 8 L3
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 88.573 -169.1663
20.507812 88.559 -170.2469
20.874023 88.514 -171.4844
21.240234 88.425 -172.6548
21.606445 88.315 -173.5542
21.972656 88.224 -174.1834
22.338867 88.175 -174.7788
22.705078 88.150 -175.6188
23.071289 88.100 -176.7609
23.437500 87.984 -177.9503
23.803711 87.806 -178.7687
24.169922 87.626 -178.9295
24.536133 87.523 -178.5562
24.902344 87.539 -178.1872
25.268555 87.640 -178.3923
25.634766 87.734 -179.3444
26.000977 87.743 179.2547
26.367188 87.649 177.9383
26.733398 87.493 177.1561
27.099609 87.354 177.0096
27.465820 87.293 177.1790
27.832031 87.312 177.1628
28.198242 87.355 176.6622
28.564453 87.358 175.7603
28.930664 87.292 174.7979
29.296875 87.176 174.1148
29.663086 87.058 173.8253
30.029297 86.981 173.7508
30.395508 86.946 173.5770
30.761719 86.917 173.1231
31.127930 86.850 172.4879
31.494141 86.732 171.9694
31.860352 86.598 171.8394
32.226562 86.500 172.1128
32.592773 86.479 172.4830
32.958984 86.526 172.5232
33.325195 86.585 172.0052
33.691406 86.594 171.0443
34.057617 86.525 169.9921
34.423828 86.396 169.2092
34.790039 86.255 168.8569
35.156250 86.148 168.8154
35.522461 86.091 168.7977
35.888672 86.062 168.5828
36.254883 86.024 168.1619
36.621094 85.960 167.6933
36.987305 85.878 167.3462
37.353516 85.800 167.1694
37.719727 85.743 167.0741
38.085938 85.707 166.9291
38.452148 85.675 166.6731
38.818359 85.633 166.3496
39.184570 85.577 166.0525
39.550781 85.516 165.8467
39.916992 85.461 165.7266
40.283203 85.420 165.6330
40.649414 85.387 165.5048
41.015625 85.354 165.3230
41.381836 85.311 165.1223
41.748047 85.258 164.9689
42.114258 85.203 164.9172
42.480469 85.158 164.9633
42.846680 85.133 165.0255
43.212891 85.124 164.9826
43.579102 85.112 164.7640
43.945312 85.074 164.4282
44.311523 84.998 164.1579
44.677734 84.902 164.1509
45.043945 84.826 164.4559
45.410156 84.804 164.8759
45.776367 84.838 165.0659
46.142578 84.884 164.7892
46.508789 84.883 164.1074
46.875000 84.802 163.3515
47.241211 84.655 162.9213
47.607422 84.497 163.0334
47.973633 84.392 163.5587
48.339844 84.363 164.1027
48.706055 84.383 164.3107
49.072266 84.397 164.1191
49.438477 84.370 163.7379
49.804688 84.303 163.4433
50.170898 84.228 163.3700
50.537109 84.176 163.4397
50.903320 84.150 163.4673
51.269531 84.132 163.3393
51.635742 84.098 163.1004
52.001953 84.043 162.8916
52.368164 83.980 162.8210
52.734375 83.927 162.8814
53.100586 83.894 162.9732
53.466797 83.875 163.0005
53.833008 83.856 162.9451
54.199219 83.827 162.8610
54.565430 83.792 162.8130
54.931641 83.756 162.8230
55.297852 83.727 162.8636
55.664062 83.704 162.8920
56.030273 83.682 162.8846
56.396484 83.657 162.8455
56.762695 83.626 162.7937
57.128906 83.589 162.7493
57.495117 83.547 162.7310
57.861328 83.500 162.7563
58.227539 83.455 162.8345
58.593750 83.414 162.9558
58.959961 83.383 163.0892
59.326172 83.359 163.1974
59.692383 83.338 163.2597
60.058594 83.316 163.2817
60.424805 83.291 163.2848
60.791016 83.264 163.2866
61.157227 83.236 163.2909
61.523438 83.207 163.2935
61.889648 83.178 163.2958
62.255859 83.148 163.3078
62.622070 83.118 163.3378
62.988281 83.090 163.3801
63.354492 83.067 163.4172
63.720703 83.045 163.4358
64.086914 83.020 163.4418
64.453125 82.991 163.4586
64.819336 82.961 163.5075
65.185547 82.934 163.5881
65.551758 82.912 163.6761
65.917969 82.895 163.7418
66.284180 82.877 163.7733
66.650391 82.856 163.7844
67.016602 82.830 163.8028
67.382812 82.801 163.8494
67.749023 82.775 163.9249
68.115234 82.753 164.0120
68.481445 82.735 164.0881
68.847656 82.719 164.1381
69.213867 82.702 164.1617
69.580078 82.681 164.1730
69.946289 82.657 164.1937
70.312500 82.632 164.2408
70.678711 82.609 164.3149
71.044922 82.591 164.3957
71.411133 82.576 164.4551
71.777344 82.562 164.4816
72.143555 82.541 164.4959
72.509766 82.516 164.5410
72.875977 82.492 164.6453
73.242188 82.479 164.7872
73.608398 82.479 164.8960
73.974609 82.486 164.8981
74.340820 82.485 164.7773
74.707031 82.463 164.5982
75.073242 82.419 164.4722
75.439453 82.364 164.4888
75.805664 82.314 164.6603
76.171875 82.282 164.9196
76.538086 82.271 165.1727
76.904297 82.271 165.3586
77.270508 82.276 165.4707
77.636719 82.278 165.5320
78.002930 82.278 165.5625
78.369141 82.276 165.5704
78.735352 82.268 165.5673
79.101562 82.255 165.5780
79.467773 82.239 165.6268
79.833984 82.227 165.7117
80.200195 82.220 165.7992
80.566406 82.217 165.8535
80.932617 82.210 165.8723
81.298828 82.196 165.8907
81.665039 82.178 165.9421
82.031250 82.163 166.0167
82.397461 82.150 166.0666
82.763672 82.133 166.0633
83.129883 82.101 166.0502
83.496094 82.056 166.1232
83.862305 82.014 166.3367
84.228516 81.997 166.6140
84.594727 82.006 166.7673
84.960938 82.015 166.6499
85.327148 81.985 166.3168
85.693359 81.892 166.0470
86.059570 81.757 166.1931
86.425781 81.639 166.9283
86.791992 81.607 168.0447
87.158203 81.686 169.0249
87.524414 81.830 169.4058
87.890625 81.962 169.0983
88.256836 82.022 168.3857
88.623047 82.000 167.6962
88.989258 81.930 167.3500
89.355469 81.864 167.4019
89.721680 81.838 167.6545
90.087891 81.851 167.8411
90.454102 81.876 167.8264
90.820312 81.884 167.6643
91.186523 81.865 167.5084
91.552734 81.831 167.4841
91.918945 81.799 167.6169
92.285156 81.782 167.8442
92.651367 81.783 168.0779
93.017578 81.794 168.2573
93.383789 81.809 168.3631
93.750000 81.821 168.4036
94.116211 81.825 168.4010
94.482422 81.820 168.3856
94.848633 81.807 168.3898
95.214844 81.790 168.4347
95.581055 81.773 168.5175
95.947266 81.761 168.6140
96.313477 81.753 168.6963
96.679688 81.745 168.7517
97.045898 81.737 168.7860
97.412109 81.727 168.8105
97.778320 81.716 168.8289
98.144531 81.706 168.8364
98.510742 81.693 168.8325
98.876953 81.678 168.8298
99.243164 81.660 168.8488
99.609375 81.643 168.9015
99.975586 81.631 168.9787
100.341797 81.626 169.0551
100.708008 81.624 169.1075
101.074219 81.622 169.1313
101.440430 81.618 169.1417
101.806641 81.611 169.1605
102.172852 81.602 169.2011
102.539062 81.595 169.2621
102.905273 81.590 169.3329
103.271484 81.587 169.4023
103.637695 81.585 169.4650
104.003906 81.583 169.5212
104.370117 81.580 169.5731
104.736328 81.576 169.6234
105.102539 81.571 169.6740
105.468750 81.566 169.7269
105.834961 81.559 169.7851
106.201172 81.551 169.8517
106.567383 81.544 169.9286
106.933594 81.539 170.0137
107.299805 81.537 170.0977
107.666016 81.537 170.1660
108.032227 81.538 170.2065
108.398438 81.537 170.2188
108.764648 81.532 170.2185
109.130859 81.522 170.2296
109.497070 81.510 170.2689
109.863281 81.499 170.3342
110.229492 81.493 170.4057
110.595703 81.489 170.4628
110.961914 81.484 170.5002
111.328125 81.476 170.5317
111.694336 81.466 170.5770
112.060547 81.456 170.6445
112.426758 81.449 170.7238
112.792969 81.445 170.7959
113.159180 81.442 170.8493
113.525391 81.438 170.8878
113.891602 81.432 170.9234
114.257812 81.425 170.9628
114.624023 81.419 171.0018
114.990234 81.413 171.0331
115.356445 81.405 171.0585
115.722656 81.396 171.0910
116.088867 81.386 171.1429
116.455078 81.379 171.2100
116.821289 81.376 171.2705
117.187500 81.375 171.3027
117.553711 81.371 171.3074
117.919922 81.361 171.3151
118.286133 81.346 171.3665
118.652344 81.334 171.4800
119.018555 81.332 171.6313
119.384766 81.341 171.7635
119.750977 81.358 171.8246
120.117188 81.371 171.8018
120.483398 81.375 171.7301
120.849609 81.365 171.6681
121.215820 81.348 171.6628
121.582031 81.330 171.7252
121.948242 81.318 171.8298
122.314453 81.312 171.9370
122.680664 81.310 172.0191
123.046875 81.306 172.0739
123.413086 81.299 172.1201
123.779297 81.289 172.1805
124.145508 81.279 172.2644
124.511719 81.273 172.3594
124.877930 81.271 172.4387
125.244141 81.272 172.4814
125.610352 81.268 172.4918
125.976562 81.259 172.5022
126.342773 81.245 172.5516
126.708984 81.234 172.6515
127.075195 81.232 172.7656
127.441406 81.239 172.8283
127.807617 81.245 172.7971
128.173828 81.236 172.6993
128.540039 81.207 172.6318
128.906250 81.164 172.7037
129.272461 81.126 172.9560
129.638672 81.113 173.3173
130.004883 81.129 173.6414
130.371094 81.160 173.8078
130.737305 81.186 173.8022
131.103516 81.192 173.7133
131.469727 81.177 173.6574
131.835938 81.155 173.6964
132.202148 81.137 173.8096
132.568359 81.128 173.9354
132.934570 81.121 174.0366
133.300781 81.113 174.1260
133.666992 81.105 174.2332
134.033203 81.102 174.3574
134.399414 81.105 174.4618
134.765625 81.109 174.5172
135.131836 81.109 174.5460
135.498047 81.102 174.6099
135.864258 81.099 174.7452
136.230469 81.109 174.9103
136.596680 81.132 175.0125
136.962891 81.152 175.0075
137.329102 81.151 174.9776
137.695312 81.131 175.0976
138.061523 81.118 175.4920
138.427734 81.149 176.0834
138.793945 81.244 176.5825
139.160156 81.375 176.6797
139.526367 81.489 176.2845
139.892578 81.535 175.6003
140.258789 81.500 175.0039
140.625000 81.412 174.8312
140.991211 81.330 175.1796
141.357422 81.302 175.8457
141.723633 81.336 176.4758
142.089844 81.402 176.8261
142.456055 81.458 176.8992
142.822266 81.484 176.8732
143.188477 81.487 176.9305
143.554688 81.491 177.1259
143.920898 81.514 177.3721
144.287109 81.558 177.5319
144.653320 81.607 177.5280
145.019531 81.646 177.3816
145.385742 81.668 177.1693
145.751953 81.676 176.9570
146.118164 81.678 176.7660
146.484375 81.676 176.5860
146.850586 81.669 176.4115
147.216797 81.657 176.2619
147.583008 81.642 176.1686
147.949219 81.632 176.1424
148.315430 81.634 176.1510
148.681641 81.649 176.1301
149.047852 81.671 176.0233
149.414062 81.686 175.8226
149.780273 81.686 175.5822
150.146484 81.667 175.3918
150.512695 81.640 175.3264
150.878906 81.618 175.3987
151.245117 81.614 175.5476
151.611328 81.628 175.6745
151.977539 81.652 175.7057
152.343750 81.672 175.6353
152.709961 81.678 175.5196
153.076172 81.672 175.4310
153.442383 81.662 175.4086
153.808594 81.655 175.4380
154.174805 81.655 175.4724
154.541016 81.658 175.4735
154.907227 81.660 175.4390
155.273438 81.655 175.3958
155.639648 81.647 175.3726
156.005859 81.639 175.3771
156.372070 81.635 175.3949
156.738281 81.633 175.4063
157.104492 81.631 175.4032
157.470703 81.629 175.3918
157.836914 81.626 175.3834
158.203125 81.622 175.3839
158.569336 81.618 175.3918
158.935547 81.616 175.4038
159.301758 81.614 175.4182
159.667969 81.613 175.4348
160.034180 81.612 175.4509
160.400391 81.610 175.4624
160.766602 81.607 175.4669
161.132812 81.603 175.4677
161.499023 81.597 175.4719
161.865234 81.590 175.4851
162.231445 81.584 175.5065
162.597656 81.579 175.5302
162.963867 81.575 175.5510
163.330078 81.570 175.5682
163.696289 81.565 175.5853
164.062500 81.560 175.6052
164.428711 81.555 175.6281
164.794922 81.551 175.6525
165.161133 81.546 175.6784
165.527344 81.543 175.7082
165.893555 81.540 175.7429
166.259766 81.538 175.7791
166.625977 81.538 175.8092
166.992188 81.537 175.8270
167.358398 81.535 175.8352
167.724609 81.529 175.8479
168.090820 81.521 175.8839
168.457031 81.512 175.9546
168.823242 81.508 176.0530
169.189453 81.510 176.1523
169.555664 81.518 176.2173
169.921875 81.527 176.2252
170.288086 81.530 176.1816
170.654297 81.523 176.1216
171.020508 81.508 176.0915
171.386719 81.490 176.1193
171.752930 81.476 176.1944
172.119141 81.471 176.2712
