* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Jun 13, 2026 3:37:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mystic 8 R3
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 89.092 -169.9667
20.507812 89.093 -171.2029
20.874023 89.040 -172.6108
21.240234 88.932 -173.8829
21.606445 88.804 -174.8117
21.972656 88.704 -175.4677
22.338867 88.651 -176.1553
22.705078 88.611 -177.1367
23.071289 88.533 -178.3733
23.437500 88.387 -179.5244
23.803711 88.198 179.8131
24.169922 88.034 179.7869
24.536133 87.962 -179.8830
24.902344 87.988 -179.7204
25.268555 88.061 179.9218
25.634766 88.111 179.0854
26.000977 88.098 178.0822
26.367188 88.033 177.2277
26.733398 87.947 176.6570
27.099609 87.869 176.3112
27.465820 87.810 176.0542
27.832031 87.765 175.7825
28.198242 87.728 175.4343
28.564453 87.691 174.9531
28.930664 87.636 174.3116
29.296875 87.544 173.5920
29.663086 87.411 173.0007
30.029297 87.270 172.7244
30.395508 87.175 172.6876
30.761719 87.153 172.4645
31.127930 87.162 171.5665
31.494141 87.102 169.9030
31.860352 86.883 167.9819
32.226562 86.488 166.7469
32.592773 86.025 167.1240
32.958984 85.713 169.2537
33.325195 85.731 171.9156
33.691406 86.029 173.3608
34.057617 86.379 172.8831
34.423828 86.590 171.0570
34.790039 86.598 168.9684
35.156250 86.459 167.5398
35.522461 86.297 167.1161
35.888672 86.218 167.3390
36.254883 86.237 167.5188
36.621094 86.289 167.2551
36.987305 86.301 166.6706
37.353516 86.253 166.1498
37.719727 86.177 165.9596
38.085938 86.120 166.0552
38.452148 86.098 166.1796
38.818359 86.089 166.1318
39.184570 86.061 165.9253
39.550781 86.002 165.7204
39.916992 85.926 165.6479
40.283203 85.857 165.7015
40.649414 85.804 165.7701
41.015625 85.760 165.7542
41.381836 85.712 165.6400
41.748047 85.655 165.4775
42.114258 85.591 165.3147
42.480469 85.526 165.1634
42.846680 85.461 165.0156
43.212891 85.398 164.8719
43.579102 85.339 164.7412
43.945312 85.286 164.6161
44.311523 85.242 164.4647
44.677734 85.199 164.2586
45.043945 85.151 164.0105
45.410156 85.093 163.7775
45.776367 85.027 163.6223
46.142578 84.962 163.5679
46.508789 84.905 163.5898
46.875000 84.857 163.6515
47.241211 84.815 163.7403
47.607422 84.781 163.8639
47.973633 84.759 164.0086
48.339844 84.753 164.1129
48.706055 84.757 164.0958
49.072266 84.755 163.9248
49.438477 84.731 163.6574
49.804688 84.680 163.4161
50.170898 84.615 163.3094
50.537109 84.553 163.3578
50.903320 84.510 163.4834
51.269531 84.485 163.5733
51.635742 84.466 163.5650
52.001953 84.442 163.4810
52.368164 84.407 163.3925
52.734375 84.367 163.3534
53.100586 84.331 163.3607
53.466797 84.303 163.3689
53.833008 84.278 163.3387
54.199219 84.249 163.2739
54.565430 84.212 163.2165
54.931641 84.171 163.2097
55.297852 84.133 163.2620
55.664062 84.102 163.3412
56.030273 84.079 163.3994
56.396484 84.058 163.4080
56.762695 84.032 163.3750
57.128906 83.997 163.3365
57.495117 83.955 163.3333
57.861328 83.912 163.3880
58.227539 83.873 163.4942
58.593750 83.843 163.6205
58.959961 83.821 163.7262
59.326172 83.804 163.7813
59.692383 83.785 163.7818
60.058594 83.760 163.7524
60.424805 83.728 163.7341
60.791016 83.693 163.7596
61.157227 83.661 163.8326
61.523438 83.637 163.9250
61.889648 83.619 163.9954
62.255859 83.605 164.0187
62.622070 83.587 164.0024
62.988281 83.563 163.9782
63.354492 83.535 163.9773
63.720703 83.506 164.0086
64.086914 83.479 164.0588
64.453125 83.455 164.1103
64.819336 83.429 164.1597
65.185547 83.403 164.2180
65.551758 83.378 164.2940
65.917969 83.356 164.3791
66.284180 83.338 164.4498
66.650391 83.321 164.4907
67.016602 83.300 164.5119
67.382812 83.274 164.5443
67.749023 83.249 164.6118
68.115234 83.228 164.7056
68.481445 83.215 164.7863
68.847656 83.206 164.8186
69.213867 83.191 164.8064
69.580078 83.169 164.7971
69.946289 83.143 164.8435
70.312500 83.123 164.9534
70.678711 83.116 165.0690
71.044922 83.121 165.1041
71.411133 83.123 165.0131
71.777344 83.107 164.8373
72.143555 83.067 164.6898
72.509766 83.010 164.6859
72.875977 82.956 164.8668
73.242188 82.924 165.1669
73.608398 82.917 165.4560
73.974609 82.927 165.6267
74.340820 82.936 165.6589
74.707031 82.931 165.6162
75.073242 82.911 165.5883
75.439453 82.885 165.6281
75.805664 82.864 165.7259
76.171875 82.850 165.8332
76.538086 82.840 165.9086
76.904297 82.829 165.9485
77.270508 82.813 165.9806
77.636719 82.794 166.0360
78.002930 82.776 166.1230
78.369141 82.762 166.2249
78.735352 82.753 166.3154
79.101562 82.745 166.3774
79.467773 82.736 166.4121
79.833984 82.722 166.4346
80.200195 82.705 166.4658
80.566406 82.686 166.5227
80.932617 82.668 166.6100
81.298828 82.655 166.7137
81.665039 82.647 166.8051
82.031250 82.642 166.8568
82.397461 82.634 166.8649
82.763672 82.620 166.8576
83.129883 82.599 166.8781
83.496094 82.579 166.9489
83.862305 82.566 167.0468
84.228516 82.563 167.1140
84.594727 82.560 167.1058
84.960938 82.549 167.0374
85.327148 82.521 166.9855
85.693359 82.484 167.0386
86.059570 82.452 167.2275
86.425781 82.440 167.4916
86.791992 82.451 167.7154
87.158203 82.473 167.8115
87.524414 82.488 167.7812
87.890625 82.487 167.7042
88.256836 82.472 167.6716
88.623047 82.455 167.7202
88.989258 82.444 167.8166
89.355469 82.441 167.9003
89.721680 82.439 167.9419
90.087891 82.432 167.9623
90.454102 82.420 168.0005
90.820312 82.409 168.0660
91.186523 82.403 168.1260
91.552734 82.398 168.1412
91.918945 82.385 168.1150
92.285156 82.359 168.1064
92.651367 82.326 168.1887
93.017578 82.299 168.3854
93.383789 82.291 168.6393
93.750000 82.303 168.8457
94.116211 82.324 168.9271
94.482422 82.339 168.8860
94.848633 82.339 168.7943
95.214844 82.326 168.7357
95.581055 82.309 168.7496
95.947266 82.297 168.8167
96.313477 82.291 168.8900
96.679688 82.289 168.9395
97.045898 82.286 168.9700
97.412109 82.280 169.0037
97.778320 82.274 169.0520
98.144531 82.269 169.1046
98.510742 82.266 169.1453
98.876953 82.260 169.1738
99.243164 82.250 169.2108
99.609375 82.238 169.2796
99.975586 82.228 169.3829
100.341797 82.225 169.4966
100.708008 82.226 169.5869
101.074219 82.229 169.6362
101.440430 82.228 169.6543
101.806641 82.223 169.6668
102.172852 82.214 169.6942
102.539062 82.206 169.7387
102.905273 82.199 169.7887
103.271484 82.192 169.8332
103.637695 82.186 169.8720
104.003906 82.178 169.9129
104.370117 82.171 169.9623
104.736328 82.164 170.0180
105.102539 82.159 170.0728
105.468750 82.155 170.1214
105.834961 82.151 170.1658
106.201172 82.147 170.2119
106.567383 82.143 170.2621
106.933594 82.140 170.3128
107.299805 82.138 170.3572
107.666016 82.136 170.3923
108.032227 82.132 170.4225
108.398438 82.127 170.4567
108.764648 82.121 170.5016
109.130859 82.116 170.5560
109.497070 82.113 170.6123
109.863281 82.111 170.6617
110.229492 82.109 170.6997
110.595703 82.106 170.7295
110.961914 82.101 170.7588
111.328125 82.095 170.7954
111.694336 82.088 170.8426
112.060547 82.083 170.8967
112.426758 82.080 170.9497
112.792969 82.077 170.9944
113.159180 82.074 171.0294
113.525391 82.070 171.0602
113.891602 82.064 171.0963
114.257812 82.058 171.1436
114.624023 82.054 171.1999
114.990234 82.051 171.2562
115.356445 82.050 171.3032
115.722656 82.049 171.3389
116.088867 82.047 171.3691
116.455078 82.043 171.4021
116.821289 82.040 171.4401
117.187500 82.038 171.4776
117.553711 82.036 171.5071
117.919922 82.033 171.5279
118.286133 82.028 171.5493
118.652344 82.021 171.5840
119.018555 82.016 171.6373
119.384766 82.012 171.6998
119.750977 82.012 171.7540
120.117188 82.013 171.7872
120.483398 82.013 171.8013
120.849609 82.009 171.8116
121.215820 82.004 171.8339
121.582031 81.998 171.8732
121.948242 81.994 171.9211
122.314453 81.992 171.9656
122.680664 81.990 172.0020
123.046875 81.988 172.0357
123.413086 81.985 172.0746
123.779297 81.983 172.1201
124.145508 81.982 172.1649
124.511719 81.982 172.2007
124.877930 81.982 172.2273
125.244141 81.980 172.2535
125.610352 81.979 172.2881
125.976562 81.978 172.3311
126.342773 81.978 172.3725
126.708984 81.977 172.4046
127.075195 81.975 172.4327
127.441406 81.970 172.4749
127.807617 81.965 172.5469
128.173828 81.964 172.6440
128.540039 81.970 172.7365
128.906250 81.982 172.7864
129.272461 81.993 172.7746
129.638672 81.997 172.7169
130.004883 81.991 172.6567
130.371094 81.977 172.6387
130.737305 81.963 172.6816
131.103516 81.953 172.7685
131.469727 81.952 172.8610
131.835938 81.956 172.9250
132.202148 81.960 172.9504
132.568359 81.961 172.9516
132.934570 81.959 172.9531
133.300781 81.954 172.9722
133.666992 81.950 173.0103
134.033203 81.948 173.0557
134.399414 81.949 173.0948
134.765625 81.950 173.1214
135.131836 81.950 173.1393
135.498047 81.949 173.1578
135.864258 81.947 173.1841
136.230469 81.946 173.2180
136.596680 81.946 173.2524
136.962891 81.946 173.2802
137.329102 81.945 173.3019
137.695312 81.942 173.3282
138.061523 81.938 173.3733
138.427734 81.936 173.4421
138.793945 81.938 173.5223
139.160156 81.946 173.5871
139.526367 81.956 173.6117
139.892578 81.963 173.5918
140.258789 81.964 173.5500
140.625000 81.958 173.5233
140.991211 81.948 173.5396
141.357422 81.940 173.5987
141.723633 81.939 173.6731
142.089844 81.942 173.7280
142.456055 81.946 173.7473
142.822266 81.945 173.7440
143.188477 81.940 173.7501
143.554688 81.932 173.7914
143.920898 81.927 173.8683
144.287109 81.929 173.9552
144.653320 81.936 174.0178
145.019531 81.944 174.0363
145.385742 81.949 174.0172
145.751953 81.948 173.9870
146.118164 81.942 173.9745
146.484375 81.934 173.9950
146.850586 81.929 174.0431
147.216797 81.927 174.0992
147.583008 81.929 174.1420
147.949219 81.933 174.1605
148.315430 81.934 174.1583
148.681641 81.932 174.1502
149.047852 81.927 174.1537
149.414062 81.921 174.1789
149.780273 81.916 174.2240
150.146484 81.915 174.2767
150.512695 81.917 174.3229
150.878906 81.919 174.3552
151.245117 81.921 174.3769
151.611328 81.921 174.3980
151.977539 81.921 174.4271
152.343750 81.921 174.4642
152.709961 81.924 174.5016
153.076172 81.927 174.5296
153.442383 81.930 174.5447
153.808594 81.932 174.5518
154.174805 81.932 174.5596
154.541016 81.931 174.5752
154.907227 81.929 174.5991
155.273438 81.928 174.6269
155.639648 81.928 174.6541
156.005859 81.927 174.6794
156.372070 81.925 174.7045
156.738281 81.924 174.7315
157.104492 81.923 174.7603
157.470703 81.921 174.7887
157.836914 81.920 174.8150
158.203125 81.919 174.8398
158.569336 81.917 174.8660
158.935547 81.914 174.8967
159.301758 81.913 174.9324
159.667969 81.912 174.9703
160.034180 81.912 175.0057
160.400391 81.912 175.0346
160.766602 81.911 175.0554
161.132812 81.910 175.0701
161.499023 81.907 175.0824
161.865234 81.905 175.0964
162.231445 81.901 175.1145
162.597656 81.898 175.1373
162.963867 81.895 175.1641
163.330078 81.893 175.1944
163.696289 81.891 175.2270
164.062500 81.890 175.2592
164.428711 81.890 175.2865
164.794922 81.890 175.3041
165.161133 81.889 175.3109
165.527344 81.887 175.3114
165.893555 81.882 175.3143
166.259766 81.875 175.3276
166.625977 81.868 175.3532
166.992188 81.862 175.3864
167.358398 81.857 175.4213
167.724609 81.852 175.4561
168.090820 81.846 175.4949
168.457031 81.841 175.5410
168.823242 81.839 175.5896
169.189453 81.839 175.6268
169.555664 81.840 175.6386
169.921875 81.838 175.6241
170.288086 81.831 175.6022
170.654297 81.820 175.6025
171.020508 81.806 175.6470
171.386719 81.797 175.7325
171.752930 81.796 175.8309
172.119141 81.801 175.9061
172.485352 81.808 175.9375
