* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Jun 13, 2026 3:05:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Space Travel 2 L2
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 76.281 39.0717
20.507812 76.280 38.0809
20.874023 76.272 37.2574
21.240234 76.270 36.5759
21.606445 76.282 35.9680
21.972656 76.308 35.3694
22.338867 76.342 34.7435
22.705078 76.382 34.0760
23.071289 76.422 33.3586
23.437500 76.461 32.5844
23.803711 76.491 31.7579
24.169922 76.507 30.9062
24.536133 76.509 30.0756
24.902344 76.498 29.3142
25.268555 76.485 28.6489
25.634766 76.475 28.0718
26.000977 76.473 27.5438
26.367188 76.476 27.0157
26.733398 76.481 26.4547
27.099609 76.481 25.8638
27.465820 76.471 25.2809
27.832031 76.455 24.7545
28.198242 76.440 24.3055
28.564453 76.437 23.9005
28.930664 76.447 23.4625
29.296875 76.463 22.9236
29.663086 76.472 22.2830
30.029297 76.463 21.6207
30.395508 76.442 21.0433
30.761719 76.427 20.5918
31.127930 76.434 20.1819
31.494141 76.464 19.6459
31.860352 76.495 18.8668
32.226562 76.490 17.9006
32.592773 76.428 16.9846
32.958984 76.323 16.4164
33.325195 76.220 16.3600
33.691406 76.177 16.6911
34.057617 76.216 17.0309
34.423828 76.313 16.9998
34.790039 76.409 16.4777
35.156250 76.453 15.6495
35.522461 76.434 14.8480
35.888672 76.379 14.3375
36.254883 76.331 14.1605
36.621094 76.321 14.1331
36.987305 76.348 14.0002
37.353516 76.384 13.6281
37.719727 76.398 13.0721
38.085938 76.379 12.4997
38.452148 76.338 12.0573
38.818359 76.296 11.7809
39.184570 76.270 11.5999
39.550781 76.259 11.4139
39.916992 76.255 11.1716
40.283203 76.251 10.8893
40.649414 76.245 10.6093
41.015625 76.240 10.3494
41.381836 76.241 10.0879
41.748047 76.247 9.7914
42.114258 76.250 9.4504
42.480469 76.248 9.0869
42.846680 76.241 8.7299
43.212891 76.232 8.3864
43.579102 76.222 8.0415
43.945312 76.206 7.6897
44.311523 76.182 7.3630
44.677734 76.154 7.1187
45.043945 76.132 6.9821
45.410156 76.132 6.8923
45.776367 76.156 6.7138
46.142578 76.187 6.3324
46.508789 76.198 5.7620
46.875000 76.171 5.1668
47.241211 76.116 4.7650
47.607422 76.066 4.6617
47.973633 76.060 4.7281
48.339844 76.106 4.6567
48.706055 76.170 4.1926
49.072266 76.197 3.3485
49.438477 76.147 2.4230
49.804688 76.029 1.8292
50.170898 75.897 1.8370
50.537109 75.820 2.3621
50.903320 75.836 2.9833
51.269531 75.920 3.2482
51.635742 76.009 3.0006
52.001953 76.048 2.4354
52.368164 76.026 1.9028
52.734375 75.972 1.6581
53.100586 75.930 1.7098
53.466797 75.925 1.8530
53.833008 75.948 1.8601
54.199219 75.969 1.6599
54.565430 75.965 1.3561
54.931641 75.938 1.1094
55.297852 75.905 1.0018
55.664062 75.887 0.9856
56.030273 75.887 0.9407
56.396484 75.895 0.7789
56.762695 75.898 0.5020
57.128906 75.886 0.1781
57.495117 75.863 -0.1200
57.861328 75.836 -0.3616
58.227539 75.813 -0.5598
58.593750 75.795 -0.7435
58.959961 75.782 -0.9311
59.326172 75.771 -1.1257
59.692383 75.764 -1.3263
60.058594 75.759 -1.5370
60.424805 75.755 -1.7651
60.791016 75.750 -2.0121
61.157227 75.741 -2.2656
61.523438 75.726 -2.4995
61.889648 75.708 -2.6855
62.255859 75.691 -2.8113
62.622070 75.681 -2.8959
62.988281 75.681 -2.9871
63.354492 75.685 -3.1318
63.720703 75.684 -3.3350
64.086914 75.670 -3.5405
64.453125 75.646 -3.6642
64.819336 75.628 -3.6663
65.185547 75.631 -3.6133
65.551758 75.661 -3.6607
65.917969 75.699 -3.9467
66.284180 75.715 -4.4745
66.650391 75.684 -5.0843
67.016602 75.609 -5.5391
67.382812 75.517 -5.6720
67.749023 75.447 -5.5023
68.115234 75.421 -5.2250
68.481445 75.432 -5.0628
68.847656 75.454 -5.1066
69.213867 75.463 -5.2859
69.580078 75.456 -5.4702
69.946289 75.444 -5.5916
70.312500 75.438 -5.6817
70.678711 75.434 -5.8020
71.044922 75.423 -5.9506
71.411133 75.399 -6.0454
71.777344 75.373 -6.0046
72.143555 75.365 -5.8431
72.509766 75.384 -5.6858
72.875977 75.423 -5.6732
73.242188 75.459 -5.8502
73.608398 75.475 -6.1462
73.974609 75.470 -6.4537
74.340820 75.452 -6.7211
74.707031 75.427 -6.9705
75.073242 75.391 -7.2284
75.439453 75.335 -7.4473
75.805664 75.262 -7.5109
76.171875 75.192 -7.3328
76.538086 75.153 -6.9656
76.904297 75.159 -6.6035
77.270508 75.198 -6.4492
77.636719 75.240 -6.5635
78.002930 75.259 -6.8393
78.369141 75.255 -7.1082
78.735352 75.245 -7.2788
79.101562 75.246 -7.3937
79.467773 75.261 -7.5624
79.833984 75.276 -7.8423
80.200195 75.278 -8.1808
80.566406 75.265 -8.4693
80.932617 75.252 -8.6480
81.298828 75.253 -8.7655
81.665039 75.271 -8.9388
82.031250 75.290 -9.2502
82.397461 75.290 -9.6742
82.763672 75.261 -10.0905
83.129883 75.205 -10.3583
83.496094 75.142 -10.3948
83.862305 75.094 -10.2150
84.228516 75.075 -9.9233
84.594727 75.089 -9.6697
84.960938 75.123 -9.5867
85.327148 75.152 -9.7286
85.693359 75.152 -10.0303
86.059570 75.107 -10.3123
86.425781 75.027 -10.3517
86.791992 74.947 -10.0100
87.158203 74.911 -9.3600
87.524414 74.946 -8.6960
87.890625 75.036 -8.3644
88.256836 75.133 -8.5317
88.623047 75.185 -9.0880
88.989258 75.171 -9.7381
89.355469 75.105 -10.1875
89.721680 75.027 -10.3113
90.087891 74.973 -10.2128
90.454102 74.955 -10.1212
90.820312 74.954 -10.2021
91.186523 74.942 -10.4461
91.552734 74.909 -10.7173
91.918945 74.866 -10.8966
92.285156 74.834 -10.9945
92.651367 74.822 -11.1411
93.017578 74.815 -11.4602
93.383789 74.787 -11.9385
93.750000 74.720 -12.4055
94.116211 74.623 -12.6348
94.482422 74.530 -12.4989
94.848633 74.481 -12.0763
95.214844 74.495 -11.6183
95.581055 74.558 -11.3806
95.947266 74.635 -11.4589
96.313477 74.694 -11.7607
96.679688 74.725 -12.1057
97.045898 74.742 -12.3586
97.412109 74.762 -12.5061
97.778320 74.796 -12.6366
98.144531 74.836 -12.8470
98.510742 74.867 -13.1559
98.876953 74.875 -13.4880
99.243164 74.860 -13.7297
99.609375 74.835 -13.8057
99.975586 74.816 -13.7249
100.341797 74.813 -13.5688
100.708008 74.826 -13.4365
101.074219 74.845 -13.3900
101.440430 74.859 -13.4359
101.806641 74.861 -13.5402
102.172852 74.846 -13.6527
102.539062 74.819 -13.7256
102.905273 74.783 -13.7255
103.271484 74.749 -13.6467
103.637695 74.725 -13.5244
104.003906 74.714 -13.4279
104.370117 74.710 -13.4256
104.736328 74.701 -13.5355
105.102539 74.674 -13.6996
105.468750 74.630 -13.8105
105.834961 74.581 -13.7838
106.201172 74.546 -13.6281
106.567383 74.539 -13.4565
106.933594 74.554 -13.4134
107.299805 74.570 -13.5662
107.666016 74.565 -13.8530
108.032227 74.533 -14.1263
108.398438 74.484 -14.2570
108.764648 74.441 -14.2254
109.130859 74.420 -14.1296
109.497070 74.417 -14.1006
109.863281 74.416 -14.1959
110.229492 74.401 -14.3630
110.595703 74.370 -14.4964
110.961914 74.335 -14.5276
111.328125 74.310 -14.4750
111.694336 74.300 -14.4141
112.060547 74.299 -14.4040
112.426758 74.300 -14.4434
112.792969 74.299 -14.4917
113.159180 74.301 -14.5217
113.525391 74.311 -14.5453
113.891602 74.327 -14.5876
114.257812 74.348 -14.6494
114.624023 74.374 -14.7088
114.990234 74.410 -14.7713
115.356445 74.461 -14.9061
115.722656 74.517 -15.2087
116.088867 74.553 -15.7004
116.455078 74.546 -16.2546
116.821289 74.493 -16.6329
117.187500 74.422 -16.6299
117.553711 74.380 -16.2482
117.919922 74.400 -15.7537
118.286133 74.473 -15.5084
118.652344 74.550 -15.6950
119.018555 74.577 -16.1871
119.384766 74.537 -16.6520
119.750977 74.455 -16.7822
120.117188 74.382 -16.5085
120.483398 74.359 -16.0511
120.849609 74.386 -15.7430
121.215820 74.425 -15.7655
121.582031 74.436 -16.0391
121.948242 74.405 -16.3315
122.314453 74.352 -16.4537
122.680664 74.307 -16.3897
123.046875 74.288 -16.2777
123.413086 74.288 -16.2669
123.779297 74.286 -16.3889
124.145508 74.269 -16.5526
124.511719 74.241 -16.6430
124.877930 74.218 -16.6210
125.244141 74.213 -16.5445
125.610352 74.224 -16.5024
125.976562 74.241 -16.5353
126.342773 74.254 -16.6141
126.708984 74.261 -16.6834
127.075195 74.265 -16.7136
127.441406 74.273 -16.7151
127.807617 74.283 -16.7118
128.173828 74.295 -16.7141
128.540039 74.307 -16.7229
128.906250 74.320 -16.7524
129.272461 74.332 -16.8357
129.638672 74.335 -16.9915
130.004883 74.318 -17.1824
130.371094 74.278 -17.3102
130.737305 74.225 -17.2693
131.103516 74.182 -17.0297
131.469727 74.171 -16.6853
131.835938 74.196 -16.4136
132.202148 74.243 -16.3655
132.568359 74.287 -16.5746
132.934570 74.307 -16.9525
133.300781 74.298 -17.3606
133.666992 74.270 -17.6937
134.033203 74.238 -17.9249
134.399414 74.212 -18.0915
134.765625 74.194 -18.2458
135.131836 74.179 -18.4164
135.498047 74.166 -18.6049
135.864258 74.151 -18.8053
136.230469 74.132 -19.0161
136.596680 74.106 -19.2292
136.962891 74.069 -19.4122
137.329102 74.020 -19.5054
137.695312 73.967 -19.4501
138.061523 73.923 -19.2291
138.427734 73.902 -18.8925
138.793945 73.910 -18.5448
139.160156 73.943 -18.2990
139.526367 73.987 -18.2274
139.892578 74.026 -18.3386
140.258789 74.046 -18.5828
140.625000 74.040 -18.8716
140.991211 74.008 -19.1035
141.357422 73.959 -19.1903
141.723633 73.909 -19.0884
142.089844 73.878 -18.8259
142.456055 73.878 -18.5041
142.822266 73.910 -18.2589
143.188477 73.960 -18.1957
143.554688 74.009 -18.3376
143.920898 74.041 -18.6224
144.287109 74.051 -18.9445
144.653320 74.044 -19.2139
145.019531 74.032 -19.3990
145.385742 74.023 -19.5270
145.751953 74.019 -19.6465
146.118164 74.014 -19.7826
146.484375 74.004 -19.9174
146.850586 73.987 -20.0089
147.216797 73.970 -20.0289
147.583008 73.958 -19.9876
147.949219 73.956 -19.9280
148.315430 73.962 -19.8943
148.681641 73.969 -19.9045
149.047852 73.973 -19.9467
149.414062 73.972 -19.9990
149.780273 73.968 -20.0509
150.146484 73.962 -20.1069
150.512695 73.953 -20.1703
150.878906 73.937 -20.2280
151.245117 73.917 -20.2549
151.611328 73.898 -20.2373
151.977539 73.884 -20.1945
152.343750 73.878 -20.1722
152.709961 73.873 -20.2079
153.076172 73.861 -20.2931
153.442383 73.839 -20.3716
153.808594 73.811 -20.3798
154.174805 73.789 -20.3026
154.541016 73.783 -20.1972
154.907227 73.792 -20.1572
155.273438 73.806 -20.2399
155.639648 73.809 -20.4189
156.005859 73.796 -20.6043
156.372070 73.775 -20.7142
156.738281 73.760 -20.7432
157.104492 73.760 -20.7684
157.470703 73.769 -20.8816
157.836914 73.772 -21.1040
158.203125 73.756 -21.3600
158.569336 73.723 -21.5311
158.935547 73.689 -21.5491
159.301758 73.673 -21.4534
159.667969 73.680 -21.3654
160.034180 73.701 -21.3945
160.400391 73.716 -21.5596
160.766602 73.713 -21.7866
161.132812 73.690 -21.9703
161.499023 73.659 -22.0440
161.865234 73.631 -22.0071
162.231445 73.614 -21.9055
162.597656 73.608 -21.7966
162.963867 73.611 -21.7325
163.330078 73.615 -21.7559
163.696289 73.609 -21.8805
164.062500 73.576 -22.0541
164.428711 73.510 -22.1391
164.794922 73.421 -21.9615
