* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Jun 13, 2026 3:06:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Space Travel 2 R3
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 75.919 44.6732
20.507812 75.967 43.7854
20.874023 76.008 42.8701
21.240234 76.035 41.9731
21.606445 76.049 41.1504
21.972656 76.056 40.4368
22.338867 76.065 39.8311
22.705078 76.082 39.2993
23.071289 76.110 38.7889
23.437500 76.148 38.2446
23.803711 76.189 37.6262
24.169922 76.226 36.9222
24.536133 76.250 36.1559
24.902344 76.257 35.3770
25.268555 76.255 34.6404
25.634766 76.245 33.9815
26.000977 76.235 33.4019
26.367188 76.230 32.8736
26.733398 76.232 32.3593
27.099609 76.237 31.8338
27.465820 76.242 31.2951
27.832031 76.245 30.7606
28.198242 76.248 30.2505
28.564453 76.254 29.7693
28.930664 76.267 29.2960
29.296875 76.286 28.7900
29.663086 76.307 28.2170
30.029297 76.318 27.5800
30.395508 76.313 26.9332
30.761719 76.291 26.3633
31.127930 76.263 25.9402
31.494141 76.245 25.6652
31.860352 76.254 25.4532
32.226562 76.287 25.1765
32.592773 76.328 24.7419
32.958984 76.360 24.1483
33.325195 76.367 23.4801
33.691406 76.350 22.8506
34.057617 76.319 22.3363
34.423828 76.286 21.9429
34.790039 76.262 21.6227
35.156250 76.246 21.3206
35.522461 76.235 21.0117
35.888672 76.226 20.6995
36.254883 76.221 20.3885
36.621094 76.221 20.0638
36.987305 76.225 19.6970
37.353516 76.227 19.2738
37.719727 76.223 18.8133
38.085938 76.208 18.3597
38.452148 76.188 17.9545
38.818359 76.167 17.6107
39.184570 76.151 17.3113
39.550781 76.140 17.0305
39.916992 76.132 16.7556
40.283203 76.128 16.4911
40.649414 76.127 16.2438
41.015625 76.129 16.0078
41.381836 76.135 15.7648
41.748047 76.143 15.5004
42.114258 76.148 15.2163
42.480469 76.150 14.9263
42.846680 76.148 14.6395
43.212891 76.145 14.3505
43.579102 76.137 14.0481
43.945312 76.123 13.7357
44.311523 76.100 13.4396
44.677734 76.070 13.1924
45.043945 76.041 13.0036
45.410156 76.017 12.8467
45.776367 75.998 12.6815
46.142578 75.982 12.4899
46.508789 75.966 12.2883
46.875000 75.955 12.0931
47.241211 75.955 11.8713
47.607422 75.966 11.5344
47.973633 75.973 11.0043
48.339844 75.951 10.3096
48.706055 75.882 9.6262
49.072266 75.770 9.2128
49.438477 75.654 9.2574
49.804688 75.586 9.7164
50.170898 75.599 10.2842
50.537109 75.684 10.5774
50.903320 75.790 10.3973
51.269531 75.864 9.8358
51.635742 75.885 9.1705
52.001953 75.864 8.6671
52.368164 75.834 8.4230
52.734375 75.824 8.3387
53.100586 75.837 8.2334
53.466797 75.853 8.0077
53.833008 75.852 7.7111
54.199219 75.830 7.4770
54.565430 75.802 7.3967
54.931641 75.788 7.4391
55.297852 75.798 7.4749
55.664062 75.822 7.3804
56.030273 75.839 7.1287
56.396484 75.836 6.7949
56.762695 75.812 6.4917
57.128906 75.779 6.2916
57.495117 75.750 6.1895
57.861328 75.734 6.1207
58.227539 75.730 6.0126
58.593750 75.730 5.8284
58.959961 75.724 5.5798
59.326172 75.710 5.3116
59.692383 75.686 5.0756
60.058594 75.660 4.9059
60.424805 75.639 4.8044
60.791016 75.628 4.7377
61.157227 75.628 4.6527
61.523438 75.634 4.5060
61.889648 75.637 4.2911
62.255859 75.630 4.0435
62.622070 75.612 3.8188
62.988281 75.588 3.6556
63.354492 75.568 3.5505
63.720703 75.553 3.4645
64.086914 75.542 3.3578
64.453125 75.529 3.2229
64.819336 75.511 3.0885
65.185547 75.489 2.9909
65.551758 75.469 2.9393
65.917969 75.458 2.9059
66.284180 75.453 2.8511
66.650391 75.452 2.7579
67.016602 75.451 2.6411
67.382812 75.450 2.5200
67.749023 75.454 2.3865
68.115234 75.462 2.2034
68.481445 75.465 1.9478
68.847656 75.453 1.6574
69.213867 75.423 1.4297
69.580078 75.384 1.3593
69.946289 75.358 1.4547
70.312500 75.358 1.6111
70.678711 75.380 1.6835
71.044922 75.404 1.6083
71.411133 75.411 1.4605
71.777344 75.402 1.3859
72.143555 75.398 1.4565
72.509766 75.424 1.5692
72.875977 75.480 1.4962
73.242188 75.534 1.0721
73.608398 75.543 0.3549
73.974609 75.481 -0.3763
74.340820 75.361 -0.7771
74.707031 75.235 -0.6599
75.073242 75.163 -0.1497
75.439453 75.168 0.3743
75.805664 75.225 0.5524
76.171875 75.280 0.2938
76.538086 75.290 -0.2090
76.904297 75.251 -0.6564
77.270508 75.190 -0.8453
77.636719 75.145 -0.7806
78.002930 75.134 -0.6323
78.369141 75.152 -0.5790
78.735352 75.175 -0.6775
79.101562 75.189 -0.8584
79.467773 75.193 -1.0240
79.833984 75.199 -1.1464
80.200195 75.214 -1.2877
80.566406 75.230 -1.5306
80.932617 75.230 -1.8823
81.298828 75.197 -2.2347
81.665039 75.135 -2.4158
82.031250 75.070 -2.3047
82.397461 75.035 -1.9463
82.763672 75.052 -1.5700
83.129883 75.110 -1.4624
83.496094 75.165 -1.7687
83.862305 75.169 -2.3796
84.228516 75.098 -2.9760
84.594727 74.970 -3.1946
84.960938 74.842 -2.8444
85.327148 74.777 -2.0655
85.693359 74.803 -1.2778
86.059570 74.892 -0.8925
86.425781 74.985 -1.0341
86.791992 75.031 -1.5132
87.158203 75.019 -2.0098
87.524414 74.975 -2.2942
87.890625 74.935 -2.3484
88.256836 74.917 -2.3206
88.623047 74.915 -2.3573
88.989258 74.909 -2.4742
89.355469 74.893 -2.5815
89.721680 74.879 -2.6176
90.087891 74.880 -2.6469
90.454102 74.893 -2.8130
90.820312 74.891 -3.1794
91.186523 74.845 -3.6152
91.552734 74.753 -3.8419
91.918945 74.649 -3.6239
92.285156 74.592 -2.9839
92.651367 74.621 -2.2590
93.017578 74.723 -1.8853
93.383789 74.840 -2.0801
93.750000 74.912 -2.7190
94.116211 74.914 -3.4628
94.482422 74.861 -3.9843
94.848633 74.797 -4.1497
95.214844 74.759 -4.0629
95.581055 74.759 -3.9470
95.947266 74.779 -3.9619
96.313477 74.796 -4.1162
96.679688 74.799 -4.3217
97.045898 74.790 -4.5020
97.412109 74.776 -4.6479
97.778320 74.756 -4.7805
98.144531 74.723 -4.8796
98.510742 74.677 -4.8619
98.876953 74.631 -4.6454
99.243164 74.609 -4.2500
99.609375 74.629 -3.8350
99.975586 74.683 -3.6143
100.341797 74.742 -3.7073
100.708008 74.773 -4.0558
101.074219 74.760 -4.4669
101.440430 74.711 -4.7379
101.806641 74.653 -4.7774
102.172852 74.614 -4.6478
102.539062 74.603 -4.5013
102.905273 74.608 -4.4606
103.271484 74.615 -4.5457
103.637695 74.612 -4.6948
104.003906 74.602 -4.8380
104.370117 74.590 -4.9531
104.736328 74.581 -5.0616
105.102539 74.573 -5.1820
105.468750 74.562 -5.2959
105.834961 74.549 -5.3635
106.201172 74.543 -5.3727
106.567383 74.552 -5.3704
106.933594 74.572 -5.4386
107.299805 74.592 -5.6287
107.666016 74.597 -5.9103
108.032227 74.578 -6.1818
108.398438 74.541 -6.3331
108.764648 74.504 -6.3186
109.130859 74.481 -6.1853
109.497070 74.479 -6.0371
109.863281 74.489 -5.9604
110.229492 74.501 -5.9735
110.595703 74.505 -6.0332
110.961914 74.502 -6.0841
111.328125 74.499 -6.1066
111.694336 74.502 -6.1287
112.060547 74.509 -6.1973
112.426758 74.513 -6.3350
112.792969 74.507 -6.5156
113.159180 74.485 -6.6750
113.525391 74.455 -6.7476
113.891602 74.427 -6.7061
114.257812 74.412 -6.5829
114.624023 74.415 -6.4546
114.990234 74.432 -6.3987
115.356445 74.450 -6.4469
115.722656 74.458 -6.5671
116.088867 74.453 -6.6877
116.455078 74.440 -6.7471
116.821289 74.429 -6.7379
117.187500 74.426 -6.7116
117.553711 74.428 -6.7328
117.919922 74.422 -6.8175
118.286133 74.400 -6.9044
118.652344 74.361 -6.8865
119.018555 74.322 -6.6874
119.384766 74.305 -6.3320
119.750977 74.324 -5.9540
120.117188 74.373 -5.7231
120.483398 74.433 -5.7412
120.849609 74.479 -5.9871
121.215820 74.494 -6.3424
121.582031 74.482 -6.6697
121.948242 74.455 -6.8875
122.314453 74.429 -7.0029
122.680664 74.411 -7.0845
123.046875 74.397 -7.1978
123.413086 74.378 -7.3525
123.779297 74.346 -7.4960
124.145508 74.305 -7.5538
124.511719 74.265 -7.4860
124.877930 74.239 -7.3208
125.244141 74.234 -7.1400
125.610352 74.244 -7.0225
125.976562 74.255 -6.9905
126.342773 74.260 -6.9980
126.708984 74.259 -6.9734
127.075195 74.262 -6.8849
127.441406 74.279 -6.7784
127.807617 74.312 -6.7527
128.173828 74.348 -6.8842
128.540039 74.367 -7.1593
128.906250 74.358 -7.4702
129.272461 74.322 -7.6767
129.638672 74.279 -7.6947
130.004883 74.249 -7.5510
130.371094 74.244 -7.3630
130.737305 74.258 -7.2544
131.103516 74.275 -7.2734
131.469727 74.282 -7.3780
131.835938 74.275 -7.4858
132.202148 74.262 -7.5403
132.568359 74.250 -7.5422
132.934570 74.246 -7.5332
133.300781 74.245 -7.5533
133.666992 74.244 -7.6133
134.033203 74.239 -7.6987
134.399414 74.228 -7.7892
134.765625 74.214 -7.8716
135.131836 74.197 -7.9371
135.498047 74.178 -7.9781
135.864258 74.161 -7.9958
136.230469 74.149 -8.0120
136.596680 74.140 -8.0648
136.962891 74.129 -8.1772
137.329102 74.106 -8.3225
137.695312 74.067 -8.4203
138.061523 74.021 -8.3820
138.427734 73.987 -8.1830
138.793945 73.983 -7.9073
139.160156 74.013 -7.7147
139.526367 74.061 -7.7397
139.892578 74.101 -8.0026
140.258789 74.113 -8.3981
140.625000 74.094 -8.7653
140.991211 74.059 -8.9846
141.357422 74.026 -9.0397
141.723633 74.010 -9.0074
142.089844 74.010 -8.9840
142.456055 74.017 -9.0117
142.822266 74.021 -9.0631
143.188477 74.024 -9.0886
143.554688 74.032 -9.0769
143.920898 74.051 -9.0737
144.287109 74.075 -9.1429
144.653320 74.092 -9.3038
145.019531 74.092 -9.5013
145.385742 74.072 -9.6366
145.751953 74.045 -9.6346
146.118164 74.027 -9.5026
146.484375 74.028 -9.3317
146.850586 74.046 -9.2371
147.216797 74.065 -9.2809
147.583008 74.071 -9.4352
147.949219 74.055 -9.6081
148.315430 74.023 -9.7068
148.681641 73.988 -9.6924
149.047852 73.963 -9.5969
149.414062 73.951 -9.4931
149.780273 73.950 -9.4436
150.146484 73.950 -9.4658
150.512695 73.946 -9.5328
150.878906 73.936 -9.6011
151.245117 73.926 -9.6438
151.611328 73.920 -9.6663
151.977539 73.921 -9.6980
152.343750 73.925 -9.7686
152.709961 73.927 -9.8829
153.076172 73.922 -10.0146
153.442383 73.909 -10.1191
153.808594 73.891 -10.1597
154.174805 73.876 -10.1293
154.541016 73.869 -10.0563
154.907227 73.872 -9.9871
155.273438 73.880 -9.9597
155.639648 73.888 -9.9858
156.005859 73.889 -10.0493
156.372070 73.884 -10.1219
156.738281 73.872 -10.1803
157.104492 73.859 -10.2178
157.470703 73.845 -10.2421
157.836914 73.833 -10.2661
158.203125 73.820 -10.2950
158.569336 73.807 -10.3210
158.935547 73.795 -10.3309
159.301758 73.789 -10.3230
159.667969 73.791 -10.3224
160.034180 73.802 -10.3738
160.400391 73.811 -10.5082
160.766602 73.811 -10.7058
161.132812 73.795 -10.8892
161.499023 73.770 -10.9684
161.865234 73.750 -10.9135
162.231445 73.749 -10.7963
162.597656 73.765 -10.7441
162.963867 73.779 -10.8278
163.330078 73.769 -10.9792
163.696289 73.730 -11.0260
164.062500 73.684 -10.8313
164.428711 73.664 -10.4386
164.794922 73.685 -10.0802
165.161133 73.727 -9.9984
165.527344 73.746 -10.2323
165.893555 73.710 -10.5746
166.259766 73.628 -10.7355
