* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Apr 30, 2026 8:23:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Nova L3
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 97.554 -153.2029
20.187380 97.545 -154.1201
20.523836 97.540 -155.0232
20.860293 97.532 -155.9113
21.196749 97.522 -156.7821
21.533205 97.509 -157.6331
21.869662 97.495 -158.4645
22.206118 97.479 -159.2780
22.542574 97.461 -160.0757
22.879030 97.442 -160.8575
23.215487 97.421 -161.6212
23.551943 97.398 -162.3640
23.888399 97.376 -163.0863
24.224856 97.353 -163.7926
24.561312 97.332 -164.4911
24.897768 97.310 -165.1888
25.234225 97.293 -165.8883
25.570681 97.277 -166.5851
25.907137 97.258 -167.2703
26.243594 97.236 -167.9349
26.580050 97.212 -168.5750
26.916506 97.188 -169.1926
27.252963 97.165 -169.7946
27.589419 97.141 -170.3868
27.925875 97.118 -170.9714
28.262332 97.092 -171.5452
28.598788 97.066 -172.1027
28.935244 97.040 -172.6415
29.271701 97.014 -173.1649
29.608157 96.991 -173.6827
29.944613 96.968 -174.2059
30.281070 96.944 -174.7410
30.617526 96.918 -175.2852
30.953982 96.888 -175.8258
31.290439 96.853 -176.3462
31.626895 96.819 -176.8336
31.963351 96.789 -177.2863
32.299808 96.763 -177.7159
32.636264 96.740 -178.1423
32.972720 96.721 -178.5838
33.309177 96.701 -179.0484
33.645633 96.678 -179.5302
33.982089 96.650 179.9875
34.318546 96.619 179.5229
34.655002 96.585 179.0873
34.991458 96.552 178.6799
35.327915 96.521 178.2900
35.664371 96.493 177.9041
36.000827 96.465 177.5131
36.337284 96.437 177.1163
36.673740 96.407 176.7200
37.010196 96.376 176.3323
37.346653 96.344 175.9576
37.683109 96.313 175.5941
38.019565 96.282 175.2369
38.356022 96.252 174.8809
38.692478 96.222 174.5256
39.028934 96.190 174.1745
39.365391 96.159 173.8322
39.701847 96.127 173.5001
40.038303 96.097 173.1750
40.374760 96.071 172.8503
40.711216 96.046 172.5215
41.047672 96.020 172.1895
41.384129 95.992 171.8604
41.720585 95.964 171.5412
42.057041 95.936 171.2343
42.393498 95.909 170.9349
42.729954 95.883 170.6350
43.066410 95.857 170.3299
43.402867 95.829 170.0234
43.739323 95.799 169.7260
44.075779 95.769 169.4471
44.412236 95.739 169.1869
44.748692 95.711 168.9337
45.085148 95.685 168.6726
45.421605 95.658 168.3979
45.758061 95.627 168.1210
46.094517 95.592 167.8649
46.430974 95.557 167.6482
46.767430 95.526 167.4668
47.103886 95.502 167.2903
47.440342 95.485 167.0763
47.776799 95.468 166.7974
48.113255 95.445 166.4622
48.449711 95.409 166.1156
48.786168 95.362 165.8155
49.122624 95.311 165.6004
49.459080 95.266 165.4660
49.795537 95.233 165.3665
50.131993 95.213 165.2410
50.468449 95.200 165.0484
50.804906 95.185 164.7875
51.141362 95.162 164.4914
51.477818 95.131 164.2034
51.814275 95.096 163.9515
52.150731 95.062 163.7362
52.487187 95.031 163.5384
52.823644 95.004 163.3371
53.160100 94.977 163.1244
53.496556 94.948 162.9081
53.833013 94.918 162.7015
54.169469 94.888 162.5117
54.505925 94.859 162.3342
54.842382 94.832 162.1580
55.178838 94.805 161.9752
55.515294 94.778 161.7871
55.851751 94.749 161.6031
56.188207 94.718 161.4326
56.524663 94.688 161.2775
56.861120 94.660 161.1306
57.197576 94.634 160.9807
57.534032 94.609 160.8192
57.870489 94.582 160.6458
58.206945 94.554 160.4669
58.543401 94.524 160.2913
58.879858 94.493 160.1245
59.216314 94.462 159.9669
59.552770 94.431 159.8146
59.889227 94.402 159.6630
60.225683 94.372 159.5096
60.562139 94.343 159.3549
60.898596 94.313 159.2015
61.235052 94.283 159.0519
61.571508 94.253 158.9070
61.907965 94.225 158.7658
62.244421 94.196 158.6269
62.580877 94.168 158.4894
62.917334 94.141 158.3542
63.253790 94.114 158.2231
63.590246 94.089 158.0973
63.926703 94.065 157.9751
64.263159 94.042 157.8520
64.599615 94.019 157.7231
64.936072 93.996 157.5866
65.272528 93.971 157.4467
65.608984 93.945 157.3121
65.945441 93.917 157.1916
66.281897 93.890 157.0878
66.618353 93.864 156.9941
66.954810 93.841 156.8980
67.291266 93.819 156.7890
67.627722 93.795 156.6656
67.964179 93.769 156.5374
68.300635 93.741 156.4190
68.637091 93.711 156.3198
68.973548 93.684 156.2367
69.310004 93.659 156.1552
69.646460 93.636 156.0590
69.982917 93.613 155.9418
70.319373 93.587 155.8130
70.655829 93.557 155.6926
70.992285 93.526 155.5984
71.328742 93.496 155.5329
71.665198 93.472 155.4803
72.001654 93.452 155.4151
72.338111 93.435 155.3180
72.674567 93.415 155.1880
73.011023 93.392 155.0428
73.347480 93.363 154.9081
73.683936 93.332 154.8023
74.020392 93.301 154.7270
74.356849 93.274 154.6688
74.693305 93.249 154.6102
75.029761 93.227 154.5419
75.366218 93.204 154.4657
75.702674 93.180 154.3896
76.039130 93.156 154.3181
76.375587 93.134 154.2466
76.712043 93.111 154.1658
77.048499 93.088 154.0713
77.384956 93.062 153.9706
77.721412 93.032 153.8817
78.057868 92.999 153.8219
78.394325 92.969 153.7955
78.730781 92.943 153.7880
79.067237 92.923 153.7728
79.403694 92.907 153.7263
79.740150 92.891 153.6406
80.076606 92.871 153.5268
80.413063 92.847 153.4071
80.749519 92.819 153.3025
81.085975 92.789 153.2236
81.422432 92.761 153.1683
81.758888 92.735 153.1261
82.095344 92.714 153.0836
82.431801 92.694 153.0288
82.768257 92.676 152.9547
83.104713 92.657 152.8612
83.441170 92.636 152.7576
83.777626 92.610 152.6609
84.114082 92.583 152.5883
84.450539 92.556 152.5475
84.786995 92.533 152.5288
85.123451 92.515 152.5087
85.459908 92.501 152.4651
85.796364 92.485 152.3940
86.132820 92.464 152.3152
86.469277 92.439 152.2604
86.805733 92.415 152.2502
87.142189 92.396 152.2736
87.478646 92.387 152.2893
87.815102 92.383 152.2491
88.151558 92.378 152.1303
88.488015 92.363 151.9538
88.824471 92.334 151.7754
89.160927 92.293 151.6553
89.497384 92.250 151.6253
89.833840 92.212 151.6716
90.170296 92.185 151.7458
90.506753 92.167 151.7950
90.843209 92.153 151.7905
91.179665 92.137 151.7382
91.516122 92.116 151.6664
91.852578 92.089 151.6051
92.189034 92.061 151.5690
92.525491 92.035 151.5549
92.861947 92.012 151.5482
93.198403 91.992 151.5330
93.534860 91.974 151.4992
93.871316 91.956 151.4436
94.207772 91.936 151.3698
94.544228 91.913 151.2875
94.880685 91.886 151.2123
95.217141 91.856 151.1608
95.553597 91.825 151.1441
95.890054 91.798 151.1613
96.226510 91.776 151.1973
96.562966 91.759 151.2297
96.899423 91.748 151.2381
97.235879 91.737 151.2130
97.572335 91.725 151.1579
97.908792 91.708 151.0860
98.245248 91.687 151.0146
98.581704 91.662 150.9597
98.918161 91.635 150.9330
99.254617 91.609 150.9382
99.591073 91.586 150.9677
99.927530 91.568 151.0031
100.263986 91.554 151.0206
100.600442 91.542 151.0036
100.936899 91.528 150.9526
101.273355 91.508 150.8876
101.609811 91.482 150.8382
101.946268 91.455 150.8261
102.282724 91.430 150.8506
102.619180 91.412 150.8879
102.955637 91.399 150.9044
103.292093 91.389 150.8778
103.628549 91.376 150.8098
103.965006 91.356 150.7242
104.301462 91.330 150.6530
104.637918 91.301 150.6180
104.974375 91.273 150.6226
105.310831 91.249 150.6528
105.647287 91.230 150.6888
105.983744 91.214 150.7148
106.320200 91.200 150.7235
106.656656 91.187 150.7147
106.993113 91.173 150.6915
107.329569 91.158 150.6583
107.666025 91.141 150.6206
108.002482 91.122 150.5852
108.338938 91.101 150.5585
108.675394 91.081 150.5433
109.011851 91.060 150.5373
109.348307 91.041 150.5348
109.684763 91.023 150.5304
110.021220 91.005 150.5220
110.357676 90.987 150.5108
110.694132 90.969 150.4991
111.030589 90.950 150.4876
111.367045 90.932 150.4752
111.703501 90.913 150.4616
112.039958 90.893 150.4488
112.376414 90.873 150.4407
112.712870 90.853 150.4402
113.049327 90.834 150.4460
113.385783 90.816 150.4534
113.722239 90.799 150.4571
114.058696 90.782 150.4560
114.395152 90.764 150.4537
114.731608 90.746 150.4555
115.068065 90.728 150.4635
115.404521 90.711 150.4744
115.740977 90.694 150.4822
116.077434 90.678 150.4838
116.413890 90.660 150.4820
116.750346 90.642 150.4847
117.086803 90.623 150.4978
117.423259 90.604 150.5194
117.759715 90.588 150.5402
118.096171 90.573 150.5493
118.432628 90.556 150.5438
118.769084 90.537 150.5327
119.105540 90.515 150.5317
119.441997 90.492 150.5533
119.778453 90.471 150.5964
120.114909 90.454 150.6461
120.451366 90.441 150.6815
120.787822 90.429 150.6896
121.124278 90.415 150.6725
121.460735 90.397 150.6462
121.797191 90.376 150.6298
122.133647 90.355 150.6338
122.470104 90.335 150.6544
122.806560 90.317 150.6779
123.143016 90.302 150.6906
123.479473 90.287 150.6880
123.815929 90.271 150.6771
124.152385 90.252 150.6706
124.488842 90.233 150.6776
124.825298 90.215 150.6981
125.161754 90.201 150.7225
125.498211 90.189 150.7385
125.834667 90.178 150.7392
126.171123 90.166 150.7275
126.507580 90.151 150.7150
126.844036 90.135 150.7140
127.180492 90.118 150.7303
127.516949 90.103 150.7587
127.853405 90.090 150.7865
128.189861 90.079 150.8025
128.526318 90.066 150.8058
128.862774 90.050 150.8080
129.199230 90.032 150.8253
129.535687 90.014 150.8661
129.872143 89.999 150.9224
130.208599 89.987 150.9722
130.545056 89.977 150.9954
130.881512 89.964 150.9914
131.217968 89.945 150.9846
131.554425 89.921 151.0123
131.890881 89.897 151.0988
132.227337 89.880 151.2328
132.563794 89.876 151.3665
132.900250 89.881 151.4407
133.236706 89.888 151.4211
133.573163 89.887 151.3216
133.909619 89.872 151.1975
134.246075 89.845 151.1135
134.582532 89.814 151.1068
134.918988 89.787 151.1684
135.255444 89.770 151.2530
135.591901 89.761 151.3121
135.928357 89.753 151.3248
136.264813 89.742 151.3055
136.601270 89.725 151.2872
136.937726 89.706 151.2952
137.274182 89.688 151.3310
137.610639 89.675 151.3757
137.947095 89.664 151.4081
138.283551 89.654 151.4199
138.620008 89.642 151.4193
138.956464 89.627 151.4213
139.292920 89.611 151.4353
139.629377 89.596 151.4612
139.965833 89.581 151.4935
140.302289 89.568 151.5273
140.638746 89.555 151.5615
140.975202 89.543 151.5945
141.311658 89.532 151.6213
141.648115 89.522 151.6355
141.984571 89.510 151.6363
142.321027 89.494 151.6335
142.657483 89.476 151.6448
142.993940 89.456 151.6840
143.330396 89.439 151.7507
143.666852 89.426 151.8282
144.003309 89.418 151.8934
144.339765 89.412 151.9313
144.676221 89.405 151.9430
145.012678 89.395 151.9434
145.349134 89.381 151.9493
145.685590 89.367 151.9696
146.022047 89.353 152.0026
146.358503 89.340 152.0408
146.694959 89.329 152.0775
147.031416 89.318 152.1100
147.367872 89.307 152.1383
147.704328 89.296 152.1628
148.040785 89.284 152.1847
148.377241 89.271 152.2075
148.713697 89.256 152.2366
149.050154 89.242 152.2753
149.386610 89.229 152.3209
149.723066 89.217 152.3654
150.059523 89.206 152.4007
150.395979 89.194 152.4264
150.732435 89.181 152.4506
151.068892 89.166 152.4837
151.405348 89.152 152.5291
151.741804 89.139 152.5792
152.078261 89.128 152.6224
152.414717 89.117 152.6536
152.751173 89.105 152.6798
153.087630 89.091 152.7141
153.424086 89.078 152.7624
153.760542 89.067 152.8164
154.096999 89.059 152.8593
154.433455 89.051 152.8821
154.769911 89.039 152.8947
155.106368 89.025 152.9200
155.442824 89.010 152.9745
155.779280 88.999 153.0514
156.115737 88.993 153.1221
156.452193 88.990 153.1589
156.788649 88.985 153.1601
157.125106 88.972 153.1546
157.461562 88.955 153.1806
157.798018 88.939 153.2534
158.134475 88.928 153.3504
158.470931 88.924 153.4281
158.807387 88.921 153.4594
159.143844 88.913 153.4589
