* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Apr 30, 2026 8:30:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Nova R4
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 97.267 -152.9741
20.187380 97.263 -153.9163
20.523836 97.261 -154.8759
20.860293 97.250 -155.8276
21.196749 97.231 -156.7371
21.533205 97.208 -157.5853
21.869662 97.188 -158.3829
22.206118 97.171 -159.1636
22.542574 97.156 -159.9595
22.879030 97.137 -160.7750
23.215487 97.110 -161.5806
23.551943 97.075 -162.3320
23.888399 97.040 -163.0026
24.224856 97.013 -163.6078
24.561312 96.997 -164.2018
24.897768 96.991 -164.8463
25.234225 96.992 -165.5715
25.570681 96.986 -166.3579
25.907137 96.967 -167.1489
26.243594 96.937 -167.8853
26.580050 96.903 -168.5398
26.916506 96.874 -169.1292
27.252963 96.852 -169.6984
27.589419 96.835 -170.2884
27.925875 96.816 -170.9101
28.262332 96.792 -171.5423
28.598788 96.762 -172.1505
28.935244 96.729 -172.7124
29.271701 96.698 -173.2316
29.608157 96.671 -173.7323
29.944613 96.648 -174.2415
30.281070 96.626 -174.7717
30.617526 96.601 -175.3163
30.953982 96.571 -175.8580
31.290439 96.539 -176.3819
31.626895 96.507 -176.8831
31.963351 96.480 -177.3665
32.299808 96.453 -177.8388
32.636264 96.426 -178.3034
32.972720 96.399 -178.7593
33.309177 96.372 -179.2052
33.645633 96.346 -179.6431
33.982089 96.321 179.9211
34.318546 96.296 179.4821
34.655002 96.271 179.0389
34.991458 96.243 178.5963
35.327915 96.214 178.1619
35.664371 96.183 177.7416
36.000827 96.152 177.3364
36.337284 96.122 176.9429
36.673740 96.092 176.5566
37.010196 96.062 176.1744
37.346653 96.032 175.7959
37.683109 96.001 175.4219
38.019565 95.970 175.0528
38.356022 95.939 174.6878
38.692478 95.907 174.3265
39.028934 95.875 173.9696
39.365391 95.842 173.6193
39.701847 95.808 173.2770
40.038303 95.776 172.9422
40.374760 95.747 172.6117
40.711216 95.719 172.2814
41.047672 95.691 171.9499
41.384129 95.662 171.6195
41.720585 95.632 171.2956
42.057041 95.602 170.9823
42.393498 95.573 170.6795
42.729954 95.545 170.3823
43.066410 95.518 170.0840
43.402867 95.491 169.7812
43.739323 95.463 169.4769
44.075779 95.433 169.1785
44.412236 95.402 168.8937
44.748692 95.371 168.6250
45.085148 95.341 168.3693
45.421605 95.311 168.1208
45.758061 95.281 167.8758
46.094517 95.252 167.6353
46.430974 95.221 167.4030
46.767430 95.191 167.1796
47.103886 95.163 166.9608
47.440342 95.135 166.7389
47.776799 95.107 166.5086
48.113255 95.077 166.2724
48.449711 95.046 166.0394
48.786168 95.014 165.8186
49.122624 94.983 165.6098
49.459080 94.956 165.4005
49.795537 94.931 165.1720
50.131993 94.907 164.9111
50.468449 94.881 164.6202
50.804906 94.849 164.3183
51.141362 94.811 164.0314
51.477818 94.770 163.7795
51.814275 94.730 163.5670
52.150731 94.693 163.3823
52.487187 94.661 163.2067
52.823644 94.632 163.0251
53.160100 94.604 162.8329
53.496556 94.576 162.6351
53.833013 94.548 162.4407
54.169469 94.519 162.2562
54.505925 94.492 162.0818
54.842382 94.466 161.9117
55.178838 94.442 161.7361
55.515294 94.419 161.5461
55.851751 94.394 161.3390
56.188207 94.365 161.1223
56.524663 94.331 160.9144
56.861120 94.293 160.7381
57.197576 94.254 160.6092
57.534032 94.220 160.5236
57.870489 94.194 160.4536
58.206945 94.177 160.3576
58.543401 94.163 160.2007
58.879858 94.147 159.9749
59.216314 94.122 159.7056
59.552770 94.086 159.4402
59.889227 94.042 159.2239
60.225683 93.996 159.0769
60.562139 93.956 158.9855
60.898596 93.925 158.9119
61.235052 93.901 158.8167
61.571508 93.880 158.6800
61.907965 93.858 158.5074
62.244421 93.831 158.3215
62.580877 93.801 158.1455
62.917334 93.770 157.9908
63.253790 93.741 157.8542
63.590246 93.715 157.7239
63.926703 93.690 157.5893
64.263159 93.665 157.4468
64.599615 93.638 157.3006
64.936072 93.610 157.1586
65.272528 93.581 157.0284
65.608984 93.551 156.9138
65.945441 93.522 156.8140
66.281897 93.495 156.7233
66.618353 93.470 156.6331
66.954810 93.446 156.5353
67.291266 93.423 156.4250
67.627722 93.398 156.3039
67.964179 93.371 156.1787
68.300635 93.343 156.0583
68.637091 93.313 155.9484
68.973548 93.284 155.8484
69.310004 93.256 155.7531
69.646460 93.229 155.6556
69.982917 93.203 155.5527
70.319373 93.176 155.4452
70.655829 93.149 155.3365
70.992285 93.121 155.2298
71.328742 93.094 155.1260
71.665198 93.066 155.0248
72.001654 93.038 154.9276
72.338111 93.009 154.8374
72.674567 92.982 154.7572
73.011023 92.956 154.6866
73.347480 92.932 154.6190
73.683936 92.911 154.5433
74.020392 92.891 154.4492
74.356849 92.871 154.3336
74.693305 92.847 154.2034
75.029761 92.820 154.0739
75.366218 92.788 153.9619
75.702674 92.756 153.8782
76.039130 92.724 153.8221
76.375587 92.696 153.7823
76.712043 92.672 153.7426
77.048499 92.649 153.6893
77.384956 92.628 153.6182
77.721412 92.604 153.5342
78.057868 92.579 153.4478
78.394325 92.553 153.3676
78.730781 92.527 153.2957
79.067237 92.502 153.2267
79.403694 92.478 153.1522
79.740150 92.454 153.0665
80.076606 92.429 152.9702
80.413063 92.403 152.8704
80.749519 92.375 152.7765
81.085975 92.345 152.6968
81.422432 92.315 152.6360
81.758888 92.286 152.5947
82.095344 92.260 152.5688
82.431801 92.238 152.5492
82.768257 92.220 152.5220
83.104713 92.205 152.4734
83.441170 92.189 152.3979
83.777626 92.171 152.3049
84.114082 92.148 152.2175
84.450539 92.122 152.1603
84.786995 92.099 152.1407
85.123451 92.083 152.1373
85.459908 92.073 152.1074
85.796364 92.066 152.0135
86.132820 92.052 151.8545
86.469277 92.023 151.6768
86.805733 91.980 151.5562
87.142189 91.930 151.5552
87.478646 91.889 151.6794
87.815102 91.868 151.8632
88.151558 91.868 152.0004
88.488015 91.879 152.0046
88.824471 91.885 151.8591
89.160927 91.874 151.6220
89.497384 91.840 151.3897
89.833840 91.793 151.2424
90.170296 91.743 151.2051
90.506753 91.701 151.2436
90.843209 91.671 151.2967
91.179665 91.647 151.3178
91.516122 91.625 151.2977
91.852578 91.601 151.2558
92.189034 91.574 151.2148
92.525491 91.548 151.1817
92.861947 91.523 151.1493
93.198403 91.499 151.1107
93.534860 91.474 151.0723
93.871316 91.448 151.0488
94.207772 91.426 151.0464
94.544228 91.410 151.0486
94.880685 91.400 151.0213
95.217141 91.392 150.9369
95.553597 91.379 150.7979
95.890054 91.355 150.6420
96.226510 91.321 150.5228
96.562966 91.282 150.4779
96.899423 91.247 150.5060
97.235879 91.221 150.5705
97.572335 91.203 150.6249
97.908792 91.189 150.6432
98.245248 91.173 150.6307
98.581704 91.154 150.6122
98.918161 91.132 150.6077
99.254617 91.112 150.6163
99.591073 91.094 150.6196
99.927530 91.077 150.5995
100.263986 91.058 150.5553
100.600442 91.033 150.5058
100.936899 91.004 150.4753
101.273355 90.975 150.4760
101.609811 90.948 150.4987
101.946268 90.926 150.5206
102.282724 90.907 150.5218
102.619180 90.887 150.4980
102.955637 90.865 150.4615
103.292093 90.840 150.4299
103.628549 90.815 150.4137
103.965006 90.791 150.4107
104.301462 90.769 150.4108
104.637918 90.749 150.4053
104.974375 90.729 150.3927
105.310831 90.709 150.3774
105.647287 90.689 150.3636
105.983744 90.670 150.3508
106.320200 90.652 150.3340
106.656656 90.633 150.3099
106.993113 90.613 150.2809
107.329569 90.591 150.2557
107.666025 90.568 150.2438
108.002482 90.544 150.2486
108.338938 90.523 150.2649
108.675394 90.504 150.2818
109.011851 90.486 150.2890
109.348307 90.468 150.2830
109.684763 90.449 150.2679
110.021220 90.427 150.2534
110.357676 90.404 150.2479
110.694132 90.380 150.2556
111.030589 90.358 150.2737
111.367045 90.337 150.2956
111.703501 90.318 150.3132
112.039958 90.300 150.3218
112.376414 90.282 150.3209
112.712870 90.262 150.3148
113.049327 90.242 150.3095
113.385783 90.221 150.3093
113.722239 90.200 150.3141
114.058696 90.180 150.3204
114.395152 90.160 150.3245
114.731608 90.140 150.3264
115.068065 90.119 150.3310
115.404521 90.098 150.3438
115.740977 90.078 150.3652
116.077434 90.061 150.3873
116.413890 90.045 150.3971
116.750346 90.029 150.3858
117.086803 90.010 150.3574
117.423259 89.988 150.3293
117.759715 89.962 150.3226
118.096171 89.937 150.3472
118.432628 89.917 150.3915
118.769084 89.902 150.4258
119.105540 89.891 150.4201
119.441997 89.877 150.3647
119.778453 89.857 150.2792
120.114909 89.827 150.2047
120.451366 89.790 150.1813
120.787822 89.754 150.2261
121.124278 89.725 150.3232
121.460735 89.704 150.4341
121.797191 89.692 150.5205
122.133647 89.682 150.5652
122.470104 89.670 150.5778
122.806560 89.655 150.5828
123.143016 89.637 150.6006
123.479473 89.621 150.6345
123.815929 89.606 150.6706
124.152385 89.594 150.6917
124.488842 89.580 150.6915
124.825298 89.562 150.6818
125.161754 89.541 150.6842
125.498211 89.518 150.7148
125.834667 89.498 150.7720
126.171123 89.481 150.8356
126.507580 89.467 150.8810
126.844036 89.454 150.8968
127.180492 89.436 150.8942
127.516949 89.413 150.8996
127.853405 89.389 150.9339
128.189861 89.368 150.9946
128.526318 89.352 151.0535
128.862774 89.341 151.0753
129.199230 89.327 151.0458
129.535687 89.306 150.9891
129.872143 89.276 150.9567
130.208599 89.243 150.9954
130.545056 89.216 151.1101
130.881512 89.204 151.2509
131.217968 89.207 151.3361
131.554425 89.216 151.3035
131.890881 89.217 151.1518
132.227337 89.199 150.9468
132.563794 89.160 150.7881
132.900250 89.110 150.7556
133.236706 89.063 150.8676
133.573163 89.032 151.0734
133.909619 89.019 151.2863
134.246075 89.018 151.4360
134.582532 89.019 151.5032
134.918988 89.014 151.5186
135.255444 89.001 151.5319
135.591901 88.983 151.5777
135.928357 88.966 151.6577
136.264813 88.952 151.7485
136.601270 88.941 151.8240
136.937726 88.928 151.8756
137.274182 88.912 151.9158
137.610639 88.892 151.9668
137.947095 88.870 152.0421
138.283551 88.851 152.1364
138.620008 88.836 152.2269
138.956464 88.824 152.2869
139.292920 88.811 152.3030
139.629377 88.792 152.2850
139.965833 88.766 152.2642
140.302289 88.733 152.2787
140.638746 88.700 152.3534
140.975202 88.672 152.4831
141.311658 88.656 152.6298
141.648115 88.652 152.7387
141.984571 88.653 152.7667
142.321027 88.651 152.7069
142.657483 88.638 152.5952
142.993940 88.610 152.4944
143.330396 88.572 152.4651
143.666852 88.533 152.5366
144.003309 88.502 152.6935
144.339765 88.484 152.8858
144.676221 88.478 153.0549
145.012678 88.479 153.1626
145.349134 88.477 153.2065
145.685590 88.466 153.2164
146.022047 88.446 153.2383
146.358503 88.418 153.3135
146.694959 88.388 153.4614
147.031416 88.364 153.6715
147.367872 88.348 153.9082
147.704328 88.341 154.1265
148.040785 88.338 154.2942
148.377241 88.332 154.4089
148.713697 88.318 154.4998
149.050154 88.295 154.6111
149.386610 88.269 154.7758
149.723066 88.247 154.9933
150.059523 88.233 155.2278
150.395979 88.227 155.4290
150.732435 88.223 155.5658
151.068892 88.213 155.6485
151.405348 88.192 155.7238
151.741804 88.164 155.8472
152.078261 88.135 156.0487
152.414717 88.114 156.3147
152.751173 88.105 156.5974
153.087630 88.107 156.8461
153.424086 88.114 157.0378
153.760542 88.118 157.1852
154.096999 88.119 157.3219
154.433455 88.118 157.4759
154.769911 88.119 157.6525
155.106368 88.124 157.8364
155.442824 88.133 158.0081
155.779280 88.143 158.1603
156.115737 88.153 158.3011
156.452193 88.161 158.4451
156.788649 88.170 158.5992
157.125106 88.182 158.7581
157.461562 88.196 158.9100
157.798018 88.212 159.0477
158.134475 88.227 159.1735
158.470931 88.242 159.2953
158.807387 88.259 159.4164
159.143844 88.278 159.5295
