* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 8, 2026 5:01:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Pure L4
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 97.029 -144.8598
20.187380 97.026 -145.6912
20.523836 97.027 -146.5103
20.860293 97.026 -147.3194
21.196749 97.022 -148.1149
21.533205 97.017 -148.8930
21.869662 97.009 -149.6522
22.206118 97.000 -150.3932
22.542574 96.989 -151.1149
22.879030 96.977 -151.8140
23.215487 96.964 -152.4872
23.551943 96.951 -153.1364
23.888399 96.941 -153.7706
24.224856 96.932 -154.4025
24.561312 96.923 -155.0407
24.897768 96.912 -155.6834
25.234225 96.901 -156.3187
25.570681 96.889 -156.9321
25.907137 96.876 -157.5164
26.243594 96.864 -158.0761
26.580050 96.854 -158.6242
26.916506 96.844 -159.1723
27.252963 96.833 -159.7228
27.589419 96.819 -160.2674
27.925875 96.803 -160.7938
28.262332 96.786 -161.2942
28.598788 96.769 -161.7704
28.935244 96.754 -162.2314
29.271701 96.740 -162.6868
29.608157 96.726 -163.1418
29.944613 96.712 -163.5965
30.281070 96.696 -164.0495
30.617526 96.680 -164.5010
30.953982 96.662 -164.9518
31.290439 96.642 -165.3988
31.626895 96.619 -165.8321
31.963351 96.597 -166.2381
32.299808 96.574 -166.6082
32.636264 96.555 -166.9478
32.972720 96.542 -167.2784
33.309177 96.534 -167.6284
33.645633 96.528 -168.0182
33.982089 96.519 -168.4478
34.318546 96.503 -168.8956
34.655002 96.481 -169.3303
34.991458 96.454 -169.7267
35.327915 96.427 -170.0780
35.664371 96.403 -170.3965
36.000827 96.383 -170.7032
36.337284 96.366 -171.0137
36.673740 96.350 -171.3306
37.010196 96.333 -171.6451
37.346653 96.315 -171.9469
37.683109 96.297 -172.2325
38.019565 96.282 -172.5082
38.356022 96.269 -172.7844
38.692478 96.256 -173.0681
39.028934 96.242 -173.3585
39.365391 96.226 -173.6486
39.701847 96.208 -173.9313
40.038303 96.190 -174.2042
40.374760 96.174 -174.4700
40.711216 96.156 -174.7323
41.047672 96.138 -174.9920
41.384129 96.119 -175.2463
41.720585 96.099 -175.4926
42.057041 96.080 -175.7323
42.393498 96.061 -175.9717
42.729954 96.043 -176.2180
43.066410 96.024 -176.4744
43.402867 96.004 -176.7375
43.739323 95.982 -177.0003
44.075779 95.958 -177.2570
44.412236 95.933 -177.5054
44.748692 95.907 -177.7436
45.085148 95.880 -177.9647
45.421605 95.853 -178.1559
45.758061 95.829 -178.3071
46.094517 95.812 -178.4246
46.430974 95.806 -178.5399
46.767430 95.810 -178.7016
47.103886 95.819 -178.9501
47.440342 95.821 -179.2895
47.776799 95.809 -179.6762
48.113255 95.780 179.9661
48.449711 95.739 179.7094
48.786168 95.698 179.5826
49.122624 95.670 179.5525
49.459080 95.660 179.5414
49.795537 95.663 179.4719
50.131993 95.669 179.3098
50.468449 95.669 179.0777
50.804906 95.656 178.8331
51.141362 95.635 178.6290
51.477818 95.613 178.4829
51.814275 95.595 178.3726
52.150731 95.583 178.2584
52.487187 95.572 178.1142
52.823644 95.559 177.9442
53.160100 95.540 177.7751
53.496556 95.519 177.6331
53.833013 95.499 177.5225
54.169469 95.485 177.4226
54.505925 95.476 177.3028
54.842382 95.468 177.1443
55.178838 95.457 176.9523
55.515294 95.441 176.7506
55.851751 95.421 176.5655
56.188207 95.400 176.4098
56.524663 95.381 176.2776
56.861120 95.366 176.1517
57.197576 95.354 176.0159
57.534032 95.342 175.8645
57.870489 95.330 175.7026
58.206945 95.315 175.5403
58.543401 95.300 175.3856
58.879858 95.284 175.2410
59.216314 95.269 175.1046
59.552770 95.254 174.9728
59.889227 95.239 174.8427
60.225683 95.225 174.7125
60.562139 95.210 174.5820
60.898596 95.194 174.4528
61.235052 95.177 174.3280
61.571508 95.160 174.2114
61.907965 95.142 174.1052
62.244421 95.126 174.0069
62.580877 95.111 173.9094
62.917334 95.098 173.8034
63.253790 95.085 173.6832
63.590246 95.072 173.5500
63.926703 95.056 173.4124
64.263159 95.038 173.2812
64.599615 95.018 173.1645
64.936072 94.999 173.0632
65.272528 94.982 172.9721
65.608984 94.966 172.8834
65.945441 94.952 172.7908
66.281897 94.939 172.6913
66.618353 94.926 172.5851
66.954810 94.913 172.4741
67.291266 94.899 172.3620
67.627722 94.883 172.2545
67.964179 94.867 172.1577
68.300635 94.851 172.0750
68.637091 94.837 172.0026
68.973548 94.826 171.9296
69.310004 94.816 171.8440
69.646460 94.805 171.7414
69.982917 94.790 171.6318
70.319373 94.772 171.5366
70.655829 94.752 171.4757
70.992285 94.735 171.4528
71.328742 94.724 171.4480
71.665198 94.720 171.4267
72.001654 94.720 171.3590
72.338111 94.719 171.2391
72.674567 94.710 171.0891
73.011023 94.694 170.9452
73.347480 94.674 170.8354
73.683936 94.655 170.7624
74.020392 94.640 170.7044
74.356849 94.629 170.6322
74.693305 94.618 170.5309
75.029761 94.603 170.4101
75.366218 94.584 170.2957
75.702674 94.561 170.2111
76.039130 94.540 170.1606
76.375587 94.523 170.1273
76.712043 94.511 170.0858
77.048499 94.501 170.0208
77.384956 94.488 169.9362
77.721412 94.473 169.8502
78.057868 94.456 169.7804
78.394325 94.440 169.7311
78.730781 94.427 169.6918
79.067237 94.416 169.6454
79.403694 94.407 169.5819
79.740150 94.397 169.5038
80.076606 94.384 169.4227
80.413063 94.371 169.3498
80.749519 94.357 169.2881
81.085975 94.344 169.2322
81.422432 94.332 169.1752
81.758888 94.320 169.1153
82.095344 94.308 169.0573
82.431801 94.295 169.0068
82.768257 94.283 168.9632
83.104713 94.274 168.9161
83.441170 94.267 168.8515
83.777626 94.258 168.7621
84.114082 94.245 168.6561
84.450539 94.227 168.5562
84.786995 94.204 168.4888
85.123451 94.181 168.4680
85.459908 94.163 168.4859
85.796364 94.153 168.5148
86.132820 94.148 168.5215
86.469277 94.147 168.4861
86.805733 94.143 168.4124
87.142189 94.134 168.3235
87.478646 94.120 168.2466
87.815102 94.105 168.1970
88.151558 94.092 168.1700
88.488015 94.083 168.1470
88.824471 94.075 168.1099
89.160927 94.068 168.0533
89.497384 94.058 167.9875
89.833840 94.045 167.9288
90.170296 94.032 167.8878
90.506753 94.020 167.8615
90.843209 94.011 167.8364
91.179665 94.003 167.7988
91.516122 93.995 167.7444
91.852578 93.985 167.6803
92.189034 93.973 167.6191
92.525491 93.959 167.5699
92.861947 93.946 167.5326
93.198403 93.933 167.5002
93.534860 93.922 167.4655
93.871316 93.911 167.4265
94.207772 93.898 167.3879
94.544228 93.886 167.3560
94.880685 93.874 167.3336
95.217141 93.863 167.3164
95.553597 93.855 167.2958
95.890054 93.848 167.2634
96.226510 93.841 167.2159
96.562966 93.832 167.1573
96.899423 93.822 167.0964
97.235879 93.809 167.0435
97.572335 93.795 167.0057
97.908792 93.782 166.9845
98.245248 93.771 166.9739
98.581704 93.763 166.9633
98.918161 93.756 166.9415
99.254617 93.751 166.9025
99.591073 93.743 166.8483
99.927530 93.733 166.7890
100.263986 93.721 166.7375
100.600442 93.707 166.7025
100.936899 93.694 166.6844
101.273355 93.682 166.6751
101.609811 93.673 166.6635
101.946268 93.665 166.6423
102.282724 93.656 166.6118
102.619180 93.645 166.5784
102.955637 93.634 166.5493
103.292093 93.623 166.5279
103.628549 93.612 166.5116
103.965006 93.603 166.4946
104.301462 93.594 166.4724
104.637918 93.585 166.4443
104.974375 93.575 166.4138
105.310831 93.564 166.3852
105.647287 93.554 166.3608
105.983744 93.544 166.3401
106.320200 93.534 166.3204
106.656656 93.525 166.2995
106.993113 93.517 166.2761
107.329569 93.508 166.2506
107.666025 93.499 166.2234
108.002482 93.491 166.1947
108.338938 93.482 166.1647
108.675394 93.472 166.1340
109.011851 93.462 166.1046
109.348307 93.452 166.0789
109.684763 93.442 166.0586
110.021220 93.432 166.0431
110.357676 93.422 166.0297
110.694132 93.414 166.0148
111.030589 93.406 165.9955
111.367045 93.398 165.9715
111.703501 93.389 165.9449
112.039958 93.379 165.9195
112.376414 93.369 165.8978
112.712870 93.359 165.8804
113.049327 93.350 165.8655
113.385783 93.341 165.8504
113.722239 93.332 165.8333
114.058696 93.324 165.8138
114.395152 93.315 165.7930
114.731608 93.306 165.7722
115.068065 93.298 165.7512
115.404521 93.289 165.7293
115.740977 93.280 165.7062
116.077434 93.271 165.6830
116.413890 93.262 165.6621
116.750346 93.252 165.6452
117.086803 93.243 165.6321
117.423259 93.235 165.6201
117.759715 93.226 165.6062
118.096171 93.218 165.5896
118.432628 93.209 165.5731
118.769084 93.200 165.5610
119.105540 93.191 165.5562
119.441997 93.182 165.5565
119.778453 93.176 165.5556
120.114909 93.170 165.5464
120.451366 93.164 165.5266
120.787822 93.156 165.4999
121.124278 93.147 165.4748
121.460735 93.137 165.4579
121.797191 93.127 165.4500
122.133647 93.119 165.4456
122.470104 93.112 165.4370
122.806560 93.105 165.4201
123.143016 93.097 165.3972
123.479473 93.088 165.3745
123.815929 93.078 165.3569
124.152385 93.069 165.3443
124.488842 93.061 165.3314
124.825298 93.054 165.3124
125.161754 93.046 165.2866
125.498211 93.038 165.2594
125.834667 93.028 165.2396
126.171123 93.019 165.2328
126.507580 93.010 165.2380
126.844036 93.004 165.2471
127.180492 92.999 165.2503
127.516949 92.996 165.2418
127.853405 92.992 165.2226
128.189861 92.986 165.1989
128.526318 92.980 165.1774
128.862774 92.973 165.1616
129.199230 92.966 165.1505
129.535687 92.959 165.1413
129.872143 92.953 165.1319
130.208599 92.947 165.1224
130.545056 92.940 165.1143
130.881512 92.934 165.1083
131.217968 92.928 165.1033
131.554425 92.923 165.0965
131.890881 92.917 165.0861
132.227337 92.911 165.0726
132.563794 92.905 165.0595
132.900250 92.898 165.0505
133.236706 92.891 165.0477
133.573163 92.884 165.0489
133.909619 92.879 165.0493
134.246075 92.874 165.0436
134.582532 92.869 165.0297
134.918988 92.863 165.0104
135.255444 92.856 164.9924
135.591901 92.847 164.9830
135.928357 92.839 164.9860
136.264813 92.831 164.9994
136.601270 92.826 165.0154
136.937726 92.823 165.0245
137.274182 92.821 165.0198
137.610639 92.818 165.0006
137.947095 92.814 164.9726
138.283551 92.808 164.9444
138.620008 92.800 164.9235
138.956464 92.793 164.9128
139.292920 92.785 164.9096
139.629377 92.779 164.9083
139.965833 92.774 164.9042
140.302289 92.769 164.8960
140.638746 92.763 164.8859
140.975202 92.757 164.8771
141.311658 92.752 164.8713
141.648115 92.746 164.8672
141.984571 92.741 164.8619
142.321027 92.736 164.8542
142.657483 92.730 164.8457
142.993940 92.724 164.8401
143.330396 92.718 164.8402
143.666852 92.713 164.8445
144.003309 92.708 164.8470
144.339765 92.705 164.8403
144.676221 92.701 164.8217
145.012678 92.695 164.7960
145.349134 92.687 164.7738
145.685590 92.677 164.7654
146.022047 92.667 164.7740
146.358503 92.659 164.7936
146.694959 92.653 164.8123
147.031416 92.649 164.8204
147.367872 92.643 164.8178
147.704328 92.636 164.8134
148.040785 92.628 164.8187
148.377241 92.621 164.8386
148.713697 92.616 164.8662
149.050154 92.615 164.8860
149.386610 92.615 164.8828
149.723066 92.614 164.8524
150.059523 92.610 164.8040
150.395979 92.602 164.7562
150.732435 92.591 164.7260
151.068892 92.579 164.7205
151.405348 92.570 164.7341
151.741804 92.563 164.7535
152.078261 92.559 164.7657
152.414717 92.555 164.7651
152.751173 92.551 164.7537
153.087630 92.546 164.7381
153.424086 92.540 164.7245
153.760542 92.534 164.7153
154.096999 92.528 164.7098
154.433455 92.523 164.7062
154.769911 92.518 164.7030
155.106368 92.513 164.6997
155.442824 92.508 164.6958
155.779280 92.504 164.6899
156.115737 92.499 164.6810
156.452193 92.495 164.6689
156.788649 92.489 164.6564
157.125106 92.482 164.6481
157.461562 92.475 164.6486
157.798018 92.468 164.6596
158.134475 92.462 164.6781
