* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 8, 2026 4:59:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Pure R3
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 98.060 -150.8713
20.187380 98.049 -151.6784
20.523836 98.048 -152.4774
20.860293 98.052 -153.3090
21.196749 98.053 -154.1856
21.533205 98.044 -155.0790
21.869662 98.023 -155.9329
22.206118 97.995 -156.6963
22.542574 97.970 -157.3605
22.879030 97.957 -157.9718
23.215487 97.958 -158.6085
23.551943 97.962 -159.3319
23.888399 97.958 -160.1458
24.224856 97.936 -160.9904
24.561312 97.894 -161.7764
24.897768 97.843 -162.4369
25.234225 97.799 -162.9667
25.570681 97.771 -163.4240
25.907137 97.757 -163.8921
26.243594 97.750 -164.4271
26.580050 97.739 -165.0287
26.916506 97.718 -165.6504
27.252963 97.689 -166.2378
27.589419 97.659 -166.7659
27.925875 97.633 -167.2518
28.262332 97.615 -167.7381
28.598788 97.600 -168.2608
28.935244 97.583 -168.8267
29.271701 97.559 -169.4126
29.608157 97.526 -169.9819
29.944613 97.488 -170.5042
30.281070 97.448 -170.9658
30.617526 97.410 -171.3683
30.953982 97.378 -171.7248
31.290439 97.354 -172.0573
31.626895 97.341 -172.3967
31.963351 97.337 -172.7784
32.299808 97.335 -173.2287
32.636264 97.326 -173.7486
32.972720 97.306 -174.3056
33.309177 97.270 -174.8432
33.645633 97.222 -175.3062
33.982089 97.172 -175.6675
34.318546 97.127 -175.9425
34.655002 97.093 -176.1789
34.991458 97.068 -176.4281
35.327915 97.046 -176.7178
35.664371 97.023 -177.0415
36.000827 96.996 -177.3722
36.337284 96.965 -177.6846
36.673740 96.934 -177.9729
37.010196 96.907 -178.2504
37.346653 96.882 -178.5369
37.683109 96.858 -178.8419
38.019565 96.831 -179.1589
38.356022 96.802 -179.4716
38.692478 96.772 -179.7673
39.028934 96.742 179.9551
39.365391 96.715 179.6850
39.701847 96.689 179.4098
40.038303 96.664 179.1248
40.374760 96.639 178.8359
40.711216 96.612 178.5558
41.047672 96.584 178.2942
41.384129 96.556 178.0519
41.720585 96.531 177.8212
42.057041 96.508 177.5911
42.393498 96.485 177.3554
42.729954 96.462 177.1159
43.066410 96.438 176.8801
43.402867 96.413 176.6545
43.739323 96.388 176.4395
44.075779 96.365 176.2275
44.412236 96.343 176.0088
44.748692 96.320 175.7788
45.085148 96.295 175.5430
45.421605 96.266 175.3150
45.758061 96.236 175.1091
46.094517 96.206 174.9298
46.430974 96.179 174.7684
46.767430 96.155 174.6070
47.103886 96.134 174.4303
47.440342 96.111 174.2358
47.776799 96.086 174.0360
48.113255 96.058 173.8507
48.449711 96.029 173.6931
48.786168 96.002 173.5609
49.122624 95.980 173.4367
49.459080 95.962 173.2987
49.795537 95.946 173.1349
50.131993 95.927 172.9495
50.468449 95.905 172.7592
50.804906 95.880 172.5821
51.141362 95.854 172.4268
51.477818 95.830 172.2897
51.814275 95.807 172.1591
52.150731 95.786 172.0244
52.487187 95.765 171.8822
52.823644 95.743 171.7360
53.160100 95.720 171.5917
53.496556 95.697 171.4525
53.833013 95.673 171.3185
54.169469 95.650 171.1877
54.505925 95.628 171.0592
54.842382 95.605 170.9330
55.178838 95.583 170.8091
55.515294 95.561 170.6856
55.851751 95.540 170.5599
56.188207 95.519 170.4312
56.524663 95.497 170.3023
56.861120 95.475 170.1788
57.197576 95.452 170.0651
57.534032 95.430 169.9608
57.870489 95.411 169.8600
58.206945 95.392 169.7544
58.543401 95.374 169.6389
58.879858 95.354 169.5158
59.216314 95.333 169.3939
59.552770 95.309 169.2835
59.889227 95.286 169.1906
60.225683 95.263 169.1130
60.562139 95.243 169.0418
60.898596 95.225 168.9664
61.235052 95.208 168.8800
61.571508 95.190 168.7828
61.907965 95.171 168.6810
62.244421 95.151 168.5825
62.580877 95.130 168.4920
62.917334 95.110 168.4090
63.253790 95.091 168.3282
63.590246 95.074 168.2438
63.926703 95.057 168.1529
64.263159 95.039 168.0576
64.599615 95.019 167.9637
64.936072 94.999 167.8777
65.272528 94.978 167.8040
65.608984 94.958 167.7430
65.945441 94.940 167.6916
66.281897 94.923 167.6448
66.618353 94.909 167.5963
66.954810 94.895 167.5403
67.291266 94.882 167.4735
67.627722 94.868 167.3963
67.964179 94.852 167.3145
68.300635 94.834 167.2369
68.637091 94.814 167.1715
68.973548 94.795 167.1198
69.310004 94.777 167.0754
69.646460 94.760 167.0273
69.982917 94.743 166.9673
70.319373 94.725 166.8966
70.655829 94.704 166.8256
70.992285 94.680 166.7675
71.328742 94.657 166.7297
71.665198 94.636 166.7080
72.001654 94.619 166.6893
72.338111 94.604 166.6595
72.674567 94.591 166.6116
73.011023 94.578 166.5476
73.347480 94.564 166.4749
73.683936 94.549 166.4000
74.020392 94.534 166.3264
74.356849 94.519 166.2549
74.693305 94.504 166.1867
75.029761 94.489 166.1241
75.366218 94.475 166.0678
75.702674 94.462 166.0157
76.039130 94.449 165.9641
76.375587 94.437 165.9113
76.712043 94.424 165.8605
77.048499 94.411 165.8168
77.384956 94.398 165.7811
77.721412 94.386 165.7459
78.057868 94.375 165.7000
78.394325 94.361 165.6385
78.730781 94.343 165.5716
79.067237 94.320 165.5220
79.403694 94.295 165.5098
79.740150 94.272 165.5346
80.076606 94.255 165.5706
80.413063 94.245 165.5808
80.749519 94.236 165.5428
81.085975 94.223 165.4659
81.422432 94.203 165.3853
81.758888 94.180 165.3338
82.095344 94.160 165.3128
82.431801 94.149 165.2849
82.768257 94.143 165.1978
83.104713 94.134 165.0272
83.441170 94.111 164.8046
83.777626 94.070 164.6122
84.114082 94.017 164.5425
84.450539 93.966 164.6439
84.786995 93.936 164.8842
85.123451 93.936 165.1568
85.459908 93.962 165.3342
85.796364 94.000 165.3352
86.132820 94.029 165.1666
86.469277 94.037 164.9148
86.805733 94.020 164.7004
87.142189 93.990 164.6169
87.478646 93.963 164.6825
87.815102 93.954 164.8286
88.151558 93.963 164.9405
88.488015 93.980 164.9296
88.824471 93.984 164.7956
89.160927 93.962 164.6363
89.497384 93.915 164.5987
89.833840 93.862 164.7919
90.170296 93.832 165.2043
90.506753 93.845 165.6810
90.843209 93.900 165.9967
91.179665 93.973 165.9861
91.516122 94.029 165.6398
91.852578 94.039 165.1036
92.189034 93.998 164.5983
92.525491 93.924 164.3098
92.861947 93.847 164.3004
93.198403 93.793 164.4841
93.534860 93.771 164.6908
93.871316 93.771 164.7773
94.207772 93.772 164.7092
94.544228 93.757 164.5577
94.880685 93.727 164.4343
95.217141 93.690 164.4133
95.553597 93.661 164.4906
95.890054 93.649 164.5985
96.226510 93.651 164.6594
96.562966 93.658 164.6354
96.899423 93.661 164.5420
97.235879 93.655 164.4254
97.572335 93.643 164.3280
97.908792 93.627 164.2677
98.245248 93.613 164.2380
98.581704 93.601 164.2234
98.918161 93.591 164.2125
99.254617 93.581 164.2019
99.591073 93.572 164.1917
99.927530 93.563 164.1808
100.263986 93.553 164.1667
100.600442 93.542 164.1501
100.936899 93.530 164.1351
101.273355 93.517 164.1273
101.609811 93.504 164.1283
101.946268 93.492 164.1343
102.282724 93.480 164.1389
102.619180 93.469 164.1385
102.955637 93.458 164.1344
103.292093 93.447 164.1307
103.628549 93.436 164.1287
103.965006 93.427 164.1247
104.301462 93.419 164.1128
104.637918 93.411 164.0903
104.974375 93.402 164.0608
105.310831 93.392 164.0320
105.647287 93.381 164.0095
105.983744 93.371 163.9931
106.320200 93.362 163.9779
106.656656 93.352 163.9610
106.993113 93.342 163.9472
107.329569 93.330 163.9475
107.666025 93.320 163.9706
108.002482 93.313 164.0131
108.338938 93.311 164.0551
108.675394 93.315 164.0689
109.011851 93.319 164.0342
109.348307 93.320 163.9531
109.684763 93.311 163.8519
110.021220 93.294 163.7707
110.357676 93.272 163.7418
110.694132 93.251 163.7726
111.030589 93.237 163.8406
111.367045 93.231 163.9058
111.703501 93.229 163.9341
112.039958 93.227 163.9163
112.376414 93.220 163.8724
112.712870 93.206 163.8376
113.049327 93.190 163.8397
113.385783 93.176 163.8813
113.722239 93.168 163.9373
114.058696 93.167 163.9713
114.395152 93.167 163.9584
114.731608 93.164 163.9023
115.068065 93.154 163.8330
115.404521 93.137 163.7892
115.740977 93.118 163.7946
116.077434 93.103 163.8428
116.413890 93.095 163.9015
116.750346 93.094 163.9322
117.086803 93.094 163.9143
117.423259 93.090 163.8583
117.759715 93.079 163.7986
118.096171 93.063 163.7719
118.432628 93.049 163.7922
118.769084 93.042 163.8382
119.105540 93.045 163.8605
119.441997 93.053 163.8089
119.778453 93.057 163.6634
120.114909 93.047 163.4518
120.451366 93.018 163.2441
120.787822 92.972 163.1257
121.124278 92.920 163.1588
121.460735 92.876 163.3492
121.797191 92.854 163.6368
122.133647 92.859 163.9183
122.470104 92.885 164.0954
122.806560 92.916 164.1206
123.143016 92.939 164.0147
123.479473 92.945 163.8495
123.815929 92.935 163.7084
124.152385 92.918 163.6452
124.488842 92.902 163.6614
124.825298 92.897 163.7128
125.161754 92.901 163.7403
125.498211 92.908 163.7074
125.834667 92.911 163.6196
126.171123 92.904 163.5172
126.507580 92.887 163.4491
126.844036 92.867 163.4446
127.180492 92.851 163.4990
127.516949 92.842 163.5799
127.853405 92.841 163.6485
128.189861 92.843 163.6816
128.526318 92.844 163.6800
128.862774 92.841 163.6625
129.199230 92.834 163.6503
129.535687 92.826 163.6548
129.872143 92.819 163.6734
130.208599 92.813 163.6956
130.545056 92.809 163.7120
130.881512 92.804 163.7205
131.217968 92.799 163.7251
131.554425 92.794 163.7312
131.890881 92.790 163.7390
132.227337 92.786 163.7424
132.563794 92.783 163.7335
132.900250 92.780 163.7091
133.236706 92.773 163.6764
133.573163 92.763 163.6508
133.909619 92.752 163.6484
134.246075 92.741 163.6743
134.582532 92.735 163.7167
134.918988 92.735 163.7497
135.255444 92.738 163.7474
135.591901 92.740 163.7003
135.928357 92.735 163.6248
136.264813 92.723 163.5573
136.601270 92.705 163.5352
136.937726 92.687 163.5744
137.274182 92.676 163.6585
137.610639 92.674 163.7460
137.947095 92.680 163.7949
138.283551 92.686 163.7871
138.620008 92.687 163.7385
138.956464 92.681 163.6868
139.292920 92.669 163.6669
139.629377 92.658 163.6901
139.965833 92.651 163.7390
140.302289 92.650 163.7817
140.638746 92.652 163.7943
140.975202 92.653 163.7747
141.311658 92.650 163.7404
141.648115 92.643 163.7134
141.984571 92.634 163.7053
142.321027 92.627 163.7119
142.657483 92.621 163.7210
142.993940 92.616 163.7250
143.330396 92.611 163.7266
143.666852 92.605 163.7334
144.003309 92.601 163.7473
144.339765 92.600 163.7575
144.676221 92.601 163.7452
145.012678 92.602 163.6975
145.349134 92.598 163.6202
145.685590 92.587 163.5396
146.022047 92.568 163.4905
146.358503 92.547 163.4975
146.694959 92.529 163.5612
147.031416 92.519 163.6573
147.367872 92.516 163.7510
147.704328 92.520 163.8153
148.040785 92.524 163.8428
148.377241 92.527 163.8445
148.713697 92.527 163.8380
149.050154 92.525 163.8349
149.386610 92.524 163.8348
149.723066 92.523 163.8294
150.059523 92.521 163.8125
150.395979 92.517 163.7872
150.732435 92.509 163.7661
151.068892 92.500 163.7638
151.405348 92.490 163.7869
151.741804 92.483 163.8291
152.078261 92.479 163.8740
152.414717 92.478 163.9044
152.751173 92.478 163.9120
153.087630 92.476 163.9018
153.424086 92.471 163.8877
153.760542 92.464 163.8840
154.096999 92.457 163.8967
154.433455 92.451 163.9213
154.769911 92.447 163.9463
155.106368 92.445 163.9610
155.442824 92.444 163.9619
155.779280 92.441 163.9536
156.115737 92.436 163.9450
156.452193 92.431 163.9428
156.788649 92.426 163.9478
157.125106 92.421 163.9556
157.461562 92.418 163.9599
157.798018 92.415 163.9581
158.134475 92.411 163.9526
158.470931 92.406 163.9493
158.807387 92.400 163.9533
