* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 8, 2026 6:03:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Wan'er Red Lion L1
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 97.027 -149.4508
20.187380 97.018 -150.3980
20.523836 97.018 -151.2821
20.860293 97.027 -152.1579
21.196749 97.038 -153.0790
21.533205 97.042 -154.0515
21.869662 97.028 -155.0147
22.206118 96.996 -155.8689
22.542574 96.960 -156.5373
22.879030 96.940 -157.0299
23.215487 96.950 -157.4610
23.551943 96.991 -157.9978
23.888399 97.042 -158.7634
24.224856 97.076 -159.7647
24.561312 97.073 -160.8890
24.897768 97.028 -161.9639
25.234225 96.958 -162.8432
25.570681 96.885 -163.4772
25.907137 96.830 -163.9327
26.243594 96.800 -164.3466
26.580050 96.789 -164.8406
26.916506 96.780 -165.4570
27.252963 96.760 -166.1530
27.589419 96.725 -166.8467
27.925875 96.683 -167.4759
28.262332 96.643 -168.0324
28.598788 96.612 -168.5567
28.935244 96.591 -169.1018
29.271701 96.573 -169.6952
29.608157 96.553 -170.3270
29.944613 96.529 -170.9661
30.281070 96.503 -171.5895
30.617526 96.479 -172.2006
30.953982 96.458 -172.8232
31.290439 96.437 -173.4778
31.626895 96.409 -174.1568
31.963351 96.373 -174.8198
32.299808 96.326 -175.4105
32.636264 96.277 -175.8885
32.972720 96.234 -176.2551
33.309177 96.207 -176.5575
33.645633 96.195 -176.8664
33.982089 96.194 -177.2391
34.318546 96.193 -177.6926
34.655002 96.183 -178.2004
34.991458 96.163 -178.7131
35.327915 96.134 -179.1880
35.664371 96.103 -179.6099
36.000827 96.073 -179.9925
36.337284 96.046 179.6368
36.673740 96.021 179.2583
37.010196 95.995 178.8709
37.346653 95.966 178.4882
37.683109 95.935 178.1234
38.019565 95.906 177.7773
38.356022 95.880 177.4356
38.692478 95.857 177.0793
39.028934 95.835 176.6971
39.365391 95.810 176.2935
39.701847 95.781 175.8845
40.038303 95.748 175.4884
40.374760 95.716 175.1167
40.711216 95.684 174.7712
41.047672 95.654 174.4464
41.384129 95.626 174.1343
41.720585 95.601 173.8264
42.057041 95.578 173.5149
42.393498 95.555 173.1946
42.729954 95.531 172.8670
43.066410 95.503 172.5439
43.402867 95.472 172.2450
43.739323 95.439 171.9882
44.075779 95.411 171.7747
44.412236 95.390 171.5803
44.748692 95.378 171.3625
45.085148 95.370 171.0815
45.421605 95.358 170.7256
45.758061 95.334 170.3234
46.094517 95.295 169.9346
46.430974 95.244 169.6223
46.767430 95.193 169.4201
47.103886 95.150 169.3123
47.440342 95.125 169.2372
47.776799 95.116 169.1163
48.113255 95.116 168.8909
48.449711 95.113 168.5486
48.786168 95.097 168.1249
49.122624 95.065 167.6851
49.459080 95.018 167.2958
49.795537 94.965 166.9988
50.131993 94.914 166.7958
50.468449 94.874 166.6508
50.804906 94.845 166.5094
51.141362 94.824 166.3276
51.477818 94.802 166.0942
51.814275 94.774 165.8342
52.150731 94.739 165.5913
52.487187 94.702 165.3983
52.823644 94.669 165.2529
53.160100 94.644 165.1169
53.496556 94.626 164.9405
53.833013 94.607 164.6991
54.169469 94.580 164.4146
54.505925 94.540 164.1449
54.842382 94.494 163.9465
55.178838 94.451 163.8329
55.515294 94.420 163.7590
55.851751 94.404 163.6463
56.188207 94.392 163.4352
56.524663 94.372 163.1274
56.861120 94.336 162.7875
57.197576 94.285 162.5046
57.534032 94.228 162.3375
57.870489 94.179 162.2801
58.206945 94.148 162.2669
58.543401 94.131 162.2178
58.879858 94.122 162.0871
59.216314 94.111 161.8832
59.552770 94.091 161.6507
59.889227 94.065 161.4339
60.225683 94.037 161.2513
60.562139 94.010 161.0958
60.898596 93.985 160.9546
61.235052 93.960 160.8269
61.571508 93.937 160.7231
61.907965 93.917 160.6466
62.244421 93.905 160.5775
62.580877 93.899 160.4769
62.917334 93.896 160.3118
63.253790 93.887 160.0836
63.590246 93.865 159.8350
63.926703 93.832 159.6280
64.263159 93.793 159.5066
64.599615 93.760 159.4675
64.936072 93.738 159.4615
65.272528 93.726 159.4250
65.608984 93.719 159.3203
65.945441 93.707 159.1555
66.281897 93.686 158.9719
66.618353 93.659 158.8115
66.954810 93.631 158.6887
67.291266 93.606 158.5858
67.627722 93.585 158.4729
67.964179 93.563 158.3353
68.300635 93.538 158.1855
68.637091 93.509 158.0507
68.973548 93.480 157.9472
69.310004 93.455 157.8641
69.646460 93.435 157.7701
69.982917 93.416 157.6409
70.319373 93.393 157.4826
70.655829 93.362 157.3329
70.992285 93.326 157.2338
71.328742 93.293 157.1972
71.665198 93.270 157.1900
72.001654 93.255 157.1545
72.338111 93.243 157.0526
72.674567 93.223 156.8992
73.011023 93.191 156.7565
73.347480 93.153 156.6912
73.683936 93.120 156.7203
74.020392 93.103 156.7890
74.356849 93.104 156.7987
74.693305 93.111 156.6735
75.029761 93.109 156.4127
75.366218 93.086 156.0931
75.702674 93.042 155.8212
76.039130 92.989 155.6681
76.375587 92.941 155.6292
76.712043 92.907 155.6339
77.048499 92.887 155.5999
77.384956 92.869 155.4890
77.721412 92.845 155.3251
78.057868 92.811 155.1663
78.394325 92.774 155.0574
78.730781 92.741 155.0007
79.067237 92.716 154.9604
79.403694 92.699 154.8948
79.740150 92.684 154.7856
80.076606 92.667 154.6440
80.413063 92.648 154.4940
80.749519 92.627 154.3527
81.085975 92.605 154.2246
81.422432 92.582 154.1111
81.758888 92.560 154.0204
82.095344 92.540 153.9632
82.431801 92.527 153.9361
82.768257 92.523 153.9088
83.104713 92.527 153.8336
83.441170 92.533 153.6757
83.777626 92.530 153.4444
84.114082 92.510 153.1982
84.450539 92.477 153.0154
84.786995 92.438 152.9465
85.123451 92.406 152.9771
85.459908 92.390 153.0314
85.796364 92.384 153.0208
86.132820 92.375 152.9062
86.469277 92.349 152.7313
86.805733 92.300 152.6025
87.142189 92.237 152.6259
87.478646 92.182 152.8332
87.815102 92.152 153.1430
88.151558 92.154 153.3923
88.488015 92.172 153.4323
88.824471 92.178 153.2257
89.160927 92.146 152.8832
89.497384 92.067 152.6187
89.833840 91.960 152.6461
90.170296 91.862 153.0564
90.506753 91.815 153.7352
90.843209 91.839 154.3941
91.179665 91.917 154.7275
91.516122 92.007 154.5880
91.852578 92.064 154.0501
92.189034 92.063 153.3453
92.525491 92.009 152.7366
92.861947 91.927 152.3959
93.198403 91.851 152.3348
93.534860 91.805 152.4210
93.871316 91.789 152.4791
94.207772 91.786 152.4047
94.544228 91.779 152.2101
94.880685 91.757 151.9838
95.217141 91.724 151.8113
95.553597 91.691 151.7188
95.890054 91.666 151.6718
96.226510 91.646 151.6225
96.562966 91.628 151.5580
96.899423 91.606 151.5093
97.235879 91.584 151.5142
97.572335 91.570 151.5699
97.908792 91.571 151.6172
98.245248 91.583 151.5753
98.581704 91.591 151.4026
98.918161 91.582 151.1362
99.254617 91.546 150.8794
99.591073 91.491 150.7461
99.927530 91.433 150.7953
100.263986 91.389 150.9953
100.600442 91.371 151.2411
100.936899 91.374 151.4174
101.273355 91.386 151.4624
101.609811 91.391 151.3904
101.946268 91.384 151.2672
102.282724 91.364 151.1615
102.619180 91.339 151.1078
102.955637 91.315 151.0963
103.292093 91.297 151.0934
103.628549 91.281 151.0725
103.965006 91.263 151.0330
104.301462 91.241 150.9962
104.637918 91.217 150.9860
104.974375 91.195 151.0078
105.310831 91.179 151.0430
105.647287 91.168 151.0614
105.983744 91.159 151.0417
106.320200 91.147 150.9861
106.656656 91.130 150.9189
106.993113 91.107 150.8701
107.329569 91.084 150.8561
107.666025 91.064 150.8696
108.002482 91.048 150.8848
108.338938 91.037 150.8755
108.675394 91.025 150.8319
109.011851 91.009 150.7670
109.348307 90.988 150.7066
109.684763 90.964 150.6725
110.021220 90.942 150.6684
110.357676 90.924 150.6783
110.694132 90.910 150.6779
111.030589 90.898 150.6505
111.367045 90.885 150.5959
111.703501 90.868 150.5290
112.039958 90.848 150.4691
112.376414 90.825 150.4293
112.712870 90.802 150.4113
113.049327 90.781 150.4085
113.385783 90.762 150.4123
113.722239 90.745 150.4162
114.058696 90.729 150.4164
114.395152 90.714 150.4101
114.731608 90.699 150.3948
115.068065 90.683 150.3704
115.404521 90.666 150.3416
115.740977 90.647 150.3170
116.077434 90.626 150.3049
116.413890 90.606 150.3069
116.750346 90.588 150.3163
117.086803 90.573 150.3212
117.423259 90.558 150.3126
117.759715 90.543 150.2901
118.096171 90.526 150.2617
118.432628 90.508 150.2374
118.769084 90.490 150.2222
119.105540 90.473 150.2123
119.441997 90.458 150.1989
119.778453 90.444 150.1746
120.114909 90.430 150.1385
120.451366 90.414 150.0963
120.787822 90.397 150.0561
121.124278 90.379 150.0234
121.460735 90.360 150.0004
121.797191 90.342 149.9868
122.133647 90.323 149.9827
122.470104 90.306 149.9886
122.806560 90.290 150.0043
123.143016 90.275 150.0274
123.479473 90.261 150.0545
123.815929 90.249 150.0833
124.152385 90.238 150.1134
124.488842 90.229 150.1431
124.825298 90.222 150.1658
125.161754 90.218 150.1693
125.498211 90.215 150.1407
125.834667 90.209 150.0774
126.171123 90.196 149.9936
126.507580 90.176 149.9182
126.844036 90.149 149.8819
127.180492 90.121 149.9010
127.516949 90.098 149.9666
127.853405 90.082 150.0483
128.189861 90.073 150.1112
128.526318 90.067 150.1341
128.862774 90.059 150.1191
129.199230 90.048 150.0864
129.535687 90.032 150.0601
129.872143 90.015 150.0538
130.208599 89.999 150.0660
130.545056 89.986 150.0846
130.881512 89.975 150.0966
131.217968 89.965 150.0962
131.554425 89.954 150.0864
131.890881 89.942 150.0752
132.227337 89.929 150.0709
132.563794 89.915 150.0777
132.900250 89.902 150.0953
133.236706 89.891 150.1191
133.573163 89.881 150.1425
133.909619 89.872 150.1599
134.246075 89.862 150.1698
134.582532 89.852 150.1760
134.918988 89.840 150.1863
135.255444 89.827 150.2072
135.591901 89.814 150.2384
135.928357 89.804 150.2721
136.264813 89.795 150.2957
136.601270 89.787 150.3007
136.937726 89.776 150.2881
137.274182 89.762 150.2690
137.610639 89.745 150.2569
137.947095 89.727 150.2601
138.283551 89.710 150.2763
138.620008 89.694 150.2957
138.956464 89.679 150.3091
139.292920 89.664 150.3144
139.629377 89.649 150.3177
139.965833 89.632 150.3271
140.302289 89.617 150.3456
140.638746 89.604 150.3679
140.975202 89.592 150.3838
141.311658 89.583 150.3859
141.648115 89.572 150.3749
141.984571 89.560 150.3597
142.321027 89.547 150.3513
142.657483 89.533 150.3559
142.993940 89.521 150.3715
143.330396 89.511 150.3900
143.666852 89.502 150.4028
144.003309 89.494 150.4060
144.339765 89.485 150.4025
144.676221 89.474 150.3998
145.012678 89.462 150.4056
145.349134 89.449 150.4240
145.685590 89.438 150.4532
146.022047 89.428 150.4863
146.358503 89.421 150.5130
146.694959 89.414 150.5242
147.031416 89.407 150.5157
147.367872 89.397 150.4918
147.704328 89.383 150.4647
148.040785 89.365 150.4501
148.377241 89.346 150.4596
148.713697 89.328 150.4940
149.050154 89.313 150.5420
149.386610 89.302 150.5852
149.723066 89.293 150.6093
150.059523 89.283 150.6124
150.395979 89.271 150.6069
150.732435 89.255 150.6118
151.068892 89.240 150.6409
151.405348 89.227 150.6921
151.741804 89.220 150.7479
152.078261 89.217 150.7837
152.414717 89.217 150.7827
152.751173 89.214 150.7457
153.087630 89.206 150.6907
153.424086 89.192 150.6440
153.760542 89.175 150.6259
154.096999 89.157 150.6425
154.433455 89.143 150.6849
154.769911 89.132 150.7357
155.106368 89.124 150.7794
155.442824 89.118 150.8080
155.779280 89.111 150.8218
156.115737 89.103 150.8262
156.452193 89.093 150.8275
156.788649 89.082 150.8314
157.125106 89.069 150.8422
157.461562 89.055 150.8631
157.798018 89.042 150.8946
158.134475 89.030 150.9332
158.470931 89.020 150.9717
158.807387 89.011 151.0024
