* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 8, 2026 6:01:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Wan'er Red Lion R1
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 96.866 -150.7551
20.187380 96.852 -151.6323
20.523836 96.853 -152.4883
20.860293 96.861 -153.3847
21.196749 96.866 -154.3412
21.533205 96.860 -155.3198
21.869662 96.842 -156.2523
22.206118 96.819 -157.0920
22.542574 96.804 -157.8526
22.879030 96.800 -158.6040
23.215487 96.802 -159.4218
23.551943 96.797 -160.3275
23.888399 96.772 -161.2640
24.224856 96.726 -162.1257
24.561312 96.670 -162.8236
24.897768 96.621 -163.3464
25.234225 96.598 -163.7765
25.570681 96.601 -164.2427
25.907137 96.616 -164.8407
26.243594 96.624 -165.5785
26.580050 96.612 -166.3813
26.916506 96.581 -167.1460
27.252963 96.539 -167.8048
27.589419 96.502 -168.3612
27.925875 96.475 -168.8780
28.262332 96.458 -169.4270
28.598788 96.441 -170.0389
28.935244 96.414 -170.6865
29.271701 96.376 -171.3085
29.608157 96.333 -171.8539
29.944613 96.294 -172.3156
30.281070 96.266 -172.7354
30.617526 96.249 -173.1775
30.953982 96.239 -173.6895
31.290439 96.224 -174.2762
31.626895 96.199 -174.8991
31.963351 96.163 -175.4975
32.299808 96.117 -176.0174
32.636264 96.071 -176.4353
32.972720 96.034 -176.7672
33.309177 96.010 -177.0617
33.645633 96.000 -177.3792
33.982089 95.998 -177.7668
34.318546 95.997 -178.2407
34.655002 95.987 -178.7813
34.991458 95.965 -179.3440
35.327915 95.931 -179.8791
35.664371 95.891 179.6477
36.000827 95.850 179.2423
36.337284 95.814 178.8837
36.673740 95.785 178.5392
37.010196 95.759 178.1828
37.346653 95.734 177.8083
37.683109 95.707 177.4268
38.019565 95.678 177.0543
38.356022 95.649 176.6977
38.692478 95.622 176.3491
39.028934 95.597 175.9940
39.365391 95.570 175.6251
39.701847 95.540 175.2518
40.038303 95.507 174.8964
40.374760 95.474 174.5785
40.711216 95.443 174.2982
41.047672 95.419 174.0316
41.384129 95.400 173.7447
41.720585 95.381 173.4172
42.057041 95.358 173.0594
42.393498 95.326 172.7080
42.729954 95.290 172.4021
43.066410 95.255 172.1546
43.402867 95.227 171.9397
43.739323 95.209 171.7079
44.075779 95.194 171.4201
44.412236 95.174 171.0755
44.748692 95.146 170.7128
45.085148 95.109 170.3826
45.421605 95.070 170.1110
45.758061 95.037 169.8795
46.094517 95.011 169.6394
46.430974 94.987 169.3503
46.767430 94.958 169.0151
47.103886 94.917 168.6839
47.440342 94.867 168.4225
47.776799 94.818 168.2653
48.113255 94.781 168.1862
48.449711 94.763 168.1080
48.786168 94.758 167.9495
49.122624 94.754 167.6754
49.459080 94.739 167.3159
49.795537 94.709 166.9448
50.131993 94.667 166.6334
50.468449 94.623 166.4109
50.804906 94.587 166.2527
51.141362 94.561 166.1023
51.477818 94.541 165.9119
51.814275 94.520 165.6708
52.150731 94.493 165.4066
52.487187 94.459 165.1613
52.823644 94.422 164.9626
53.160100 94.390 164.8063
53.496556 94.363 164.6621
53.833013 94.343 164.4941
54.169469 94.324 164.2827
54.505925 94.302 164.0336
54.842382 94.273 163.7711
55.178838 94.239 163.5225
55.515294 94.200 163.3049
55.851751 94.161 163.1213
56.188207 94.123 162.9658
56.524663 94.087 162.8315
56.861120 94.053 162.7154
57.197576 94.022 162.6157
57.534032 93.995 162.5268
57.870489 93.972 162.4370
58.206945 93.954 162.3308
58.543401 93.939 162.1964
58.879858 93.923 162.0307
59.216314 93.905 161.8397
59.552770 93.884 161.6343
59.889227 93.859 161.4260
60.225683 93.830 161.2253
60.562139 93.799 161.0416
60.898596 93.766 160.8828
61.235052 93.733 160.7497
61.571508 93.704 160.6313
61.907965 93.679 160.5059
62.244421 93.655 160.3525
62.580877 93.628 160.1680
62.917334 93.593 159.9760
63.253790 93.552 159.8185
63.590246 93.508 159.7301
63.926703 93.469 159.7121
64.263159 93.441 159.7257
64.599615 93.425 159.7139
64.936072 93.414 159.6389
65.272528 93.400 159.5071
65.608984 93.379 159.3610
65.945441 93.354 159.2446
66.281897 93.331 159.1676
66.618353 93.316 159.0967
66.954810 93.307 158.9842
67.291266 93.297 158.8105
67.627722 93.278 158.6052
67.964179 93.250 158.4280
68.300635 93.220 158.3211
68.637091 93.197 158.2710
68.973548 93.186 158.2119
69.310004 93.181 158.0753
69.646460 93.169 157.8485
69.982917 93.139 157.5961
70.319373 93.089 157.4272
70.655829 93.034 157.4260
70.992285 92.991 157.5910
71.328742 92.977 157.8237
71.665198 92.992 157.9814
72.001654 93.019 157.9601
72.338111 93.039 157.7482
72.674567 93.035 157.4233
73.011023 93.003 157.1066
73.347480 92.950 156.9084
73.683936 92.890 156.8875
74.020392 92.843 157.0336
74.356849 92.822 157.2700
74.693305 92.833 157.4742
75.029761 92.871 157.5162
75.366218 92.917 157.3054
75.702674 92.949 156.8328
76.039130 92.946 156.1860
76.375587 92.896 155.5273
76.712043 92.807 155.0377
77.048499 92.702 154.8413
77.384956 92.611 154.9412
77.721412 92.558 155.2083
78.057868 92.547 155.4474
78.394325 92.561 155.5074
78.730781 92.574 155.3594
79.067237 92.566 155.0967
79.403694 92.533 154.8705
79.740150 92.487 154.8050
80.076606 92.451 154.9299
80.413063 92.445 155.1600
80.749519 92.475 155.3330
81.085975 92.528 155.2899
81.422432 92.579 154.9554
81.758888 92.597 154.3785
82.095344 92.563 153.7234
82.431801 92.475 153.2156
82.768257 92.355 153.0534
83.104713 92.244 153.3025
83.441170 92.179 153.8257
83.777626 92.177 154.3265
84.114082 92.214 154.5216
84.450539 92.244 154.3240
84.786995 92.226 153.8978
85.123451 92.151 153.5569
85.459908 92.050 153.5705
85.796364 91.978 153.9611
86.132820 91.979 154.4321
86.469277 92.044 154.5422
86.805733 92.112 154.0287
87.142189 92.109 153.0061
87.478646 91.992 151.9201
87.815102 91.773 151.3432
88.151558 91.527 151.6906
88.488015 91.363 152.9218
88.824471 91.356 154.4488
89.160927 91.493 155.4904
89.497384 91.682 155.6162
89.833840 91.823 154.9438
90.170296 91.865 153.9369
90.506753 91.813 153.1010
90.843209 91.718 152.7426
91.179665 91.642 152.8487
91.516122 91.620 153.1443
91.852578 91.644 153.3152
92.189034 91.680 153.2241
92.525491 91.692 152.9531
92.861947 91.673 152.6891
93.198403 91.636 152.5743
93.534860 91.602 152.6217
93.871316 91.586 152.7377
94.207772 91.583 152.8150
94.544228 91.582 152.8151
94.880685 91.574 152.7755
95.217141 91.559 152.7540
95.553597 91.544 152.7681
95.890054 91.536 152.7786
96.226510 91.532 152.7268
96.562966 91.523 152.5894
96.899423 91.498 152.4035
97.235879 91.456 152.2467
97.572335 91.403 152.1906
97.908792 91.351 152.2603
98.245248 91.312 152.4237
98.581704 91.291 152.6122
98.918161 91.286 152.7556
99.254617 91.291 152.8083
99.591073 91.297 152.7593
99.927530 91.297 152.6279
100.263986 91.285 152.4551
100.600442 91.260 152.2916
100.936899 91.227 152.1818
101.273355 91.191 152.1463
101.609811 91.161 152.1719
101.946268 91.141 152.2181
102.282724 91.127 152.2398
102.619180 91.116 152.2137
102.955637 91.102 152.1495
103.292093 91.080 152.0797
103.628549 91.054 152.0359
103.965006 91.028 152.0284
104.301462 91.006 152.0423
104.637918 90.987 152.0515
104.974375 90.971 152.0378
105.310831 90.953 152.0020
105.647287 90.933 151.9594
105.983744 90.910 151.9275
106.320200 90.887 151.9139
106.656656 90.866 151.9136
106.993113 90.849 151.9145
107.329569 90.834 151.9051
107.666025 90.820 151.8796
108.002482 90.806 151.8394
108.338938 90.790 151.7912
108.675394 90.773 151.7447
109.011851 90.755 151.7089
109.348307 90.737 151.6877
109.684763 90.721 151.6771
110.021220 90.707 151.6666
110.357676 90.694 151.6452
110.694132 90.680 151.6101
111.030589 90.664 151.5707
111.367045 90.644 151.5438
111.703501 90.623 151.5427
112.039958 90.604 151.5679
112.376414 90.588 151.6053
112.712870 90.575 151.6353
113.049327 90.564 151.6446
113.385783 90.552 151.6337
113.722239 90.538 151.6132
114.058696 90.522 151.5948
114.395152 90.504 151.5833
114.731608 90.487 151.5756
115.068065 90.470 151.5662
115.404521 90.454 151.5523
115.740977 90.437 151.5352
116.077434 90.420 151.5160
116.413890 90.403 151.4941
116.750346 90.386 151.4691
117.086803 90.368 151.4450
117.423259 90.348 151.4325
117.759715 90.329 151.4412
118.096171 90.314 151.4693
118.432628 90.304 151.4974
118.769084 90.300 151.4956
119.105540 90.296 151.4434
119.441997 90.286 151.3476
119.778453 90.267 151.2445
120.114909 90.240 151.1820
120.451366 90.210 151.1907
120.787822 90.185 151.2636
121.124278 90.169 151.3592
121.460735 90.161 151.4290
121.797191 90.155 151.4499
122.133647 90.145 151.4375
122.470104 90.128 151.4317
122.806560 90.110 151.4639
123.143016 90.095 151.5311
123.479473 90.089 151.5948
123.815929 90.088 151.6072
124.152385 90.086 151.5469
124.488842 90.074 151.4363
124.825298 90.050 151.3295
125.161754 90.018 151.2799
125.498211 89.987 151.3076
125.834667 89.963 151.3889
126.171123 89.950 151.4732
126.507580 89.945 151.5168
126.844036 89.939 151.5077
127.180492 89.930 151.4660
127.516949 89.916 151.4250
127.853405 89.900 151.4062
128.189861 89.885 151.4084
128.526318 89.873 151.4149
128.862774 89.862 151.4116
129.199230 89.851 151.3993
129.535687 89.838 151.3918
129.872143 89.825 151.4012
130.208599 89.813 151.4254
130.545056 89.805 151.4481
130.881512 89.798 151.4528
131.217968 89.788 151.4398
131.554425 89.773 151.4311
131.890881 89.755 151.4572
132.227337 89.738 151.5340
132.563794 89.728 151.6448
132.900250 89.729 151.7440
133.236706 89.737 151.7807
133.573163 89.744 151.7303
133.909619 89.742 151.6103
134.246075 89.726 151.4727
134.582532 89.697 151.3768
134.918988 89.662 151.3596
135.255444 89.630 151.4193
135.591901 89.607 151.5204
135.928357 89.594 151.6168
136.264813 89.586 151.6751
136.601270 89.579 151.6884
136.937726 89.569 151.6710
137.274182 89.556 151.6451
137.610639 89.540 151.6277
137.947095 89.523 151.6254
138.283551 89.507 151.6350
138.620008 89.493 151.6497
138.956464 89.481 151.6620
139.292920 89.471 151.6670
139.629377 89.461 151.6624
139.965833 89.450 151.6508
140.302289 89.438 151.6391
140.638746 89.424 151.6364
140.975202 89.411 151.6483
141.311658 89.399 151.6729
141.648115 89.390 151.7007
141.984571 89.383 151.7198
142.321027 89.376 151.7249
142.657483 89.367 151.7210
142.993940 89.355 151.7213
143.330396 89.342 151.7377
143.666852 89.331 151.7722
144.003309 89.322 151.8141
144.339765 89.316 151.8456
144.676221 89.311 151.8539
145.012678 89.304 151.8391
145.349134 89.294 151.8142
145.685590 89.279 151.7975
146.022047 89.263 151.8016
146.358503 89.247 151.8264
146.694959 89.233 151.8608
147.031416 89.221 151.8909
147.367872 89.210 151.9091
147.704328 89.198 151.9189
148.040785 89.184 151.9315
148.377241 89.169 151.9569
148.713697 89.155 151.9964
149.050154 89.145 152.0396
149.386610 89.137 152.0696
149.723066 89.130 152.0742
150.059523 89.121 152.0543
150.395979 89.107 152.0259
150.732435 89.088 152.0132
151.068892 89.067 152.0353
151.405348 89.048 152.0953
151.741804 89.034 152.1779
152.078261 89.026 152.2575
152.414717 89.023 152.3127
152.751173 89.020 152.3367
153.087630 89.015 152.3385
153.424086 89.008 152.3342
153.760542 88.999 152.3354
154.096999 88.991 152.3429
154.433455 88.983 152.3485
154.769911 88.976 152.3450
155.106368 88.967 152.3332
155.442824 88.956 152.3231
155.779280 88.943 152.3270
156.115737 88.930 152.3497
156.452193 88.920 152.3848
156.788649 88.912 152.4180
157.125106 88.906 152.4370
157.461562 88.900 152.4394
157.798018 88.891 152.4336
158.134475 88.879 152.4331
158.470931 88.866 152.4482
158.807387 88.854 152.4797
