* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 14, 2026 1:36:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Xenns Top Pro L2
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 84.990 25.4650
20.187380 84.738 25.3788
20.523836 84.590 26.4878
20.860293 84.660 28.0515
21.196749 84.944 28.9211
21.533205 85.317 28.3668
21.869662 85.628 26.4384
22.206118 85.785 23.7037
22.542574 85.765 20.8724
22.879030 85.606 18.5424
23.215487 85.381 17.0359
23.551943 85.174 16.3133
23.888399 85.035 16.0386
24.224856 84.967 15.8179
24.561312 84.937 15.4371
24.897768 84.913 14.9109
25.234225 84.887 14.3625
25.570681 84.865 13.8782
25.907137 84.857 13.4427
26.243594 84.866 12.9781
26.580050 84.883 12.4246
26.916506 84.898 11.7855
27.252963 84.905 11.1077
27.589419 84.906 10.4279
27.925875 84.903 9.7424
28.262332 84.895 9.0251
28.598788 84.873 8.2741
28.935244 84.831 7.5437
29.271701 84.768 6.9297
29.608157 84.698 6.5135
29.944613 84.641 6.3011
30.281070 84.616 6.1971
30.617526 84.626 6.0415
30.953982 84.661 5.6890
31.290439 84.696 5.0790
31.626895 84.711 4.2571
31.963351 84.691 3.3467
32.299808 84.635 2.4982
32.636264 84.554 1.8344
32.972720 84.470 1.4077
33.309177 84.404 1.1815
33.645633 84.367 1.0468
33.982089 84.361 0.8734
34.318546 84.372 0.5710
34.655002 84.384 0.1241
34.991458 84.386 -0.4146
35.327915 84.373 -0.9651
35.664371 84.351 -1.4669
36.000827 84.328 -1.9065
36.337284 84.310 -2.3127
36.673740 84.296 -2.7246
37.010196 84.280 -3.1590
37.346653 84.259 -3.5998
37.683109 84.232 -4.0140
38.019565 84.202 -4.3794
38.356022 84.174 -4.7012
38.692478 84.150 -5.0055
39.028934 84.129 -5.3174
39.365391 84.107 -5.6423
39.701847 84.082 -5.9670
40.038303 84.056 -6.2766
40.374760 84.033 -6.5735
40.711216 84.012 -6.8789
41.047672 83.991 -7.2152
41.384129 83.965 -7.5818
41.720585 83.929 -7.9449
42.057041 83.885 -8.2540
42.393498 83.842 -8.4758
42.729954 83.808 -8.6251
43.066410 83.792 -8.7691
43.402867 83.790 -8.9942
43.739323 83.792 -9.3548
44.075779 83.781 -9.8367
44.412236 83.750 -10.3607
44.748692 83.699 -10.8251
45.085148 83.641 -11.1639
45.421605 83.591 -11.3899
45.758061 83.558 -11.5884
46.094517 83.537 -11.8605
46.430974 83.513 -12.2482
46.767430 83.471 -12.6952
47.103886 83.406 -13.0720
47.440342 83.330 -13.2531
47.776799 83.268 -13.2065
48.113255 83.246 -13.0402
48.449711 83.268 -12.9570
48.786168 83.316 -13.1379
49.122624 83.359 -13.6339
49.459080 83.367 -14.3423
49.795537 83.330 -15.0695
50.131993 83.259 -15.6309
50.468449 83.179 -15.9409
50.804906 83.114 -16.0471
51.141362 83.077 -16.0878
51.477818 83.061 -16.1968
51.814275 83.049 -16.4252
52.150731 83.028 -16.7311
52.487187 82.993 -17.0303
52.823644 82.952 -17.2629
53.160100 82.916 -17.4303
53.496556 82.889 -17.5818
53.833013 82.868 -17.7686
54.169469 82.846 -18.0023
54.505925 82.819 -18.2526
54.842382 82.788 -18.4771
55.178838 82.757 -18.6597
55.515294 82.734 -18.8241
55.851751 82.717 -19.0140
56.188207 82.700 -19.2563
56.524663 82.677 -19.5377
56.861120 82.644 -19.8129
57.197576 82.604 -20.0366
57.534032 82.563 -20.1929
57.870489 82.528 -20.3028
58.206945 82.498 -20.4039
58.543401 82.471 -20.5217
58.879858 82.443 -20.6558
59.216314 82.412 -20.7905
59.552770 82.381 -20.9167
59.889227 82.350 -21.0433
60.225683 82.320 -21.1864
60.562139 82.288 -21.3499
60.898596 82.252 -21.5173
61.235052 82.215 -21.6683
61.571508 82.183 -21.8080
61.907965 82.160 -21.9772
62.244421 82.141 -22.2295
62.580877 82.117 -22.5818
62.917334 82.076 -22.9823
63.253790 82.017 -23.3251
63.590246 81.952 -23.5132
63.926703 81.901 -23.5306
64.263159 81.879 -23.4695
64.599615 81.889 -23.4779
64.936072 81.912 -23.6599
65.272528 81.927 -24.0052
65.608984 81.918 -24.4024
65.945441 81.887 -24.7172
66.281897 81.848 -24.8776
66.618353 81.817 -24.9087
66.954810 81.799 -24.8932
67.291266 81.786 -24.8969
67.627722 81.770 -24.9244
67.964179 81.748 -24.9424
68.300635 81.722 -24.9370
68.637091 81.697 -24.9435
68.973548 81.665 -25.0113
69.310004 81.616 -25.1340
69.646460 81.543 -25.2189
69.982917 81.456 -25.1434
70.319373 81.384 -24.8768
70.655829 81.357 -24.5730
70.992285 81.379 -24.5256
71.328742 81.416 -24.9821
71.665198 81.417 -25.9641
72.001654 81.337 -27.2352
72.338111 81.169 -28.4152
72.674567 80.944 -29.1667
73.011023 80.719 -29.3755
73.347480 80.546 -29.2197
73.683936 80.434 -29.0298
74.020392 80.350 -29.0129
74.356849 80.253 -29.0813
74.693305 80.130 -28.9253
75.029761 80.019 -28.2664
75.366218 79.987 -27.1367
75.702674 80.079 -25.9645
76.039130 80.271 -25.3124
76.375587 80.481 -25.4662
76.712043 80.622 -26.2550
77.048499 80.648 -27.1761
77.384956 80.578 -27.6630
77.721412 80.492 -27.3989
78.057868 80.486 -26.5923
78.394325 80.605 -25.9575
78.730781 80.786 -26.2376
79.067237 80.900 -27.6602
79.403694 80.818 -29.7883
79.740150 80.477 -31.6741
80.076606 79.913 -32.0885
80.413063 79.319 -29.9827
80.749519 79.020 -25.5466
81.085975 79.232 -20.9678
81.422432 79.802 -18.7389
81.758888 80.385 -19.4582
82.095344 80.739 -22.1372
82.431801 80.790 -25.3430
82.768257 80.594 -27.7927
83.104713 80.311 -28.7245
83.441170 80.136 -28.3182
83.777626 80.167 -27.6750
84.114082 80.323 -27.8685
84.450539 80.438 -29.0123
84.786995 80.406 -30.3104
85.123451 80.260 -30.6999
85.459908 80.165 -29.6451
85.796364 80.311 -27.8274
86.132820 80.720 -26.8389
86.469277 81.210 -27.7754
86.805733 81.553 -30.4930
87.142189 81.607 -34.0206
87.478646 81.342 -37.1138
87.815102 80.838 -38.5955
88.151558 80.290 -37.7785
88.488015 79.935 -35.0811
88.824471 79.890 -32.0532
89.160927 80.046 -30.1345
89.497384 80.208 -29.5956
89.833840 80.259 -29.8218
90.170296 80.190 -30.0631
90.506753 80.069 -29.9230
90.843209 79.966 -29.4900
91.179665 79.900 -29.1146
91.516122 79.841 -29.0197
91.852578 79.753 -29.1064
92.189034 79.632 -29.0908
92.525491 79.521 -28.7976
92.861947 79.469 -28.3621
93.198403 79.487 -28.1504
93.534860 79.535 -28.4467
93.871316 79.550 -29.2048
94.207772 79.495 -30.0687
94.544228 79.382 -30.5916
94.880685 79.271 -30.5123
95.217141 79.233 -29.9543
95.553597 79.304 -29.3823
95.890054 79.449 -29.2830
96.226510 79.595 -29.8364
96.562966 79.672 -30.8477
96.899423 79.646 -31.8971
97.235879 79.533 -32.5492
97.572335 79.386 -32.5414
97.908792 79.272 -31.9147
98.245248 79.236 -31.0041
98.581704 79.273 -30.2435
98.918161 79.341 -29.9075
99.254617 79.386 -29.9927
99.591073 79.375 -30.2856
99.927530 79.308 -30.5176
100.263986 79.210 -30.5107
100.600442 79.116 -30.2594
100.936899 79.050 -29.9083
101.273355 79.012 -29.6393
101.609811 78.983 -29.5472
101.946268 78.945 -29.5978
102.282724 78.893 -29.6814
102.619180 78.837 -29.7090
102.955637 78.791 -29.6772
103.292093 78.765 -29.6599
103.628549 78.753 -29.7372
103.965006 78.742 -29.9222
104.301462 78.720 -30.1459
104.637918 78.688 -30.3066
104.974375 78.658 -30.3452
105.310831 78.645 -30.2896
105.647287 78.652 -30.2371
105.983744 78.671 -30.2830
106.320200 78.684 -30.4501
106.656656 78.675 -30.6696
106.993113 78.638 -30.8179
107.329569 78.585 -30.7866
107.666025 78.535 -30.5437
108.002482 78.506 -30.1578
108.338938 78.506 -29.7665
108.675394 78.527 -29.5068
109.011851 78.549 -29.4460
109.348307 78.553 -29.5542
109.684763 78.528 -29.7255
110.021220 78.475 -29.8314
110.357676 78.411 -29.7850
110.694132 78.354 -29.5868
111.030589 78.321 -29.3271
111.367045 78.311 -29.1345
111.703501 78.313 -29.0959
112.039958 78.308 -29.2056
112.376414 78.286 -29.3740
112.712870 78.250 -29.4907
113.049327 78.214 -29.4999
113.385783 78.192 -29.4395
113.722239 78.190 -29.4122
114.058696 78.194 -29.5024
114.395152 78.188 -29.7042
114.731608 78.158 -29.9147
115.068065 78.108 -29.9996
115.404521 78.057 -29.8850
115.740977 78.026 -29.6151
116.077434 78.021 -29.3251
116.413890 78.034 -29.1425
116.750346 78.045 -29.0955
117.086803 78.038 -29.1042
117.423259 78.016 -29.0575
117.759715 77.993 -28.9121
118.096171 77.983 -28.7369
118.432628 77.984 -28.6558
118.769084 77.976 -28.7283
119.105540 77.936 -28.8701
119.441997 77.861 -28.8820
119.778453 77.772 -28.5784
120.114909 77.715 -27.9448
120.451366 77.725 -27.2088
120.787822 77.802 -26.7283
121.124278 77.904 -26.7593
121.460735 77.976 -27.2969
121.797191 77.978 -28.0940
122.133647 77.905 -28.8047
122.470104 77.785 -29.1517
122.806560 77.667 -29.0549
123.143016 77.590 -28.6578
123.479473 77.566 -28.2220
123.815929 77.578 -27.9552
124.152385 77.599 -27.9083
124.488842 77.606 -27.9991
124.825298 77.597 -28.1085
125.161754 77.581 -28.1650
125.498211 77.568 -28.1696
125.834667 77.560 -28.1647
126.171123 77.554 -28.1833
126.507580 77.545 -28.2224
126.844036 77.529 -28.2502
127.180492 77.508 -28.2331
127.516949 77.488 -28.1570
127.853405 77.471 -28.0333
128.189861 77.462 -27.8921
128.526318 77.459 -27.7709
128.862774 77.457 -27.6985
129.199230 77.447 -27.6746
129.535687 77.422 -27.6548
129.872143 77.382 -27.5560
130.208599 77.336 -27.2949
130.545056 77.303 -26.8511
130.881512 77.304 -26.3136
131.217968 77.346 -25.8641
131.554425 77.413 -25.6823
131.890881 77.474 -25.8361
132.227337 77.498 -26.2362
132.563794 77.472 -26.6813
132.900250 77.404 -26.9603
133.236706 77.323 -26.9602
133.573163 77.260 -26.7242
133.909619 77.231 -26.4178
134.246075 77.231 -26.2166
134.582532 77.239 -26.1985
134.918988 77.234 -26.3180
135.255444 77.208 -26.4614
135.591901 77.169 -26.5291
135.928357 77.131 -26.4891
136.264813 77.102 -26.3767
136.601270 77.087 -26.2526
136.937726 77.082 -26.1588
137.274182 77.080 -26.1042
137.610639 77.079 -26.0775
137.947095 77.076 -26.0657
138.283551 77.071 -26.0595
138.620008 77.063 -26.0458
138.956464 77.051 -26.0045
139.292920 77.038 -25.9186
139.629377 77.028 -25.7897
139.965833 77.024 -25.6419
140.302289 77.025 -25.5079
140.638746 77.028 -25.4067
140.975202 77.027 -25.3350
141.311658 77.023 -25.2786
141.648115 77.015 -25.2324
141.984571 77.003 -25.2051
142.321027 76.984 -25.2007
142.657483 76.954 -25.1958
142.993940 76.914 -25.1398
143.330396 76.871 -24.9889
143.666852 76.837 -24.7519
144.003309 76.820 -24.5042
144.339765 76.817 -24.3416
144.676221 76.813 -24.3033
145.012678 76.794 -24.3263
145.349134 76.757 -24.2804
145.685590 76.720 -24.0663
146.022047 76.708 -23.7106
146.358503 76.734 -23.3724
146.694959 76.789 -23.2337
147.031416 76.841 -23.3528
147.367872 76.866 -23.6106
147.704328 76.862 -23.7942
148.040785 76.855 -23.7635
148.377241 76.882 -23.5891
148.713697 76.956 -23.5399
149.050154 77.049 -23.8911
149.386610 77.107 -24.6989
149.723066 77.080 -25.7246
150.059523 76.952 -26.5327
150.395979 76.761 -26.6976
150.732435 76.584 -26.0499
151.068892 76.500 -24.8440
151.405348 76.536 -23.6505
151.741804 76.650 -22.9747
