* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 14, 2026 1:35:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Xenns Top Pro R4
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 85.422 26.8753
20.187380 85.330 25.7729
20.523836 85.218 25.1025
20.860293 85.135 24.9111
21.196749 85.127 24.9521
21.533205 85.200 24.8220
21.869662 85.309 24.2395
22.206118 85.400 23.2173
22.542574 85.439 22.0056
22.879030 85.430 20.9007
23.215487 85.406 20.0564
23.551943 85.401 19.4055
23.888399 85.426 18.7405
24.224856 85.462 17.8944
24.561312 85.479 16.8671
24.897768 85.459 15.8041
25.234225 85.411 14.8760
25.570681 85.351 14.1626
25.907137 85.299 13.6214
26.243594 85.260 13.1564
26.580050 85.229 12.7140
26.916506 85.202 12.3116
27.252963 85.186 11.9745
27.589419 85.196 11.6473
27.925875 85.238 11.1769
28.262332 85.295 10.3964
28.598788 85.335 9.2460
28.935244 85.324 7.8284
29.271701 85.244 6.3734
29.608157 85.100 5.1515
29.944613 84.922 4.3831
30.281070 84.753 4.1615
30.617526 84.644 4.3947
30.953982 84.633 4.7866
31.290439 84.722 4.9077
31.626895 84.870 4.3704
31.963351 85.002 3.0293
32.299808 85.036 1.0846
32.636264 84.919 -0.9436
32.972720 84.655 -2.3425
33.309177 84.326 -2.4628
33.645633 84.086 -1.1637
33.982089 84.077 0.7961
34.318546 84.301 2.1073
34.655002 84.608 1.9366
34.991458 84.821 0.4416
35.327915 84.836 -1.5389
35.664371 84.663 -2.9884
36.000827 84.414 -3.1727
36.337284 84.256 -2.1119
36.673740 84.303 -0.7278
37.010196 84.511 -0.1635
37.346653 84.730 -0.8610
37.683109 84.827 -2.4095
38.019565 84.762 -3.9945
38.356022 84.587 -4.8889
38.692478 84.416 -4.8439
39.028934 84.354 -4.2629
39.365391 84.415 -3.9043
39.701847 84.524 -4.2701
40.038303 84.586 -5.2958
40.374760 84.553 -6.5236
40.711216 84.438 -7.4543
41.047672 84.300 -7.8333
41.384129 84.202 -7.7668
41.720585 84.170 -7.5975
42.057041 84.183 -7.6244
42.393498 84.202 -7.9156
42.729954 84.202 -8.3458
43.066410 84.182 -8.7576
43.402867 84.156 -9.0873
43.739323 84.135 -9.3765
44.075779 84.117 -9.6898
44.412236 84.092 -10.0343
44.748692 84.056 -10.3538
45.085148 84.014 -10.5911
45.421605 83.978 -10.7522
45.758061 83.954 -10.9072
46.094517 83.935 -11.1279
46.430974 83.909 -11.4213
46.767430 83.869 -11.7212
47.103886 83.820 -11.9453
47.440342 83.776 -12.0703
47.776799 83.748 -12.1616
48.113255 83.738 -12.3292
48.449711 83.730 -12.6427
48.786168 83.708 -13.0748
49.122624 83.661 -13.5161
49.459080 83.597 -13.8440
49.795537 83.532 -14.0004
50.131993 83.486 -14.0281
50.468449 83.466 -14.0413
50.804906 83.466 -14.1507
51.141362 83.469 -14.3988
51.477818 83.461 -14.7452
51.814275 83.437 -15.1047
52.150731 83.401 -15.4022
52.487187 83.365 -15.6137
52.823644 83.335 -15.7706
53.160100 83.316 -15.9309
53.496556 83.300 -16.1385
53.833013 83.282 -16.3983
54.169469 83.257 -16.6801
54.505925 83.224 -16.9457
54.842382 83.190 -17.1779
55.178838 83.159 -17.3921
55.515294 83.131 -17.6240
55.851751 83.104 -17.9000
56.188207 83.069 -18.2144
56.524663 83.024 -18.5264
56.861120 82.971 -18.7828
57.197576 82.915 -18.9498
57.534032 82.867 -19.0345
57.870489 82.832 -19.0822
58.206945 82.808 -19.1486
58.543401 82.791 -19.2679
58.879858 82.773 -19.4366
59.216314 82.748 -19.6237
59.552770 82.718 -19.7946
59.889227 82.685 -19.9336
60.225683 82.651 -20.0453
60.562139 82.618 -20.1426
60.898596 82.582 -20.2302
61.235052 82.544 -20.3024
61.571508 82.505 -20.3558
61.907965 82.466 -20.4042
62.244421 82.428 -20.4780
62.580877 82.385 -20.5997
62.917334 82.329 -20.7536
63.253790 82.256 -20.8746
63.590246 82.171 -20.8740
63.926703 82.089 -20.6963
64.263159 82.031 -20.3741
64.599615 82.012 -20.0381
64.936072 82.030 -19.8580
65.272528 82.064 -19.9483
65.608984 82.091 -20.3069
65.945441 82.093 -20.8260
66.281897 82.067 -21.3588
66.618353 82.026 -21.7980
66.954810 81.988 -22.1230
67.291266 81.963 -22.3898
67.627722 81.953 -22.6754
67.964179 81.949 -23.0189
68.300635 81.942 -23.4026
68.637091 81.930 -23.7780
68.973548 81.915 -24.1075
69.310004 81.901 -24.3859
69.646460 81.890 -24.6292
69.982917 81.879 -24.8458
70.319373 81.866 -25.0239
70.655829 81.853 -25.1453
70.992285 81.843 -25.2150
71.328742 81.840 -25.2731
71.665198 81.840 -25.3718
72.001654 81.833 -25.5325
72.338111 81.809 -25.7178
72.674567 81.766 -25.8467
73.011023 81.711 -25.8455
73.347480 81.662 -25.7027
73.683936 81.631 -25.4893
74.020392 81.621 -25.3236
74.356849 81.622 -25.3037
74.693305 81.618 -25.4552
75.029761 81.594 -25.7246
75.366218 81.545 -26.0143
75.702674 81.477 -26.2292
76.039130 81.402 -26.3151
76.375587 81.336 -26.2771
76.712043 81.290 -26.1798
77.048499 81.268 -26.1245
77.384956 81.263 -26.2081
77.721412 81.256 -26.4729
78.057868 81.230 -26.8713
78.394325 81.175 -27.2711
78.730781 81.097 -27.5123
79.067237 81.021 -27.5010
79.403694 80.978 -27.2949
79.740150 80.984 -27.1061
80.076606 81.025 -27.1832
80.413063 81.063 -27.6437
80.749519 81.052 -28.3812
81.085975 80.970 -29.1044
81.422432 80.831 -29.4749
81.758888 80.682 -29.2875
82.095344 80.583 -28.6157
82.431801 80.571 -27.8054
82.768257 80.633 -27.2637
83.104713 80.718 -27.2007
83.441170 80.775 -27.5361
83.777626 80.779 -28.0048
84.114082 80.739 -28.3382
84.450539 80.688 -28.4153
84.786995 80.658 -28.3124
85.123451 80.660 -28.2228
85.459908 80.676 -28.3035
85.796364 80.681 -28.5679
86.132820 80.656 -28.8962
86.469277 80.604 -29.1302
86.805733 80.542 -29.1782
87.142189 80.492 -29.0663
87.478646 80.464 -28.9065
87.815102 80.453 -28.8112
88.151558 80.443 -28.8195
88.488015 80.423 -28.8883
88.824471 80.390 -28.9398
89.160927 80.351 -28.9213
89.497384 80.317 -28.8373
89.833840 80.292 -28.7368
90.170296 80.275 -28.6721
90.506753 80.258 -28.6633
90.843209 80.236 -28.6927
91.179665 80.208 -28.7260
91.516122 80.177 -28.7393
91.852578 80.146 -28.7321
92.189034 80.118 -28.7202
92.525491 80.092 -28.7170
92.861947 80.065 -28.7221
93.198403 80.039 -28.7248
93.534860 80.014 -28.7186
93.871316 79.994 -28.7139
94.207772 79.979 -28.7357
94.544228 79.964 -28.8062
94.880685 79.944 -28.9229
95.217141 79.914 -29.0499
95.553597 79.873 -29.1296
95.890054 79.828 -29.1138
96.226510 79.791 -28.9963
96.562966 79.770 -28.8270
96.899423 79.767 -28.6914
97.235879 79.774 -28.6653
97.572335 79.778 -28.7689
97.908792 79.765 -28.9530
98.245248 79.730 -29.1234
98.581704 79.682 -29.1909
98.918161 79.633 -29.1213
99.254617 79.599 -28.9557
99.591073 79.584 -28.7869
99.927530 79.582 -28.7046
100.263986 79.582 -28.7435
100.600442 79.570 -28.8701
100.936899 79.543 -29.0094
101.273355 79.505 -29.0929
101.609811 79.465 -29.0955
101.946268 79.432 -29.0426
102.282724 79.410 -28.9860
102.619180 79.393 -28.9665
102.955637 79.376 -28.9918
103.292093 79.355 -29.0392
103.628549 79.330 -29.0782
103.965006 79.304 -29.0924
104.301462 79.279 -29.0850
104.637918 79.256 -29.0690
104.974375 79.235 -29.0527
105.310831 79.214 -29.0332
105.647287 79.194 -29.0035
105.983744 79.176 -28.9642
106.320200 79.161 -28.9286
106.656656 79.147 -28.9146
106.993113 79.132 -28.9291
107.329569 79.113 -28.9601
107.666025 79.087 -28.9803
108.002482 79.057 -28.9649
108.338938 79.028 -28.9073
108.675394 79.004 -28.8245
109.011851 78.986 -28.7455
109.348307 78.971 -28.6936
109.684763 78.955 -28.6735
110.021220 78.938 -28.6725
110.357676 78.917 -28.6742
110.694132 78.895 -28.6699
111.030589 78.873 -28.6621
111.367045 78.851 -28.6572
111.703501 78.828 -28.6548
112.039958 78.803 -28.6443
112.376414 78.777 -28.6125
112.712870 78.753 -28.5549
113.049327 78.733 -28.4827
113.385783 78.719 -28.4178
113.722239 78.707 -28.3797
114.058696 78.694 -28.3721
114.395152 78.677 -28.3800
114.731608 78.656 -28.3792
115.068065 78.631 -28.3497
115.404521 78.608 -28.2872
115.740977 78.588 -28.2042
116.077434 78.572 -28.1218
116.413890 78.559 -28.0591
116.750346 78.546 -28.0240
117.086803 78.531 -28.0109
117.423259 78.511 -28.0034
117.759715 78.487 -27.9822
118.096171 78.462 -27.9339
118.432628 78.440 -27.8601
118.769084 78.422 -27.7805
119.105540 78.409 -27.7264
119.441997 78.398 -27.7238
119.778453 78.382 -27.7744
120.114909 78.356 -27.8478
120.451366 78.318 -27.8907
120.787822 78.274 -27.8531
121.124278 78.233 -27.7178
121.460735 78.204 -27.5140
121.797191 78.190 -27.3047
122.133647 78.190 -27.1520
122.470104 78.194 -27.0839
122.806560 78.193 -27.0840
123.143016 78.185 -27.1096
123.479473 78.171 -27.1222
123.815929 78.155 -27.1081
124.152385 78.140 -27.0784
124.488842 78.127 -27.0494
124.825298 78.113 -27.0243
125.161754 78.099 -26.9902
125.498211 78.085 -26.9343
125.834667 78.074 -26.8622
126.171123 78.068 -26.7997
126.507580 78.065 -26.7740
126.844036 78.057 -26.7879
127.180492 78.042 -26.8095
127.516949 78.019 -26.7910
127.853405 77.995 -26.7050
128.189861 77.981 -26.5712
128.526318 77.978 -26.4508
128.862774 77.981 -26.4049
129.199230 77.979 -26.4464
129.535687 77.963 -26.5231
129.872143 77.931 -26.5464
130.208599 77.895 -26.4491
130.545056 77.871 -26.2372
130.881512 77.869 -25.9974
131.217968 77.887 -25.8472
131.554425 77.910 -25.8599
131.890881 77.921 -26.0181
132.227337 77.907 -26.2248
132.563794 77.870 -26.3601
132.900250 77.824 -26.3477
133.236706 77.785 -26.1930
133.573163 77.765 -25.9727
133.909619 77.761 -25.7798
134.246075 77.766 -25.6670
134.582532 77.767 -25.6243
134.918988 77.760 -25.6018
135.255444 77.748 -25.5526
135.591901 77.737 -25.4647
135.928357 77.731 -25.3630
136.264813 77.728 -25.2834
136.601270 77.726 -25.2426
136.937726 77.718 -25.2267
137.274182 77.704 -25.2031
137.610639 77.685 -25.1455
137.947095 77.667 -25.0509
138.283551 77.652 -24.9382
138.620008 77.641 -24.8319
138.956464 77.631 -24.7438
139.292920 77.619 -24.6682
139.629377 77.605 -24.5909
139.965833 77.591 -24.5040
140.302289 77.579 -24.4130
140.638746 77.569 -24.3324
140.975202 77.560 -24.2735
141.311658 77.550 -24.2342
141.648115 77.537 -24.2002
141.984571 77.522 -24.1553
142.321027 77.508 -24.0931
142.657483 77.498 -24.0226
142.993940 77.493 -23.9625
143.330396 77.490 -23.9298
143.666852 77.487 -23.9296
144.003309 77.481 -23.9531
144.339765 77.471 -23.9822
144.676221 77.457 -23.9979
145.012678 77.441 -23.9867
145.349134 77.423 -23.9421
145.685590 77.407 -23.8638
146.022047 77.394 -23.7545
146.358503 77.384 -23.6200
146.694959 77.379 -23.4681
147.031416 77.380 -23.3094
147.367872 77.386 -23.1569
147.704328 77.397 -23.0238
148.040785 77.411 -22.9230
148.377241 77.426 -22.8641
148.713697 77.438 -22.8508
149.050154 77.445 -22.8772
149.386610 77.444 -22.9255
149.723066 77.433 -22.9678
150.059523 77.414 -22.9739
150.395979 77.390 -22.9225
150.732435 77.368 -22.8119
151.068892 77.351 -22.6616
151.405348 77.341 -22.5038
151.741804 77.338 -22.3679
