* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 8, 2026 5:51:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zero Blue 2 L2
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 93.164 -132.5012
20.187380 93.196 -133.6210
20.523836 93.227 -134.7182
20.860293 93.256 -135.7919
21.196749 93.282 -136.8434
21.533205 93.305 -137.8749
21.869662 93.326 -138.8895
22.206118 93.345 -139.8885
22.542574 93.359 -140.8689
22.879030 93.370 -141.8228
23.215487 93.377 -142.7401
23.551943 93.384 -143.6153
23.888399 93.393 -144.4558
24.224856 93.407 -145.2834
24.561312 93.423 -146.1265
24.897768 93.439 -147.0047
25.234225 93.453 -147.9144
25.570681 93.458 -148.8265
25.907137 93.454 -149.6992
26.243594 93.444 -150.5016
26.580050 93.436 -151.2324
26.916506 93.435 -151.9224
27.252963 93.442 -152.6160
27.589419 93.451 -153.3438
27.925875 93.456 -154.1035
28.262332 93.455 -154.8654
28.598788 93.449 -155.5946
28.935244 93.443 -156.2774
29.271701 93.440 -156.9309
29.608157 93.443 -157.5900
29.944613 93.448 -158.2806
30.281070 93.449 -159.0000
30.617526 93.443 -159.7196
30.953982 93.432 -160.4071
31.290439 93.421 -161.0522
31.626895 93.415 -161.6754
31.963351 93.416 -162.3131
32.299808 93.416 -162.9885
32.636264 93.408 -163.6910
32.972720 93.390 -164.3795
33.309177 93.364 -165.0073
33.645633 93.337 -165.5523
33.982089 93.316 -166.0313
34.318546 93.305 -166.4895
34.655002 93.301 -166.9719
34.991458 93.298 -167.4974
35.327915 93.292 -168.0531
35.664371 93.280 -168.6091
36.000827 93.264 -169.1413
36.337284 93.247 -169.6454
36.673740 93.233 -170.1341
37.010196 93.219 -170.6238
37.346653 93.205 -171.1210
37.683109 93.190 -171.6194
38.019565 93.172 -172.1082
38.356022 93.154 -172.5822
38.692478 93.137 -173.0463
39.028934 93.120 -173.5109
39.365391 93.104 -173.9828
39.701847 93.087 -174.4600
40.038303 93.067 -174.9329
40.374760 93.048 -175.3918
40.711216 93.028 -175.8332
41.047672 93.011 -176.2621
41.384129 92.995 -176.6884
41.720585 92.980 -177.1209
42.057041 92.965 -177.5629
42.393498 92.949 -178.0109
42.729954 92.930 -178.4556
43.066410 92.909 -178.8864
43.402867 92.887 -179.2953
43.739323 92.866 -179.6816
44.075779 92.848 179.9455
44.412236 92.833 179.5695
44.748692 92.820 179.1741
45.085148 92.806 178.7527
45.421605 92.786 178.3155
45.758061 92.761 177.8863
46.094517 92.730 177.4914
46.430974 92.699 177.1447
46.767430 92.672 176.8381
47.103886 92.650 176.5446
47.440342 92.635 176.2321
47.776799 92.621 175.8810
48.113255 92.605 175.4933
48.449711 92.584 175.0895
48.786168 92.557 174.6957
49.122624 92.527 174.3287
49.459080 92.497 173.9897
49.795537 92.469 173.6673
50.131993 92.445 173.3464
50.468449 92.422 173.0182
50.804906 92.399 172.6832
51.141362 92.375 172.3489
51.477818 92.350 172.0239
51.814275 92.325 171.7121
52.150731 92.302 171.4114
52.487187 92.280 171.1144
52.823644 92.261 170.8124
53.160100 92.242 170.4990
53.496556 92.222 170.1746
53.833013 92.199 169.8472
54.169469 92.173 169.5305
54.505925 92.145 169.2370
54.842382 92.118 168.9701
55.178838 92.093 168.7199
55.515294 92.072 168.4662
55.851751 92.053 168.1895
56.188207 92.031 167.8835
56.524663 92.004 167.5630
56.861120 91.969 167.2583
57.197576 91.930 166.9999
57.534032 91.892 166.8004
57.870489 91.861 166.6432
58.206945 91.840 166.4885
58.543401 91.827 166.2921
58.879858 91.816 166.0287
59.216314 91.800 165.7048
59.552770 91.776 165.3549
59.889227 91.743 165.0232
60.225683 91.705 164.7406
60.562139 91.669 164.5103
60.898596 91.640 164.3073
61.235052 91.618 164.0941
61.571508 91.600 163.8422
61.907965 91.581 163.5469
62.244421 91.555 163.2288
62.580877 91.522 162.9212
62.917334 91.484 162.6532
63.253790 91.447 162.4367
63.590246 91.413 162.2630
63.926703 91.385 162.1101
64.263159 91.363 161.9542
64.599615 91.344 161.7793
64.936072 91.327 161.5800
65.272528 91.308 161.3600
65.608984 91.287 161.1276
65.945441 91.262 160.8927
66.281897 91.235 160.6649
66.618353 91.207 160.4506
66.954810 91.178 160.2506
67.291266 91.150 160.0592
67.627722 91.123 159.8672
67.964179 91.097 159.6682
68.300635 91.069 159.4639
68.637091 91.039 159.2642
68.973548 91.010 159.0792
69.310004 90.981 158.9094
69.646460 90.956 158.7428
69.982917 90.934 158.5612
70.319373 90.911 158.3555
70.655829 90.885 158.1364
70.992285 90.855 157.9305
71.328742 90.823 157.7626
71.665198 90.796 157.6332
72.001654 90.778 157.5105
72.338111 90.767 157.3458
72.674567 90.757 157.1046
73.011023 90.739 156.7937
73.347480 90.707 156.4637
73.683936 90.660 156.1840
74.020392 90.608 156.0050
74.356849 90.559 155.9286
74.693305 90.524 155.9073
75.029761 90.502 155.8721
75.366218 90.488 155.7726
75.702674 90.473 155.6009
76.039130 90.451 155.3886
76.375587 90.420 155.1810
76.712043 90.384 155.0098
77.048499 90.349 154.8792
77.384956 90.318 154.7711
77.721412 90.291 154.6612
78.057868 90.267 154.5353
78.394325 90.242 154.3943
78.730781 90.216 154.2498
79.067237 90.189 154.1133
79.403694 90.162 153.9885
79.740150 90.139 153.8678
80.076606 90.119 153.7357
80.413063 90.100 153.5768
80.749519 90.079 153.3871
81.085975 90.052 153.1822
81.422432 90.018 152.9958
81.758888 89.979 152.8646
82.095344 89.942 152.8045
82.431801 89.916 152.7911
82.768257 89.903 152.7626
83.104713 89.899 152.6512
83.441170 89.894 152.4268
83.777626 89.873 152.1232
84.114082 89.833 151.8272
84.450539 89.778 151.6308
84.786995 89.723 151.5744
85.123451 89.683 151.6152
85.459908 89.664 151.6489
85.796364 89.657 151.5785
86.132820 89.647 151.3796
86.469277 89.621 151.1165
86.805733 89.575 150.8969
87.142189 89.523 150.7980
87.478646 89.481 150.8124
87.815102 89.457 150.8530
88.151558 89.446 150.8195
88.488015 89.435 150.6761
88.824471 89.411 150.4792
89.160927 89.371 150.3345
89.497384 89.328 150.3158
89.833840 89.302 150.4001
90.170296 89.301 150.4717
90.506753 89.317 150.3987
90.843209 89.331 150.1254
91.179665 89.320 149.7120
91.516122 89.278 149.2968
91.852578 89.211 149.0144
92.189034 89.139 148.9224
92.525491 89.081 148.9769
92.861947 89.043 149.0743
93.198403 89.022 149.1238
93.534860 89.005 149.0950
93.871316 88.987 149.0099
94.207772 88.964 148.9009
94.544228 88.940 148.7778
94.880685 88.912 148.6317
95.217141 88.878 148.4664
95.553597 88.834 148.3203
95.890054 88.782 148.2518
96.226510 88.733 148.2926
96.562966 88.699 148.4074
96.899423 88.685 148.5033
97.235879 88.683 148.4915
97.572335 88.674 148.3571
97.908792 88.648 148.1790
98.245248 88.604 148.0789
98.581704 88.560 148.1335
98.918161 88.536 148.3062
99.254617 88.542 148.4566
99.591073 88.568 148.4302
99.927530 88.591 148.1646
100.263986 88.586 147.7320
100.600442 88.542 147.2941
100.936899 88.469 147.0094
101.273355 88.391 146.9473
101.609811 88.329 147.0566
101.946268 88.292 147.2085
102.282724 88.275 147.2844
102.619180 88.261 147.2425
102.955637 88.239 147.1209
103.292093 88.206 146.9908
103.628549 88.166 146.9028
103.965006 88.127 146.8620
104.301462 88.094 146.8404
104.637918 88.065 146.8083
104.974375 88.038 146.7557
105.310831 88.011 146.6902
105.647287 87.983 146.6220
105.983744 87.956 146.5512
106.320200 87.930 146.4705
106.656656 87.903 146.3776
106.993113 87.873 146.2828
107.329569 87.840 146.2046
107.666025 87.806 146.1557
108.002482 87.775 146.1333
108.338938 87.748 146.1205
108.675394 87.724 146.0989
109.011851 87.701 146.0609
109.348307 87.676 146.0121
109.684763 87.649 145.9642
110.021220 87.621 145.9248
110.357676 87.592 145.8931
110.694132 87.564 145.8646
111.030589 87.535 145.8373
111.367045 87.505 145.8145
111.703501 87.475 145.7995
112.039958 87.447 145.7903
112.376414 87.419 145.7777
112.712870 87.393 145.7509
113.049327 87.367 145.7057
113.385783 87.338 145.6486
113.722239 87.307 145.5919
114.058696 87.274 145.5446
114.395152 87.242 145.5062
114.731608 87.211 145.4676
115.068065 87.181 145.4202
115.404521 87.150 145.3644
115.740977 87.118 145.3100
116.077434 87.084 145.2693
116.413890 87.052 145.2458
116.750346 87.023 145.2296
117.086803 86.997 145.2027
117.423259 86.972 145.1528
117.759715 86.945 145.0848
118.096171 86.913 145.0220
118.432628 86.877 144.9926
118.769084 86.843 145.0103
119.105540 86.816 145.0599
119.441997 86.799 145.0998
119.778453 86.788 145.0823
120.114909 86.776 144.9825
120.451366 86.753 144.8174
120.787822 86.713 144.6429
121.124278 86.658 144.5301
121.460735 86.596 144.5310
121.797191 86.538 144.6508
122.133647 86.492 144.8441
122.470104 86.463 145.0383
122.806560 86.443 145.1728
123.143016 86.425 145.2291
123.479473 86.400 145.2328
123.815929 86.365 145.2308
124.152385 86.325 145.2587
124.488842 86.285 145.3217
124.825298 86.247 145.3979
125.161754 86.212 145.4612
125.498211 86.176 145.5053
125.834667 86.135 145.5500
126.171123 86.090 145.6251
126.507580 86.045 145.7460
126.844036 86.007 145.8988
127.180492 85.977 146.0474
127.516949 85.951 146.1591
127.853405 85.924 146.2283
128.189861 85.891 146.2805
128.526318 85.852 146.3560
128.862774 85.811 146.4849
129.199230 85.772 146.6718
129.535687 85.740 146.9011
129.872143 85.714 147.1533
130.208599 85.696 147.4197
130.545056 85.684 147.7003
130.881512 85.680 147.9899
131.217968 85.686 148.2676
131.554425 85.700 148.5026
131.890881 85.718 148.6725
132.227337 85.733 148.7821
132.563794 85.741 148.8621
132.900250 85.743 148.9507
133.236706 85.741 149.0701
133.573163 85.740 149.2155
133.909619 85.742 149.3666
134.246075 85.744 149.5096
134.582532 85.746 149.6516
134.918988 85.748 149.8114
135.255444 85.756 149.9946
135.591901 85.774 150.1716
135.928357 85.805 150.2809
136.264813 85.842 150.2603
136.601270 85.873 150.0859
136.937726 85.886 149.7941
137.274182 85.873 149.4699
137.610639 85.838 149.2118
137.947095 85.791 149.0872
138.283551 85.750 149.1015
138.620008 85.724 149.1954
138.956464 85.717 149.2758
139.292920 85.723 149.2656
139.629377 85.727 149.1440
139.965833 85.719 148.9564
140.302289 85.695 148.7881
140.638746 85.662 148.7147
140.975202 85.633 148.7548
141.311658 85.620 148.8528
141.648115 85.624 148.9119
141.984571 85.632 148.8620
142.321027 85.628 148.7167
142.657483 85.602 148.5755
142.993940 85.560 148.5640
143.330396 85.520 148.7437
143.666852 85.504 149.0490
144.003309 85.521 149.3117
144.339765 85.555 149.3716
144.676221 85.576 149.1972
145.012678 85.558 148.9217
145.349134 85.501 148.7700
145.685590 85.428 148.9184
146.022047 85.382 149.3621
146.358503 85.391 149.8848
146.694959 85.450 150.1832
147.031416 85.523 150.0692
147.367872 85.564 149.5838
147.704328 85.545 148.9583
148.040785 85.471 148.4760
148.377241 85.371 148.3215
148.713697 85.286 148.4867
149.050154 85.241 148.7904
149.386610 85.232 149.0119
149.723066 85.236 149.0386
150.059523 85.227 148.9157
150.395979 85.196 148.7813
150.732435 85.153 148.7543
151.068892 85.117 148.8539
151.405348 85.101 148.9965
151.741804 85.102 149.0670
152.078261 85.105 149.0061
152.414717 85.096 148.8472
152.751173 85.065 148.6886
153.087630 85.019 148.6294
153.424086 84.972 148.7130
153.760542 84.938 148.9089
154.096999 84.923 149.1371
154.433455 84.924 149.3155
154.769911 84.933 149.3983
155.106368 84.940 149.3857
155.442824 84.939 149.3081
155.779280 84.928 149.2048
156.115737 84.906 149.1074
156.452193 84.877 149.0367
156.788649 84.842 149.0057
157.125106 84.804 149.0249
157.461562 84.766 149.1016
157.798018 84.732 149.2339
158.134475 84.707 149.4040
