* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (LETSHUOER DT01 PRO), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 8, 2026 5:49:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zero Blue 2 R3
* Smoothing: None
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850924 93.273 -135.4379
20.187380 93.307 -136.5230
20.523836 93.340 -137.6454
20.860293 93.362 -138.7652
21.196749 93.373 -139.8315
21.533205 93.381 -140.8137
21.869662 93.394 -141.7194
22.206118 93.415 -142.5896
22.542574 93.445 -143.4754
22.879030 93.478 -144.4115
23.215487 93.506 -145.4017
23.551943 93.525 -146.4213
23.888399 93.531 -147.4323
24.224856 93.527 -148.3999
24.561312 93.517 -149.3057
24.897768 93.505 -150.1505
25.234225 93.498 -150.9499
25.570681 93.493 -151.7245
25.907137 93.490 -152.4897
26.243594 93.485 -153.2514
26.580050 93.477 -154.0061
26.916506 93.467 -154.7467
27.252963 93.455 -155.4666
27.589419 93.442 -156.1630
27.925875 93.430 -156.8362
28.262332 93.421 -157.4915
28.598788 93.417 -158.1428
28.935244 93.418 -158.8151
29.271701 93.423 -159.5391
29.608157 93.425 -160.3332
29.944613 93.416 -161.1825
30.281070 93.391 -162.0282
30.617526 93.350 -162.7843
30.953982 93.306 -163.3824
31.290439 93.277 -163.8244
31.626895 93.278 -164.2076
31.963351 93.312 -164.6881
32.299808 93.358 -165.3926
32.636264 93.387 -166.3353
32.972720 93.377 -167.3947
33.309177 93.319 -168.3650
33.645633 93.230 -169.0538
33.982089 93.144 -169.3858
34.318546 93.093 -169.4556
34.655002 93.089 -169.4818
34.991458 93.121 -169.6757
35.327915 93.159 -170.1183
35.664371 93.175 -170.7351
36.000827 93.161 -171.3669
36.337284 93.128 -171.8793
36.673740 93.096 -172.2442
37.010196 93.082 -172.5473
37.346653 93.084 -172.9181
37.683109 93.086 -173.4305
38.019565 93.071 -174.0505
38.356022 93.030 -174.6595
38.692478 92.971 -175.1328
39.028934 92.914 -175.4214
39.365391 92.881 -175.5897
39.701847 92.877 -175.7802
40.038303 92.894 -176.1252
40.374760 92.912 -176.6679
40.711216 92.910 -177.3442
41.047672 92.881 -178.0276
41.384129 92.835 -178.6020
41.720585 92.786 -179.0233
42.057041 92.753 -179.3369
42.393498 92.739 -179.6417
42.729954 92.737 179.9765
43.066410 92.733 179.4975
43.402867 92.718 178.9714
43.739323 92.688 178.4801
44.075779 92.652 178.0831
44.412236 92.621 177.7814
44.748692 92.602 177.5223
45.085148 92.593 177.2395
45.421605 92.586 176.8997
45.758061 92.574 176.5213
46.094517 92.553 176.1543
46.430974 92.528 175.8380
46.767430 92.507 175.5681
47.103886 92.495 175.2961
47.440342 92.489 174.9649
47.776799 92.478 174.5526
48.113255 92.455 174.0920
48.449711 92.416 173.6536
48.786168 92.367 173.3005
49.122624 92.321 173.0476
49.459080 92.287 172.8488
49.795537 92.267 172.6266
50.131993 92.254 172.3225
50.468449 92.237 171.9341
50.804906 92.207 171.5153
51.141362 92.165 171.1400
51.477818 92.121 170.8557
51.814275 92.085 170.6534
52.150731 92.064 170.4731
52.487187 92.056 170.2416
52.823644 92.052 169.9169
53.160100 92.042 169.5101
53.496556 92.020 169.0744
53.833013 91.986 168.6712
54.169469 91.947 168.3372
54.505925 91.910 168.0691
54.842382 91.880 167.8333
55.178838 91.855 167.5922
55.515294 91.833 167.3277
55.851751 91.808 167.0468
56.188207 91.779 166.7711
56.524663 91.748 166.5179
56.861120 91.718 166.2899
57.197576 91.690 166.0761
57.534032 91.664 165.8624
57.870489 91.640 165.6409
58.206945 91.615 165.4118
58.543401 91.589 165.1793
58.879858 91.563 164.9470
59.216314 91.535 164.7176
59.552770 91.507 164.4948
59.889227 91.480 164.2830
60.225683 91.454 164.0814
60.562139 91.432 163.8781
60.898596 91.413 163.6512
61.235052 91.394 163.3835
61.571508 91.368 163.0809
61.907965 91.333 162.7806
62.244421 91.290 162.5362
62.580877 91.247 162.3844
62.917334 91.215 162.3114
63.253790 91.201 162.2458
63.590246 91.204 162.0928
63.926703 91.210 161.7909
64.263159 91.202 161.3546
64.599615 91.169 160.8730
64.936072 91.110 160.4663
65.272528 91.040 160.2233
65.608984 90.976 160.1537
65.945441 90.932 160.1837
66.281897 90.912 160.1996
66.618353 90.907 160.1132
66.954810 90.901 159.9035
67.291266 90.885 159.6143
67.627722 90.854 159.3170
67.964179 90.814 159.0689
68.300635 90.771 158.8901
68.637091 90.733 158.7650
68.973548 90.701 158.6625
69.310004 90.676 158.5552
69.646460 90.656 158.4276
69.982917 90.637 158.2736
70.319373 90.620 158.0907
70.655829 90.601 157.8785
70.992285 90.579 157.6429
71.328742 90.552 157.3986
71.665198 90.520 157.1674
72.001654 90.484 156.9686
72.338111 90.448 156.8103
72.674567 90.416 156.6838
73.011023 90.389 156.5675
73.347480 90.367 156.4376
73.683936 90.347 156.2797
74.020392 90.326 156.0955
74.356849 90.300 155.9011
74.693305 90.271 155.7170
75.029761 90.239 155.5564
75.366218 90.209 155.4172
75.702674 90.181 155.2852
76.039130 90.155 155.1445
76.375587 90.127 154.9914
76.712043 90.095 154.8392
77.048499 90.061 154.7094
77.384956 90.027 154.6144
77.721412 89.997 154.5437
78.057868 89.973 154.4657
78.394325 89.952 154.3480
78.730781 89.928 154.1828
79.067237 89.896 153.9979
79.403694 89.854 153.8442
79.740150 89.809 153.7642
80.076606 89.770 153.7605
80.413063 89.746 153.7880
80.749519 89.736 153.7755
81.085975 89.734 153.6664
81.422432 89.729 153.4502
81.758888 89.712 153.1645
82.095344 89.680 152.8721
82.431801 89.638 152.6276
82.768257 89.591 152.4557
83.104713 89.547 152.3480
83.441170 89.510 152.2775
83.777626 89.479 152.2155
84.114082 89.453 152.1428
84.450539 89.430 152.0504
84.786995 89.408 151.9377
85.123451 89.383 151.8124
85.459908 89.355 151.6916
85.796364 89.324 151.5968
86.132820 89.295 151.5421
86.469277 89.271 151.5195
86.805733 89.255 151.4946
87.142189 89.248 151.4207
87.478646 89.240 151.2662
87.815102 89.224 151.0383
88.151558 89.194 150.7850
88.488015 89.148 150.5734
88.824471 89.094 150.4536
89.160927 89.044 150.4310
89.497384 89.004 150.4624
89.833840 88.977 150.4821
90.170296 88.956 150.4407
90.506753 88.934 150.3314
90.843209 88.904 150.1872
91.179665 88.866 150.0549
91.516122 88.826 149.9636
91.852578 88.789 149.9084
92.189034 88.758 149.8585
92.525491 88.732 149.7817
92.861947 88.707 149.6681
93.198403 88.678 149.5343
93.534860 88.645 149.4094
93.871316 88.611 149.3128
94.207772 88.581 149.2413
94.544228 88.555 149.1727
94.880685 88.534 149.0844
95.217141 88.513 148.9687
95.553597 88.489 148.8362
95.890054 88.462 148.7051
96.226510 88.432 148.5887
96.562966 88.400 148.4911
96.899423 88.366 148.4165
97.235879 88.329 148.3790
97.572335 88.294 148.3998
97.908792 88.264 148.4872
98.245248 88.249 148.6120
98.581704 88.253 148.7020
98.918161 88.269 148.6708
99.254617 88.283 148.4687
99.591073 88.279 148.1219
99.927530 88.243 147.7322
100.263986 88.178 147.4335
100.600442 88.097 147.3265
100.936899 88.022 147.4249
101.273355 87.970 147.6463
101.609811 87.944 147.8605
101.946268 87.934 147.9654
102.282724 87.924 147.9377
102.619180 87.903 147.8278
102.955637 87.867 147.7140
103.292093 87.823 147.6513
103.628549 87.778 147.6477
103.965006 87.738 147.6747
104.301462 87.703 147.6990
104.637918 87.670 147.7067
104.974375 87.637 147.7044
105.310831 87.604 147.7036
105.647287 87.573 147.7053
105.983744 87.545 147.6984
106.320200 87.519 147.6711
106.656656 87.494 147.6210
106.993113 87.467 147.5553
107.329569 87.439 147.4821
107.666025 87.411 147.4037
108.002482 87.381 147.3196
108.338938 87.350 147.2346
108.675394 87.315 147.1635
109.011851 87.279 147.1244
109.348307 87.245 147.1248
109.684763 87.216 147.1526
110.021220 87.194 147.1820
110.357676 87.174 147.1913
110.694132 87.155 147.1775
111.030589 87.131 147.1576
111.367045 87.104 147.1545
111.703501 87.076 147.1810
112.039958 87.050 147.2318
112.376414 87.026 147.2894
112.712870 87.004 147.3349
113.049327 86.980 147.3565
113.385783 86.954 147.3523
113.722239 86.919 147.3333
114.058696 86.876 147.3262
114.395152 86.826 147.3682
114.731608 86.775 147.4863
115.068065 86.734 147.6648
115.404521 86.710 147.8283
115.740977 86.700 147.8699
116.077434 86.687 147.7242
116.413890 86.647 147.4369
116.750346 86.571 147.1712
117.086803 86.469 147.1256
117.423259 86.376 147.3915
117.759715 86.333 147.8384
118.096171 86.349 148.1497
118.432628 86.392 148.0391
118.769084 86.402 147.4842
119.105540 86.333 146.7887
119.441997 86.184 146.4415
119.778453 86.017 146.8340
120.114909 85.931 147.9311
120.451366 85.994 149.1440
120.787822 86.182 149.6843
121.124278 86.385 149.1479
121.460735 86.487 147.7529
121.797191 86.422 146.1591
122.133647 86.204 145.1564
122.470104 85.924 145.3307
122.806560 85.722 146.7041
123.143016 85.703 148.5878
123.479473 85.857 150.0109
123.815929 86.077 150.4265
124.152385 86.250 149.9529
124.488842 86.317 149.0992
124.825298 86.285 148.3978
125.161754 86.209 148.1511
125.498211 86.149 148.3289
125.834667 86.139 148.6503
126.171123 86.167 148.8113
126.507580 86.199 148.6843
126.844036 86.200 148.3541
127.180492 86.157 148.0215
127.516949 86.083 147.8775
127.853405 86.004 148.0119
128.189861 85.949 148.3790
128.526318 85.936 148.8212
128.862774 85.963 149.1436
129.199230 86.010 149.2061
129.535687 86.046 148.9921
129.872143 86.048 148.6189
130.208599 86.010 148.2826
130.545056 85.949 148.1563
130.881512 85.896 148.2807
131.217968 85.878 148.5181
131.554425 85.897 148.6320
131.890881 85.922 148.4588
132.227337 85.915 148.0392
132.563794 85.851 147.6101
132.900250 85.742 147.4689
133.236706 85.630 147.7833
133.573163 85.567 148.4500
133.909619 85.579 149.1296
134.246075 85.641 149.4740
134.582532 85.702 149.3659
134.918988 85.717 148.9688
135.255444 85.671 148.5923
135.591901 85.590 148.4939
135.928357 85.517 148.7258
136.264813 85.484 149.1152
136.601270 85.490 149.4034
136.937726 85.509 149.4397
137.274182 85.507 149.2699
137.610639 85.470 149.0723
137.947095 85.409 149.0190
138.283551 85.348 149.1623
138.620008 85.310 149.4145
138.956464 85.294 149.6297
139.292920 85.287 149.7174
139.629377 85.272 149.6952
139.965833 85.241 149.6530
140.302289 85.199 149.6734
140.638746 85.159 149.7729
140.975202 85.129 149.9034
141.311658 85.107 150.0022
141.648115 85.086 150.0437
141.984571 85.060 150.0493
142.321027 85.030 150.0560
142.657483 84.997 150.0775
142.993940 84.966 150.0961
143.330396 84.932 150.0917
143.666852 84.890 150.0800
144.003309 84.837 150.1219
144.339765 84.780 150.2888
144.676221 84.733 150.6044
145.012678 84.711 151.0087
145.349134 84.720 151.3781
145.685590 84.749 151.5975
146.022047 84.778 151.6308
146.358503 84.791 151.5374
146.694959 84.782 151.4282
147.031416 84.757 151.3970
147.367872 84.729 151.4711
147.704328 84.707 151.6116
148.040785 84.692 151.7605
148.377241 84.677 151.8930
148.713697 84.658 152.0342
149.050154 84.636 152.2256
149.386610 84.621 152.4727
149.723066 84.618 152.7203
150.059523 84.627 152.8800
150.395979 84.632 152.8975
150.732435 84.618 152.8049
151.068892 84.573 152.7185
151.405348 84.505 152.7805
151.741804 84.434 153.0737
152.078261 84.388 153.5595
152.414717 84.380 154.0848
152.751173 84.408 154.4661
153.087630 84.448 154.5984
153.424086 84.473 154.5109
153.760542 84.471 154.3412
154.096999 84.444 154.2522
154.433455 84.413 154.3379
154.769911 84.404 154.5628
155.106368 84.430 154.7759
155.442824 84.483 154.8006
155.779280 84.537 154.5475
156.115737 84.561 154.0759
156.452193 84.538 153.5708
156.788649 84.475 153.2574
157.125106 84.398 153.2880
157.461562 84.347 153.6484
157.798018 84.349 154.1453
158.134475 84.402 154.5090
158.470931 84.477 154.5542
